longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"Recife 100MPC, USA-Mexico-Morocco",,,,,,,,,,,,,,,,,,,,
"Sydney 100MPC, Indonesia-Australia-South Africa",,,,,,,,,,,,,,,,,,,,
"Dar es Salaam 100MPC, Madagascar-South Africa-Mozambique",,,,,,,,,,,,,,,,,,,,
"Chennai 100MPC, India-Sri Lanka",,,,,,,,,,,,,,,,,,,,
"New Taipei [Taipei] 100MPC, China-Japan-Russia",,,,,,,,,,,,,,,,,,,,
"Hefei 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Doha 100MPC, Russia-India-Yemen",,,,,,,,,,,,,,,,,,,,
"Dhaka 100MPC, Bangladesh-India",,,,,,,,,,,,,,,,,,,,
"Quezon City [Manila] 100MPC, Philippines",,,,,,,,,,,,,,,,,,,,
"Buenos Aires 100MPC, Argentina-Brazil-Chile",,,,,,,,,,,,,,,,,,,,
"Comilla 100MPC, Bangladesh-India",,,,,,,,,,,,,,,,,,,,
"Tokyo 100MPC, Japan",,,,,,,,,,,,,,,,,,,,
"Bengaluru 100MPC, India",,,,,,,,,,,,,,,,,,,,
"Istanbul 100MPC, Turkey-Syria",,,,,,,,,,,,,,,,,,,,
"Addis Ababa 100MPC, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Chengdu 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Mexico City 100MPC, Mexico",,,,,,,,,,,,,,,,,,,,
"Ürümqi 100MPC, India-China-Bangladesh",,,,,,,,,,,,,,,,,,,,
"Wuhan 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Seoul (Outer) 100MPC, China-South Korea",,,,,,,,,,,,,,,,,,,,
"Lahore 100MPC, Pakistan-India",,,,,,,,,,,,,,,,,,,,
"Kampala 100MPC, Uganda-Tanzania-Kenya",,,,,,,,,,,,,,,,,,,,
"Shanghai 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Kano 100MPC, Nigeria-Niger",,,,,,,,,,,,,,,,,,,,
"Delhi [New Delhi] 100MPC, India",,,,,,,,,,,,,,,,,,,,
"Moscow 100MPC, Ukraine-Russia-Belarus",,,,,,,,,,,,,,,,,,,,
"Barcelona 100MPC, Italy-Algeria-France",,,,,,,,,,,,,,,,,,,,
"Lagos 100MPC, Nigeria",,,,,,,,,,,,,,,,,,,,
"Beijing 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Jakarta 100MPC, Indonesia",,,,,,,,,,,,,,,,,,,,
"Berlin 100MPC, Poland-Germany-Czech Republic",,,,,,,,,,,,,,,,,,,,
"Madrid 100MPC, Spain-Morocco-Algeria",,,,,,,,,,,,,,,,,,,,
"Bangkok 100MPC, Thailand-Vietnam-Cambodia",,,,,,,,,,,,,,,,,,,,
"Bogura 100MPC, India-Bangladesh",,,,,,,,,,,,,,,,,,,,
"Cairo 100MPC, Egypt-Israel-Jordan",,,,,,,,,,,,,,,,,,,,
"Hyderabad 100MPC, India",,,,,,,,,,,,,,,,,,,,
"New York 100MPC, USA-Canada",,,,,,,,,,,,,,,,,,,,
"Zhengzhou 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Surabaya 100MPC, Indonesia",,,,,,,,,,,,,,,,,,,,
"Patna 100MPC, India",,,,,,,,,,,,,,,,,,,,
"São Paulo 100MPC, Brazil",,,,,,,,,,,,,,,,,,,,
"Kinshasa 100MPC, Democratic Republic of the Congo-Angola",,,,,,,,,,,,,,,,,,,,
"Xiamen 100MPC, China-Vietnam-Thailand",,,,,,,,,,,,,,,,,,,,
"Mumbai 100MPC, India",,,,,,,,,,,,,,,,,,,,
"Rawalpindi [Islamabad] 100MPC, Pakistan-India",,,,,,,,,,,,,,,,,,,,
"Kolkata 100MPC, India",,,,,,,,,,,,,,,,,,,,
"Tehran 100MPC, Iran-Iraq-Azerbaijan",,,,,,,,,,,,,,,,,,,,
"London 100MPC, United Kingdom-France-Germany",,,,,,,,,,,,,,,,,,,,
"Guangzhou 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Dortmund 100MPC, Germany-France-Netherlands",,,,,,,,,,,,,,,,,,,,
"Bamako 100MPC, Mali-Senegal-Guinea",,,,,,,,,,,,,,,,,,,,
"Lima 100MPC, Peru-Brazil-Ecuador",,,,,,,,,,,,,,,,,,,,
"Miami 100MPC, USA-Guatemala-Mexico",,,,,,,,,,,,,,,,,,,,
"Lanzhou 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Lucknow 100MPC, India",,,,,,,,,,,,,,,,,,,,
"Hanoi 100MPC, China-Vietnam",,,,,,,,,,,,,,,,,,,,
"Xi'an 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Yaounde 100MPC, Cameroon-Sudan-Chad",,,,,,,,,,,,,,,,,,,,
"Guiyang (Guizhou Sheng) 100MPC, China",,,,,,,,,,,,,,,,,,,,
"Saint Petersburg 100MPC, Romania-Russia-Germany",,,,,,,,,,,,,,,,,,,,
"Kabul 100MPC, Afghanistan-Uzbekistan-Pakistan",,,,,,,,,,,,,,,,,,,,
"Bogota 100MPC, Colombia-Venezuela-Haiti",,,,,,,,,,,,,,,,,,,,
"Jaipur 100MPC, India",,,,,,,,,,,,,,,,,,,,
"Johannesburg 100MPC, South Africa-Mozambique-Malawi",,,,,,,,,,,,,,,,,,,,
"Indore 100MPC, India-Nepal",,,,,,,,,,,,,,,,,,,,
