longname,Population,Population [GHS-POP],Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) [GHS-POP],PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density [GHS-POP],AW Density (2010),AW Density (2000),Area,Compactness
"Recife 100MPC, USA-Mexico-Morocco",,108649070.0,,,,,,3460.6658,,,,,,1.5544875696520009,,,69893818.46541429,0.13598122158786313
"Sydney 100MPC, Indonesia-Australia-South Africa",,108034600.0,,,,,,2678.052,,,,,,0.9917072538764174,,,108937995.13688223,0.37467191955422074
"Dar es Salaam 100MPC, Madagascar-South Africa-Mozambique",,107806376.0,,,,,,5196.474,,,,,,17.61556725021389,,,6119949.160234451,0.20523456070262458
"Chennai 100MPC, India-Sri Lanka",,105847130.0,,,,,,4998.4355,,,,,,72.57909829256086,,,1458369.2893694853,0.30098370455742435
"New Taipei [Taipei] 100MPC, China-Japan-Russia",,103075590.0,,,,,,4773.3545,,,,,,9.918475239632967,,,10392282.030218014,0.24425240738680037
"Hefei 100MPC, China",,102034500.0,,,,,,5716.079,,,,,,283.8047283956575,,,359523.5941867459,0.12627438079430534
"Doha 100MPC, Russia-India-Yemen",,100025704.0,,,,,,5149.4062,,,,,,8.143761387429404,,,12282494.44469214,0.1698751617841766
"Dhaka 100MPC, Bangladesh-India",,99286630.0,,,,,,17825.08,,,,,,1721.7049981575083,,,57667.62140218685,0.9876520624185933
"Quezon City [Manila] 100MPC, Philippines",,98960970.0,,,,,,6616.148,,,,,,90.64566470071831,,,1091734.1532740262,0.9982106483130488
"Buenos Aires 100MPC, Argentina-Brazil-Chile",,98923520.0,,,,,,3879.138,,,,,,20.20782979030484,,,4895306.474100489,0.9529866216463747
"Comilla 100MPC, Bangladesh-India",,98894560.0,,,,,,5173.078,,,,,,544.2456935287134,,,181709.4028963272,0.8674995522791168
"Tokyo 100MPC, Japan",,98865550.0,,,,,,5012.7617,,,,,,148.06490964139013,,,667717.6397800811,0.9249282094445316
"Bengaluru 100MPC, India",,98857944.0,,,,,,8557.765,,,,,,669.4418290589216,,,147672.19451908334,0.9984109457539342
"Istanbul 100MPC, Turkey-Syria",,98357940.0,,,,,,9612.595,,,,,,90.14920532265354,,,1091057.1607144682,0.85292822742563
"Addis Ababa 100MPC, Ethiopia",,98324370.0,,,,,,3802.1511,,,,,,175.3027585378862,,,560883.176169474,0.9987444616783494
"Chengdu 100MPC, China",,97904190.0,,,,,,6573.0,,,,,,464.0688044698164,,,210969.1301311502,0.9686641064204295
"Mexico City 100MPC, Mexico",,97621480.0,,,,,,4367.3457,,,,,,66.20763409817617,,,1474474.6784825707,0.9893699201552671
"Ürümqi 100MPC, India-China-Bangladesh",,97563180.0,,,,,,3887.141,,,,,,23.956383476046877,,,4072533.9071963807,0.3329177088624211
"Wuhan 100MPC, China",,97386180.0,,,,,,6030.9756,,,,,,440.9824616706716,,,220839.11371679127,0.9728001779023205
"Seoul (Outer) 100MPC, China-South Korea",,97376850.0,,,,,,6557.207,,,,,,103.90588218944148,,,937163.959807995,0.3005179451370197
"Lahore 100MPC, Pakistan-India",,97362840.0,,,,,,8738.228,,,,,,915.1827652125312,,,106386.22546327084,0.9622290945119683
"Kampala 100MPC, Uganda-Tanzania-Kenya",,97347150.0,,,,,,2065.5972,,,,,,224.6406448310725,,,433346.12074855855,0.9991767945912582
"Shanghai 100MPC, China",,97215710.0,,,,,,11880.685,,,,,,1364.700143920839,,,71235.95057350496,0.9609656313146481
"Kano 100MPC, Nigeria-Niger",,97156320.0,,,,,,3845.5415,,,,,,154.47634438236392,,,628939.7926165065,0.8837028226494703
"Delhi [New Delhi] 100MPC, India",,97116800.0,,,,,,11826.208,,,,,,1455.279293659259,,,66734.13167021879,0.9745319056796337
"Moscow 100MPC, Ukraine-Russia-Belarus",,97062020.0,,,,,,4674.2734,,,,,,65.14771228850184,,,1489876.046148298,0.7114772172614402
"Barcelona 100MPC, Italy-Algeria-France",,97051900.0,,,,,,3788.437,,,,,,79.83269538652172,,,1215691.1842962203,0.880839083886098
"Lagos 100MPC, Nigeria",,96722936.0,,,,,,6555.3174,,,,,,362.45008234517286,,,266858.639882685,0.9990308252989041
"Beijing 100MPC, China",,96537320.0,,,,,,7674.1685,,,,,,780.5952870919654,,,123671.4102638779,0.9151407983656099
"Jakarta 100MPC, Indonesia",,96511304.0,,,,,,6855.2393,,,,,,501.08454928204236,,,192604.82914167302,0.999041400945212
"Berlin 100MPC, Poland-Germany-Czech Republic",,96337210.0,,,,,,2080.4036,,,,,,131.13058235743944,,,734666.2103383429,0.7576232033447332
"Madrid 100MPC, Spain-Morocco-Algeria",,96317740.0,,,,,,5853.954,,,,,,55.509361481178594,,,1735162.167784225,0.7476509168731952
"Bangkok 100MPC, Thailand-Vietnam-Cambodia",,96310850.0,,,,,,5218.7725,,,,,,163.27599473527658,,,589865.3268421433,0.9978206451060341
"Bogura 100MPC, India-Bangladesh",,96283970.0,,,,,,3640.74,,,,,,952.4707092972366,,,101088.63932523594,0.915309494462952
"Cairo 100MPC, Egypt-Israel-Jordan",,96077610.0,,,,,,15815.327,,,,,,345.0893520580359,,,278413.7135122095,0.9627780660572841
"Hyderabad 100MPC, India",,96005870.0,,,,,,5774.6577,,,,,,367.10608566558443,,,261520.7858130051,0.9684420732541559
"New York 100MPC, USA-Canada",,95985150.0,,,,,,3029.2424,,,,,,113.46867489407472,,,845917.6251913055,0.8750120838380291
"Zhengzhou 100MPC, China",,95808960.0,,,,,,4033.2832,,,,,,817.6727318469905,,,117172.74683183216,0.9444607846515646
"Surabaya 100MPC, Indonesia",,95737950.0,,,,,,2934.9146,,,,,,29.76065518653931,,,3216930.252372337,0.959120809388734
"Patna 100MPC, India",,95697120.0,,,,,,4647.023,,,,,,1514.4312039751646,,,63190.140132353845,0.981865833593987
"São Paulo 100MPC, Brazil",,95417816.0,,,,,,5581.3096,,,,,,83.20177391532903,,,1146824.2984470828,0.9922246019831358
"Kinshasa 100MPC, Democratic Republic of the Congo-Angola",,95269940.0,,,,,,10798.64,,,,,,32.58477894596235,,,2923755.786650967,0.9522813718069905
"Xiamen 100MPC, China-Vietnam-Thailand",,95169624.0,,,,,,4531.4805,,,,,,25.180501653667275,,,3779496.74351065,0.18770861228636265
"Mumbai 100MPC, India",,95128050.0,,,,,,19081.11,,,,,,518.7061696321837,,,183394.8650879854,0.9915095046145005
"Rawalpindi [Islamabad] 100MPC, Pakistan-India",,95102940.0,,,,,,3983.5466,,,,,,436.80103989834515,,,217726.00180194833,0.2609621404253554
"Kolkata 100MPC, India",,95034750.0,,,,,,5516.5728,,,,,,489.02472927730327,,,194335.26836249256,0.9516542420453059
"Tehran 100MPC, Iran-Iraq-Azerbaijan",,94769690.0,,,,,,7859.7363,,,,,,104.34923997825423,,,908197.2041171497,0.9349591784020231
"London 100MPC, United Kingdom-France-Germany",,94472100.0,,,,,,3422.8477,,,,,,148.27865008642968,,,637125.4118170987,0.25488046711065393
"Guangzhou 100MPC, China",,94268900.0,,,,,,11301.926,,,,,,669.3247845709494,,,140841.78290279247,0.9866942604410011
"Dortmund 100MPC, Germany-France-Netherlands",,93878340.0,,,,,,2388.3396,,,,,,285.9585280094986,,,328293.5349173488,0.7644295828570147
