longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"New Taipei [Taipei] 50MPC, China",25.285451889038086,,,,,,
"Riyadh 50MPC, Iran-Saudi Arabia-United Arab Emirates",59.04109573364258,,,,,,
"Kaohsiung 50MPC, China-Russia-India",26.168760299682617,,,,,,
"Davao City 50MPC, Indonesia-Philippines-Malaysia",15.18734359741211,,,,,,
"Baghdad 50MPC, Iran-Iraq",55.56266784667969,,,,,,
"Khartoum 50MPC, Sudan-Ethiopia-Yemen",23.901592254638672,,,,,,
"Abidjan 50MPC, Ivory Coast-Burkina Faso-Nigeria",33.25985336303711,,,,,,
"Dalian 50MPC, China-North Korea",28.573652267456055,,,,,,
"Chennai 50MPC, India",30.698347091674805,,,,,,
"Pune 50MPC, India",42.20130157470703,,,,,,
"Antananarivo 50MPC, Madagascar-Mozambique-Tanzania",9.509424209594727,,,,,,
"Sapporo 50MPC, Japan-China-Russia",18.001251220703125,,,,,,
"Naples 50MPC, Italy-Serbia-Croatia",15.048249244689941,,,,,,
"Lima 50MPC, Brazil-Peru-Chile",15.12269401550293,,,,,,
"Saint Petersburg 50MPC, Ukraine-Russia-Bulgaria",12.38393497467041,,,,,,
"Kolkata 50MPC, India-Bangladesh",58.95505905151367,,,,,,
"Wenzhou 50MPC, China",24.59339141845703,,,,,,
"Chattogram 50MPC, India-Bangladesh",46.57908248901367,,,,,,
"Dublin 50MPC, United Kingdom-Algeria-Ireland",12.298812866210938,,,,,,
"New York 50MPC, USA",7.037848949432373,0.5536870292283884,0.22052710049230662,0.03879724947703326,0.1522428308685543,0.025607722443627138,0.009138067490090034
"São Paulo 50MPC, Brazil",15.514549255371094,,,,,,
"Quezon City [Manila] 50MPC, Philippines",14.825946807861328,,,,,,
"Beni 50MPC, Rwanda-Uganda-Democratic Republic of the Congo",42.06072235107422,,,,,,
"Atlanta 50MPC, USA",7.048511028289795,0.321611323968969,0.5837894691837301,0.0529445139013992,0.017498381500873676,0.01949346565151664,0.004662845793511249
"Bhubaneshwar 50MPC, China-India",32.44951629638672,,,,,,
"Seoul 50MPC, South Korea",25.22165870666504,,,,,,
"Beijing 50MPC, China",46.4491081237793,,,,,,
"Harbin 50MPC, China",31.60253143310547,,,,,,
"Asansol 50MPC, India",64.66472625732422,,,,,,
"Guatemala City 50MPC, Guatemala-Mexico-Honduras",22.604358673095703,,,,,,
"Shanghai 50MPC, China",27.925485610961914,,,,,,
"Istanbul 50MPC, Turkey",22.799190521240234,,,,,,
"Ho Chi Minh City 50MPC, Vietnam-Cambodia",25.333736419677734,,,,,,
"Kochi 50MPC, India",27.296133041381836,,,,,,
"Qingdao 50MPC, China",40.663211822509766,,,,,,
"Jinan 50MPC, China",54.63421630859375,,,,,,
"Nagpur 50MPC, India",38.89201354980469,,,,,,
"Zhengzhou 50MPC, China",53.32470703125,,,,,,
"Milan 50MPC, Italy-Germany-Switzerland",12.8374605178833,,,,,,
"Recife 50MPC, Brazil",7.97824764251709,,,,,,
"Jakarta 50MPC, Indonesia",32.4952278137207,,,,,,
"Bengaluru 50MPC, India",29.690889358520508,,,,,,
"Tashkent 50MPC, Uzbekistan-Tajikistan-Afghanistan",29.02660369873047,,,,,,
"Bangkok 50MPC, Thailand",27.001163482666016,,,,,,
"Sirajganj 50MPC, Bangladesh-India",64.53096008300781,,,,,,
"Bucharest 50MPC, Romania-Ukraine-Hungary",16.15859603881836,,,,,,
"Osaka [Kyoto] 50MPC, Japan",18.254472732543945,,,,,,
"Kunming 50MPC, China",23.807048797607422,,,,,,
"London 50MPC, United Kingdom",9.671609878540039,,,,,,
"Multan 50MPC, Pakistan",54.2523307800293,,,,,,
"Makassar 50MPC, Indonesia",16.637805938720703,,,,,,
"Guangzhou 50MPC, China",25.817670822143555,,,,,,
"Surabaya 50MPC, Indonesia",24.715557098388672,,,,,,
"Addis Ababa 50MPC, Ethiopia",26.27727699279785,,,,,,
"Bogota 50MPC, Colombia-Venezuela",19.11223793029785,,,,,,
"Johannesburg 50MPC, South Africa-Mozambique",24.731304168701172,,,,,,
"Kano 50MPC, Nigeria-Niger",76.03275299072266,,,,,,
"Xuzhou 50MPC, China",48.07936477661133,,,,,,
"Lusaka 50MPC, Malawi-Mozambique-Zimbabwe",13.711814880371094,,,,,,
"Dar es Salaam 50MPC, South Africa-Angola-Tanzania",12.780577659606934,,,,,,
"Haikou 50MPC, Vietnam-China-Thailand",22.823463439941406,,,,,,
"Dortmund 50MPC, Germany-Netherlands-Belgium",10.025960922241211,,,,,,
"Colombo 50MPC, India-Sri Lanka",27.45311737060547,,,,,,
"Mbuji-Mayi 50MPC, Democratic Republic of the Congo-Tanzania-Zambia",24.895273208618164,,,,,,
"Shijiazhuang 50MPC, China",53.460670471191406,,,,,,
"Chongqing 50MPC, China",32.52738952636719,,,,,,
"Singapore 50MPC, Indonesia-Thailand-Singapore",18.23094940185547,,,,,,
"Mexico City 50MPC, Mexico",20.539249420166016,,,,,,
"Santo Domingo 50MPC, Venezuela-USA-Costa Rica",14.488945960998535,,,,,,
"Zhuzhou 50MPC, China",33.34309768676758,,,,,,
"Guadalajara 50MPC, Mexico",14.685685157775879,,,,,,
"Moscow 50MPC, Russia-Ukraine-Belarus",13.40333366394043,,,,,,
"Ürümqi 50MPC, China-Russia-Kazakhstan",27.416046142578125,,,,,,
"Casablanca 50MPC, Morocco-Portugal-Spain",14.876862525939941,,,,,,
"Buenos Aires 50MPC, Argentina-Brazil-Paraguay",13.160249710083008,,,,,,
"Rawalpindi [Islamabad] 50MPC, Pakistan-India",49.865257263183594,,,,,,
"Ludhiana 50MPC, India",62.1613655090332,,,,,,
"Dhaka 50MPC, Bangladesh",79.0288314819336,,,,,,
"Hanoi 50MPC, Vietnam-China",30.28097915649414,,,,,,
"Kabul 50MPC, Pakistan-India-Afghanistan",45.91827392578125,,,,,,
"Tasikmalaya 50MPC, Indonesia",22.52340316772461,,,,,,
"Nizhny Novgorod 50MPC, Russia",10.290987014770508,,,,,,
"N'Djamena 50MPC, Chad-Sudan-Nigeria",36.1863899230957,,,,,,
"Lahore 50MPC, Pakistan",64.01802062988281,,,,,,
"Seattle 50MPC, USA-Canada",6.504369258880615,,,,,,
"Accra 50MPC, Ghana-Togo-Benin",32.35772705078125,,,,,,
"Yangon 50MPC, Myanmar-Thailand",35.521263122558594,,,,,,
"Paris 50MPC, France-Germany-Belgium",9.951566696166992,,,,,,
"Jaipur 50MPC, India",62.4140625,,,,,,
"Delhi [New Delhi] 50MPC, India",90.61886596679688,,,,,,
"Cairo 50MPC, Egypt",71.02998352050781,,,,,,
"Lucknow 50MPC, India",85.36138916015625,,,,,,
"Cape Town 50MPC, USA-Somalia-South Africa",8.20651912689209,,,,,,
"Tokyo 50MPC, Japan",18.0479736328125,,,,,,
"Xi'an 50MPC, China",47.12550354003906,,,,,,
"Madrid 50MPC, Spain-Algeria",14.067889213562012,,,,,,
"Jodhpur 50MPC, India",55.08314895629883,,,,,,
"Hefei 50MPC, China",42.87521743774414,,,,,,
"Yichang 50MPC, China",39.05402755737305,,,,,,
"Mumbai 50MPC, India",42.261566162109375,,,,,,
"Ahmedabad 50MPC, India",46.06233596801758,,,,,,
"Jamshedpur 50MPC, India",55.61652374267578,,,,,,
"Varanasi 50MPC, India",85.17254638671875,,,,,,
"Agra 50MPC, India",79.29591369628906,,,,,,
"Solapur 50MPC, India",31.663227081298828,,,,,,
"Dakar 50MPC, Senegal-Guinea-Sierra Leone",33.86402893066406,,,,,,
"Onitsha 50MPC, Nigeria",37.75180435180664,,,,,,
"Shenyang 50MPC, China-North Korea",32.27906799316406,,,,,,
"Lagos 50MPC, Nigeria",39.67936325073242,,,,,,
"Niamey 50MPC, Nigeria-Niger",53.14884567260742,,,,,,
"Warsaw 50MPC, Poland-Sweden-Germany",11.36238956451416,,,,,,
"Patna 50MPC, India",79.32109832763672,,,,,,
"Alexandria 50MPC, Egypt-Israel-State of Palestine",44.40650177001953,,,,,,
"Athens 50MPC, Tunisia-Italy-Algeria",16.671098709106445,,,,,,
"Cebu City 50MPC, Philippines",14.17329216003418,,,,,,
"Berlin 50MPC, Poland-Germany-Czech Republic",14.675948143005371,,,,,,
"Hyderabad 50MPC, India",38.38985824584961,,,,,,
"Rostov-on-Don 50MPC, Russia-Ukraine-Turkey",16.79172134399414,,,,,,
"Berhampore 50MPC, India-Bangladesh",53.95771789550781,,,,,,
"Gwalior 50MPC, India-Pakistan",56.903621673583984,,,,,,
"Nanjing (Jiangsu Sheng) 50MPC, China",35.556121826171875,,,,,,
"Kathmandu 50MPC, India-Nepal",54.77760314941406,,,,,,
"Taiyuan 50MPC, China",37.91929626464844,,,,,,
"Montreal 50MPC, USA-Canada",6.456020355224609,,,,,,
"Mashhad 50MPC, Afghanistan-Iran-Turkmenistan",33.038875579833984,,,,,,
"Raipur 50MPC, India",49.956092834472656,,,,,,
"Ta'izz 50MPC, Ethiopia-Yemen",25.785804748535156,,,,,,
"Chengdu 50MPC, China",36.1393928527832,,,,,,
"Santiago 50MPC, Brazil-Argentina-Chile",16.06624412536621,,,,,,
"Douala 50MPC, Nigeria-Cameroon",50.283103942871094,,,,,,
"Nairobi 50MPC, Tanzania-Kenya",16.688465118408203,,,,,,
"Jieyang 50MPC, China",23.60166358947754,,,,,,
"Prayagraj 50MPC, India",64.02536010742188,,,,,,
"Toronto 50MPC, USA-Canada",7.517275333404541,,,,,,
"Sydney 50MPC, Australia-Papua New Guinea-Indonesia",12.214461326599121,,,,,,
"Dallas 50MPC, USA",7.506882667541504,0.4139333087547048,0.5148388863490139,0.05153642826001254,0.0012076659757132042,0.014334116066603302,0.004149594593952475
"Damascus 50MPC, Syria-Turkey-Lebanon",34.347618103027344,,,,,,
"Huizhou 50MPC, China",26.097484588623047,,,,,,
"Belo Horizonte 50MPC, Brazil",11.525477409362793,,,,,,
"Kampala (Outer) 50MPC, Uganda-Ethiopia-South Sudan",30.68026351928711,,,,,,
"Indore 50MPC, India",43.77659606933594,,,,,,
"Lanzhou 50MPC, China",33.6028938293457,,,,,,
"Wuhan 50MPC, China",36.87165832519531,,,,,,
"Miami 50MPC, USA-Haiti-Cuba",10.84701919555664,,,,,,
"Comilla 50MPC, Bangladesh",72.2627182006836,,,,,,
"Liuzhou 50MPC, China",26.80457305908203,,,,,,
"Los Angeles 50MPC, USA",9.653444290161133,0.6016333862254151,0.318235671714937,0.03008932577188173,0.0014266445063869171,0.02020063781704056,0.028414333964338578
"Mirzapur 50MPC, India",70.89937591552734,,,,,,
"Karachi (Center) 50MPC, Pakistan",71.78987121582031,,,,,,
"Karachi (Outer) 50MPC, Pakistan-India-China",41.00465774536133,,,,,,
"Lyon 50MPC, France-Spain",9.116321563720703,,,,,,
"Myitkyina 50MPC, India-China-Myanmar",35.11711502075195,,,,,,
"Kampala (Center) 50MPC, Kenya-Uganda",39.1074333190918,,,,,,
"Bamako 50MPC, Ivory Coast-Burkina Faso-Mali",31.739551544189453,,,,,,
"Kinshasa 50MPC, Democratic Republic of the Congo-Angola",29.051403045654297,,,,,,
"Guayaquil 50MPC, Ecuador-Peru-Colombia",16.640674591064453,,,,,,
"Fuzhou (Fujian Sheng) 50MPC, China",23.24380111694336,,,,,,
"Kuala Lumpur 50MPC, Malaysia-Indonesia",21.820898056030273,,,,,,
"Jeddah 50MPC, Saudi Arabia-Yemen-Sudan",39.77804946899414,,,,,,
"Asyut 50MPC, Egypt-Sudan-Democratic Republic of the Congo",39.165626525878906,,,,,,
"Tehran 50MPC, Iran-Iraq",36.68247604370117,,,,,,
"Amman 50MPC, Egypt-Saudi Arabia-Jordan",43.301753997802734,,,,,,
"Manaus 50MPC, Brazil-Peru-Bolivia",18.939157485961914,,,,,,
"Luanda 50MPC, Democratic Republic of the Congo-Angola-Congo",25.382131576538086,,,,,,
