longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"New Taipei [Taipei] 50MPC, China",,,,,,,,,
"Riyadh 50MPC, Iran-Saudi Arabia-United Arab Emirates",,,,,,,,,
"Kaohsiung 50MPC, China-Russia-India",,,,,,,,,
"Davao City 50MPC, Indonesia-Philippines-Malaysia",,,,,,,,,
"Baghdad 50MPC, Iran-Iraq",,,,,,,,,
"Khartoum 50MPC, Sudan-Ethiopia-Yemen",,,,,,,,,
"Abidjan 50MPC, Ivory Coast-Burkina Faso-Nigeria",,,,,,,,,
"Dalian 50MPC, China-North Korea",,,,,,,,,
"Chennai 50MPC, India",,,,,,,,,
"Pune 50MPC, India",,,,,,,,,
"Antananarivo 50MPC, Madagascar-Mozambique-Tanzania",,,,,,,,,
"Sapporo 50MPC, Japan-China-Russia",,,,,,,,,
"Naples 50MPC, Italy-Serbia-Croatia",,,,,,,,,
"Lima 50MPC, Brazil-Peru-Chile",,,,,,,,,
"Saint Petersburg 50MPC, Ukraine-Russia-Bulgaria",,,,,,,,,
"Kolkata 50MPC, India-Bangladesh",,,,,,,,,
"Wenzhou 50MPC, China",,,,,,,,,
"Chattogram 50MPC, India-Bangladesh",,,,,,,,,
"Dublin 50MPC, United Kingdom-Algeria-Ireland",,,,,,,,,
"New York 50MPC, USA",0.8978758077635639,0.386669199092976,0.1688811742203871,0.1782673207206145,0.13332386888274272,0.07507800948962755,0.009182612912903898,0.016520978094089978,0.013433796092382017
"São Paulo 50MPC, Brazil",,,,,,,,,
"Quezon City [Manila] 50MPC, Philippines",,,,,,,,,
"Beni 50MPC, Rwanda-Uganda-Democratic Republic of the Congo",,,,,,,,,
"Atlanta 50MPC, USA",0.8937068013991584,0.2917041181115848,0.1113196181907055,0.12507269159669798,0.10435041611682774,0.06228101039805937,0.02360392489960117,0.022580695920653204,0.014662403853887562
"Bhubaneshwar 50MPC, China-India",,,,,,,,,
"Seoul 50MPC, South Korea",,,,,,,,,
"Beijing 50MPC, China",,,,,,,,,
"Harbin 50MPC, China",,,,,,,,,
"Asansol 50MPC, India",,,,,,,,,
"Guatemala City 50MPC, Guatemala-Mexico-Honduras",,,,,,,,,
"Shanghai 50MPC, China",,,,,,,,,
"Istanbul 50MPC, Turkey",,,,,,,,,
"Ho Chi Minh City 50MPC, Vietnam-Cambodia",,,,,,,,,
"Kochi 50MPC, India",,,,,,,,,
"Qingdao 50MPC, China",,,,,,,,,
"Jinan 50MPC, China",,,,,,,,,
"Nagpur 50MPC, India",,,,,,,,,
"Zhengzhou 50MPC, China",,,,,,,,,
"Milan 50MPC, Italy-Germany-Switzerland",,,,,,,,,
