longname,Silent % [StatCan],Boomer % [StatCan],Gen X % [StatCan],Millennial % [StatCan],Gen Z % [StatCan],Gen Alpha % [StatCan]
"Toronto CMA, ON, Canada",0.07007359515770482,0.22373468067929872,0.2034255660532008,0.2220573695094869,0.1815049817740105,0.09920380682629817
"Montréal CMA, QC, Canada",0.08069322002711007,0.23131696067867427,0.20052672336282207,0.20581587906945295,0.1726485252850596,0.10899869157688089
"Vancouver CMA, BC, Canada",0.07376041102395257,0.23419192302035335,0.20213806910296817,0.2310308736077879,0.16798947658726404,0.09088924665767407
"Ottawa - Gatineau CMA, QC-ON, Canada",0.07074091124455247,0.23684696884671308,0.19662760884832686,0.20507874849206867,0.18269582953900046,0.1080099330293385
"Calgary CMA, AB, Canada",0.05147299481389766,0.20636436334434383,0.21224891942139745,0.22927499164892426,0.18022127820386014,0.12041745256757674
"Edmonton CMA, AB, Canada",0.05744480263831585,0.20917266631592712,0.19638361504320032,0.23189424139599096,0.1817549459590201,0.12334972864754568
"Québec CMA, QC, Canada",0.09350053803531715,0.2635813862154603,0.18604827011472572,0.1957441763747043,0.15716270985380784,0.10396291940598483
"Winnipeg CMA, MB, Canada",0.07036488826832388,0.22551281513486288,0.1902225045393804,0.21436062155052038,0.18852660406416855,0.11101256644274402
"Hamilton CMA, ON, Canada",0.08649533662912175,0.2427692268487841,0.19197543448346138,0.2012894347892568,0.1736341165078233,0.10383645074155277
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",0.067204137775425,0.21292013433884985,0.19108573213805288,0.22437538509602487,0.1930036188178527,0.11141099183379478
"London CMA, ON, Canada",0.0799793839102465,0.2393215097604296,0.18166088373077593,0.20915207127276755,0.1839065649360815,0.10597958638969901
"Halifax CMA, NS, Canada",0.0682713983989431,0.24617153640166736,0.19243801234254035,0.22216834431846488,0.17392066900046269,0.09703003953792166
"St. Catharines - Niagara CMA, ON, Canada",0.10428712939712953,0.2858278237231912,0.17701398327535742,0.17866110714368047,0.1601396023866017,0.09407035407403966
"Windsor CMA, ON, Canada",0.08193476809695774,0.25520319059446145,0.1902742543527308,0.1832469927464752,0.18630076757595843,0.10304002663341644
"Oshawa CMA, ON, Canada",0.0671783872367089,0.22498433508459043,0.20075191593965452,0.20231840748059962,0.1851231503349878,0.11964380392345886
"Victoria CMA, BC, Canada",0.10110790611908531,0.27328839912928005,0.186345452062132,0.20596916163765275,0.1506493825726364,0.08263969847921362
"Saskatoon CMA, SK, Canada",0.06232473138607917,0.2043828969341783,0.18420140529980794,0.2303935469641121,0.19116488641018278,0.12753253300563966
"Regina CMA, SK, Canada",0.06482614714793039,0.213017395317108,0.18932204410023878,0.2215043839409326,0.18573062338235577,0.1255994061114344
"Sherbrooke CMA, QC, Canada",0.09980641471248189,0.2626820361652513,0.17306084737559904,0.1862158475955831,0.17651458489154828,0.10172026925953635
"Kelowna CMA, BC, Canada",0.09910193792342847,0.2762835085192105,0.1785995633482633,0.1977762272389655,0.16072835310270336,0.08751040986742897
"Barrie CMA, ON, Canada",0.0697625305049747,0.23308147174770016,0.19929134597334344,0.20412521118828583,0.18542331518678454,0.10831612539891139
"St. John's CMA, NL, Canada",0.0710476463606167,0.2527072995026505,0.2069258378321533,0.20326213598344522,0.172017499344131,0.09403958097700332
"Abbotsford - Mission CMA, BC, Canada",0.07569527798350238,0.2286947416809255,0.18852312485634765,0.20714048573690522,0.1861225323696913,0.113823837372628
