longname,"Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services % [StatCan],"Arts, entertainment, and recreation % [StatCan]",Construction % [StatCan],Educational services % [StatCan],Health care and social assistance % [StatCan],Finance and insurance % [StatCan],Real estate and rental and leasing % [StatCan],Information % [StatCan],Manufacturing % [StatCan],"Other services, except public administration % [StatCan]",Administrative and support and waste management services % [StatCan],Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services % [StatCan]",Public administration % [StatCan],Retail trade % [StatCan],Transportation and warehousing % [StatCan],Utilities % [StatCan],Wholesale trade % [StatCan]
"Toronto CMA, ON, Canada",0.0015854139964848323,0.00040114809790090287,0.051146673545205,0.015455754317900026,0.06623371474966408,0.07103844780823325,0.10605816025074351,0.08153215224866363,0.025327759116562994,0.03056985378235963,0.08354751898008882,0.03782143041816543,0.046825723970788706,0.003488869712022568,0.12878092811906236,0.03650556707161853,0.10905474744368855,0.06260627266562585,0.0028927412637475385,0.03912712244147373
"Montréal CMA, QC, Canada",0.0025518787893294608,0.0004276520356934497,0.05291573011902136,0.014539684314278972,0.059540595571118085,0.08497763287826768,0.14148555288689765,0.0475510584916485,0.01367647338100645,0.02871853462752516,0.0955324868581525,0.040375697375925765,0.04250195526615151,0.00042730064562102006,0.10407095037373323,0.04741394529460664,0.12318778009684114,0.05542788423483383,0.0044436141799816505,0.04023359257936613
"Vancouver CMA, BC, Canada",0.006099108341517257,0.0011053283712194799,0.06833593643565378,0.020659199329177067,0.08161880982083788,0.0792740067671353,0.11731602491145111,0.046474197445280425,0.024428837129394605,0.037368739950771876,0.058823631690501366,0.04238772284810084,0.04119958485949337,0.001008117081242523,0.11517110653547703,0.04330222905751379,0.11483173638981777,0.06064904369117945,0.0029667445533708503,0.036979894790864165
"Ottawa - Gatineau CMA, QC-ON, Canada",0.004179818586570092,0.0003787752932185942,0.05038375917865578,0.015117785825829849,0.06763464797155867,0.08106455792936187,0.12407216666112826,0.029032793966176137,0.012080938299498295,0.018015084559922928,0.030129248762335133,0.03816327208691902,0.042110509353091706,0.0003322590291391177,0.10072100209323206,0.23176396318569875,0.10452204538658375,0.03261454630029586,0.001800843937934018,0.015881981592849804
"Calgary CMA, AB, Canada",0.003304486700901767,0.046321242850557956,0.06006505099556594,0.018223367719904168,0.08913025130978439,0.06645978459161381,0.13109528477663887,0.036277940441333915,0.01750923503405112,0.015172073516714004,0.04741191822531526,0.04299078768835262,0.04423727383093229,0.0013828205644245057,0.11883167892594436,0.03571961852330345,0.11750728739945301,0.06831652957483123,0.009634299143689996,0.03040906818668725
"Edmonton CMA, AB, Canada",0.006650573577187691,0.02443877089608827,0.06044647888303742,0.015235100558620283,0.10809269063006537,0.07245368598996833,0.14088641849916902,0.031096301140197527,0.01583337391389041,0.009788030358894433,0.05801164546042679,0.04805665509541076,0.04098172483599663,0.00033392001224373356,0.07515287275560535,0.07217541931309873,0.11922335770485659,0.058067298795801026,0.007596680278544955,0.03547900130089658
"Québec CMA, QC, Canada",0.004583938850995847,0.0007229771569284424,0.05631822795061641,0.012162341527038151,0.06070675933821738,0.08039964154848285,0.1562607696282417,0.055864256948761765,0.010926283807128265,0.010786352744496923,0.07154980678874938,0.03886343779075481,0.0369651223784381,0.00018657475017508203,0.08858319385732237,0.1340957719781562,0.11755816988879748,0.03403581612997443,0.0024021499085041804,0.027028407028220323
"Winnipeg CMA, MB, Canada",0.006675932195336341,0.00042763978475464164,0.061116852571184314,0.01629782735231576,0.07266312675955947,0.08703657508047948,0.15696755877077326,0.04692158749391207,0.011558153071285156,0.014848603637313877,0.08811755342527629,0.0426570685292754,0.04570994143710736,0.0005464286138531525,0.06036848294786369,0.06975280044664602,0.11397788152002154,0.07026359241176966,0.006272050176401402,0.02782034377487123
"Hamilton CMA, ON, Canada",0.006279414097615146,0.0002908360213632278,0.05418803870763042,0.013603193908307358,0.07567024483105061,0.09046322246311653,0.14323674052138974,0.04677172016286825,0.015718364972767178,0.01775421712230978,0.10989635661784174,0.03955369890539898,0.045039923853841764,0.0012162233620644073,0.08469938131246361,0.043043731161757734,0.12174131457881637,0.047340172386441746,0.003053778224313892,0.04043942678864154
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",0.008377034665940185,0.0002894503847987466,0.050279234488864746,0.010045631001838846,0.07374174215078684,0.0901552816181978,0.10636450316692755,0.05901382551249752,0.012667710958251008,0.025641898794524227,0.16050875161751713,0.0335592181434312,0.04173193489068977,0.0016004903630048334,0.09771504460941212,0.03103929714635962,0.1102465436218757,0.04867874412585991,0.002366682558060339,0.035976980181161806
