longname,Never Married % [StatCan],Married (not divorced) % [StatCan],Divorced % [StatCan]
"Toronto CMA, ON, Canada",0.36872667382185337,0.5403222259109342,0.09095110026721248
"Montréal CMA, QC, Canada",0.481047256760439,0.4019417881236937,0.11701095511586727
"Vancouver CMA, BC, Canada",0.36911337133099564,0.5341754463018955,0.09671118236710878
"Ottawa - Gatineau CMA, QC-ON, Canada",0.39980731787288715,0.4916956431980372,0.10849703892907574
"Calgary CMA, AB, Canada",0.35441951850378023,0.5440293805544507,0.10155110094176913
"Edmonton CMA, AB, Canada",0.3656367589807683,0.5289159711643213,0.1054472698549103
"Québec CMA, QC, Canada",0.5456359844058865,0.3373114894635152,0.11705252613059845
"Winnipeg CMA, MB, Canada",0.38428955932546005,0.5188515185845286,0.09685892209001143
"Hamilton CMA, ON, Canada",0.35096139242428753,0.5389644907505861,0.11007411682512645
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",0.365976461703064,0.5339123502632858,0.10011118803365021
"London CMA, ON, Canada",0.3683188632828442,0.5166083819652059,0.11507275475194988
"Halifax CMA, NS, Canada",0.39735209103348684,0.49400775771246425,0.10864015125404893
"St. Catharines - Niagara CMA, ON, Canada",0.3300432082095594,0.5439103429651635,0.12604644882527716
"Windsor CMA, ON, Canada",0.34485684460356064,0.5443945149428968,0.11074864045354262
"Oshawa CMA, ON, Canada",0.34940400485077894,0.538909757756811,0.11168623739241015
"Victoria CMA, BC, Canada",0.3695082953241122,0.4991864141220906,0.13130529055379703
"Saskatoon CMA, SK, Canada",0.37506823676206913,0.5300826639631901,0.09484909927474074
"Regina CMA, SK, Canada",0.3690750799910704,0.5320088300220752,0.09891608998685428
"Sherbrooke CMA, QC, Canada",0.5264838270700314,0.3394745106249336,0.1340416623050351
"Kelowna CMA, BC, Canada",0.3350749777940325,0.539343748367209,0.12558127383875836
"Barrie CMA, ON, Canada",0.36219111312627517,0.5137723872137839,0.12403649965994096
"St. John's CMA, NL, Canada",0.3904610742852561,0.5079073392077917,0.10163158650695227
"Abbotsford - Mission CMA, BC, Canada",0.3209542471462786,0.5787067276290004,0.10033902522472112
"Kingston CMA, ON, Canada",0.3731712273096725,0.5069425629910592,0.11988620969926839
"Greater Sudbury / Grand Sudbury CMA, ON, Canada",0.36677420473861266,0.5113955666562601,0.12183022860512721
"Guelph CMA, ON, Canada",0.3677261084454706,0.5272556730040766,0.10501821855045286
"Trois-Rivières CMA, QC, Canada",0.5255265068990558,0.34037763253449543,0.1340958605664487
"Saguenay CMA, QC, Canada",0.49331248603668526,0.3835136661184248,0.12317384784488981
"Moncton CMA, NB, Canada",0.38052133413461603,0.5028921274038459,0.11658653846153819
"Brantford CMA, ON, Canada",0.3421041605564164,0.5376461222608627,0.12024971718272087
"Saint John CMA, NB, Canada",0.3491342173080314,0.53063157947838,0.12023420321358848
"Peterborough CMA, ON, Canada",0.3486305427699042,0.527275213051998,0.12409424417809767
"Lethbridge CMA, AB, Canada",0.35324649398612673,0.5367569995508299,0.10999650646304342
"Thunder Bay CMA, ON, Canada",0.38352985746081325,0.4967088128048492,0.11976132973433753
"Nanaimo CMA, BC, Canada",0.34882904151832683,0.5082944987102754,0.14287645977139773
"Kamloops CMA, BC, Canada",0.3555991128075517,0.5158611440656107,0.12853974312683758
"Chilliwack CMA, BC, Canada",0.3105003220957698,0.5665664590938373,0.12293321881039301
"Belleville - Quinte West CMA, ON, Canada",0.3312559923298176,0.5366996910621072,0.1320443166080751
"Fredericton CMA, NB, Canada",0.3602796591653921,0.5301507537688441,0.10956958706576364
"Chatham-Kent CMA, ON, Canada",0.31396148555708325,0.5618982118294369,0.12414030261347979
"Drummondville CMA, QC, Canada",0.5220971563981045,0.3447274881516584,0.13317535545023698
"Red Deer CMA, AB, Canada",0.37374901437496205,0.4976041729847759,0.12864681264026198
"Cape Breton CMA, NS, Canada",0.38087949608524163,0.49726261258609544,0.12185789132866297
"Sarnia CMA, ON, Canada",0.317021533994677,0.5606097265908538,0.1223687394144691
"Granby CMA, QC, Canada",0.47971954655658194,0.3678658017167944,0.1524146517266236
"Prince George CMA, BC, Canada",0.3910295205433394,0.49102279604599547,0.11794768341066517
"Kawartha Lakes CMA, ON, Canada",0.290498725882781,0.5858026938478345,0.12369858026938471
"Charlottetown CMA, PE, Canada",0.37670767605102223,0.5242659823382901,0.09902634161068763
