longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Toronto CDR, Ontario, Canada",0.08730106495035206,0.26460976423566784,0.3151800329803761,0.420210202783956,0.6057062623057122,0.2603958583616212,0.1338978793326665
"Greater Vancouver Regional district, British Columbia, Canada",0.07691282144423565,0.234942963532123,0.30714482731445947,0.45791220915341757,0.5954632565594631,0.2829808239543762,0.12155591948616085
"Montréal Territory, Quebec, Canada",0.10930730104187711,0.3610176267244113,0.33871760982012716,0.30026476345546155,0.646552108395151,0.26024612497790256,0.09320176662694647
"Division No. 6, Alberta, Canada",0.05193475520403413,0.17894125782190395,0.3061149574437209,0.5149437847343751,0.5489225441379947,0.2915593077107889,0.1595181481512164
"Division No. 11, Alberta, Canada",0.0503846410661007,0.19381902078260754,0.31939922851749447,0.48678175069989793,0.5449887652665524,0.316284927336644,0.13872630739680356
"Peel Regional municipality, Ontario, Canada",0.053857203269876294,0.14141018402221603,0.2992867266630558,0.5593030893147282,0.6289237717999666,0.2705752123871387,0.10050101581289468
"York Regional municipality, Ontario, Canada",0.05058873329474669,0.1610818098901536,0.2678484091419812,0.5710697809678651,0.5917625714208347,0.2605215413360772,0.1477158872430881
"Ottawa CDR, Ontario, Canada",0.059296522818532045,0.17510907061688297,0.2984476461038961,0.5264432832792209,0.5012716399118661,0.3240352533836954,0.1746931067044385
"Division No. 11, Manitoba, Canada",0.0835250134006416,0.2601831170824018,0.3550493597722132,0.3847675231453849,0.6269952157161621,0.29332317202252306,0.07968161226131483
"Durham Regional municipality, Ontario, Canada",0.029039012965408628,0.14236103667817096,0.29904178010246757,0.5585971832193615,0.5611462472715054,0.30611369190873283,0.1327400608197617
"Halton Regional municipality, Ontario, Canada",0.03828390136855815,0.12338780092303851,0.2556317824622676,0.6209804166146939,0.5132782272247622,0.288977312697855,0.19774446007738292
"Québec Territory, Quebec, Canada",0.05905283164971299,0.3106811900503981,0.35923698043678515,0.3300818295128167,0.5701140964298868,0.3467585046532406,0.08312739891687254
"Waterloo Regional municipality, Ontario, Canada",0.06157966354362604,0.20613457226729495,0.32783209671081504,0.46603333102189004,0.5826733597688909,0.3046716242489477,0.11265501598216147
"Hamilton CDR, Ontario, Canada",0.06227286560804875,0.2426143730320427,0.328972957955177,0.42841266901278025,0.6061203793476194,0.2936712246330787,0.10020839601930179
"Simcoe County, Ontario, Canada",0.027904833433769562,0.19526061330436745,0.3329010450019886,0.4718383416936439,0.5927274237920661,0.3032190771537136,0.1040534990542202
"Middlesex County, Ontario, Canada",0.05791627641812913,0.26348886932461324,0.35396805433278744,0.3825430763425993,0.6124803154646833,0.2924961911224344,0.09502349341288226
"Niagara Regional municipality, Ontario, Canada",0.03965382932633301,0.2622861018363943,0.3612792153589311,0.3764346828046747,0.6399044143430432,0.2764581358199459,0.08363744983701092
"Halifax County, Nova Scotia, Canada",0.0563296500023969,0.2575219032166068,0.3529417937473401,0.3895363030360531,0.592381037344566,0.3110981051059957,0.09652085754943825
"Laval Territory, Quebec, Canada",0.042480764747027146,0.23615345145030303,0.3473182216051427,0.4165283269445542,0.6139777060721615,0.2989439718392493,0.08707832208858896
"Longueuil Territory, Quebec, Canada",0.05877176514760401,0.2640753246040249,0.35065469818002076,0.38526997721595435,0.5843226256983246,0.3076262802607071,0.10805109404096827
"Essex County, Ontario, Canada",0.043839571434805935,0.24449760276068724,0.3546969192817598,0.4008054779575529,0.6217140633327463,0.28365450872434095,0.0946314279429129
"Capital Regional district, British Columbia, Canada",0.04454589088853642,0.2421508127651887,0.34044471826789313,0.41740446896691813,0.5549410731123555,0.3305302241736969,0.11452870271394756
"Division No. 11, Saskatchewan, Canada",0.04705059528540327,0.22527893019696277,0.3354412534740405,0.43927981632899676,0.5664495180945721,0.3173588705534206,0.11619161135200727
"Fraser Valley Regional district, British Columbia, Canada",0.033634366609714424,0.231061610536551,0.33359851498276266,0.43533987448068634,0.6291171272493572,0.2884599935732648,0.08242287917737802
"Gatineau Territory, Quebec, Canada",0.057197750868101506,0.24616632860040563,0.35728194726166373,0.39655172413793066,0.5307616751495673,0.36313510134833393,0.10610322350209865
"Division No. 6, Saskatchewan, Canada",0.04134386599409929,0.2132339059845204,0.3379743250896735,0.44879176892580613,0.539024033539707,0.3382001657485492,0.12277580071174375
"Division No. 1, Newfoundland and Labrador, Canada",0.04343867482975616,0.28899892676437416,0.32165747118773347,0.38934360204789237,0.6141076935584988,0.28193651709902245,0.10395578934247868
"Wellington County, Ontario, Canada",0.03450751816185177,0.18388801439172459,0.3192039577243088,0.49690802788396654,0.5548806253961549,0.32405451088104786,0.12106486372279734
"Central Okanagan Regional district, British Columbia, Canada",0.0426740105283681,0.24332989186545667,0.34103135358365466,0.41563875455088867,0.5957639193336255,0.2969366505918457,0.10729943007452886
"Division No. 8, Alberta, Canada",0.031793478260869396,0.2254345949944521,0.3451485636789544,0.42941684132659347,0.5815327268132443,0.30332322466514866,0.11514404852160694
"Roussillon CRM, Quebec, Canada",0.02715378918785484,0.20170434537643453,0.33650257060356414,0.46179308402000124,0.5508210496831347,0.34431567522145545,0.10486327509540982
"Division No. 2, Alberta, Canada",0.03386004514672687,0.22507256609398332,0.36298736957715577,0.41194006432886093,0.5937475453617148,0.31391878092844305,0.09233367370984208
"Sherbrooke Territory, Quebec, Canada",0.055326945604181,0.3857548061771193,0.34566656161361514,0.26857863220926553,0.6530401797223142,0.2871874194379996,0.05977240083968614
"Les Moulins CRM, Quebec, Canada",0.02691894472961676,0.17810819360961747,0.3458557418538444,0.4760360645365382,0.5470912525540692,0.36042252978141043,0.09248621766452045
"Nanaimo Regional district, British Columbia, Canada",0.03874377160887244,0.2814315407983794,0.3648018855075295,0.35376657369409115,0.6305451213674089,0.28531794682650713,0.08413693180608409
"Le Saguenay-et-son-Fjord CDR, Quebec, Canada",0.03531374845572548,0.3198657022370184,0.36342751645253396,0.31670678131044766,0.6147512154681096,0.3073674080783704,0.07788137645351996
"Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",0.038182934315531006,0.24591104734576788,0.330272596843616,0.4238163558106161,0.5552464378360094,0.3174931388398055,0.12726042332418502
"Thérèse-De Blainville CRM, Quebec, Canada",0.0318972270092433,0.20691828855094155,0.3362225198959892,0.4568591915530692,0.5525221620773515,0.3307052639836827,0.11677257393896592
"Westmorland County, New Brunswick, Canada",0.04789627718160934,0.2985248165104286,0.37286534408836525,0.32860983940120614,0.6475711764254466,0.2869311641470343,0.06549765942751906
"Vaudreuil-Soulanges CRM, Quebec, Canada",0.024715651015121718,0.1935041629583296,0.34351728453782154,0.4629785525038488,0.5565605398700545,0.3396018368776539,0.10383762325229152
"Frontenac County, Ontario, Canada",0.05325931800158598,0.2598361854614594,0.34576568670469515,0.3943981278338455,0.5857908847184988,0.3076599004212943,0.10654921486020688
"Francheville CDR, Quebec, Canada",0.04716516023007388,0.38755980861243994,0.3459801873441609,0.2664600040433992,0.653269701033367,0.2837816518103656,0.06294864715626738
"Lévis Territory, Quebec, Canada",0.03208354733778465,0.23288951179630948,0.3576267227283343,0.40948376547535625,0.5302255386937201,0.3728515133730189,0.09692294793326094
"Peterborough County, Ontario, Canada",0.04298294660329893,0.2676044683491932,0.3573851882498962,0.37501034340091066,0.6304102371095227,0.2801823276042313,0.08940743528624605
"Thunder Bay District, Ontario, Canada",0.04497267231894532,0.26259520344716786,0.35025608073630277,0.38714871581652943,0.5803481729970127,0.3195230985434697,0.10012872845951751
"Hastings County, Ontario, Canada",0.03583003882181147,0.28598816370759356,0.37601066933399985,0.3380011669584066,0.6442542264070193,0.2872244810614164,0.06852129253156428
"Brant CDR, Ontario, Canada",0.03416259125380959,0.23164883806713427,0.3466433050534855,0.42170785687938017,0.6091393078970723,0.30550133096716925,0.08535936113575851
"Thompson-Nicola Regional district, British Columbia, Canada",0.034796985542909845,0.2517711654268511,0.33599008147360976,0.41223875309953906,0.5960666337389426,0.2941044407525484,0.10982892550850881
"La Rivière-du-Nord CRM, Quebec, Canada",0.03228146536089958,0.3101802320796645,0.36071105258826436,0.3291087153320712,0.6234082904361958,0.3138715795177461,0.06272013004605806
