longname,"Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services % [StatCan],"Arts, entertainment, and recreation % [StatCan]",Construction % [StatCan],Educational services % [StatCan],Health care and social assistance % [StatCan],Finance and insurance % [StatCan],Real estate and rental and leasing % [StatCan],Information % [StatCan],Manufacturing % [StatCan],"Other services, except public administration % [StatCan]",Administrative and support and waste management services % [StatCan],Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services % [StatCan]",Public administration % [StatCan],Retail trade % [StatCan],Transportation and warehousing % [StatCan],Utilities % [StatCan],Wholesale trade % [StatCan]
"Toronto CDR, Ontario, Canada",0.0003152405604610763,0.0003258666467687531,0.05624983294115136,0.02056405729121286,0.05732314975823129,0.07526827554605313,0.11537104317121984,0.08635466139371988,0.025809637698426847,0.04059052375240514,0.06748635624005943,0.041119494081944305,0.0510655929659343,0.0038360171570712923,0.1453356448159574,0.03665532978979546,0.09978249245785357,0.04536630447624117,0.0019162375641510344,0.02926424169134164
"Greater Vancouver Regional district, British Columbia, Canada",0.006099108341517257,0.0011053283712194799,0.06833593643565378,0.020659199329177067,0.08161880982083788,0.0792740067671353,0.11731602491145111,0.046474197445280425,0.024428837129394605,0.037368739950771876,0.058823631690501366,0.04238772284810084,0.04119958485949337,0.001008117081242523,0.11517110653547703,0.04330222905751379,0.11483173638981777,0.06064904369117945,0.0029667445533708503,0.036979894790864165
"Montréal Territory, Quebec, Canada",0.000904201921193242,0.00021980599189227976,0.05707273681228109,0.019339701076701268,0.034139539533179046,0.09397505124787792,0.14150436823795895,0.05038176789205684,0.01558444438826893,0.03962439741245655,0.08529162186480818,0.04112346341221392,0.04708208022914575,0.0004888085138863846,0.128478946833588,0.039037360905642235,0.1105709160215377,0.05374836372612647,0.00247982060640577,0.03895260337277956
"Division No. 6, Alberta, Canada",0.007413614091331379,0.0465582251042823,0.05913283180628667,0.018512784082284423,0.09132528218486062,0.06615785351281485,0.12996593744876994,0.035343691749090744,0.017268074099710335,0.014717936574436754,0.04857404810045104,0.04344341426984107,0.04390486772679538,0.0013540015908000747,0.11624984061640463,0.03597515437439663,0.11735490021068953,0.06684396194223302,0.009484082891613092,0.030419497622907528
"Division No. 11, Alberta, Canada",0.008565020294490334,0.026542076339809074,0.06031427661491944,0.015117531864721404,0.10771326155159691,0.07217249300365215,0.14028608794053307,0.03062807890118362,0.01572738299328489,0.009635647831301615,0.05774612575130254,0.04827310488761805,0.040839697242795334,0.00032525393523380995,0.0742256584698158,0.07168461210080158,0.1197341049079466,0.05782066311146047,0.00750116888132976,0.03514775337620349
"Peel Regional municipality, Ontario, Canada",0.0009124273973348958,0.00029960302599056236,0.04709895751765274,0.00795990766779471,0.06469382613491682,0.05716289552706292,0.09484478520505762,0.06655272672799452,0.020434288204492702,0.02060451719653275,0.11018582196771115,0.03270439395074253,0.049277888615766076,0.0024376791660141225,0.10533770027440936,0.030457371255813378,0.11886750056175534,0.11887430972143725,0.0021653127787499807,0.04912808710277065
"York Regional municipality, Ontario, Canada",0.002975606844748346,0.0003922003291072327,0.04751592248075239,0.013454176507200287,0.08188460784230149,0.07518309787103467,0.09920110498179636,0.08794666075524127,0.032714623104009806,0.023378550052435502,0.08587481988626207,0.03859762804061852,0.03702030063007842,0.00403284251451566,0.12861612966483915,0.038103114582178875,0.11459923094631104,0.03956960276927525,0.003904951102850282,0.04503482909444355
"Ottawa CDR, Ontario, Canada",0.0028583055577087037,0.00024222928455158529,0.051662661809162104,0.015124796527401013,0.05317417254476402,0.08087551352608317,0.1216281683590415,0.03259437252926136,0.013216029765134462,0.02137431206883186,0.028602433919851185,0.0373808231920006,0.04119835671653358,0.0004360127121928536,0.11952561816913397,0.22531199131850266,0.10295713510580601,0.0330400744128363,0.0011627005658476077,0.017634291915355423
"Division No. 11, Manitoba, Canada",0.0033248453023366304,0.000237488950166902,0.06421437335901735,0.016558257358858998,0.06639135540221383,0.08602377528267781,0.16029184753209436,0.04731307640547274,0.011610570897048537,0.015647883049885847,0.08992914912986676,0.04262926655495881,0.04732627023603766,0.0005805285448524272,0.061061047854023484,0.06752602483078905,0.11618487195387411,0.0711279405749873,0.005462245853838742,0.026559180926998476
"Durham Regional municipality, Ontario, Canada",0.006985750822067961,0.000379978078187797,0.05039093898428945,0.015915235659481178,0.08692729265619314,0.07849470222871761,0.12580197296309825,0.06959444647424176,0.01778589696748263,0.02325173547679945,0.06943368651808533,0.0381147241505299,0.05093167701863357,0.0023529411764705885,0.0847204968944099,0.05607599561563727,0.12090610157106331,0.050727073438071035,0.019451954694921475,0.03175739861161855
"Halton Regional municipality, Ontario, Canada",0.0027138623422463494,0.0010822150444540644,0.0440211781159469,0.013585961173454104,0.061985947853884414,0.08141587026739053,0.10309347008091645,0.0853950917385369,0.02287636109353667,0.02422496753354868,0.08740967666744376,0.03249975025806668,0.03647897172921333,0.004112417168925443,0.13106456661449806,0.040957677067030705,0.11821118177882803,0.04893276947154609,0.003912623622256999,0.05602544037827574
"Québec Territory, Quebec, Canada",0.0020769659411357427,0.00042214754901133037,0.060383985410580765,0.012529339254656312,0.05030310194019016,0.08334881207679735,0.1602978673105822,0.0492392901166815,0.01045237331352054,0.012343594333091314,0.061245166410563795,0.03942858107765826,0.03988450043059048,6.754360784181288e-05,0.09476368180206345,0.14275341517367146,0.1187585484878675,0.03409263605815503,0.002296482666621638,0.02531196703871939
"Waterloo Regional municipality, Ontario, Canada",0.011621499774582971,0.0003172535858003972,0.04952495449915682,0.009935046502696642,0.07480505602030448,0.08978276478151238,0.10567883918582698,0.05887558650169485,0.01255656297483676,0.0252967990782948,0.15989580724340052,0.033979528794937326,0.041593614854146685,0.001569570371854596,0.0970462021406267,0.030873783165522767,0.10992001870126407,0.04838952061313435,0.0023877506720766735,0.03594984053832919
"Hamilton CDR, Ontario, Canada",0.007029453223532899,0.00029675791972698276,0.05686623636768293,0.01391052748720231,0.07971659618666069,0.09106758661621761,0.15366496030862853,0.03854143482454194,0.014504043326656285,0.01600638029527415,0.11584687291342102,0.041564656131760525,0.04833444617553239,0.0005193263595222198,0.07311373247273521,0.042176719341197426,0.12096594702871125,0.048649751465242266,0.002448252837747607,0.034776318718005836
"Simcoe County, Ontario, Canada",0.011814123396581484,0.0008341663481986941,0.06106873637510449,0.018972434617170266,0.1196919645635736,0.0671400880241752,0.13034092812191694,0.026363536446558738,0.016644528529173936,0.011677423779102046,0.11435717977858194,0.039729597235137845,0.048652633842004266,0.0007953679133987552,0.0595346897077075,0.06167011211450341,0.129217583704078,0.04686730244408699,0.00463641295859274,0.0299911901003531
