longname
"Toronto CDR, Ontario, Canada"
"Greater Vancouver Regional district, British Columbia, Canada"
"Montréal Territory, Quebec, Canada"
"Division No. 6, Alberta, Canada"
"Division No. 11, Alberta, Canada"
"Peel Regional municipality, Ontario, Canada"
"York Regional municipality, Ontario, Canada"
"Ottawa CDR, Ontario, Canada"
"Division No. 11, Manitoba, Canada"
"Durham Regional municipality, Ontario, Canada"
"Halton Regional municipality, Ontario, Canada"
"Québec Territory, Quebec, Canada"
"Waterloo Regional municipality, Ontario, Canada"
"Hamilton CDR, Ontario, Canada"
"Simcoe County, Ontario, Canada"
"Middlesex County, Ontario, Canada"
"Niagara Regional municipality, Ontario, Canada"
"Halifax County, Nova Scotia, Canada"
"Laval Territory, Quebec, Canada"
"Longueuil Territory, Quebec, Canada"
"Essex County, Ontario, Canada"
"Capital Regional district, British Columbia, Canada"
"Division No. 11, Saskatchewan, Canada"
"Fraser Valley Regional district, British Columbia, Canada"
"Gatineau Territory, Quebec, Canada"
"Division No. 6, Saskatchewan, Canada"
"Division No. 1, Newfoundland and Labrador, Canada"
"Wellington County, Ontario, Canada"
"Central Okanagan Regional district, British Columbia, Canada"
"Division No. 8, Alberta, Canada"
"Roussillon CRM, Quebec, Canada"
"Division No. 2, Alberta, Canada"
"Sherbrooke Territory, Quebec, Canada"
"Les Moulins CRM, Quebec, Canada"
"Nanaimo Regional district, British Columbia, Canada"
"Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Greater Sudbury / Grand Sudbury CDR, Ontario, Canada"
"Thérèse-De Blainville CRM, Quebec, Canada"
"Westmorland County, New Brunswick, Canada"
"Vaudreuil-Soulanges CRM, Quebec, Canada"
"Frontenac County, Ontario, Canada"
"Francheville CDR, Quebec, Canada"
"Lévis Territory, Quebec, Canada"
"Peterborough County, Ontario, Canada"
"Thunder Bay District, Ontario, Canada"
"Hastings County, Ontario, Canada"
"Brant CDR, Ontario, Canada"
"Thompson-Nicola Regional district, British Columbia, Canada"
"La Rivière-du-Nord CRM, Quebec, Canada"
"La Vallée-du-Richelieu CRM, Quebec, Canada"
"Lambton County, Ontario, Canada"
"L'Assomption CRM, Quebec, Canada"
"Oxford County, Ontario, Canada"
"Le Haut-Richelieu CRM, Quebec, Canada"
"Division No. 19, Alberta, Canada"
"Haldimand-Norfolk CDR, Ontario, Canada"
"Stormont, Dundas and Glengarry United counties, Ontario, Canada"
"Algoma District, Ontario, Canada"
"Drummond CRM, Quebec, Canada"
"Renfrew County, Ontario, Canada"
"York County, New Brunswick, Canada"
"Chatham-Kent CDR, Ontario, Canada"
"Leeds and Grenville United counties, Ontario, Canada"
"Deux-Montagnes CRM, Quebec, Canada"
"Grey County, Ontario, Canada"
"Cape Breton County, Nova Scotia, Canada"
"Fraser-Fort George Regional district, British Columbia, Canada"
"Prescott and Russell United counties, Ontario, Canada"
"Division No. 10, Alberta, Canada"
"Elgin County, Ontario, Canada"
"La Haute-Yamaska CRM, Quebec, Canada"
"North Okanagan Regional district, British Columbia, Canada"
"Okanagan-Similkameen Regional district, British Columbia, Canada"
"Queens County, Prince Edward Island, Canada"
"Les Maskoutains CRM, Quebec, Canada"
"Northumberland County, Ontario, Canada"
"Division No. 15, Saskatchewan, Canada"
"Cowichan Valley Regional district, British Columbia, Canada"
"Nipissing District, Ontario, Canada"
"Division No. 2, Manitoba, Canada"
"Division No. 1, Alberta, Canada"
"Perth County, Ontario, Canada"
"Marguerite-D'Youville CRM, Quebec, Canada"
"Kawartha Lakes CDR, Ontario, Canada"
"Gloucester County, New Brunswick, Canada"
"Cochrane District, Ontario, Canada"
"Lanark County, Ontario, Canada"
"Saint John County, New Brunswick, Canada"
"Division No. 16, Alberta, Canada"
"Arthabaska CRM, Quebec, Canada"
"Bruce County, Ontario, Canada"
"Comox Valley Regional district, British Columbia, Canada"
"Kings County, New Brunswick, Canada"
"Joliette CRM, Quebec, Canada"
"Division No. 7, Manitoba, Canada"
"Beauharnois-Salaberry CRM, Quebec, Canada"
"Division No. 13, Alberta, Canada"
"Division No. 12, Alberta, Canada"
"Muskoka District municipality, Ontario, Canada"
"Dufferin County, Ontario, Canada"
"Kenora District, Ontario, Canada"
"East Kootenay Regional district, British Columbia, Canada"
"Brome-Missisquoi CRM, Quebec, Canada"
"Cariboo Regional district, British Columbia, Canada"
"Kings County, Nova Scotia, Canada"
"Central Kootenay Regional district, British Columbia, Canada"
"Division No. 17, Alberta, Canada"
"Peace River Regional district, British Columbia, Canada"
"Huron County, Ontario, Canada"
"Mirabel Territory, Quebec, Canada"
"Montcalm CRM, Quebec, Canada"
"Division No. 3, Manitoba, Canada"
"Rimouski-Neigette CRM, Quebec, Canada"
"Columbia-Shuswap Regional district, British Columbia, Canada"
"Division No. 5, Alberta, Canada"
"Portneuf CRM, Quebec, Canada"
"Matawinie CRM, Quebec, Canada"
"Memphrémagog CRM, Quebec, Canada"
"Les Collines-de-l'Outaouais CRM, Quebec, Canada"
"Beauce-Sartigan CRM, Quebec, Canada"
"Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Pierre-De Saurel CRM, Quebec, Canada"
"Division No. 13, Manitoba, Canada"
"Colchester County, Nova Scotia, Canada"
"Les Laurentides CRM, Quebec, Canada"
"Squamish-Lillooet Regional district, British Columbia, Canada"
"Shawinigan Territory, Quebec, Canada"
"Lunenburg County, Nova Scotia, Canada"
"Strathcona Regional district, British Columbia, Canada"
"Division No. 17, Saskatchewan, Canada"
"La Jacques-Cartier CRM, Quebec, Canada"
"Division No. 7, Saskatchewan, Canada"
"Les Pays-d'en-Haut CRM, Quebec, Canada"
"Parry Sound District, Ontario, Canada"
"Prince County, Prince Edward Island, Canada"
"Nord-du-Québec CDR, Quebec, Canada"
"Lennox and Addington County, Ontario, Canada"
"Hants County, Nova Scotia, Canada"
"Northumberland County, New Brunswick, Canada"
"D'Autray CRM, Quebec, Canada"
"Pictou County, Nova Scotia, Canada"
"Les Appalaches CRM, Quebec, Canada"
"La Vallée-de-l'Or CRM, Quebec, Canada"
"Rouyn-Noranda Territory, Quebec, Canada"
"Division No. 22, Manitoba, Canada"
"Division No. 3, Alberta, Canada"
"Division No. 7, Alberta, Canada"
"Yukon Territory, Yukon, Canada"
"Division No. 5, Newfoundland and Labrador, Canada"
"Sept-Rivières--Caniapiscau CDR, Quebec, Canada"
"Bellechasse CRM, Quebec, Canada"
"Division No. 16, Saskatchewan, Canada"
"La Nouvelle-Beauce CRM, Quebec, Canada"
"Rouville CRM, Quebec, Canada"
"Kitimat-Stikine Regional district, British Columbia, Canada"
"Bulkley-Nechako Regional district, British Columbia, Canada"
"Division No. 15, Alberta, Canada"
"Division No. 6, Newfoundland and Labrador, Canada"
"Maskinongé CRM, Quebec, Canada"
"Antoine-Labelle CRM, Quebec, Canada"
"Division No. 9, Saskatchewan, Canada"
"Division No. 18, Saskatchewan, Canada"
"Division No. 14, Saskatchewan, Canada"
"Rivière-du-Loup CRM, Quebec, Canada"
"Argenteuil CRM, Quebec, Canada"
"Lotbinière CRM, Quebec, Canada"
"Division No. 8, Newfoundland and Labrador, Canada"
"Kootenay Boundary Regional district, British Columbia, Canada"
"Alberni-Clayoquot Regional district, British Columbia, Canada"
"Division No. 7, Newfoundland and Labrador, Canada"
"Madawaska County, New Brunswick, Canada"
"Kent County, New Brunswick, Canada"
"Sunshine Coast Regional district, British Columbia, Canada"
"Division No. 5, Saskatchewan, Canada"
"Le Val-Saint-François CRM, Quebec, Canada"
"Timiskaming District, Ontario, Canada"
"Le Domaine-du-Roy CRM, Quebec, Canada"
"Division No. 8, Saskatchewan, Canada"
"Albert County, New Brunswick, Canada"
"Restigouche County, New Brunswick, Canada"
"Cumberland County, Nova Scotia, Canada"
"Division No. 1, Saskatchewan, Canada"
"Les Jardins-de-Napierville CRM, Quebec, Canada"
"La Côte-de-Beaupré CRM, Quebec, Canada"
"Manicouagan CRM, Quebec, Canada"
"Division No. 14, Alberta, Canada"
"Sunbury County, New Brunswick, Canada"
"Division No. 18, Manitoba, Canada"
"Carleton County, New Brunswick, Canada"
"Charlotte County, New Brunswick, Canada"
"Prince Edward CDR, Ontario, Canada"
"Division No. 12, Manitoba, Canada"
"Abitibi CRM, Quebec, Canada"
"Yarmouth County, Nova Scotia, Canada"
"Division No. 9, Manitoba, Canada"
"Division No. 10, Newfoundland and Labrador, Canada"
"Papineau CRM, Quebec, Canada"
"Maria-Chapdelaine CRM, Quebec, Canada"
"Nicolet-Yamaska CRM, Quebec, Canada"
"L'Érable CRM, Quebec, Canada"
"Division No. 15, Manitoba, Canada"
"Division No. 12, Saskatchewan, Canada"
"Le Haut-Saint-François CRM, Quebec, Canada"
"Division No. 2, Saskatchewan, Canada"
"Montmagny CRM, Quebec, Canada"
"Sudbury District, Ontario, Canada"
"Le Haut-Saint-Laurent CRM, Quebec, Canada"
"Division No. 13, Saskatchewan, Canada"
"Division No. 17, Manitoba, Canada"
"Le Granit CRM, Quebec, Canada"
"Division No. 21, Manitoba, Canada"
"Kamouraska CRM, Quebec, Canada"
"Annapolis County, Nova Scotia, Canada"
"Powell River Regional district, British Columbia, Canada"
"La Matanie CRM, Quebec, Canada"
"Region 6 Region, Northwest Territories, Canada"
"Bécancour CRM, Quebec, Canada"
"Haliburton County, Ontario, Canada"
"Division No. 9, Alberta, Canada"
"La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Abitibi-Ouest CRM, Quebec, Canada"
"Antigonish County, Nova Scotia, Canada"
"Division No. 1, Manitoba, Canada"
"Division No. 14, Manitoba, Canada"
"Témiscouata CRM, Quebec, Canada"
"Rainy River District, Ontario, Canada"
"Qikiqtaaluk Region, Nunavut, Canada"
"Robert-Cliche CRM, Quebec, Canada"
"Division No. 4, Newfoundland and Labrador, Canada"
"Division No. 2, Newfoundland and Labrador, Canada"
"Coaticook CRM, Quebec, Canada"
"La Mitis CRM, Quebec, Canada"
"Kings County, Prince Edward Island, Canada"
"Victoria County, New Brunswick, Canada"
"Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"La Matapédia CRM, Quebec, Canada"
"L'Islet CRM, Quebec, Canada"
"Bonaventure CRM, Quebec, Canada"
"La Côte-de-Gaspé CRM, Quebec, Canada"
"Inverness County, Nova Scotia, Canada"
"Le Rocher-Percé CRM, Quebec, Canada"
"Digby County, Nova Scotia, Canada"
"Les Etchemins CRM, Quebec, Canada"
"Division No. 10, Saskatchewan, Canada"
"Témiscamingue CRM, Quebec, Canada"
"Acton CRM, Quebec, Canada"
"Charlevoix-Est CRM, Quebec, Canada"
"Division No. 19, Manitoba, Canada"
"La Tuque Territory, Quebec, Canada"
"Pontiac CRM, Quebec, Canada"
"Division No. 9, Newfoundland and Labrador, Canada"
"Les Sources CRM, Quebec, Canada"
"Division No. 8, Manitoba, Canada"
"Manitoulin District, Ontario, Canada"
"Division No. 3, Newfoundland and Labrador, Canada"
"Shelburne County, Nova Scotia, Canada"
"Avignon CRM, Quebec, Canada"
"Charlevoix CRM, Quebec, Canada"
"Division No. 5, Manitoba, Canada"
"Division No. 18, Alberta, Canada"
"Division No. 10, Manitoba, Canada"
"Mékinac CRM, Quebec, Canada"
"Communauté maritime des Îles-de-la-Madeleine Territory, Quebec, Canada"
"Division No. 3, Saskatchewan, Canada"
"Kivalliq Region, Nunavut, Canada"
"La Haute-Gaspésie CRM, Quebec, Canada"
"Division No. 4, Saskatchewan, Canada"
"Queens County, New Brunswick, Canada"
"Queens County, Nova Scotia, Canada"
"La Haute-Côte-Nord CRM, Quebec, Canada"
"Division No. 16, Manitoba, Canada"
"Division No. 6, Manitoba, Canada"
"Mount Waddington Regional district, British Columbia, Canada"
"Division No. 4, Manitoba, Canada"
"Division No. 20, Manitoba, Canada"
"Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"Division No. 4, Alberta, Canada"
"Les Basques CRM, Quebec, Canada"
"Richmond County, Nova Scotia, Canada"
"Victoria County, Nova Scotia, Canada"
"Guysborough County, Nova Scotia, Canada"
"L'Île-d'Orléans CRM, Quebec, Canada"
"Kitikmeot Region, Nunavut, Canada"
"Region 5 Region, Northwest Territories, Canada"
"Region 1 Region, Northwest Territories, Canada"
"Division No. 23, Manitoba, Canada"
"Northern Rockies Regional district, British Columbia, Canada"
"Central Coast Regional district, British Columbia, Canada"
"Region 4 Region, Northwest Territories, Canada"
"Region 3 Region, Northwest Territories, Canada"
"Division No. 11, Newfoundland and Labrador, Canada"
"Region 2 Region, Northwest Territories, Canada"
"Stikine Region, British Columbia, Canada"
