longname,PW Mean PM2.5 Pollution
"Toronto City, Toronto CDR, Ontario, Canada",7.066387934855703
"Montréal Ville, Montréal Territory, Quebec, Canada",7.72471661803084
"Calgary City, Division No. 6, Alberta, Canada",8.866091653655353
"Ottawa City, Ottawa CDR, Ontario, Canada",6.142642917720197
"Edmonton City, Division No. 11, Alberta, Canada",8.202071048759029
"Winnipeg City, Division No. 11, Manitoba, Canada",5.708667652598548
"Mississauga City, Peel Regional municipality, Ontario, Canada",7.156419501290844
"Vancouver City, Greater Vancouver Regional district, British Columbia, Canada",5.560932027045169
"Brampton City, Peel Regional municipality, Ontario, Canada",7.168576960222641
"Hamilton City, Hamilton CDR, Ontario, Canada",6.842135726226322
"Surrey City, Greater Vancouver Regional district, British Columbia, Canada",5.578221464678213
"Québec Ville, Québec Territory, Quebec, Canada",6.243826287026866
"Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",4.522340184260186
"Laval Ville, Laval Territory, Quebec, Canada",7.74396571969998
"London City, Middlesex County, Ontario, Canada",6.6207883642759615
"Markham City, York Regional municipality, Ontario, Canada",6.899779831440719
"Vaughan City, York Regional municipality, Ontario, Canada",7.124421902002119
"Gatineau Ville, Gatineau Territory, Quebec, Canada",6.143874177217486
"Saskatoon City, Division No. 11, Saskatchewan, Canada",5.851554503794311
"Kitchener City, Waterloo Regional municipality, Ontario, Canada",6.508481794189773
"Longueuil Ville, Longueuil Territory, Quebec, Canada",7.478835941268982
"Burnaby City, Greater Vancouver Regional district, British Columbia, Canada",5.489379459520686
"Windsor City, Essex County, Ontario, Canada",8.375468606795515
"Regina City, Division No. 6, Saskatchewan, Canada",5.449334129374902
"Oakville Town, Halton Regional municipality, Ontario, Canada",7.032713434022611
"Richmond City, Greater Vancouver Regional district, British Columbia, Canada",5.708004821646148
"Richmond Hill Town, York Regional municipality, Ontario, Canada",6.949355352658167
"Burlington City, Halton Regional municipality, Ontario, Canada",7.006461597973845
"Oshawa City, Durham Regional municipality, Ontario, Canada",6.223091400348341
"Sherbrooke Ville, Sherbrooke Territory, Quebec, Canada",5.831981676130843
"Greater Sudbury / Grand Sudbury City, Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",4.536483074804048
"Abbotsford City, Fraser Valley Regional district, British Columbia, Canada",5.666343574617245
"Lévis Ville, Lévis Territory, Quebec, Canada",6.34082474720283
"Coquitlam City, Greater Vancouver Regional district, British Columbia, Canada",5.4357470751264
"Barrie City, Simcoe County, Ontario, Canada",5.858845717851957
"Saguenay Ville, Le Saguenay-et-son-Fjord CDR, Quebec, Canada",4.967375910647945
"Kelowna City, Central Okanagan Regional district, British Columbia, Canada",9.350228981566188
"Guelph City, Wellington County, Ontario, Canada",6.668975292833136
"Trois-Rivières Ville, Francheville CDR, Quebec, Canada",6.502070790655052
"Whitby Town, Durham Regional municipality, Ontario, Canada",6.321540182968763
"Cambridge City, Waterloo Regional municipality, Ontario, Canada",6.739952839006091
"St. Catharines City, Niagara Regional municipality, Ontario, Canada",6.5458642360298
"Milton Town, Halton Regional municipality, Ontario, Canada",6.952220853957056
"Langley District Municipality, Greater Vancouver Regional district, British Columbia, Canada",5.594750160941228
"Kingston City, Frontenac County, Ontario, Canada",5.560503107916093
"Ajax Town, Durham Regional municipality, Ontario, Canada",6.441576559433208
"Waterloo City, Waterloo Regional municipality, Ontario, Canada",6.435378110148368
"Terrebonne Ville, Les Moulins CRM, Quebec, Canada",7.4498193927372665
"Saanich District Municipality, Capital Regional district, British Columbia, Canada",4.94747739744745
"St. John's City, Division No. 1, Newfoundland and Labrador, Canada",4.720428319800163
"Thunder Bay City, Thunder Bay District, Ontario, Canada",4.562061877558443
"Delta City, Greater Vancouver Regional district, British Columbia, Canada",5.588001569628522
"Brantford City, Brant CDR, Ontario, Canada",6.685916884443111
"Chatham-Kent Municipality, Chatham-Kent CDR, Ontario, Canada",6.911348655419686
"Clarington Municipality, Durham Regional municipality, Ontario, Canada",6.007851643092644
"Red Deer City, Division No. 8, Alberta, Canada",7.482623387126733
"Nanaimo City, Nanaimo Regional district, British Columbia, Canada",4.78298443204676
"Strathcona County Specialized Municipality, Division No. 11, Alberta, Canada",7.7905037875696275
"Pickering City, Durham Regional municipality, Ontario, Canada",6.610134099063615
"Lethbridge City, Division No. 2, Alberta, Canada",5.699251481474212
"Kamloops City, Thompson-Nicola Regional district, British Columbia, Canada",9.993129751448247
"Saint-Jean-sur-Richelieu Ville, Le Haut-Richelieu CRM, Quebec, Canada",6.957309880012699
"Niagara Falls City, Niagara Regional municipality, Ontario, Canada",6.340579249132478
"Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada",4.261663108116011
"Chilliwack City, Fraser Valley Regional district, British Columbia, Canada",5.897914669165339
"Victoria City, Capital Regional district, British Columbia, Canada",5.108275590038418
"Brossard Ville, Longueuil Territory, Quebec, Canada",7.525914657502791
"Maple Ridge City, Greater Vancouver Regional district, British Columbia, Canada",5.563712470786893
"North Vancouver District Municipality, Greater Vancouver Regional district, British Columbia, Canada",5.1511495903781
"Newmarket Town, York Regional municipality, Ontario, Canada",6.668454530652529
"Repentigny Ville, L'Assomption CRM, Quebec, Canada",7.217008988874524
"Peterborough City, Peterborough County, Ontario, Canada",5.726179544228759
"Saint-Jérôme Ville, La Rivière-du-Nord CRM, Quebec, Canada",6.683105539385554
"Moncton City, Westmorland County, New Brunswick, Canada",4.051118539979784
"Drummondville Ville, Drummond CRM, Quebec, Canada",6.588768798035138
"Kawartha Lakes City, Kawartha Lakes CDR, Ontario, Canada",5.565902550556062
"New Westminster City, Greater Vancouver Regional district, British Columbia, Canada",5.505790911869296
"Prince George City, Fraser-Fort George Regional district, British Columbia, Canada",9.828872540748533
"Caledon Town, Peel Regional municipality, Ontario, Canada",6.933574376213757
"Airdrie City, Division No. 6, Alberta, Canada",8.938068976418686
"Wood Buffalo Specialized Municipality, Division No. 16, Alberta, Canada",5.86705092767685
"Sault Ste. Marie City, Algoma District, Ontario, Canada",4.489137349131696
"Sarnia City, Lambton County, Ontario, Canada",6.918008942063944
"Granby Ville, La Haute-Yamaska CRM, Quebec, Canada",6.491240053187198
"Saint John City, Saint John County, New Brunswick, Canada",4.032631784202944
"St. Albert City, Division No. 11, Alberta, Canada",8.220792742146134
"Norfolk County City, Haldimand-Norfolk CDR, Ontario, Canada",6.294551841578032
"Grande Prairie City, Division No. 19, Alberta, Canada",6.082935469080992
"Medicine Hat City, Division No. 1, Alberta, Canada",5.365381630448028
"Fredericton City, York County, New Brunswick, Canada",4.137812655291111
"Halton Hills Town, Halton Regional municipality, Ontario, Canada",7.058879322822938
"Aurora Town, York Regional municipality, Ontario, Canada",6.793963280123762
"Port Coquitlam City, Greater Vancouver Regional district, British Columbia, Canada",5.600100229451261
"Mirabel Ville, Mirabel Territory, Quebec, Canada",6.989047944995498
