longname,Silent % [StatCan],Boomer % [StatCan],Gen X % [StatCan],Millennial % [StatCan],Gen Z % [StatCan],Gen Alpha % [StatCan]
"Toronto City, Toronto CDR, Ontario, Canada",0.07748779053152575,0.22288661005024296,0.19532870943685043,0.2520824932028339,0.161787417932971,0.09042697884557592
"Montréal Ville, Montréal Territory, Quebec, Canada",0.07787164806075662,0.20776919472644126,0.19426374746598743,0.2484522416125177,0.16827596462476183,0.10336720350953532
"Calgary City, Division No. 6, Alberta, Canada",0.05251901504369261,0.20600523391947084,0.2114916670492629,0.2334297476393805,0.17853480862525403,0.11801952772293912
"Ottawa City, Ottawa CDR, Ontario, Canada",0.07282314379364403,0.22923147233565766,0.19607062650803708,0.20898507565370825,0.1886600521885275,0.1042296295204255
"Edmonton City, Division No. 11, Alberta, Canada",0.055338944844362414,0.19896753481597468,0.19485550937095913,0.24813844149281386,0.17943293682838937,0.12326663264750057
"Winnipeg City, Division No. 11, Manitoba, Canada",0.07255082562439093,0.22257819070121349,0.18851868167073796,0.2187737775819953,0.1883451470372298,0.10923337738443263
"Mississauga City, Peel Regional municipality, Ontario, Canada",0.07019205325682773,0.24006657103463636,0.19845271088951705,0.2047128950043871,0.19132905310363074,0.095246716711001
"Vancouver City, Greater Vancouver Regional district, British Columbia, Canada",0.07234376888673993,0.22401184576332667,0.199172005318506,0.29245739151456535,0.1411746041339295,0.07084038438293264
"Brampton City, Peel Regional municipality, Ontario, Canada",0.04844522672030841,0.18933107794058238,0.20016610662826387,0.23095678941794134,0.21636531266905937,0.11473548662384457
"Hamilton City, Hamilton CDR, Ontario, Canada",0.08045966912959829,0.2411242213651258,0.1858620114038711,0.2126145438890888,0.175055569710335,0.10488398450198112
"Surrey City, Greater Vancouver Regional district, British Columbia, Canada",0.06316067188461866,0.21291003429777522,0.20036056635300326,0.21665640664849173,0.20179403746372349,0.10511828335238767
"Québec Ville, Québec Territory, Quebec, Canada",0.1028306180030943,0.263156457631746,0.1782925275325392,0.2053062710476016,0.1532538454537179,0.09716028033130096
"Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",0.06844390950780632,0.24420938588614224,0.19146512613738453,0.2248788820156504,0.17447979480225126,0.09652290165076524
"Laval Ville, Laval Territory, Quebec, Canada",0.08934903820937024,0.23979202061550056,0.20854950342641493,0.1736126155916124,0.18225561852202368,0.10644120363507807
"London City, Middlesex County, Ontario, Canada",0.07813851019223716,0.22890781385101885,0.17885273668376253,0.2211140985703625,0.18759401613228002,0.10539282457033877
"Markham City, York Regional municipality, Ontario, Canada",0.07328783312651417,0.24951249778408074,0.20633161968918023,0.1909826862849377,0.18197128168764412,0.09791408142764312
"Vaughan City, York Regional municipality, Ontario, Canada",0.07144846365689896,0.2286412723953336,0.21869294798403263,0.18001361512516648,0.2010706439335336,0.10013305690503457
"Gatineau Ville, Gatineau Territory, Quebec, Canada",0.065283531292435,0.23598673015108998,0.1983773656255911,0.2062498925692284,0.1771662340787603,0.11693624628289515
"Saskatoon City, Division No. 11, Saskatchewan, Canada",0.06663785165279157,0.20278879221242968,0.18130907860861067,0.23539360682539973,0.19130663559656458,0.12256403510420384
"Kitchener City, Waterloo Regional municipality, Ontario, Canada",0.062408752019621955,0.20620583597749695,0.19148936170212758,0.2456054972649937,0.1782133888769932,0.11607716415876654
"Longueuil Ville, Longueuil Territory, Quebec, Canada",0.07934917172669934,0.24838373715341266,0.1955825423961954,0.2057026076362279,0.15940576548959498,0.11157617559786977
"Burnaby City, Greater Vancouver Regional district, British Columbia, Canada",0.0778368616434233,0.23104244005217195,0.1943212601585232,0.2534965385773052,0.1569579612721984,0.08634493829637804
"Windsor City, Essex County, Ontario, Canada",0.08121352034149329,0.24107065075355022,0.18477219269971235,0.2028051223974213,0.1882350378952867,0.10190347591253615
"Regina City, Division No. 6, Saskatchewan, Canada",0.06684627785261589,0.20988008745003658,0.1873992447496852,0.225073427113928,0.18589757745732371,0.12490338537641052
"Oakville Town, Halton Regional municipality, Ontario, Canada",0.0726176002992613,0.21511736650144947,0.23660338539231274,0.15591976059104087,0.2161694566538856,0.10357243056205007
"Richmond City, Greater Vancouver Regional district, British Columbia, Canada",0.07967235754934877,0.2694001952520417,0.19372812343738843,0.21275329190180262,0.15703502631140315,0.08741100554801533
"Richmond Hill Town, York Regional municipality, Ontario, Canada",0.07182484644343175,0.24643352486625747,0.2299633445611255,0.17307311274024162,0.1916732712502475,0.0870319001386961
"Burlington City, Halton Regional municipality, Ontario, Canada",0.1035073169426684,0.24371973568046226,0.20931539099494353,0.17234275930335224,0.1698814842558657,0.10123331282270782
"Oshawa City, Durham Regional municipality, Ontario, Canada",0.07262346560091355,0.22994576077647705,0.1882957465029975,0.21647159577504982,0.17619183556951204,0.11647159577505002
"Sherbrooke Ville, Sherbrooke Territory, Quebec, Canada",0.09687870635540502,0.2446700801295961,0.17156990367091918,0.19795192224247143,0.18800080997425433,0.10092857762735384
"Greater Sudbury / Grand Sudbury City, Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",0.08933847916541032,0.26439727431707155,0.1867575227642765,0.18844599891455113,0.1714104806126758,0.09965024422601454
"Abbotsford City, Fraser Valley Regional district, British Columbia, Canada",0.08082223018536026,0.22396325373815007,0.1855230152783661,0.20936899371274073,0.18923673323126045,0.11108577385412238
"Lévis Ville, Lévis Territory, Quebec, Canada",0.08317744521646196,0.27535408872260825,0.19772180652057703,0.1717998396579369,0.16578701229289158,0.10615980758952431
"Coquitlam City, Greater Vancouver Regional district, British Columbia, Canada",0.06412758226229731,0.24123544848933454,0.21694367808357454,0.20614359733530715,0.17727609178386375,0.09427360204562277
"Barrie City, Simcoe County, Ontario, Canada",0.07286915982568162,0.21891152325934907,0.19614202222897886,0.21509408465930202,0.1904665382926253,0.10651667173406303
"Saguenay Ville, Le Saguenay-et-son-Fjord CDR, Quebec, Canada",0.1060867762885172,0.30323338399889466,0.16781815669476297,0.17451982865828417,0.15120215558933248,0.09713969877020859
"Kelowna City, Central Okanagan Regional district, British Columbia, Canada",0.09991011546705393,0.251330982507087,0.17931964322754587,0.21236949457235704,0.17116089331397386,0.08590887091198239
"Guelph City, Wellington County, Ontario, Canada",0.0742982364603988,0.21346829454937546,0.19103273157327214,0.22522522522522542,0.1877282688093497,0.10824724338237855
"Trois-Rivières Ville, Francheville CDR, Quebec, Canada",0.12005740940078947,0.2966630785791175,0.1637961966271978,0.1727305346250447,0.15590240401865801,0.09085037674919252
"Whitby Town, Durham Regional municipality, Ontario, Canada",0.06285032365385312,0.21679383791993642,0.21914439662966034,0.18204173145770813,0.2014609626441976,0.11770874769464446
"Cambridge City, Waterloo Regional municipality, Ontario, Canada",0.06731844583137919,0.22518849886359532,0.19805909304087438,0.2112269562394028,0.18341210000360753,0.11479490602114084
"St. Catharines City, Niagara Regional municipality, Ontario, Canada",0.10892824538981194,0.27058608727405475,0.17308745663684502,0.1935000912908527,0.1619864889538071,0.09191163045462848
"Milton Town, Halton Regional municipality, Ontario, Canada",0.036441666980386256,0.15141362044949733,0.2407860557918909,0.2072055114256671,0.21420773256032866,0.1499454127922297
"Langley District Municipality, Greater Vancouver Regional district, British Columbia, Canada",0.07187570706689797,0.23440681801040797,0.2054830681046836,0.1898710309978129,0.18017950071649438,0.11818387510370316
"Kingston City, Frontenac County, Ontario, Canada",0.09797399455700048,0.24867704868460835,0.1700181433323255,0.21227698820683397,0.17988358028424542,0.09117024493498625
"Ajax Town, Durham Regional municipality, Ontario, Canada",0.0506894235707795,0.21713879340998,0.2081308521986489,0.20572083283947679,0.19829323219153724,0.12002686578957758
"Waterloo City, Waterloo Regional municipality, Ontario, Canada",0.07040052635907555,0.20067439756558927,0.1793733037256352,0.22033061929434994,0.23891767415083495,0.09030347890451507
"Terrebonne Ville, Les Moulins CRM, Quebec, Canada",0.06021783583023831,0.23448650002086563,0.22021449735008106,0.1713474940533324,0.19204607102616536,0.12168760171931717
"Saanich District Municipality, Capital Regional district, British Columbia, Canada",0.10470448369565212,0.26379925271739146,0.18533457880434775,0.18554687499999983,0.1797299592391306,0.08088485054347828
"St. John's City, Division No. 1, Newfoundland and Labrador, Canada",0.0840829980561458,0.25423805433750724,0.18850865693232693,0.21631029338637464,0.17142082184349722,0.08543917544414803
"Thunder Bay City, Thunder Bay District, Ontario, Canada",0.09565337127644949,0.27420021113508075,0.1737733510809198,0.19796208748336158,0.16693441042823678,0.0914765685959517
"Delta City, Greater Vancouver Regional district, British Columbia, Canada",0.08864202083525395,0.2613625887342123,0.19701299898589464,0.16857195537936767,0.1914354199317785,0.09297501613349304
"Brantford City, Brant CDR, Ontario, Canada",0.0794273950304017,0.24455402882175498,0.18499545171637868,0.20304495619284735,0.17618614449178902,0.11179202374682824
"Chatham-Kent Municipality, Chatham-Kent CDR, Ontario, Canada",0.09968171296296321,0.2983217592592592,0.17057291666666663,0.16401427469135796,0.16483410493827189,0.10257523148148125
"Clarington Municipality, Durham Regional municipality, Ontario, Canada",0.06367889682344244,0.2275794139374539,0.19719280965279487,0.2055158827874907,0.17828121152425525,0.12775178527456296
"Red Deer City, Division No. 8, Alberta, Canada",0.059147248388696054,0.22161626177491328,0.19766980664352993,0.2170054536440258,0.1875061973227566,0.11705503222607838
"Nanaimo City, Nanaimo Regional district, British Columbia, Canada",0.10661197698730035,0.2775378448350342,0.175142080008366,0.19556887837239864,0.15528149272133043,0.08985772707557041
"Strathcona County Specialized Municipality, Division No. 11, Alberta, Canada",0.07029752899646995,0.2517397881996976,0.20943015632879483,0.1715582450832071,0.19137670196671713,0.1055975794251136
"Pickering City, Durham Regional municipality, Ontario, Canada",0.06501641828744617,0.24981055822177337,0.19292750694619853,0.20363728214195503,0.17979287698913857,0.10881535741348831
"Lethbridge City, Division No. 2, Alberta, Canada",0.07911440613415939,0.22221093789671476,0.17259940080231573,0.216625196770426,0.19727822068755366,0.11217183770883064
"Kamloops City, Thompson-Nicola Regional district, British Columbia, Canada",0.08932584269662933,0.2481103166496425,0.1810520939734423,0.2120020429009195,0.17236976506639407,0.09713993871297237
"Saint-Jean-sur-Richelieu Ville, Le Haut-Richelieu CRM, Quebec, Canada",0.09301254159201425,0.2675198361914516,0.18935244433068843,0.18326081392372653,0.15930381366777555,0.10755055029434356
"Niagara Falls City, Niagara Regional municipality, Ontario, Canada",0.09482758620689646,0.2742225513010366,0.1892320710810241,0.181563359424582,0.16606727311191036,0.09408715887455044
"Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada",0.10977756441030563,0.3321064703685921,0.17234757561209804,0.15698511761881928,0.14999733290659825,0.07878593908358673
"Chilliwack City, Fraser Valley Regional district, British Columbia, Canada",0.08336460622956088,0.23808502653728614,0.1833485230257867,0.19321288800729097,0.17879161528976587,0.12319734091030943
"Victoria City, Capital Regional district, British Columbia, Canada",0.10277475516866147,0.25544069640914047,0.1799238302502721,0.2749727965179542,0.12486398258977156,0.06202393906420016
"Brossard Ville, Longueuil Territory, Quebec, Canada",0.09913557281978332,0.23881168618010742,0.20040485829959503,0.19280008753692962,0.16150563518984581,0.10734215997373886
"Maple Ridge City, Greater Vancouver Regional district, British Columbia, Canada",0.06325913712558393,0.24270403957131073,0.21099203077768633,0.19527342676559484,0.1722451222863424,0.11552624347348174
"North Vancouver District Municipality, Greater Vancouver Regional district, British Columbia, Canada",0.0876833845104061,0.25298532923916717,0.22335949050380993,0.15256453997498018,0.1823609689525758,0.1010462868190607
"Newmarket Town, York Regional municipality, Ontario, Canada",0.06718111665910129,0.23899228325011349,0.2189060372219701,0.18145710394916031,0.1913867453472535,0.10207671357240126
"Repentigny Ville, L'Assomption CRM, Quebec, Canada",0.08661436952596203,0.2676222692306721,0.20179087436466228,0.15510731458636307,0.17748172938413914,0.11138344290820147
"Peterborough City, Peterborough County, Ontario, Canada",0.1154396850017898,0.25969454719007284,0.1616155590025057,0.19860398520462952,0.17116095931273104,0.09348526428827103
"Saint-Jérôme Ville, La Rivière-du-Nord CRM, Quebec, Canada",0.10695153855736896,0.28030397408745517,0.1770898218512518,0.1812009468045346,0.15298368007973093,0.10147003861965867
"Moncton City, Westmorland County, New Brunswick, Canada",0.08435100088127913,0.2358680599269796,0.1937555079944607,0.2127030089386882,0.1747450585421124,0.09857736371647983
"Drummondville Ville, Drummond CRM, Quebec, Canada",0.10152990264255911,0.2829055506385132,0.1830193450499432,0.1699962068529524,0.16184094070046762,0.10070805411556455
"Kawartha Lakes City, Kawartha Lakes CDR, Ontario, Canada",0.11874566218688895,0.3408416934822383,0.15881128146886223,0.15925294971291562,0.13546595999747643,0.08688245315161833
"New Westminster City, Greater Vancouver Regional district, British Columbia, Canada",0.06375285460543006,0.2333164171530069,0.20813245369195627,0.27531083481349927,0.1337858411570667,0.08570159857904092
"Prince George City, Fraser-Fort George Regional district, British Columbia, Canada",0.06216533890557657,0.23233642418701841,0.18643071699098868,0.22169256889121083,0.18943450437508155,0.10794044665012394
"Caledon Town, Peel Regional municipality, Ontario, Canada",0.06106870229007642,0.22887714490767916,0.22104782410125917,0.17413714360279248,0.20943433157173624,0.10543485352645647
"Airdrie City, Division No. 6, Alberta, Canada",0.02736116740980948,0.16173490068909605,0.2188893392784759,0.23848128631266063,0.1928117821915957,0.1607215241183623
"Wood Buffalo Specialized Municipality, Division No. 16, Alberta, Canada",0.008495648570244511,0.13917668186213566,0.2311783395496615,0.2844315513192431,0.17509324492333195,0.16162453377538338
"Sault Ste. Marie City, Algoma District, Ontario, Canada",0.11374506134331448,0.29430928120884436,0.17113745061343327,0.1738407153254315,0.15436334650308453,0.09260414500589184
"Sarnia City, Lambton County, Ontario, Canada",0.10832177531206658,0.28987517337031904,0.1662968099861304,0.18536754507628303,0.15610263522884876,0.09403606102635231
"Granby Ville, La Haute-Yamaska CRM, Quebec, Canada",0.11380880121396043,0.30623599971096205,0.1727003396199147,0.15933232169954475,0.14943276248283838,0.09848977527277972
"Saint John City, Saint John County, New Brunswick, Canada",0.08463913656225433,0.2801378157687866,0.1835757738858239,0.19646253974773908,0.16219874931835723,0.09298598471703866
"St. Albert City, Division No. 11, Alberta, Canada",0.08250293083235644,0.2505128956623682,0.20054220398593203,0.16844958968346999,0.1858880422039859,0.11210433763188747
"Norfolk County City, Haldimand-Norfolk CDR, Ontario, Canada",0.10307966096112206,0.32200848708120305,0.16329757387508576,0.16013903720177727,0.15046531213011796,0.10100992875069398
"Grande Prairie City, Division No. 19, Alberta, Canada",0.03429462197973497,0.15939204988308633,0.19368667186282154,0.271473109898675,0.19337490257209675,0.14777864380358524
"Medicine Hat City, Division No. 1, Alberta, Canada",0.09122529644268781,0.2602371541501979,0.18173913043478251,0.18553359683794465,0.17478260869565185,0.10648221343873515
"Fredericton City, York County, New Brunswick, Canada",0.09045584045584042,0.22815764482431147,0.1798037353592909,0.21565368787591008,0.1899335232668568,0.09599556821779036
"Halton Hills Town, Halton Regional municipality, Ontario, Canada",0.0672916501151982,0.23500436958766974,0.22658298244220243,0.1648526257249543,0.203146103122269,0.10312226900770637
"Aurora Town, York Regional municipality, Ontario, Canada",0.06680096696212727,0.2390008058017728,0.2233682514101532,0.17082997582594672,0.19379532634971802,0.10620467365028208
"Port Coquitlam City, Greater Vancouver Regional district, British Columbia, Canada",0.06336939721792895,0.24452940697958192,0.21792890262751155,0.20393720003253862,0.16977141462621015,0.10046367851622871
"Mirabel Ville, Mirabel Territory, Quebec, Canada",0.043506705920837475,0.209192018318613,0.20747464834805357,0.22096826954530588,0.18220477592410858,0.13665358194308153
"Blainville Ville, Thérèse-De Blainville CRM, Quebec, Canada",0.05851820845542068,0.2359146086228547,0.23323566345751354,0.15387191293428212,0.21021347844286303,0.10824612808706585
"North Vancouver City, Greater Vancouver Regional district, British Columbia, Canada",0.07482758620689653,0.23905172413793108,0.2149137931034483,0.249655172413793,0.13862068965517246,0.0829310344827586
"Saint-Hyacinthe Ville, Les Maskoutains CRM, Quebec, Canada",0.12512013979903894,0.28117081695063345,0.17536041939711644,0.1686325906509393,0.15640017474879864,0.09331585845347319
"Welland City, Niagara Regional municipality, Ontario, Canada",0.09864828573986216,0.28045832960343736,0.17894548384209122,0.18548026139110196,0.1589830811923731,0.09748455823113417
"Belleville City, Hastings County, Ontario, Canada",0.10831668785182488,0.28073361176684203,0.1711458144180135,0.1839477029235518,0.16070455783548224,0.09515162520428536
"North Bay City, Nipissing District, Ontario, Canada",0.10149876683741219,0.2696831720736102,0.17159931701764353,0.1947448302029977,0.17017643710870814,0.09229747675962822
"Brandon City, Division No. 7, Manitoba, Canada",0.07475907719264085,0.19848145624452446,0.18232259320549024,0.22281709335150376,0.19867614134138034,0.12294363866446023
"Mascouche Ville, Les Moulins CRM, Quebec, Canada",0.06629618796919169,0.22599200545968604,0.21312274544213725,0.1917714731402944,0.17821975236423893,0.12459783562445156
"Châteauguay Ville, Roussillon CRM, Quebec, Canada",0.09011857707509877,0.24950592885375505,0.1993083003952569,0.1652173913043476,0.17924901185770756,0.11660079051383401
"Whitchurch-Stouffville Town, York Regional municipality, Ontario, Canada",0.07889981931339099,0.2250552097972295,0.21843003412969295,0.1750652479421803,0.17657096968480201,0.12597871913270436
"Shawinigan Ville, Shawinigan Territory, Quebec, Canada",0.13779210314262677,0.3577759871071713,0.1559226430298149,0.14524576954069307,0.1191579371474618,0.084105560032232
