longname,PW Density (250m) [StatCan],PW Density (500m) [StatCan],PW Density (2km) [StatCan],PW Density (4km) [StatCan]
"Toronto City, Toronto CDR, Ontario, Canada",11247.064398492816,8641.979906392718,5843.8325836540225,4942.461128127719
"Montréal Ville, Montréal Territory, Quebec, Canada",9766.39217702403,8601.57520206763,6273.631826193341,5357.122868420545
"Calgary City, Division No. 6, Alberta, Canada",4818.60808295781,3605.380084805771,2518.5999583750463,1958.5305709467777
"Ottawa City, Ottawa CDR, Ontario, Canada",4779.316617090006,3579.629583345174,2345.1508807655578,1789.0625102196655
"Edmonton City, Division No. 11, Alberta, Canada",4462.072058416345,3319.760714493078,2379.3111926033766,1919.6814035074826
"Winnipeg City, Division No. 11, Manitoba, Canada",4253.2463253378855,3425.0572720350515,2490.4607811027945,2055.051099069036
"Mississauga City, Peel Regional municipality, Ontario, Canada",7520.235115303194,5611.326954484911,3788.78286107961,2992.5145866753273
"Vancouver City, Greater Vancouver Regional district, British Columbia, Canada",10979.001168117837,9212.765549175932,6307.122633629062,4939.320751784962
"Brampton City, Peel Regional municipality, Ontario, Canada",6041.319451314692,4712.244269906333,3594.4779855343168,2864.387563658552
"Hamilton City, Hamilton CDR, Ontario, Canada",4503.960333628364,3553.194480775918,2495.2330399402517,1944.9576222555322
"Surrey City, Greater Vancouver Regional district, British Columbia, Canada",5325.121489698933,4338.682411002776,3139.63089298668,2502.9017916647485
"Québec Ville, Québec Territory, Quebec, Canada",4650.7947090671805,3628.806961419813,2433.6239021285273,1888.952211479731
"Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",3803.684570888805,2455.2635517340996,1439.9963465180663,1041.7166035578994
"Laval Ville, Laval Territory, Quebec, Canada",4627.195706211694,3619.2842738212435,2710.956054941209,2505.107264703011
"London City, Middlesex County, Ontario, Canada",4171.830792687308,2942.828203165928,2141.165631188529,1808.511706684886
"Markham City, York Regional municipality, Ontario, Canada",5526.181117107431,4025.12221907753,2809.773306051776,2338.5786636619573
"Vaughan City, York Regional municipality, Ontario, Canada",4978.145241434114,3753.767684344043,2485.673754630493,2026.5233029403664
"Gatineau Ville, Gatineau Territory, Quebec, Canada",3716.86266888139,2733.535408141953,1540.0157489904157,1253.7469080634207
"Saskatoon City, Division No. 11, Saskatchewan, Canada",3836.8115166464495,2820.9669802968087,1937.3547805562357,1470.7968381970759
"Kitchener City, Waterloo Regional municipality, Ontario, Canada",4493.871417718155,3269.113802485901,2309.7922091151236,1964.667138108434
"Longueuil Ville, Longueuil Territory, Quebec, Canada",4889.367154223563,4114.062460066372,3316.567646303259,2787.119861593318
"Burnaby City, Greater Vancouver Regional district, British Columbia, Canada",7640.457638621223,6201.861399655901,3933.3507727364804,3136.831209987202
"Windsor City, Essex County, Ontario, Canada",3506.790216981389,2850.6206458624097,1965.6056820804772,1487.3178268074225
"Regina City, Division No. 6, Saskatchewan, Canada",3445.1433520238666,2778.9219468524925,1856.6680953061634,1336.9018289935364
"Oakville Town, Halton Regional municipality, Ontario, Canada",4120.644633190584,3253.7238170191854,2154.973742284688,1612.281828309872
"Richmond City, Greater Vancouver Regional district, British Columbia, Canada",6980.146296979487,5490.312913613502,3651.0958404015723,2560.484406997078
"Richmond Hill Town, York Regional municipality, Ontario, Canada",5144.733452659994,3563.967085441217,2552.4918630424227,2146.047633215854
"Burlington City, Halton Regional municipality, Ontario, Canada",4237.816016955249,3138.310065308751,1908.679313811179,1355.6820344780895
"Oshawa City, Durham Regional municipality, Ontario, Canada",3985.937220743067,3062.748885439902,2250.0389453411412,1848.6066034790276
"Sherbrooke Ville, Sherbrooke Territory, Quebec, Canada",2987.5074176655744,2106.123844507773,1402.4492115138876,1030.8562835309656
"Greater Sudbury / Grand Sudbury City, Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",2258.0778305971467,1321.9413945074587,698.708848656579,445.40990210516316
"Abbotsford City, Fraser Valley Regional district, British Columbia, Canada",3943.0600867289377,2982.1033983001025,1961.5559462253884,1263.1533767505523
"Lévis Ville, Lévis Territory, Quebec, Canada",2655.8818590159967,1795.0998448959717,875.9692041473621,706.8703961408012
"Coquitlam City, Greater Vancouver Regional district, British Columbia, Canada",5609.365873883492,4176.063254643954,2838.1593119280533,2201.3567200576354
"Barrie City, Simcoe County, Ontario, Canada",3504.4879879718846,2622.1304598844736,1545.6326640756724,1075.1315005127044
"Saguenay Ville, Le Saguenay-et-son-Fjord CDR, Quebec, Canada",2184.160738509956,1366.0594140072208,786.5638454091687,517.3545749855772
"Kelowna City, Central Okanagan Regional district, British Columbia, Canada",3337.968246329364,2206.5951395644493,1312.1933913209778,835.2034707257046
"Guelph City, Wellington County, Ontario, Canada",3806.8730697834303,2732.1890669271197,1827.8422258243609,1261.8630775152776
"Trois-Rivières Ville, Francheville CDR, Quebec, Canada",2817.0373920097954,1963.196629336536,1220.2322271461,947.5107926870745
"Whitby Town, Durham Regional municipality, Ontario, Canada",3746.340079978194,2911.5959294945874,1969.494302307559,1552.3444883554832
"Cambridge City, Waterloo Regional municipality, Ontario, Canada",3691.835730155476,2660.049603778934,1575.0299364807706,1037.0186768495475
