longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Toronto Population Center, ON, Canada",0.07001041952196371,0.21288902634479628,0.30062981867266403,0.4864811549825397,0.6059772132849442,0.26321572390730036,0.13080706280775534
"Montréal Population Center, QC, Canada",0.07788894648562977,0.30263948127721696,0.3415180521564192,0.35584246656636376,0.6130908893624577,0.28990680861614343,0.09700230202139883
"Vancouver Population Center, BC, Canada",0.07992170769690118,0.23832674799648818,0.30831645931488644,0.4533567926886255,0.5995822521655175,0.2820686042594146,0.11834914357506801
"Calgary Population Center, AB, Canada",0.0579005742076247,0.18835469573747438,0.30989020553748375,0.5017550987250419,0.5555514476484549,0.28883126931398534,0.15561728303755976
"Edmonton Population Center, AB, Canada",0.05751451074862866,0.2019838498026326,0.32498115700103775,0.4730349931963297,0.5509053266744555,0.31665925619152924,0.13243541713401533
"Ottawa - Gatineau Population Center, QC-ON, Canada",0.06752877925144884,0.20960927614745686,0.3215420080030614,0.4688487158494818,0.5161849091134982,0.33189184760535456,0.1519232432811473
"Winnipeg Population Center, MB, Canada",0.08314832366943353,0.25895863355030463,0.3543341919343178,0.38670717451537756,0.6257086782305962,0.2937748003051203,0.08051652146428356
"Québec Population Center, QC, Canada",0.053889774366085434,0.2960427951027659,0.3578164501542214,0.34614075474301276,0.5607359402529157,0.35170192702913633,0.08756213271794802
"Hamilton Population Center, ON, Canada",0.056937674559269714,0.22372164710928155,0.3218628253750643,0.45441552751565417,0.5827122318089014,0.2970413396742973,0.12024642851680141
"Kitchener Population Center, ON, Canada",0.06698692687244112,0.21536135400073766,0.33382453130703627,0.45081411469222604,0.5906545022357141,0.30135006938544245,0.10799542837884339
"London Population Center, ON, Canada",0.06506274128859084,0.28017631421182354,0.35926754546169964,0.36055614032647687,0.6242601999850432,0.28448853458069306,0.09125126543426366
"Victoria Population Center, BC, Canada",0.04640684925313953,0.2420702360152979,0.3424253014352425,0.41550446254945944,0.5505832986944245,0.3343619628512692,0.11505473845430643
"Halifax Population Center, NS, Canada",0.06609417386984938,0.27660609377381845,0.36137673052402536,0.36201717570215614,0.6039441790106986,0.3045560728232039,0.0914997481660975
"Oshawa Population Center, ON, Canada",0.03264860346372259,0.17095028570469273,0.31299418703981463,0.5160555272554926,0.572052925708008,0.30108907813718316,0.12685799615480878
"Windsor Population Center, ON, Canada",0.05119854377725619,0.2627729650250478,0.35644900221865616,0.38077803275629585,0.6348424933862299,0.27203839605671587,0.09311911055705423
"Saskatoon Population Center, SK, Canada",0.05219227634080099,0.23931086113290342,0.3420448913089166,0.41864424755818,0.5770339688219934,0.3131093919566837,0.10985663922132277
"St. Catharines - Niagara Falls Population Center, ON, Canada",0.050078799614420966,0.29689539780032553,0.3714513303659648,0.3316532718337096,0.6749550857709941,0.25849082448303434,0.0665540897459717
"Regina Population Center, SK, Canada",0.04544219985922809,0.2181785378287776,0.3429297156414041,0.4388917465298184,0.5431159680120216,0.33890083577861485,0.11798319620936344
"St. John's Population Center, NL, Canada",0.05208417723114052,0.2689141373831541,0.3189880701463919,0.4120977924704541,0.5860763124874309,0.2991059077096563,0.11481777980291294
