longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Houston CCD [CCD], Harris County, Texas, USA",0.9885124666238829,3.7273715026828675
"Phoenix CCD [CCD], Maricopa County, Arizona, USA",0.9822547026118535,3.4742671508236724
"Chicago city [CCD], Cook County, Illinois, USA",1.0,1.9382805922943935
"Brooklyn borough [CCD], Kings County, New York, USA",1.0,1.55116796767886
"Los Angeles CCD [CCD], Los Angeles County, California, USA",1.0,2.039566516735113
"San Diego CCD [CCD], San Diego County, California, USA",0.9902205596236894,3.930807752072674
"Queens borough [CCD], Queens County, New York, USA",1.0,1.9577164803774574
"Las Vegas CCD [CCD], Clark County, Nevada, USA",0.9993636614976986,3.1257586681720655
"San Fernando Valley CCD [CCD], Los Angeles County, California, USA",0.9993736843968445,2.8116490375824457
"San Jose CCD [CCD], Santa Clara County, California, USA",0.98579517162684,3.820157472141209
"Manhattan borough [CCD], New York County, New York, USA",1.0,0.8418092686749526
"Anaheim-Santa Ana-Garden Grove CCD [CCD], Orange County, California, USA",0.9971931760201816,2.40754330815846
"Northeast Dallas CCD [CCD], Dallas County, Texas, USA",0.9704535404825311,3.8275744392647884
"Philadelphia city [CCD], Philadelphia County, Pennsylvania, USA",1.0,1.551646646319391
"Bronx borough [CCD], Bronx County, New York, USA",1.0,1.2825768322255924
"Sacramento CCD [CCD], Sacramento County, California, USA",0.9471813915364278,4.525379965240734
"Seattle CCD [CCD], King County, Washington, USA",1.0,2.7870567790364413
"Salt Lake City CCD [CCD], Salt Lake County, Utah, USA",1.0,2.9087137878804996
"Southwest Dallas CCD [CCD], Dallas County, Texas, USA",0.9826513435317029,4.064829096393314
"Miami CCD [CCD], Miami-Dade County, Florida, USA",1.0,2.1245550718292696
"East San Gabriel Valley CCD [CCD], Los Angeles County, California, USA",1.0,3.0677771181711755
"Fort Worth CCD [CCD], Tarrant County, Texas, USA",0.9371984588369675,5.344367878992356
"Austin CCD [CCD], Travis County, Texas, USA",0.9562071395613152,3.439304061508741
"Tucson CCD [CCD], Pima County, Arizona, USA",0.8908205941337989,5.245063891317944
"Columbus city [CCD], Franklin County, Ohio, USA",0.9974475938514967,3.661314018712233
"Township 1, Charlotte [CCD], Mecklenburg County, North Carolina, USA",0.9390258118044492,5.500404055788728
"Northwest Harris CCD [CCD], Harris County, Texas, USA",0.9608690009062233,4.5904997396288
"San Bernardino CCD [CCD], San Bernardino County, California, USA",0.986126357476203,3.708063207888482
"Hempstead town [CCD], Nassau County, New York, USA",1.0,3.1105080056788523
"Fresno CCD [CCD], Fresno County, California, USA",0.9675364234448134,4.098696208625625
"Denver CCD [CCD], Denver County, Colorado, USA",0.9980223011748789,3.2626287982839295
"Tampa CCD [CCD], Hillsborough County, Florida, USA",0.9967136810428473,3.2281597139772806
"Washington city [CCD], District of Columbia, District of Columbia, USA",1.0,1.7705686727253025
"Boston city [CCD], Suffolk County, Massachusetts, USA",1.0,1.4662045695872319
"San Antonio Central CCD [CCD], Bexar County, Texas, USA",1.0,3.464129517657383
"Oceanside-Escondido CCD [CCD], San Diego County, California, USA",0.9939417379461939,5.006840645414892
"Ontario CCD [CCD], San Bernardino County, California, USA",0.9914912239523788,3.4186353532684013
"Orlando CCD [CCD], Orange County, Florida, USA",1.0,3.809123548789445
"Albuquerque CCD [CCD], Bernalillo County, New Mexico, USA",0.9329605278551206,4.70383306003144
"Seattle East CCD [CCD], King County, Washington, USA",0.9931565239834506,4.247968343924184
"Detroit city [CCD], Wayne County, Michigan, USA",1.0,3.654467820618719
"Tulsa CCD [CCD], Tulsa County, Oklahoma, USA",0.957121671905205,3.7890120840173798
"Atlanta CCD [CCD], Fulton County, Georgia, USA",0.96038360306256,3.678411512480445
"Northeast Tarrant CCD [CCD], Tarrant County, Texas, USA",1.0,3.014452426391038
