longname,Population (2010),Population Change (2010-2020),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),AW Density (2010),White % (2010),Hispanic % (2010),Black % (2010),Asian % (2010),Native % (2010),Hawaiian / PI % (2010),Other / Mixed % (2010),Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Housing Units per Adult (2010),Vacancy % (2010),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020)
"New York-Newark CSA, NY-NJ-CT-PA, USA",23075278.0,0.05930554769481,7926.572099222068,0.08417001735199178,604.9050513069478,0.5280856854682314,0.21318434386792653,0.14902312336172072,0.08726239397852542,0.001633999815733531,0.00025694164984707877,0.02055351185801532,0.5865196323061677,-0.07221745266630486,0.3595020247784521,-0.06103642819443378,0.16654249445720137,-0.018378482871113128,0.5188691040304076,0.08123918099693067,10954.663351866118,0.06361930447245305,9359.89630041255,0.07466141191475906,6615.952928309289,0.09151437518421156,5587.204950048966,0.10051616142984926
"Los Angeles-Long Beach CSA, CA, USA",17876289.0,0.04295186769468764,3568.861753410454,-0.00030751027593774546,202.01795046210245,0.33584968334311444,0.4491304095609553,0.06565585284507316,0.12094864879394152,0.002625936512885868,0.0024539209452252644,0.02333554799880445,0.527755929997528,-0.032126894636583025,0.2907503165383143,-0.0381216704347625,0.12764078057264489,-0.018394193871266062,0.4709415058775095,0.07501443689719972,5153.836081153481,-0.011778862750027689,4150.884525127039,-0.008242935670264384,3122.6184399538147,0.0008043421766655215,2683.6996112791376,0.0046894861534278855
"Chicago-Naperville CSA, IL-IN-WI, USA",9839914.0,0.01474281177660699,2954.7598847846853,0.03094200483471262,352.2875394451504,0.5605164841887845,0.20176568616351728,0.16714739580041046,0.053785429425501075,0.001369727418349388,0.00020731888510407712,0.015207958118333148,0.646369857665502,-0.0675495652607001,0.4241762129360832,-0.06634011583879323,0.1739917104100482,-0.018267852944413715,0.536331250154292,0.08421182279091188,4284.034325066098,0.02358244701564836,3511.4163988043297,0.030691230232534023,2517.773880101915,0.026081124266033408,2185.3358882138327,0.022078874593130068
"Washington-Baltimore-Arlington CSA, DC-MD-VA-WV-PA, USA",9051897.0,0.10197155358705473,1993.8035127653413,0.08378742495039757,267.7384087622298,0.5485364007124695,0.102858218559049,0.2482000181840337,0.07134670224373962,0.002284603989638857,0.0005129311568613739,0.026261125154208007,0.5878628588211108,-0.07981768260901245,0.3366982245479861,-0.05628883597122614,0.12211049279331604,-0.009461826568483392,0.530379668847335,0.07204355084212874,3804.3249327475382,0.07200009140671614,2506.2653518889942,0.07610259198032183,1671.1577125364545,0.08092775085616977,1411.5743835177848,0.07985529125523765
"San Jose-San Francisco-Oakland CSA, CA, USA",8153643.0,0.089028425698795,3303.2917541344264,0.07237093039598794,302.7786344438222,0.4238998445234848,0.2530667580123388,0.06271760978497587,0.21491914718365765,0.003075803049017476,0.005470928761536408,0.036849908684989024,0.45458470228207515,-0.03593574772863711,0.2261507659603246,-0.022964504799954544,0.10484214502059858,-0.014057883830836629,0.498963566032176,0.06536359935553784,4765.39923097174,0.0640651167621819,3875.3530894154956,0.06802179960272897,2780.595662208791,0.08404330498097023,2173.4191891547885,0.08616780704429369
"Boston-Worcester-Providence CSA, MA-RI-NH-CT, USA",7891571.0,0.07257984500171132,2048.8978328951985,0.10725553098562633,297.93542097497686,0.7817795721536308,0.08742644525405652,0.05231848005929365,0.04866242729109324,0.0019746385098733826,0.00024076321432069735,0.02759767351773177,0.7211890117417599,-0.09692189895520875,0.2578354646565311,-0.03175607110942599,0.07178244972033793,0.005936263190834304,0.5463057239711797,0.09044109252282267,3298.7748013884147,0.07327825632356794,2475.710867684286,0.09747562618002331,1712.280183132503,0.11291191881035295,1401.6241837561638,0.1130774301843033
"Dallas-Fort Worth CSA, TX-OK, USA",6851400.0,0.1920337449280439,1490.2208941109939,0.05897961581662665,154.07594083670597,0.5215191055842602,0.2647552325072248,0.14111218145196602,0.04971684619201915,0.00487477011997548,0.0008713547596111744,0.017150509384943224,0.5578890677355105,-0.07331831504487307,0.3040814749958675,-0.04999546183137471,0.127570585468134,-0.011762493000091023,0.5481453956004406,0.08707409967207329,2665.941579745707,0.04864197837148334,1857.3175978104587,0.048264267302736544,1240.3803299319607,0.07347462620887013,1049.6299642395006,0.0946981960614754
"Philadelphia-Reading-Camden CSA, PA-NJ-DE-MD, USA",7067775.0,0.04413128601292486,2469.268078711028,0.05722099303058631,358.68839994060994,0.6540165752305358,0.0904979289804783,0.18862074698190023,0.04601971624733385,0.0018005666564088415,0.00025722380805840594,0.018787242095284585,0.675699990511316,-0.08526389834001169,0.383673465377054,-0.07284039728090846,0.1523219206524766,-0.01361056702459168,0.542744928248774,0.09191579392641473,3838.0091663324597,0.024594623404282503,2940.294249178292,0.04788856901043781,2086.297012566256,0.06067659850112021,1732.627692354023,0.05981525366671218
"Houston-The Woodlands CSA, TX, USA",6114562.0,0.19809317494858994,1633.7928941278128,0.055464859437330406,178.6599324749937,0.40088447872472305,0.3505071990438563,0.1681698541939717,0.06319471451920841,0.0023376981049501176,0.0004811464827734186,0.014424908930517018,0.5325964402208998,-0.060627663678971155,0.3165813572454679,-0.06217991720087057,0.1499494906586755,-0.02599879680359833,0.5380534985369265,0.10284465644726647,3347.4982788481675,0.011244891306966983,2089.75041855439,0.033333918752316866,1378.0568039580437,0.07116698886381402,1192.297687665697,0.08619918466772654
"Miami-Fort Lauderdale-Port St. Lucie CSA, FL, USA",6166143.0,0.10680306960120775,2331.3729929479214,0.08480209324880932,290.5963693630556,0.3824238263692555,0.3894945349142892,0.18984136436667134,0.02105108493267185,0.001468503082072537,0.00032337881233049576,0.01539730752270909,0.5944128391993772,-0.04414307379512683,0.3904433953163014,-0.05784839328427216,0.13609746709648007,-0.023848793399975365,0.572977608487381,0.15427855763485368,4010.530610241749,0.08405168996886327,2783.7455457672813,0.08469722414136714,2003.4400367720264,0.07660689808868074,1707.9329662608045,0.07506953849739356
"Atlanta--Athens-Clarke County--Sandy Springs CSA, GA, USA",5910299.0,0.14745937557473826,852.2678035608549,0.13893200447149434,188.79619857191938,0.5268114185086068,0.10646331090863592,0.3003443649805196,0.044812961239355235,0.0020147880843253444,0.00038695165845247426,0.019166204620104668,0.6203093624219462,-0.06828674283682168,0.386214819513862,-0.05327568258780657,0.1296760937055236,-0.014807390648150578,0.556952676315185,0.10516103884854697,2811.7282947325702,-0.05187601506967765,1190.321458435714,0.05954918817201349,738.6712425334023,0.15289003818020028,667.3017577891526,0.15332721326658094
"Detroit-Warren-Ann Arbor CSA, MI, USA",5318744.0,0.01991165583453537,1335.1114409672898,0.007825319275812393,305.6285150996012,0.696140667796758,0.03895449752798781,0.20845786148007875,0.0324749602537742,0.0030484640734729854,0.00019365474254824072,0.020729894125379976,0.7504538982948388,-0.07973357563321382,0.46774189295157415,-0.09570805432965351,0.13378040811892147,-0.008084016366734836,0.5774404902285263,0.10582670220050075,2091.226186162443,0.02508282959220083,1560.400363717739,0.015626242209139496,1173.1356325117865,-0.00620112716714418,1048.5787299316685,-0.014708214142299414
"Seattle-Tacoma CSA, WA, USA",4274575.0,0.15874513840557247,1547.8760282858027,0.23362203808357193,130.93030318263428,0.7036928817484779,0.08850564091166958,0.047038594480153,0.09847669066515384,0.009935022780042461,0.00753010533210904,0.044821064082394155,0.5804819183628168,-0.09916686715382922,0.13163312394299406,-0.007006653296303594,0.04625210931998574,0.0035775198617139653,0.5560889720054334,0.08071505516079097,2678.420171260565,0.20434714636667245,1875.5412993599,0.22305407591843376,1296.2827626443777,0.228682453724306,1043.5238096388666,0.2077916949161346
"Minneapolis-St. Paul CSA, MN-WI, USA",3684928.0,0.10075909217222155,1238.6502129970704,0.0965241473285026,121.34783422211962,0.7992492662000451,0.05218528014658631,0.06705287050384702,0.05225583783455199,0.005999303107143477,0.0003568590756725776,0.022900583132153464,0.7195696085591987,-0.08782252998003937,0.20029901322295832,-0.015645442179317043,0.05449619912465749,0.008955598813030916,0.5508228953951676,0.06423554059168508,2142.2165835036863,0.0823151903407089,1489.8264140323208,0.09515045593077785,1075.1261974918252,0.10313512365449573,929.53017007617,0.11033371206204515
"Denver-Aurora CSA, CO, USA",3090874.0,0.17234154481871472,1774.9843906929714,0.08928628968661714,90.68025367211833,0.6723913689137765,0.22067771122342741,0.04518236589391868,0.034560774719383576,0.0048164370336675,0.0009583049972273214,0.02141303721859901,0.6161887558941899,-0.0681320518975368,0.22561935567256894,-0.04812458137067857,0.07880862730055375,-0.011677279783832095,0.5597294319189415,0.06694263367263997,2781.265444561502,0.07989237074673697,2097.6805548003076,0.08820050558912113,1526.2343106569156,0.09640639924328197,1294.067235124718,0.10270627291312455
"Cleveland-Akron-Canton CSA, OH, USA",3514635.0,0.0005172656620104221,1183.990472595928,-0.031989530566349116,228.01702621758037,0.7757991939419029,0.035906431251040295,0.1517161810543627,0.016598594164116614,0.001667883009188721,0.0001792504769343047,0.01813246610245445,0.7820732928915552,-0.07746585138229056,0.41625600056576556,-0.08463361899643951,0.0920974528785932,-0.005278631947661497,0.5895968310822501,0.10148332784649391,2081.11658440586,-0.035928825273294586,1430.0471778489896,-0.02711675680399545,1002.4534444692922,-0.035506577436165615,839.565171106537,-0.030098948974405126
"Orlando-Deltona-Daytona Beach CSA, FL, USA",2818125.0,0.23204222665779553,1057.6631908815368,0.13252482544598013,170.95307892643396,0.5890611665557773,0.21571292969616324,0.13783952095808383,0.033058860057662454,0.0024406298514082947,0.0006727877578176979,0.021214105123087156,0.5700191292481231,-0.07087696578367875,0.2663443938145336,-0.03391383411219548,0.10216146953773181,-0.01530587467365735,0.5866946216656702,0.1568252461518417,2886.0626078233527,0.041996557142570765,1485.6089642534412,0.0708708084760739,884.1234226053383,0.13780231705732707,758.2530478685993,0.1309838689743884
"Portland-Vancouver-Salem CSA, OR-WA, USA",2921413.0,0.12299630350107979,1620.9322690438116,0.11126354424299498,87.3670515098689,0.765570290814753,0.11983755805837791,0.022465841015974118,0.04786040179871864,0.007941362621443801,0.004389998949138653,0.03193454674159388,0.6561355900349065,-0.09400836577767346,0.13091761730161433,-0.020108551251743725,0.03938503825815992,7.216282343752017e-05,0.5409699940161569,0.06190101820671957,2519.172505232956,0.09980926586324164,1901.2213548595792,0.10775148879132275,1367.6690468033783,0.1147820464490469,1118.7305423995829,0.11945202922379695
"St. Louis-St. Charles-Farmington CSA, MO-IL, USA",2892497.0,0.011203814558839646,1138.3134311087695,-0.022923565319140454,122.55282122504404,0.7557732989869999,0.025266750492740356,0.17885031514293706,0.02077720391758401,0.002069146484853744,0.0003343132248711062,0.016928971750013913,0.7832935758308402,-0.08221630132801794,0.4522039983184084,-0.09956944299010584,0.08806076324175997,-0.012550689697452724,0.5757979556003212,0.09400763848998384,2067.7314052053734,-0.03502598577638068,1377.5368829163328,-0.028867770101291653,979.5155708935886,-0.02091485679925038,822.42500872931,-0.017847606977289578
"Charlotte-Concord CSA, NC-SC, USA",2375514.0,0.17881351151792832,661.1312625957215,0.19781066592940552,151.6061235475682,0.6535461378042815,0.08733309927872453,0.21214271942830057,0.025954803886653582,0.0034329412497674187,0.00037760248939808396,0.017212695862874307,0.6473007866165101,-0.08954798442089018,0.3209746043641379,-0.06573024525909338,0.12462958503238673,-0.011893096574704665,0.5680458572055314,0.09465679964613909,1819.0244509719876,0.12143616078914085,886.5753541329296,0.1764146257421304,566.2426300242981,0.20263235441544103,496.4608614668982,0.20448463014311555
"Salt Lake City-Provo-Orem CSA, UT, USA",2271696.0,0.18903629711017672,1640.3780609123626,0.054048129332835676,34.57670486925185,0.7937338446693571,0.13869109247011924,0.010534860298208916,0.021941756291334755,0.00542458145808242,0.009669867799212572,0.02000399701368493,0.6993611501017524,-0.07339615254096454,0.14026066141847457,-0.022164969738837054,0.03753997758864868,-0.0005000393387504312,0.4971289695732628,0.07236654518308078,2431.4164068825175,0.06267410659872748,1922.5687939737452,0.053755033224751204,1398.2546190336686,0.06304340139417432,1128.0008976650433,0.07947871452393232
"Sacramento-Roseville CSA, CA, USA",2414779.0,0.11017654203552375,1703.0582460416097,0.08924672408768868,123.76956580862175,0.5686068994305483,0.2018714756091551,0.0640224219276381,0.11179739429570988,0.006453592647608746,0.006417150389331694,0.040831065700008155,0.4880848207119685,-0.06418351883227391,0.1712603662247871,-0.02007310250957567,0.05861801775659688,-0.002607787872457759,0.5424792418727776,0.10054225470216648,2769.1706161258217,0.03882572139264804,2045.6267317043028,0.07726200707959043,1434.1503828736343,0.10011309715011958,1173.6561050762587,0.11095961626180273
