longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"New York-Newark CSA, NY-NJ-CT-PA, USA",0.8819951748758389,0.40098536531616075,0.17102814269734093,0.1781180950702942,0.14077997147582869,0.08208729877003788,0.005368079805582182,0.016813171812790073,0.014773407992220239
"Los Angeles-Long Beach CSA, CA, USA",0.8230721279279399,0.32112819880181015,0.11415267318903877,0.14718015655724145,0.11048394275304554,0.06346409949152318,0.004413957089854148,0.007801670252161164,0.002296696520617189
"Chicago-Naperville CSA, IL-IN-WI, USA",0.8979756786842775,0.3776852279331235,0.15099457247961107,0.1641973119097231,0.13003867144806636,0.08344924457533401,0.011619918217086078,0.01809955898541954,0.014661722256125637
"Washington-Baltimore-Arlington CSA, DC-MD-VA-WV-PA, USA",0.9163208798855138,0.4608729662417559,0.2223732258351314,0.23550274916427089,0.14294749428508463,0.08242272279240033,0.010861163661458617,0.0062804277628337735,-0.0001870756180981925
"San Jose-San Francisco-Oakland CSA, CA, USA",0.8883876626508118,0.4591625483499448,0.19563594638298837,0.26031710052079127,0.12432879360524883,0.07451665422390474,0.0014904999465923385,0.004174859032816558,-0.012798439815917051
"Boston-Worcester-Providence CSA, MA-RI-NH-CT, USA",0.9161859635248524,0.4254419226458157,0.18677618210321936,0.208662937887788,0.1385937931801335,0.07818519157789422,0.00788999308200844,0.013125000559238598,0.012536857956086445
"Dallas-Fort Worth CSA, TX-OK, USA",0.8711688021981611,0.3449818036793294,0.12139013359133621,0.14880789242248632,0.1055656269136039,0.09060828434323923,0.01811803311077942,0.0029196374466600172,-0.0038620953551909143
"Philadelphia-Reading-Camden CSA, PA-NJ-DE-MD, USA",0.9124878771732081,0.36545120456513724,0.14911342238761421,0.16402115254035093,0.1249483857600082,0.07648166626477815,0.010099559229931998,0.014362255707266958,0.013944398999586244
"Houston-The Woodlands CSA, TX, USA",0.8502998264793347,0.3249396689735214,0.11903597902395692,0.15860964480129,0.08785865157425864,0.0784713725979728,0.02467317342270592,0.013552800950565103,-2.6934270793504966e-05
"Miami-Fort Lauderdale-Port St. Lucie CSA, FL, USA",0.8718401804157643,0.3243247442784691,0.12336448600672888,0.13884393850560547,0.10037309400417924,0.0851077117686844,0.006300348804778033,0.006012897764352376,-0.003320289885460792
"Atlanta--Athens-Clarke County--Sandy Springs CSA, GA, USA",0.9020513932466742,0.37712299615985373,0.14534116836386946,0.16273955317371447,0.1210356909522545,0.09334775203388472,0.018825446030520276,0.016667566384576504,0.016847088971818164
"Detroit-Warren-Ann Arbor CSA, MI, USA",0.91537461169927,0.31923678275687434,0.13155983724099984,0.15058310427998117,0.10089925388020884,0.06775442459668438,0.009192859059732106,0.0040444145205040805,-0.0016967810567468378
"Seattle-Tacoma CSA, WA, USA",0.934311589858004,0.40611673364742273,0.15633866037297836,0.2130410246710927,0.12609828927654618,0.06697741969978387,0.006264963299925319,0.008882122608411203,0.0024153081831649603
"Minneapolis-St. Paul CSA, MN-WI, USA",0.9402930633248568,0.4086981560646517,0.14273940185529604,0.18078025895262873,0.14183697602319584,0.08608092108882714,0.004832205556339675,0.023057973614237115,0.01238555904592517
"Denver-Aurora CSA, CO, USA",0.921656453443696,0.4468788884684846,0.1688871812674798,0.21331879688103383,0.14179087011978922,0.09176922146766159,0.010291188379588534,0.015164714676251523,0.009459548187407879
"Cleveland-Akron-Canton CSA, OH, USA",0.9176734663264092,0.2931115805363255,0.1123697061085793,0.12286381524174386,0.10551724675084648,0.06473051854373517,0.011191389006577124,0.013478173865419496,0.011895059119974474
"Orlando-Deltona-Daytona Beach CSA, FL, USA",0.9082103799088738,0.3069592337105338,0.1076876580843871,0.1301092359653502,0.10081007246267883,0.07603992528250476,0.014680950302451201,0.010384724679100288,-0.0010155079161793396
"Portland-Vancouver-Salem CSA, OR-WA, USA",0.9228378894134711,0.3631191497536137,0.1369646292019589,0.17657895828061887,0.12712694881275066,0.05941324266024418,0.0157044016783352,0.013128303177684764,0.009649363732428223
"St. Louis-St. Charles-Farmington CSA, MO-IL, USA",0.9286803674339663,0.34005276071879387,0.1375735742550385,0.1422960368001286,0.1167794214286052,0.08097730249006009,0.009107366272339878,0.00987947719889315,0.01063547352032218
"Charlotte-Concord CSA, NC-SC, USA",0.901499251349095,0.3490066834525173,0.11868631941730277,0.14255848274137461,0.1156404858579307,0.09080771485321197,0.024003592626252734,0.00882687898432366,0.005148094249647392
"Salt Lake City-Provo-Orem CSA, UT, USA",0.9340392141963798,0.35829142433799926,0.12045830986899392,0.15843407935123832,0.13032650717656438,0.06953083781019652,0.009305790019658033,-0.040521809884625726,-0.043902199537951256
"Sacramento-Roseville CSA, CA, USA",0.8967885911238479,0.3322414564669231,0.11998113150715582,0.16492127729154296,0.10869123228254976,0.0586289468928304,0.012949924813791647,0.010417540833841998,0.00045175660477252133
"Pittsburgh-New Castle-Weirton CSA, PA-OH-WV, USA",0.9446148965050174,0.3380273276998357,0.13261450932682978,0.1507074981129679,0.11869045284321716,0.06862937674365059,0.006198893406887729,-0.005121386262622596,0.008303212659164977
"Columbus-Marion-Zanesville CSA, OH, USA",0.9192193392399954,0.33698782846221204,0.12610099815541648,0.14769444018896946,0.11642696879471193,0.07286641947853065,0.009340221658654002,0.012020713756442758,0.009277388419988958
"Las Vegas-Henderson CSA, NV-AZ, USA",0.8702716557598761,0.23470092179496194,0.08003578453326483,0.09668301070601933,0.07961947931954028,0.05839843176940234,0.004840215668941106,0.006936240888903572,0.001526202700575116
"Kansas City-Overland Park-Kansas City CSA, MO-KS, USA",0.9297268173995404,0.36077513553890406,0.13652323765107463,0.14642262514506194,0.1314111088423585,0.08294140155148362,0.010952466372031622,0.00898153881520658,0.005913347345159442
"Indianapolis-Carmel-Muncie CSA, IN, USA",0.9099107676766504,0.3289793145889333,0.11947261781046985,0.14155776297990677,0.11552421812861763,0.07189733348040894,0.012238702147281844,0.014648966132901675,0.00717245346614577
