longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"New York-Newark CSA, NY-NJ-CT-PA, USA",0.24864029528331927,0.24769752694122762,0.0009427683420916433
"Los Angeles-Long Beach CSA, CA, USA",0.28343327310867783,0.3100424822819881,-0.026609209173310278
"Chicago-Naperville CSA, IL-IN-WI, USA",0.2999763563186976,0.31151522302477036,-0.011538866706072737
"Washington-Baltimore-Arlington CSA, DC-MD-VA-WV-PA, USA",0.3572404979591555,0.3004280547899188,0.056812443169236726
"San Jose-San Francisco-Oakland CSA, CA, USA",0.5149238031377696,0.5321810589781341,-0.017257255840364416
"Boston-Worcester-Providence CSA, MA-RI-NH-CT, USA",0.27634367322733655,0.21131027348446893,0.06503339974286762
"Dallas-Fort Worth CSA, TX-OK, USA",-0.028130784435964742,-0.10196993780768866,0.07383915337172392
"Philadelphia-Reading-Camden CSA, PA-NJ-DE-MD, USA",0.25266107360851237,0.23385983582872488,0.018801237779787483
"Houston-The Woodlands CSA, TX, USA",-0.002217717005720904,-0.02314538321568235,0.020927666209961445
"Miami-Fort Lauderdale-Port St. Lucie CSA, FL, USA",0.1263241597226278,0.22463664090381755,-0.09831248118118974
"Atlanta--Athens-Clarke County--Sandy Springs CSA, GA, USA",0.11075167557089093,0.04161648708055783,0.0691351884903331
"Detroit-Warren-Ann Arbor CSA, MI, USA",0.13939819027612466,0.11294178438656269,0.026456405889561968
"Seattle-Tacoma CSA, WA, USA",0.3154139983461698,0.2896533291767213,0.02576066916944847
"Minneapolis-St. Paul CSA, MN-WI, USA",0.15893290225133389,0.09408411024975284,0.06484879200158104
"Denver-Aurora CSA, CO, USA",0.24800432866669758,0.16357550583674857,0.08442882282994901
"Cleveland-Akron-Canton CSA, OH, USA",0.04686908877170536,0.06271644520700664,-0.01584735643530128
"Orlando-Deltona-Daytona Beach CSA, FL, USA",0.026494106922456052,0.03420019038903639,-0.007706083466580339
"Portland-Vancouver-Salem CSA, OR-WA, USA",0.23461075244647625,0.19203760704805994,0.04257314539841631
"St. Louis-St. Charles-Farmington CSA, MO-IL, USA",0.017534340709451014,-0.020814877922315476,0.03834921863176649
"Charlotte-Concord CSA, NC-SC, USA",-0.020156293081515265,-0.06567187452097205,0.04551558143945678
"Salt Lake City-Provo-Orem CSA, UT, USA",-0.13452925885305803,-0.11622673896424787,-0.018302519888810154
"Sacramento-Roseville CSA, CA, USA",0.147418474196227,0.12634132015074606,0.02107715404548094
"Pittsburgh-New Castle-Weirton CSA, PA-OH-WV, USA",-0.055507769335868935,-0.07815053515675269,0.022642765820883752
"Columbus-Marion-Zanesville CSA, OH, USA",0.005430826091310085,-0.017633474802956167,0.02306430089426625
"Las Vegas-Henderson CSA, NV-AZ, USA",0.024451348103127456,0.03821936791045325,-0.013768019807325796
"Kansas City-Overland Park-Kansas City CSA, MO-KS, USA",0.031761119958580705,-0.028899990401712733,0.06066111036029344
"Indianapolis-Carmel-Muncie CSA, IN, USA",-0.07135527065425956,-0.12936817173222298,0.05801290107796342
"San Juan-Carolina CSA, PR, USA",,,
"Raleigh-Durham-Chapel Hill CSA, NC, USA",0.21984911822089478,0.19063903958775075,0.029210078633144038
"Cincinnati-Wilmington-Maysville CSA, OH-KY-IN, USA",-0.14261493343820789,-0.18383418212097935,0.041219248682771464
"Nashville-Davidson--Murfreesboro CSA, TN, USA",-0.13223502984193458,-0.1838688929143372,0.051633863072402614
"Milwaukee-Racine-Waukesha CSA, WI, USA",0.04286956952557262,0.02363736608505415,0.019232203440518472
"Virginia Beach-Norfolk CSA, VA-NC, USA",0.11923296684572686,0.0653752483411384,0.05385771850458845
"Jacksonville-St. Marys-Palatka CSA, FL-GA, USA",-0.14382614526559073,-0.18736827715147647,0.04354213188588574
"Greensboro--Winston-Salem--High Point CSA, NC, USA",-0.07810182783747668,-0.09459444594635709,0.016492618108880405
"Louisville/Jefferson County--Elizabethtown--Madison CSA, KY-IN, USA",-0.05530138342671771,-0.09823920321408136,0.04293781978736365
"Greenville-Spartanburg-Anderson CSA, SC, USA",-0.2968486218390083,-0.3260577499099095,0.029209128070901202
"New Orleans-Metairie-Hammond CSA, LA-MS, USA",-0.02096872582509725,-0.0448856451783293,0.023916919353232046
"Oklahoma City-Shawnee CSA, OK, USA",-0.1810171362363397,-0.25011281630522336,0.06909568006888367
