longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"New York-Newark CSA, NY-NJ-CT-PA, USA",0.04154869083231893,0.9372638099605748,3.5357829658512854,0.9206184643367206,0.7839636149183205,0.8300862755622394,18.357122479326,0.7639893518880271,7.50130561381479,0.5901230725051242,0.8073165891654348,0.9999533041063704,1.0
"Los Angeles-Long Beach CSA, CA, USA",0.019539485246043334,0.9622325743751016,3.5256250283665476,0.9638768471048952,0.7267821705115561,0.8531528108959243,18.925776889585045,0.4767794481356014,14.868585042952871,0.5342972773873313,0.8625754912326291,0.9980754832502833,0.9992999967176337
"Chicago-Naperville CSA, IL-IN-WI, USA",0.038437137545041425,0.9225597001576968,4.3238643112510635,0.9308363300003946,0.8341629911246409,0.6319441537300718,26.55795507818575,0.23475765905236484,17.718593506582845,0.4294151936119709,0.7600814900162183,0.9983170139229498,1.0
"Washington-Baltimore-Arlington CSA, DC-MD-VA-WV-PA, USA",0.03500434108697989,0.8619796243242938,5.556939749757359,0.85919444270954,1.2136098134302464,0.7007201953135925,26.608183389942972,0.37056429351455294,14.571894772131722,0.3503233798343258,0.6918130284785814,0.9980485628970445,1.0
"San Jose-San Francisco-Oakland CSA, CA, USA",0.034373863479398414,0.9583243473289015,3.701412232818198,0.9642513375397782,0.7264554303629149,0.6659751525668702,25.680187892465497,0.5179852039782651,12.897354755332003,0.5342364197715899,0.8497985227675763,0.9992072108306754,0.9999782145385812
"Boston-Worcester-Providence CSA, MA-RI-NH-CT, USA",0.02298150177933643,0.9022012348275235,4.545853018026054,0.8218354886500306,1.1970974546306792,0.7344043363097418,21.0034091748218,0.5024159001174339,11.197096919670706,0.3162811882681499,0.6147117894331267,0.9998483698124047,1.0
"Dallas-Fort Worth CSA, TX-OK, USA",0.027157398307025234,0.8766587895336165,5.292605920761641,0.879899597164232,1.2330786260576672,0.564550942194904,32.07801399562636,0.10466983384555105,27.677169892557867,0.2972125800094033,0.6593074821753903,0.9936809708990796,0.9999630716919667
"Philadelphia-Reading-Camden CSA, PA-NJ-DE-MD, USA",0.031387508992563574,0.914729558239952,4.353649766666893,0.8529168927942047,1.1471714256138776,0.8169164402003608,18.854152382923527,0.8520699731763619,6.416935441588628,0.3695071405283583,0.6814641551012506,0.9987130981345621,1.0
"Houston-The Woodlands CSA, TX, USA",0.01629179193559382,0.886927802572137,5.357752871406303,0.8822778079981545,1.2716399209994573,0.6291185349343383,28.1025155929125,0.4168895883939193,14.260566580116201,0.3259530267777243,0.6919857712572374,0.9949986098805634,0.9999990780307012
"Miami-Fort Lauderdale-Port St. Lucie CSA, FL, USA",0.023605889851474212,0.9805672215037542,3.4829167901196514,0.9074440715834499,1.0373815799282806,0.8321155519373289,20.882807048727283,0.5542339845848304,10.977136848532885,0.46450649454983683,0.849781653215905,0.9988986902564728,0.9998236130466605
"Atlanta--Athens-Clarke County--Sandy Springs CSA, GA, USA",0.010634175775230884,0.7659909688066403,6.945034512903459,0.7215255237968288,1.7698835631845244,0.33743601282722,39.30162264773973,0.003209754066307786,89.35621388474095,0.19945804144034252,0.5088823325212446,0.9989351431489679,1.0
"Detroit-Warren-Ann Arbor CSA, MI, USA",0.03293612220654899,0.8383535967027544,6.016864419312793,0.8559309551641037,1.251818673871691,0.5753389758489443,27.643964570029883,0.20903269501860858,22.676315073314672,0.2839694978805759,0.6578092754841256,0.9999965756410053,1.0
"Seattle-Tacoma CSA, WA, USA",0.03297856491569844,0.8483209549976651,5.808343993176388,0.8787727307691299,1.2041316439736247,0.7116653001942403,24.867896587942354,0.5101572880088461,14.6191388833495,0.31214481849213793,0.647672110338027,0.9976478500636936,0.9999507225552655
"Minneapolis-St. Paul CSA, MN-WI, USA",0.05576387105002943,0.7725598081759906,6.935933116441581,0.8242552545252745,1.4611395941618317,0.6570243512552826,26.78467073478523,0.5681989971939378,13.658812392780131,0.25306344815035176,0.5788615415688823,0.9959397872277527,1.0
"Denver-Aurora CSA, CO, USA",0.04355882429618527,0.9019914117608098,5.314930791954739,0.92015393701222,1.014941981305685,0.34632184923114284,36.886641077509964,0.4991814679486472,14.48433235568705,0.3213108656693029,0.7335184279900671,0.9917670350972783,0.999006217979254
"Cleveland-Akron-Canton CSA, OH, USA",0.02762687327434979,0.8352774798923802,5.660486706898623,0.7809224238174092,1.475275144628298,0.6639832808799094,27.277449011301073,0.11937625783708754,32.9323302136919,0.2827602197549105,0.6307297834752473,0.9995188322409452,1.0
"Orlando-Deltona-Daytona Beach CSA, FL, USA",0.018045328330205484,0.9013478784429597,5.495814759922646,0.7615526163369238,1.6611544785300816,0.7671781129817005,23.841352262419466,0.3588131964727456,18.174222668460576,0.25056904154938897,0.6148976938456773,0.9961234473741001,0.9997715982656264
"Portland-Vancouver-Salem CSA, OR-WA, USA",0.025098400729527248,0.8497663329204178,6.003396467645129,0.8908869838962964,1.1273100371265523,0.6360411200413566,31.54979176443781,0.4488117910127484,15.521860188324382,0.36579323939077446,0.7134781474078614,0.9963151297593158,0.9998608574261012
"St. Louis-St. Charles-Farmington CSA, MO-IL, USA",0.025155358632984657,0.8381813556957767,5.94067854460598,0.8366216463856592,1.407462003276682,0.6834894410209703,28.328250599324466,0.417427375394201,13.804325775713707,0.24550649474735398,0.581654448945301,0.995132440165984,1.0
"Charlotte-Concord CSA, NC-SC, USA",0.015545420255444682,0.7428446645487893,7.5526203099884075,0.7123156618176416,1.7827689588951978,0.6944464283673679,24.6376290133155,0.28498461586808216,14.75120974145501,0.20316833775002852,0.5320627733195606,0.9977787680404656,1.0
"Salt Lake City-Provo-Orem CSA, UT, USA",0.026327623041263577,0.8952952635731207,4.759736139587055,0.9517538777303861,0.897389592726177,0.8720457260649158,18.37188635421804,0.5547302627901148,14.32765294031734,0.30630501156708045,0.7267265003317982,0.9955524425174165,0.9989072317461537
"Sacramento-Roseville CSA, CA, USA",0.022349626442111834,0.8523506330686269,5.785726687403959,0.9048436846634496,1.0297935723434526,0.7659016924229838,23.61993554633936,0.4819259401282662,14.387236515682037,0.3594150562921531,0.7013426981297719,0.9951517293547153,0.9999556614966126
"Pittsburgh-New Castle-Weirton CSA, PA-OH-WV, USA",0.02198378991842996,0.8512240310436356,5.6319481798423245,0.7088914003393845,1.8159051119499536,0.5581132960228635,29.44438962684329,0.09746108913905545,25.31247370831621,0.21479504410692318,0.5220446030217298,0.9971187291640847,1.0
"Columbus-Marion-Zanesville CSA, OH, USA",0.031412215073616155,0.8204970975390401,6.160500663060433,0.7331001616321705,1.868036925670595,0.6699280045030597,27.616628432758496,0.049620919102155304,57.85231394766482,0.22209400557867764,0.533149485559774,0.9908696168967235,1.0
"Las Vegas-Henderson CSA, NV-AZ, USA",0.01715435599637002,0.9715806584071021,4.194247059808456,0.9347283880016709,1.0612690710160533,0.8956325269659675,19.669355038465618,0.0,212.28445440188773,0.3813239520480085,0.7418375471547429,0.9833480969953294,0.9942225758988965
"Kansas City-Overland Park-Kansas City CSA, MO-KS, USA",0.03213848522161051,0.8703977309577782,5.534518539160336,0.8625551876816191,1.3692705362699522,0.2775942362784164,42.72226690902349,0.32867655549772923,21.219053472861873,0.23998280993812027,0.6008263136930041,0.989687761612612,1.0
"Indianapolis-Carmel-Muncie CSA, IN, USA",0.01567240627940594,0.872870523495555,5.495017226263418,0.7586051673130021,1.6934744158418487,0.5287087655274956,35.305252343406046,0.31638739040181924,18.581368414556913,0.18078498300598744,0.4837638354018171,0.9935148674030453,1.0
"San Juan-Carolina CSA, PR, USA",0.007050180181660567,0.8188913099346657,5.566371666796059,0.8584404921743866,1.0862453994584889,0.6777732730682359,22.146251834060436,0.47056775455402106,12.01311410760592,0.21064855115802106,0.45141402012834553,0.9384126430546489,0.9917507990762361
"Raleigh-Durham-Chapel Hill CSA, NC, USA",0.022932808730381136,0.603581485369545,9.137929276810997,0.6881389074850239,1.943195236742346,0.6438937094123072,27.94589096691222,0.2402179264426621,20.254765262095482,0.21612166995382087,0.5319310917488047,0.9964277659164416,1.0
"Cincinnati-Wilmington-Maysville CSA, OH-KY-IN, USA",0.027947697534614187,0.8358695590556057,5.67374900733935,0.7627423593810845,1.6126677009897472,0.503019530907621,31.093572105527095,0.3790846737602786,16.50262446874785,0.19171788898484876,0.49507563832667667,0.9987256897861805,1.0
"Nashville-Davidson--Murfreesboro CSA, TN, USA",0.013594776160343148,0.7586696827765381,7.150641416977387,0.6620785775010521,2.122381073145892,0.5396615648496285,31.610387515372803,0.014888309681320742,60.85487564381706,0.18692173141799595,0.465600745990547,0.9945376396729196,1.0
"Milwaukee-Racine-Waukesha CSA, WI, USA",0.05056154008339596,0.8816717936329508,5.000777775785304,0.8329048955871724,1.2159391695762456,0.6406977219904968,27.48519727780468,0.3251321354610081,12.99573014522743,0.32163375214589873,0.6807643069908065,0.9999930938576264,1.0
"Virginia Beach-Norfolk CSA, VA-NC, USA",0.019174508380387322,0.8899709446341301,5.621666157766268,0.810719153779206,1.544310262247163,0.8422601593358774,20.23586460358464,0.6331482894824931,13.2835878220266,0.2952415784815343,0.6691331534578993,0.9952367622143918,1.0
