longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"New York-Newark CSA, NY-NJ-CT-PA, USA",0.7321390749572558,0.15564961970770474,0.11221130533503938,0.2678609250427388,0.18943174898872062,0.5427073259685405,0.6348954779914721,0.18579891224824552,0.17930560976028243
"Los Angeles-Long Beach CSA, CA, USA",0.7081238212408818,0.15835546225032093,0.13352071650879724,0.2918761787591098,0.15274734204076335,0.5553764792001267,0.5027632395708446,0.3480777772524302,0.14915898317672519
"Chicago-Naperville CSA, IL-IN-WI, USA",0.8286298598725416,0.09146033028993257,0.07990980983752573,0.17137014012746093,0.19159415274463606,0.6370357071279029,0.715410579573267,0.1679506483256299,0.1166387721011031
"Washington-Baltimore-Arlington CSA, DC-MD-VA-WV-PA, USA",0.8198937241086431,0.09853542257094947,0.08157085332040748,0.1801062758913592,0.40379117980483714,0.41610254430380356,0.7698696984394612,0.10149077813605573,0.128639523424483
"San Jose-San Francisco-Oakland CSA, CA, USA",0.6988025574112707,0.16674490468893244,0.13445253789979666,0.3011974425887303,0.18271606096000828,0.5160864964512615,0.5783674522854584,0.1790230816283448,0.24260946608619677
"Boston-Worcester-Providence CSA, MA-RI-NH-CT, USA",0.8372171340492295,0.08847340637023475,0.07430945958053588,0.16278286595076835,0.27394265285368036,0.5632744811955511,0.7747433349665646,0.08765127676577364,0.13760538826766186
"Dallas-Fort Worth CSA, TX-OK, USA",0.8213548393733608,0.068872441269279,0.10977271935736022,0.17864516062663552,0.275258985559169,0.5460958538141956,0.6965224921694706,0.21628152706642315,0.08719598076410624
"Philadelphia-Reading-Camden CSA, PA-NJ-DE-MD, USA",0.8905880954080825,0.06143473006133325,0.047977174530584234,0.10941190459191749,0.2735959863052797,0.6169921091028029,0.8308539213439047,0.07927731605662379,0.08986876259947145
"Houston-The Woodlands CSA, TX, USA",0.7694022007446316,0.09575514467595564,0.13484265457941277,0.23059779925537177,0.21836140079229388,0.5510407999523342,0.6107995842326622,0.2927098927553109,0.09649052301202676
"Miami-Fort Lauderdale-Port St. Lucie CSA, FL, USA",0.6157623729348233,0.23055656478385195,0.1536810622813249,0.38423762706517567,0.28427134197732307,0.3314910309575012,0.4924119329525782,0.3962068121336938,0.11138125491372812
"Atlanta--Athens-Clarke County--Sandy Springs CSA, GA, USA",0.8641536240939677,0.06483645325648027,0.07100992264955203,0.13584637590603346,0.37658164110438364,0.48757198298958293,0.8188238393461774,0.09589149514463169,0.08528466550919096
"Detroit-Warren-Ann Arbor CSA, MI, USA",0.905877151070089,0.05460349459759195,0.03951935433231907,0.09412284892991224,0.16069230346297314,0.7451848476071146,0.8711068035981558,0.027278113049445826,0.10161508335239833
"Seattle-Tacoma CSA, WA, USA",0.8273934462272793,0.08603724411175585,0.08656930966096472,0.17260655377271433,0.3806752861050266,0.446718160122259,0.7813764167764805,0.06398859673959309,0.15463498648392648
"Minneapolis-St. Paul CSA, MN-WI, USA",0.8978969821727714,0.05838551673559495,0.04371750109163377,0.10210301782722928,0.25105466514273156,0.6468423170300391,0.8590638972511323,0.04254814861946774,0.09838795412939991
"Denver-Aurora CSA, CO, USA",0.8847759714722272,0.05317127310815953,0.06205275541961331,0.11522402852777043,0.46030828903044174,0.42446768244178784,0.8095648035097163,0.1268659407971956,0.0635692556930881
"Cleveland-Akron-Canton CSA, OH, USA",0.9509591603425929,0.0295728906412522,0.01946794901615497,0.04904083965740774,0.17878334049905473,0.7721758198435376,0.9176156308757063,0.028520692733298058,0.053863676390995666
"Orlando-Deltona-Daytona Beach CSA, FL, USA",0.832165112788721,0.09084627549903843,0.07698861171224047,0.16783488721128131,0.49799063729009,0.33417447549862866,0.7060454051626345,0.21565663140062108,0.07829796343674453
"Portland-Vancouver-Salem CSA, OR-WA, USA",0.88209374904958,0.05932069833005456,0.05858555262036555,0.11790625095042039,0.432625416380322,0.4494683326692577,0.8221400274854492,0.09117447924965698,0.0866854932648939
"St. Louis-St. Charles-Farmington CSA, MO-IL, USA",0.9529055227461976,0.025925023009160133,0.02116945424464237,0.04709447725380172,0.26090195906560704,0.6920035636805911,0.9369866988484176,0.020209707393572758,0.04280359375800956
"Charlotte-Concord CSA, NC-SC, USA",0.8987202516340176,0.04090590419333964,0.06037384417264266,0.10127974836598251,0.40981484009177654,0.48890541154224104,0.8617531793041815,0.08378812210812761,0.05445869858769094
"Salt Lake City-Provo-Orem CSA, UT, USA",0.9078020510921512,0.03978573050948934,0.052412218398359384,0.09219794890785077,0.29313481571879363,0.6146672353733555,0.8348536065993891,0.11146481940502051,0.053681573995590245
"Sacramento-Roseville CSA, CA, USA",0.818996054780595,0.10478281751350081,0.07622112770590435,0.18100394521939814,0.19355513949571332,0.6254409152848884,0.7234297843557594,0.12362200228473483,0.15294821335950595
