longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"New York-Newark CSA, NY-NJ-CT-PA, USA",0.46504798564214933,0.240581915146477,0.14055115066129326,0.10984811262747113,0.0015774162496210691,0.000260393548131078,0.04213302612485717
"Los Angeles-Long Beach CSA, CA, USA",0.29376684077528187,0.46288181430391767,0.061347742603307026,0.13825670081632757,0.002474776348926087,0.0022844213150652573,0.038987703837174516
"Chicago-Naperville CSA, IL-IN-WI, USA",0.5115144924647836,0.22780351531930654,0.15780859695090085,0.06822536084691991,0.0011317997368447935,0.0002081125434177047,0.033308122137826586
"Washington-Baltimore-Arlington CSA, DC-MD-VA-WV-PA, USA",0.4786396059001098,0.13692412771093299,0.2408927458460122,0.0888873138295766,0.0018196613450937465,0.0005218080161540935,0.052314737352120555
"San Jose-San Francisco-Oakland CSA, CA, USA",0.35635942771417783,0.26478552007540024,0.055764093424114224,0.2589362365138139,0.0025295203619012632,0.005470322873380168,0.05615487903721236
"Boston-Worcester-Providence CSA, MA-RI-NH-CT, USA",0.7001767414825019,0.11702731695560434,0.05714964190946961,0.06491409844122518,0.0015956353360096593,0.0002342769784767625,0.05890228889671256
"Dallas-Fort Worth CSA, TX-OK, USA",0.4457563884365319,0.2842258574034847,0.1497317285205275,0.07417896193263214,0.004455681943407085,0.0011093288927526296,0.04054205287066401
"Philadelphia-Reading-Camden CSA, PA-NJ-DE-MD, USA",0.5937029832574154,0.11706692087805916,0.18523622620748717,0.06049865272027193,0.0014514169642742204,0.0002746729704587662,0.041769127002033286
"Houston-The Woodlands CSA, TX, USA",0.3420240614866742,0.37214098363117276,0.16944176176985087,0.08064549814594008,0.0020347224165502406,0.0006217738231172914,0.033091198726694575
"Miami-Fort Lauderdale-Port St. Lucie CSA, FL, USA",0.325717767182938,0.43027391949191657,0.1817461440829832,0.024859971990002207,0.0010790208398720766,0.000267264260174724,0.03605591215211322
"Atlanta--Athens-Clarke County--Sandy Springs CSA, GA, USA",0.458794295579304,0.12265631036351851,0.31202074131045493,0.0609438930034793,0.0017480537695736312,0.0003906026516744453,0.043446103321995194
"Detroit-Warren-Ann Arbor CSA, MI, USA",0.6550921543495256,0.050079553534247104,0.19911703042906556,0.046146764518773475,0.0023000566488264955,0.00023669734207687907,0.04702774317748485
"Seattle-Tacoma CSA, WA, USA",0.6074789280261038,0.11124007524111458,0.05244811223903691,0.13156070801913047,0.00849702905811522,0.010025957255827259,0.07874919016067172
"Minneapolis-St. Paul CSA, MN-WI, USA",0.7279894719662503,0.06489739949874489,0.08720118100161284,0.06658074097595346,0.005356714062212633,0.00032567283119398413,0.047648819664031866
"Denver-Aurora CSA, CO, USA",0.6251578558103081,0.23135838788373864,0.045609290311185685,0.04323262206228129,0.004437072933799909,0.001435328792679023,0.04876944220600735
"Cleveland-Akron-Canton CSA, OH, USA",0.7282301227970344,0.050344480645696105,0.1505448814472993,0.023852160117027017,0.0014582876552025577,0.00020560490926510323,0.04536446242847551
"Orlando-Deltona-Daytona Beach CSA, FL, USA",0.4997167378686188,0.27607962906053457,0.1328080335271766,0.03915036913361534,0.0018473241593076595,0.0006537926164060472,0.04974411363434099
"Portland-Vancouver-Salem CSA, OR-WA, USA",0.6917185655901602,0.1440292666035914,0.024305216878163925,0.059372348156023526,0.007080118607531968,0.006163555982560011,0.06733092818196892
"St. Louis-St. Charles-Farmington CSA, MO-IL, USA",0.7097480806207657,0.03694822120657635,0.1735092844072831,0.028165710737856696,0.0019084387043130304,0.0003405239966850194,0.049379740326520115
"Charlotte-Concord CSA, NC-SC, USA",0.5877091927687438,0.11378865316710281,0.21065368990618108,0.041462163891714,0.003045758150590225,0.0003988875429955776,0.04294165457267252
"Salt Lake City-Provo-Orem CSA, UT, USA",0.740023893712592,0.16082534377291866,0.01267136815753709,0.027014629808498593,0.005063808503777495,0.012123078905154103,0.04227787713952203
"Sacramento-Roseville CSA, CA, USA",0.4933992482181831,0.22333560004341937,0.06130300641853217,0.13985775306238998,0.005317008047131654,0.007871812881901172,0.06891557132844256
"Pittsburgh-New Castle-Weirton CSA, PA-OH-WV, USA",0.8291678003946314,0.02179806056308928,0.0780599458896575,0.026191091777207496,0.0010420888744875644,0.0002687076404420805,0.04347230486048466
"Columbus-Marion-Zanesville CSA, OH, USA",0.7238534807519355,0.04651405948315441,0.1352199329572398,0.042010606718112235,0.0017102664729596298,0.00027200744640038237,0.05041964617019805
