longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"New York city, New York, USA",0.5323067467900651,0.6063455975434584,-0.07403885075339334
"Los Angeles city, California, USA",0.5512171427728988,0.6206188500964624,-0.06940170732356366
"Chicago city, Illinois, USA",0.6670312888221513,0.7060568177864062,-0.03902552896425482
"Houston city, Texas, USA",0.31778682282124776,0.3276921787954324,-0.009905355974184626
"Phoenix city, Arizona, USA",0.20713896612416924,0.15094409545809934,0.0561948706660699
"Philadelphia city, Pennsylvania, USA",0.6351856051822515,0.6715853516448317,-0.03639974646258015
"San Antonio city, Texas, USA",0.25419441600265313,0.2112022692717305,0.04299214673092264
"San Diego city, California, USA",0.3937022653690885,0.3773080120176553,0.016394253351433186
"Dallas city, Texas, USA",0.4118800158912197,0.38301919827864983,0.028860817612569867
"San Jose city, California, USA",0.4426157242459951,0.5334909624510468,-0.09087523820505167
"Austin city, Texas, USA",0.5498304579414294,0.48066692902496194,0.06916352891646743
"Jacksonville city, Florida, USA",0.05154186603623674,0.001211056303864101,0.05033080973237264
"Fort Worth city, Texas, USA",0.11337534287540034,0.05266533380611078,0.06071000906928956
"Columbus city, Ohio, USA",0.4331181510294145,0.39164603618128435,0.041472114848130126
"Indianapolis city (balance), Indiana, USA",0.30560990413692374,0.2418527847944079,0.06375711934251585
"Charlotte city, North Carolina, USA",0.43265353037950327,0.3843802911164135,0.048273239263089796
"San Francisco city, California, USA",0.7255184617837748,0.7620788264857993,-0.036560364702024506
"Seattle city, Washington, USA",0.7933751815777992,0.7742293910229099,0.019145790554889297
"Denver city, Colorado, USA",0.6136637977103044,0.5480336564114957,0.06563014129880873
"Nashville-Davidson metropolitan government (balance), Tennessee, USA",0.33372756828564093,0.27237657852563796,0.06135098976000297
"Washington city, District of Columbia, USA",0.8675182966111828,0.8677600409870598,-0.00024174437587698439
"Oklahoma City city, Oklahoma, USA",-0.015117444620152024,-0.10904950678771054,0.09393206216755852
"El Paso city, Texas, USA",0.3576573679316615,0.411475078536957,-0.0538177106052955
"Boston city, Massachusetts, USA",0.6716263870684086,0.6669616712753931,0.004664715793015528
"Portland city, Oregon, USA",0.7050049244278214,0.6526840785670793,0.05232084586074204
"Las Vegas city, Nevada, USA",0.10589748139448651,0.11657589243244351,-0.010678411037956997
"Detroit city, Michigan, USA",0.8907311546500498,0.9219778123262148,-0.03124665767616497
"Memphis city, Tennessee, USA",0.5546965787788294,0.5415344878254704,0.013162090953358963
"Baltimore city, Maryland, USA",0.7659147789411215,0.7412437697383698,0.02467100920275167
"Milwaukee city, Wisconsin, USA",0.5913631091531105,0.5811666113272669,0.010196497825843642
"Albuquerque city, New Mexico, USA",0.2653185247467397,0.19150609737523153,0.0738124273715082
"Tucson city, Arizona, USA",0.3448901686066363,0.2970543148605738,0.04783585374606247
"Fresno city, California, USA",0.21138391622315014,0.19792635756681612,0.013457558656334023
"Sacramento city, California, USA",0.5266514177895655,0.5381493866164871,-0.011497968826921667
"Kansas City city, Missouri, USA",0.3877517579734848,0.34252670663327983,0.04522505134020499
"Mesa city, Arizona, USA",-0.09304278345514085,-0.15758436274425167,0.06454157928911082
"Atlanta city, Georgia, USA",0.6638341546496136,0.6491200143518429,0.01471414029777074
"Omaha city, Nebraska, USA",0.16552667709499408,0.06934669320244732,0.09617998389254676
"Colorado Springs city, Colorado, USA",-0.035467581684065455,-0.16071193092491506,0.1252443492408496
"Raleigh city, North Carolina, USA",0.428181537402941,0.37582896081970446,0.052352576583236554
"Long Beach city, California, USA",0.47354046310560355,0.48108417409259463,-0.007543710986991081
"Virginia Beach city, Virginia, USA",0.05407780770870228,-0.035425255764238814,0.0895030634729411
"Miami city, Florida, USA",0.19187178426291987,0.399258645844973,-0.20738686158205313
"Oakland city, California, USA",0.84086649508331,0.8460558072284278,-0.005189312145117753
"Minneapolis city, Minnesota, USA",0.7513350380721053,0.680935944076175,0.07039909399593036
"Tulsa city, Oklahoma, USA",0.053604424539973695,-0.042446052384999204,0.0960504769249729
"Bakersfield city, California, USA",-0.03088365982773772,-0.0633120416210679,0.032428381793330185
"Wichita city, Kansas, USA",-0.019127269334775893,-0.09280700523230989,0.073679735897534
"Arlington city, Texas, USA",0.13369052588074107,0.039752852432839714,0.09393767344790135
"Louisville/Jefferson County metro government (balance), Kentucky, USA",0.03585256970998606,-0.04141203310873123,0.07726460281871729
"Aurora city, Colorado, USA",0.30808542716039183,0.21645662068753785,0.09162880647285399
"Tampa city, Florida, USA",0.24673039420652046,0.26636396845263677,-0.01963357424611631
"New Orleans city, Louisiana, USA",0.6815357189051788,0.6616167708006658,0.019918948104513
"Cleveland city, Ohio, USA",0.609877518623231,0.690177287954552,-0.08029976933132099
"Urban Honolulu CDP, Hawaii, USA",0.37258363864819194,0.392255355375864,-0.01967171672767204
"Anaheim city, California, USA",0.19421132723629295,0.2265241007529455,-0.03231277351665254
"San Juan zona urbana, Puerto Rico, USA",,,
"Lexington-Fayette urban county, Kentucky, USA",0.20783949081289207,0.0945837829109139,0.11325570790197817
"Stockton city, California, USA",0.3400885869566705,0.38705466401228805,-0.04696607705561756
"Corpus Christi city, Texas, USA",-0.017407624806147628,-0.017527885765341807,0.00012026095919417945
"Henderson city, Nevada, USA",-0.05472357100264077,-0.07946627921623309,0.02474270821359232
"Riverside city, California, USA",0.19528258268200074,0.19214334815851047,0.0031392345234902697
"St. Paul city, Minnesota, USA",0.6115729131702438,0.5782338272808049,0.0333390858894389
"Newark city, New Jersey, USA",0.7488430098738189,0.8529189527158719,-0.10407594284205302
"Santa Ana city, California, USA",0.38916071906547806,0.5287628605544777,-0.1396021414889997
"Cincinnati city, Ohio, USA",0.5608567485602168,0.5326304488740661,0.028226299686150758
"Irvine city, California, USA",0.30763319872976047,0.29534725424324265,0.012285944486517819
"Orlando city, Florida, USA",0.3573975353925056,0.3741393366538351,-0.01674180126132946
"Pittsburgh city, Pennsylvania, USA",0.5701250004747047,0.548161797568449,0.021963202906255752
"St. Louis city, Missouri, USA",0.6623291203575673,0.6372283854405427,0.02510073491702458
"Greensboro city, North Carolina, USA",0.4274159491114194,0.40131415238536156,0.026101796726057835
"Jersey City city, New Jersey, USA",0.6356250064937089,0.6896843530506896,-0.05405934655698075
"Lincoln city, Nebraska, USA",0.1332420202353297,0.053978310789006285,0.07926370944632341
"Anchorage municipality, Alaska, USA",0.02154866654206668,-0.0530191151806154,0.07456778172268208
"Plano city, Texas, USA",0.08782409068924622,-0.046883723461301485,0.13470781415054772
"Durham city, North Carolina, USA",0.6714710138111143,0.6476509841013278,0.023820029709786472
"Buffalo city, New York, USA",0.6083806590511693,0.5960186088701828,0.012362050180986572
"Chandler city, Arizona, USA",0.08932142413210693,0.01683537270416907,0.07248605142793786
"Chula Vista city, California, USA",0.31153290761232216,0.37451210774400995,-0.06297920013168778
"Toledo city, Ohio, USA",0.34194118532742784,0.36235858287885797,-0.020417397551430128
"Madison city, Wisconsin, USA",0.6978653339961866,0.6331967748406622,0.06466855915552439
"Gilbert town, Arizona, USA",-0.12533351870484558,-0.19148758546924982,0.06615406676440425
"Reno city, Nevada, USA",0.15894163330839609,0.12444493338833724,0.03449669992005884
"Fort Wayne city, Indiana, USA",0.032610964769453445,-0.06111702700932429,0.09372799177877773
"North Las Vegas city, Nevada, USA",0.30676598011720596,0.34018710832049825,-0.033421128203292294
"St. Petersburg city, Florida, USA",0.2603783169016033,0.2438623091147534,0.01651600778684989
"Lubbock city, Texas, USA",-0.25097703313373987,-0.32356835068830053,0.07259131755456066
"Irving city, Texas, USA",0.24783206905441005,0.18764175247444811,0.06019031657996193
"Laredo city, Texas, USA",0.23614478963836044,0.5058068334063317,-0.26966204376797126
"Winston-Salem city, North Carolina, USA",0.34274887479588273,0.31213454011959363,0.0306143346762891
"Chesapeake city, Virginia, USA",0.06416064093299609,-0.012979213406181156,0.07713985433917725
"Glendale city, Arizona, USA",0.029445259409193042,-0.019169607597542097,0.04861486700673514
"Louisville city, Kentucky, USA",0.5254860723908901,0.4754691095280575,0.05001696286283258
"Garland city, Texas, USA",0.14905811749979203,0.08556083239528806,0.06349728510450398
"Scottsdale city, Arizona, USA",-0.034196082408746525,-0.07623180082227722,0.042035718413530695
"Arlington CDP, Virginia, USA",0.6352458702820986,0.5919778471884555,0.04326802309364308
"Norfolk city, Virginia, USA",0.45612532125810795,0.4253882592792469,0.030737061978861058
"Boise City city, Idaho, USA",0.21773502830882277,0.11846364658663658,0.09927138172218619
"Fremont city, California, USA",0.47796765643166034,0.5177723273477778,-0.039804670916117446
"Spokane city, Washington, USA",0.16634862498880762,0.10913731011777991,0.05721131487102771
"Santa Clarita city, California, USA",0.08135535440563367,0.03533841476349004,0.04601693964214363
"Baton Rouge city, Louisiana, USA",0.3898709094420808,0.36463139877498385,0.025239510667096954
"Richmond city, Virginia, USA",0.6798156016347774,0.6351155381737575,0.044700063461019846
"Hialeah city, Florida, USA",-0.3422575976845152,-0.0013472598473105507,-0.34091033783720465
"San Bernardino city, California, USA",0.3369217412733675,0.3853076921644794,-0.04838595089111192
"Enterprise CDP, Nevada, USA",0.08802379590913792,0.11045591540914483,-0.02243211950000691
"Tacoma city, Washington, USA",0.4151549178365911,0.3681987875178819,0.04695613031870921
"Modesto city, California, USA",0.08045682598800383,0.07439330832340676,0.006063517664597062
"Spring Valley CDP, Nevada, USA",0.1393325822562275,0.1569691219199082,-0.0176365396636807
"Huntsville city, Alabama, USA",0.061272902387944576,-0.03122061643134029,0.09249351881928486
"Des Moines city, Iowa, USA",0.35272203820162235,0.32661153038610885,0.026110507815513495
"Yonkers city, New York, USA",0.2886981507172619,0.3134964815042315,-0.02479833078696958
"Rochester city, New York, USA",0.6473610054764684,0.6429270011137508,0.00443400436271757
"Moreno Valley city, California, USA",0.36444723790463013,0.4014088284197164,-0.036961590515086296
"Fayetteville city, North Carolina, USA",0.3160111120882383,0.306390015454909,0.009621096633329274
"Fontana city, California, USA",0.32625423935541764,0.4275243034909267,-0.10127006413550904
"Columbus city, Georgia, USA",0.24185838620364278,0.1875236680357715,0.054334718167871277
"Worcester city, Massachusetts, USA",0.38411067094408946,0.38765906387768617,-0.0035483929335967113
"Sunrise Manor CDP, Nevada, USA",0.2890621678436516,0.347269373633643,-0.058207205789991445
"Port St. Lucie city, Florida, USA",0.0033875279980374075,-0.007918904290713328,0.011306432288750735
"Little Rock city, Arkansas, USA",0.3988637652725308,0.3600188429349419,0.038844922337588905
"Augusta-Richmond County consolidated government (balance), Georgia, USA",0.38515960395112014,0.33742578294720316,0.04773382100391699
"Oxnard city, California, USA",0.45824162560120424,0.4998240361995442,-0.04158241059833995
"Birmingham city, Alabama, USA",0.7131394005067148,0.6919264324454304,0.021212968061284365
"Montgomery city, Alabama, USA",0.3871988610662832,0.31442448352053376,0.07277437754574945
"Frisco city, Texas, USA",-0.022684437104070736,-0.16771294752706098,0.14502851042299025
"Amarillo city, Texas, USA",-0.460293014240944,-0.5189280694266547,0.058635055185710716
"Salt Lake City city, Utah, USA",0.5667248840899315,0.5030909485276996,0.06363393556223185
"Grand Rapids city, Michigan, USA",0.419589628054381,0.3255219855196322,0.09406764253474881
"Huntington Beach city, California, USA",-0.03247299219309032,-0.06416367382183773,0.03169068162874741
"Overland Park city, Kansas, USA",0.12124635223382568,0.005648175693163392,0.11559817654066229
"Glendale city, California, USA",0.19720089209630054,0.30766586295674686,-0.11046497086044632
"Tallahassee city, Florida, USA",0.4270628081610444,0.38840735175930224,0.03865545640174217
"Grand Prairie city, Texas, USA",0.2913086051317236,0.23422332320887657,0.05708528192284701
"McKinney city, Texas, USA",-0.06914479816321382,-0.21474950097038475,0.14560470280717092
"Cape Coral city, Florida, USA",-0.2548056949249551,-0.24570332746454004,-0.00910236746041504
"Sioux Falls city, South Dakota, USA",-0.03847146473888503,-0.10639690691260889,0.06792544217372386
"Paradise CDP, Nevada, USA",0.15878069548946705,0.17670083157872402,-0.017920136089256966
"Knoxville city, Tennessee, USA",0.16008685168057712,0.056157991243860075,0.10392886043671705
"Vancouver city, Washington, USA",0.21811112765614815,0.15239726770312723,0.06571385995302093
"Providence city, Rhode Island, USA",0.6266676491548933,0.6723200621744536,-0.045652413019560356
"Peoria city, Arizona, USA",-0.1787280446985133,-0.2235308321406872,0.04480278744217389
"Akron city, Ohio, USA",0.3794327972087331,0.3972845358683491,-0.017851738659616034
"Shreveport city, Louisiana, USA",0.24383472455511762,0.20029095215316176,0.043543772401955866
"Mobile city, Alabama, USA",0.22705477653296674,0.19791376088682783,0.029141015646138912
"Brownsville city, Texas, USA",0.24216518206034088,0.5128557472076656,-0.2706905651473247
"Newport News city, Virginia, USA",0.3291786511608329,0.26627758589614087,0.06290106526469202
"Fort Lauderdale city, Florida, USA",0.2816222112793315,0.30080178596466667,-0.019179574685335155
"Chattanooga city, Tennessee, USA",0.18700978160107212,0.12885600611947945,0.05815377548159267
"Tempe city, Arizona, USA",0.34228615632338566,0.2518590766702713,0.09042707965311436
"Aurora city, Illinois, USA",0.39815181762761215,0.37616756900131815,0.021984248626294
"Santa Rosa city, California, USA",0.5459707288562513,0.5031163808362165,0.04285434802003485
"Elk Grove city, California, USA",0.2708049497258284,0.2718134102025563,-0.0010084604767278682
"Salem city, Oregon, USA",0.17954928550908794,0.10548168804604932,0.07406759746303862
"Eugene city, Oregon, USA",0.5058825579157611,0.42623805147029353,0.07964450644546756
"Ontario city, California, USA",0.29374890617790717,0.3517293253897596,-0.05798041921185243
"Cary town, North Carolina, USA",0.3014571612798323,0.2095818885027203,0.091875272777112
"Rancho Cucamonga city, California, USA",0.05724616885725765,0.039825358428225856,0.01742081042903179
"Oceanside city, California, USA",0.1436287753270901,0.08271083295524882,0.06091794237184127
"Lancaster city, California, USA",0.18074367138498668,0.13096357024960084,0.049780101135385835
"Garden Grove city, California, USA",0.01094343709219607,0.22996498911955504,-0.21902155202735896
"Pembroke Pines city, Florida, USA",0.2434988433789414,0.3402919784491789,-0.09679313507023751
"Fort Collins city, Colorado, USA",0.3878998672091196,0.2585501977249358,0.1293496694841838
"Palmdale city, California, USA",0.28585887207952876,0.30086868851535453,-0.015009816435825774
"Springfield city, Missouri, USA",-0.0013941049923628683,-0.12158587850713955,0.12019177351477668
"Clarksville city, Tennessee, USA",-0.006045698710122057,-0.07384087174595305,0.06779517303583099
"Bayamón zona urbana, Puerto Rico, USA",,,
"Salinas city, California, USA",0.4714045028173255,0.5045825942676491,-0.03317809145032358
"Hayward city, California, USA",0.5628357887080938,0.642801732318498,-0.07996594361040421
"Paterson city, New Jersey, USA",0.6140863898404211,0.8094670901711664,-0.19538070033074528
"Alexandria city, Virginia, USA",0.6265365088353732,0.580164184145064,0.046372324690309163
"Macon-Bibb County, Georgia, USA",0.23814668601579086,0.20432582405475605,0.033820861961034815
"Corona city, California, USA",0.052646900320031775,0.03290554340210761,0.01974135691792417
"Kansas City city, Kansas, USA",0.35582807811147343,0.3382642555209471,0.017563822590526357
"Lakewood city, Colorado, USA",0.2776512905672293,0.16154511737092345,0.11610617319630587
"Springfield city, Massachusetts, USA",0.46721718499990805,0.5338737483035616,-0.06665656330365355
"Sunnyvale city, California, USA",0.5574281535686507,0.5676503515262054,-0.010222197957554635
"Jackson city, Mississippi, USA",0.6991840802091402,0.6833871734928321,0.01579690671630818
"Murfreesboro city, Tennessee, USA",-0.08429469332099926,-0.19943293163158166,0.1151382383105824
"Killeen city, Texas, USA",0.29121555734569726,0.24614360731509363,0.04507195003060363
"Hollywood city, Florida, USA",0.22705222749629744,0.31368807292288314,-0.0866358454265857
"Pasadena city, Texas, USA",-0.1131922549466294,-0.09215970706098442,-0.021032547885644987
"Bellevue city, Washington, USA",0.45499405553203515,0.4291806456834145,0.025813409848620628
"Pomona city, California, USA",0.44118490016223877,0.5341263588413956,-0.09294145867915682
"Escondido city, California, USA",0.13107381527577464,0.05167906892021158,0.07939474635556305
"Charleston city, South Carolina, USA",0.1586218701200729,0.11785564890705774,0.04076622121301515
"Joliet city, Illinois, USA",0.22020111613266968,0.22101481045020244,-0.0008136943175327538
"Mesquite city, Texas, USA",0.21538551884038198,0.10974602160958573,0.10563949723079626
"Naperville city, Illinois, USA",0.25671557948536194,0.17852271154508007,0.07819286794028188
"Bridgeport city, Connecticut, USA",0.598341559856391,0.6429085011932171,-0.04456694133682604
"Syracuse city, New York, USA",0.5622593866880014,0.5480045927671366,0.014254793920864706
"Rockford city, Illinois, USA",0.23640287096171647,0.2067555108613133,0.02964736010040317
"Savannah city, Georgia, USA",0.4879648673231666,0.47557516189132565,0.012389705431840925
"Roseville city, California, USA",-0.014067850895562837,-0.0694376522315961,0.05536980133603327
"Torrance city, California, USA",0.227085774389491,0.19422303585024836,0.03286273853924265
"Fullerton city, California, USA",0.17147949531745907,0.14605336998297974,0.025426125334479327
"Metairie CDP, Louisiana, USA",-0.33703439781986805,-0.3950750026658273,0.05804060484595924
"Surprise city, Arizona, USA",-0.1872524696208042,-0.23103153481532382,0.04377906519451963
