longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"DE-00, USA",0.017603351871109667,0.03194052409587965,0.014442671765093472,0.014817302785833758,0.02261135045870768,0.06466045295904665,0.014233825736289923,0.045218394813728816,0.02167046680317011,0.05952973041637882,0.10602703802504858,0.049171397998092455,0.004891733788057885,0.033337854742204125,0.03358760875603124,0.0415000742802888,0.041349360651254996,0.11693655171522901,0.09454265949269791,0.038160690871275466,0.048921643984265475,0.031785504363159515,0.026609567731781487,0.014197223854953225,0.012253018040421355
"ID-01, USA",0.01916789364775616,0.023342736542970786,0.009809427605742929,0.016953074967553283,0.019290520563313842,0.05357431871475651,0.008144041705364683,0.03498018580000362,0.01635932963025377,0.04687007262625232,0.10241147322480025,0.07027895761765586,0.015927345894242134,0.039624031822314144,0.035945096013972964,0.05529710384474349,0.039984624487808776,0.12225071657811026,0.10285635250184814,0.03430642884176509,0.05318700807493298,0.03379244465432014,0.026083666172318422,0.00938001846927444,0.01018312999792507
"ID-02, USA",0.022804207917740193,0.023584656153803694,0.011853716901722143,0.017808730643781537,0.016160731293952242,0.06639963255148869,0.009200616662011414,0.0404552984028954,0.018296103490010134,0.0432677292944378,0.10929289856790053,0.05694678007182637,0.02763962409400011,0.03208542168062007,0.03657828971446195,0.05631504201983956,0.040705106953993625,0.10822985537978391,0.09340629278898752,0.03757836007284065,0.06040580503631035,0.03379568646315224,0.022866842930226585,0.007740701078053656,0.006581869836159493
"WV-02, USA",0.016106216403654318,0.022608290708067587,0.010728297417947927,0.011614602502184502,0.01866248050253989,0.06598716610208541,0.008905613515902173,0.04529169201649437,0.028196519374779464,0.03984617349046467,0.08110192258100071,0.06725403156147387,0.0031321120349714956,0.040609797927448676,0.04566724501828923,0.05957522451810257,0.04810833952995773,0.10870256452626499,0.09613405739952088,0.03856178222432543,0.0570289751659317,0.03802348958841903,0.02499430411280618,0.011491921854931418,0.011667179922435784
"WV-01, USA",0.013333254127843594,0.014176792593494714,0.007226510869468373,0.01214220157599121,0.022347828928023,0.058513055539879684,0.011506577520887937,0.05370132203863071,0.033818763978531306,0.036450366374893246,0.07773919810382057,0.06068427602717119,0.003409796332983835,0.04047796552779036,0.041268040287872086,0.0533419271289694,0.043664996420901714,0.11642018908330502,0.10400472856773763,0.03903741568328091,0.06020904308877716,0.04856286589223493,0.023203248217133994,0.013389688039277937,0.01136994805109938
"SD-00, USA",0.015043815530927263,0.01941310161322363,0.010373430101459231,0.014310025270041323,0.018090494851201257,0.057061671837397125,0.00718400738697067,0.04886507849771416,0.022763110646204215,0.04058596163325199,0.12287529803259477,0.052489422491452574,0.01755966785396429,0.036357188579636456,0.034753555760253324,0.06515789872802266,0.03908492562846185,0.11340739633818546,0.09601277553378228,0.036986151660396364,0.05629219572795781,0.030457871740599374,0.02730859560573384,0.00807169286974438,0.009494666080823945
"UT-01, USA",0.027825659249218336,0.038334564233308485,0.010911184342205473,0.02143139312790915,0.014492840289327406,0.0681094546662075,0.009098727537268777,0.03737816303975231,0.01569029236710155,0.05465494320946898,0.10987616385316476,0.04730924132959165,0.003903727497476874,0.03365378014792584,0.03701208525555833,0.07566997360859984,0.032201620933568,0.12449533177865385,0.09585086215442946,0.029330005954829732,0.04570882286508771,0.026052041098825245,0.026755374938294916,0.00842214407258874,0.005831602449637142
"UT-02, USA",0.016736336765282404,0.032901092984877096,0.0096752120722785,0.022869730903040772,0.016093429750701917,0.05895662023520694,0.008666360670764222,0.032783370267093125,0.016649189011705087,0.04995016517517138,0.1001306511917398,0.06448840870149916,0.0039784401026060415,0.03226479287670382,0.04312913766815107,0.06518427410057853,0.04205860468021202,0.13135455342996555,0.09276457897996909,0.03965387278845805,0.05176858172249902,0.026286353267569902,0.02553576702455402,0.010501186963223243,0.00561928866614916
"UT-03, USA",0.01970973823153446,0.050189182575526264,0.011799078370913967,0.02731346130652966,0.01429742345813699,0.07301940224486539,0.01122935443169244,0.03793178108978029,0.015747125065258803,0.06060557984703471,0.12164972425933651,0.04861800630667918,0.0021174891083221175,0.02425038569934867,0.030701318856542443,0.03886692860382862,0.026948493610978633,0.12780832320898233,0.10658221882526715,0.03556943284079734,0.04885205096405636,0.02458502336769149,0.026691213645317714,0.009686364829167137,0.005230899252411378
"UT-04, USA",0.019286467295716748,0.05405139385232682,0.007351944088590645,0.019788421766670148,0.013193437399312419,0.05799675206835325,0.006252427011125027,0.030968586819636285,0.016667684690489234,0.06106603681630244,0.11194823973621572,0.0600814379825152,0.0028366143147911566,0.03341951306215513,0.03501497262542763,0.059198911749491365,0.03361755279888451,0.1422591332366218,0.10012774199403261,0.028195556754319152,0.03789903462324722,0.023476472855962837,0.026186683361851967,0.01000515446817802,0.009109828627782953
