longname,Population,Population [StatCan],Population [GHS-POP],Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (1km) [StatCan],PW Density (r=1km) [GHS-POP],PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,Area-weighted Density [StatCan],AW Density [GHS-POP],AW Density (2010),AW Density (2000),Area,Compactness
China,,,1452803700.0,,,,,,,6327.976,,,,,,,154.04746589631333,,,9430883.549735619,0.07135920540378451
India,,,1387488400.0,,,,,,,6810.6387,,,,,,,438.3698840380256,,,3165108.814545401,0.0725556217778187
USA,334708473.0,,338632160.0,312447486.0,0.07124713110989794,285178039.0,0.173682497339846,2014.3522421234522,,1702.7804,1903.971158599285,0.05797413633375229,1964.4907585967023,0.025381378511735803,35.790868345367876,,36.21043395596248,33.41046832796244,30.494506330705246,9351784.08554367,0.011062477567775389
Indonesia,,,271527940.0,,,,,,,4489.004,,,,,,,139.51632496073796,,,1946209.0624621322,0.006280424028951256
Pakistan,,,227117760.0,,,,,,,9004.343,,,,,,,259.8795911729405,,,873934.5747579745,0.13552977611370381
Brazil,,,212044060.0,,,,,,,4323.442,,,,,,,24.965141867511054,,,8493605.408906098,0.09045407204241003
Nigeria,,,208459340.0,,,,,,,5247.074,,,,,,,228.82675464792948,,,910992.0049372436,0.32182436116999763
Bangladesh,,,167633460.0,,,,,,,9565.025,,,,,,,1177.4247019032875,,,142372.9735999451,0.04345895985192904
Russia,,,144078800.0,,,,,,,4199.2397,,,,,,,7.9696807984552045,,,18078365.1997615,0.0006436963418794296
Mexico,,,125921544.0,,,,,,,4041.1511,,,,,,,63.98370477464903,,,1968025.2095982311,0.06245992556288217
Japan,,,125207944.0,,,,,,,4498.324,,,,,,,320.9257275883284,,,390146.17164196976,0.015259446219965162
Ethiopia,,,116942860.0,,,,,,,3859.6497,,,,,,,103.57143446678866,,,1129103.4502133795,0.4168335300032472
Philippines,,,111935176.0,,,,,,,6123.5986,,,,,,,352.589058731363,,,317466.39105237584,0.007436910918460612
Egypt,,,107241110.0,,,,,,,15348.578,,,,,,,108.62021836954045,,,987303.4100810905,0.38063958253869395
Vietnam,,,96440536.0,,,,,,,4681.0405,,,,,,,289.487617862881,,,333142.179661999,0.04466926375105476
Democratic Republic of the Congo,,,92912690.0,,,,,,,9546.315,,,,,,,39.88911503281662,,,2329274.237434475,0.24781094964875733
Iran,,,87364260.0,,,,,,,10521.005,,,,,,,53.70650556273491,,,1626697.8289613212,0.21566499616285384
Turkey,,,84067240.0,,,,,,,9681.261,,,,,,,106.96189403335084,,,785955.0427724076,0.10166907329051642
Germany,,,83402220.0,,,,,,,2038.9371,,,,,,,231.75216503869927,,,359876.7846939986,0.08762661764768533
Thailand,,,71557510.0,,,,,,,2937.9185,,,,,,,137.85105939074327,,,519092.94216715393,0.05499166460159857
France,,,67414860.0,,,,,,,2935.6843,,,,,,,98.99604096956178,,,680985.4549711538,0.026467605347456076
United Kingdom,,,67019416.0,,,,,,,3259.1753,,,,,,,263.7393047780355,,,254112.355594491,0.018832241517883423
Tanzania,,,61674300.0,,,,,,,2897.3003,,,,,,,65.39133583654913,,,943157.059127219,0.28720449562907807
Italy,,,59404450.0,,,,,,,2942.138,,,,,,,193.7652052595166,,,306579.54259867,0.0492278310502468
South Africa,,,58800176.0,,,,,,,3567.639,,,,,,,48.08527593390121,,,1222831.2068090795,0.21657235310217995
Myanmar,,,52876036.0,,,,,,,5119.1226,,,,,,,78.31107800926348,,,675205.0583921887,0.054389217522333
Kenya,,,52131744.0,,,,,,,3945.3577,,,,,,,89.23868843069387,,,584183.2160104804,0.40721440876463993
South Korea,,,51785930.0,,,,,,,9767.969,,,,,,,494.1780743554537,,,104792.03891743542,0.0499507810880325
Colombia,,,50967540.0,,,,,,,9256.619,,,,,,,44.701302814504,,,1140180.1914252671,0.1497906489598653
Spain,,,47379310.0,,,,,,,6017.7104,,,,,,,92.70325924234002,,,511085.7200407968,0.10468910797342074
Argentina,,,44962536.0,,,,,,,4444.848,,,,,,,16.14063768887362,,,2785672.838130457,0.11049219358142717
Uganda,,,44487560.0,,,,,,,1279.5712,,,,,,,184.22595676544782,,,241483.6691913101,0.38565835587188413
Sudan,,,44477908.0,,,,,,,5623.825,,,,,,,23.766558637681204,,,1871449.2357964497,0.37309001463567143
Ukraine,,,43903416.0,,,,,,,3253.501,,,,,,,73.01430029283044,,,601298.8664401547,0.06926061074687662
Algeria,,,43438376.0,,,,,,,4035.2495,,,,,,,18.814628009499945,,,2308755.505453892,0.4356486132715746
Iraq,,,42554716.0,,,,,,,7607.496,,,,,,,97.32530033100643,,,437242.07225942344,0.37549429739282414
Afghanistan,,,38833864.0,,,,,,,6726.636,,,,,,,60.47963823250357,,,642098.1529471107,0.213672159656473
Poland,,,38413216.0,,,,,,,1918.3792,,,,,,,122.89262819503378,,,312575.4291708794,0.20900276956084435
Morocco,,,37202028.0,,,,,,,8676.933,,,,,,,54.24595092397765,,,685802.8547077429,0.21105738523168696
Canada,,36961176.0,37798836.0,,,,,,2644.559599254128,2322.9316,,,,,,3.702296157155054,3.7862021832783164,,,9983311.55344471,0.0018473835616901043
Saudi Arabia,,,35984010.0,,,,,,,4915.4717,,,,,,,18.648672068753953,,,1929574.8173024922,0.31634877566259667
Uzbekistan,,,33512074.0,,,,,,,3737.5103,,,,,,,74.94865328407826,,,447133.77134314895,0.10300876239357637
Angola,,,33410936.0,,,,,,,7772.3906,,,,,,,26.74868251660981,,,1249068.472036079,0.285752512635188
Peru,,,33306232.0,,,,,,,6821.635,,,,,,,25.71979716732531,,,1294964.8002011685,0.16953555016905994
Malaysia,,,33196642.0,,,,,,,3075.195,,,,,,,98.89500487429576,,,335675.6192306765,0.04780501882648323
Yemen,,,32256112.0,,,,,,,8903.631,,,,,,,70.74713132729396,,,455935.26401480706,0.2269078931206828
Ghana,,,32243450.0,,,,,,,4546.0273,,,,,,,134.8066520947102,,,239182.92976630662,0.3542620399652315
Mozambique,,,31163334.0,,,,,,,2375.6106,,,,,,,39.40425336496207,,,790862.1871696261,0.1278691665003017
Nepal,,,28931732.0,,,,,,,3256.807,,,,,,,196.08645691070052,,,147545.79411456123,0.17822972256416184
Venezuela,,,28474294.0,,,,,,,4479.5913,,,,,,,31.04426506459411,,,917215.9154276403,0.1018074353675014
Madagascar,,,28223410.0,,,,,,,3061.6765,,,,,,,47.264319734250456,,,597139.875463979,0.21245308899474086
Ivory Coast,,,26821090.0,,,,,,,4944.143,,,,,,,83.33716418317857,,,321838.2850302672,0.22295947550248563
Cameroon,,,26469330.0,,,,,,,7524.1636,,,,,,,56.80679440299963,,,465953.59372368164,0.19359371803533612
North Korea,,,25706810.0,,,,,,,9250.411,,,,,,,206.13854527273918,,,124706.46848694727,0.08459093684667947
Australia,,,25639356.0,,,,,,,1815.9221,,,,,,,3.320798548927015,,,7720840.521411438,0.07317419546727821
Niger,,,24242918.0,,,,,,,3304.8914,,,,,,,20.525537250911242,,,1181110.0339857717,0.430743883483002
Sri Lanka,,,21634374.0,,,,,,,1887.5675,,,,,,,318.34748288269014,,,67958.36362234467,0.22735379909931067
Burkina Faso,,,21474600.0,,,,,,,2102.2808,,,,,,,78.61655100502438,,,273156.22124694276,0.24816871896214493
Mali,,,21238624.0,,,,,,,3075.1016,,,,,,,16.94784127992311,,,1253175.7672972705,0.25284197102158734
Syria,,,20891082.0,,,,,,,6775.318,,,,,,,111.25872716022387,,,187770.27684232555,0.3404688006532986
Romania,,,19443694.0,,,,,,,2762.4382,,,,,,,81.49551005211404,,,238586.0765527612,0.2444788889925205
Malawi,,,19392404.0,,,,,,,1226.9049,,,,,,,163.64667640806638,,,118501.66728497103,0.16352837565692954
Chile,,,19351522.0,,,,,,,5392.2466,,,,,,,24.633681231732435,,,785571.6658000712,0.005850431351323302
Kazakhstan,,,18954000.0,,,,,,,3035.4268,,,,,,,6.9562405675281225,,,2724747.629988197,0.10424512866290428
Zambia,,,18907062.0,,,,,,,2804.8987,,,,,,,25.172962552883686,,,751086.0893023537,0.2505817635435065
Netherlands,,,17695734.0,,,,,,,2602.6685,,,,,,,468.6494133968431,,,37759.00170606978,0.04241035822508557
Ecuador,,,17588176.0,,,,,,,4536.747,,,,,,,67.895763623412,,,259046.73666465987,0.13517541312778947
Guatemala,,,17354154.0,,,,,,,2885.9329,,,,,,,158.7071571286066,,,109347.01568586002,0.30335033766703684
Somalia,,,16628253.0,,,,,,,15504.536,,,,,,,26.14737840250816,,,635943.4106175995,0.23739113728693395
Chad,,,16599713.0,,,,,,,3490.7385,,,,,,,13.063473968895238,,,1270696.6798819914,0.38619890363769255
Senegal,,,16446681.0,,,,,,,5915.6284,,,,,,,83.53978864863116,,,196872.42769041273,0.1777495555954829
Cambodia,,,16384692.0,,,,,,,2341.296,,,,,,,89.7882341051568,,,182481.5039887167,0.20461489777099243
Zimbabwe,,,15679639.0,,,,,,,972.85394,,,,,,,40.13082144954002,,,390713.13353790616,0.4711296691816997
Guinea,,,13221570.0,,,,,,,3418.8506,,,,,,,53.79954908157442,,,245756.14899583237,0.14943716615186153
Rwanda,,,13134129.0,,,,,,,1446.7164,,,,,,,519.053777590303,,,25303.98499549495,0.3493531779029233
Benin,,,12602409.0,,,,,,,2956.8735,,,,,,,109.20226821258242,,,115404.27874141843,0.26313046946149526
Burundi,,,12205093.0,,,,,,,2236.6501,,,,,,,454.90068402791684,,,26830.236639633156,0.311440008824167
Tunisia,,,12165885.0,,,,,,,3255.5193,,,,,,,77.70930711266577,,,156556.34378983022,0.21181364958177368
Bolivia,,,11975297.0,,,,,,,3769.9421,,,,,,,11.061591514088864,,,1082601.6296793616,0.2711603375807625
Belgium,,,11560514.0,,,,,,,2460.8347,,,,,,,376.64047736560684,,,30693.764198844063,0.16338586344620523
