longname,Population (2010),Population Change (2010-2020),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),AW Density (2010),White % (2010),Hispanic % (2010),Black % (2010),Asian % (2010),Native % (2010),Hawaiian / PI % (2010),Other / Mixed % (2010),Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Housing Units per Adult (2010),Vacancy % (2010),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020)
"AZ-03 in Maricopa County, USA",711002.0,0.1175946059223462,2480.8837772926345,0.08324849325847132,1329.553338336712,0.2073172789949958,0.6475720180815244,0.08593928005828394,0.021758025997113933,0.020030885989068947,0.0013347360485624514,0.01604777483045055,0.5516497907132257,-0.028934780648342873,0.15215799625946705,-0.008151955234808494,0.1155586105898377,-0.01583431306946438,0.5339785177183551,0.1557920721800716,3691.3905890181663,0.05490030462056918,2902.49175426429,0.07878830079328164,2142.390095624013,0.08732145961811187,1834.146169420833,0.08553098704542281
"AZ-01 in Maricopa County, USA",728258.0,0.09111194109779776,1538.8327024437847,0.07903858235097931,174.23197727371104,0.7548753326431018,0.15482013242559642,0.024270244885741043,0.029582922535694767,0.01708048521265815,0.0010751684155889808,0.018295713881618877,0.6757834295865772,-0.08226085205481115,0.1983490153138279,-0.04538265678736836,0.07482070033620852,-0.0068295876548132295,0.6415709590201203,0.1447003611084813,2381.898350516843,0.05038768758408303,1793.9540620410587,0.07980146984087663,1343.7638928108152,0.07275434472200096,1177.5333616509718,0.07673221090395663
"AZ-04 in Maricopa County, USA",731218.0,0.08669507588708156,2074.431953503558,0.07551305107156242,1570.6170168054618,0.6205208296294675,0.2523310421789398,0.042531775749502884,0.03878186806123482,0.020070621893881167,0.0031591126039019826,0.022604749883071804,0.5412103700002084,-0.08445562380446675,0.16156743879394375,-0.04363158188804819,0.09347438958305845,-0.01741138809029527,0.5889574711003283,0.12942455761996208,3135.3916181702243,0.051433097828660214,2448.5442088388245,0.07419523191753905,1814.39175424995,0.08179810633556958,1615.1058249904345,0.08187740209845844
"AZ-08 in Maricopa County, USA",699820.0,0.13544911548683947,1639.2093667793904,0.08004323141874899,466.8773362612471,0.7171329770512418,0.18265982681260895,0.034103055071304046,0.034174502014803806,0.010735617730273499,0.0014275099311251464,0.019766511388642792,0.6119353884788645,-0.07658156572488062,0.13658872415369547,-0.0033679187770678243,0.07498966476821801,-0.0062604379767754875,0.591697414578313,0.1268148770539345,2505.2884675078,0.0642916356870105,1886.8074226707588,0.0801046434838212,1471.3596810296344,0.0807520452324966,1386.5787071644982,0.07687065229045699
"OH-03 in Franklin County, USA",690326.0,0.1395051033859365,1920.1599073907068,0.12251473177017809,1205.5533291706065,0.6188554393141791,0.04426024805671523,0.27039543635905355,0.03563823468911789,0.001923728789006933,0.0005185955620967485,0.028408317229830546,0.6299826842352271,-0.08641613104192214,0.31463203023920994,-0.06158185901038604,0.14817203074207902,-0.01054448956420398,0.6056395419151371,0.10044116201337004,2944.637753390639,0.17048527123318263,2292.7929981059233,0.12003545687221866,1618.6459369302706,0.12823714593356178,1417.5367007341047,0.12721022920276964
"OH-11 in Cuyahoga County, USA",808946.0,-0.02796107527572916,2235.6332015380885,-0.03827958852986461,1443.1178785719642,0.4495281514464501,0.059756769920365514,0.44593458648661344,0.022071930635666658,0.0019321438019348634,0.00014339646898556887,0.02063302123998388,0.6509763668304295,-0.06422938575626147,0.412982258889685,-0.06743902698493004,0.21334348768602926,-0.024748870403876494,0.6670500704968333,0.15597044704289048,3284.0886013109384,-0.05690123105601043,2597.5512253718853,-0.02692107277874138,1915.159724087728,-0.047041948566800496,1642.0220539473971,-0.04331912398220369
"NY-08 in Kings County, USA",711471.0,0.09206418813978363,14620.4382649314,0.11350287560157235,7629.507754468897,0.27634717367257416,0.1629834525932891,0.48078698920967966,0.06021468197579381,0.0021673406224568537,0.00022910280250354546,0.017271259123702865,0.5826206817347221,-0.1024482537425318,0.36982987986270816,-0.10082894549659366,0.2663461407621539,-0.05639401864012522,0.5399377718312834,0.08660957905033206,17669.785580091586,0.0921535251666412,16051.001429484859,0.10489569077961342,13414.362472039822,0.11141926553537294,11629.82641692802,0.1019873417386995
"NY-09 in Kings County, USA",737697.0,0.05324001588728163,19587.302254519866,0.051027624367448246,18784.339808023113,0.31954989650222243,0.10725270673460784,0.48511380688819394,0.06585088457727224,0.0019438875310595,0.00022638020759200593,0.020062437559052022,0.6163593906268239,-0.12982771044621677,0.40645330434384336,-0.13320745494019537,0.26874624692668697,-0.06382047962457862,0.5112271190371785,0.07284456022825953,21143.597095890018,0.048558540926303545,20708.17597065634,0.045478299737917935,18438.571138112475,0.057071733935057836,16648.165777869093,0.06854131140726641
"NY-06 in Queens County, USA",730854.0,0.06310015406633883,16815.396328327904,0.0396143021909628,10876.094805184614,0.3152093304545094,0.23138273854969665,0.037584798058162096,0.3913148180074269,0.001227331313778128,0.0003188051238687891,0.022962178492558022,0.43789778816866926,-0.0032649813819111695,0.1879013070960418,-0.02228611367059699,0.23623207834018436,-0.03847660158297489,0.479247639850307,0.05605554757592424,22928.5344456008,0.020414278149440523,19545.291781498327,0.0275515527103561,13641.965250598181,0.05049539194064732,10947.854576824053,0.06490409519378361
"NY-12 in New York County, USA",696505.0,0.1155282445926447,29457.723627456697,0.07682153287808095,19812.75358516405,0.722136955226452,0.09950251613412682,0.04486256380069059,0.10928851910610836,0.0008772370621890726,0.0003718566270163172,0.022960352043416773,0.5720800880398934,-0.08214304818657259,0.060639894625389545,-0.007626951912009801,0.22037042386732023,-0.04453834133589227,0.7146086208156406,0.11951208981982862,46016.72534714436,0.0538619078647344,38373.11519541638,0.06807807582189081,20906.089110001347,0.08870814807489504,17479.244151105755,0.11143490780418637
"NY-15 in Bronx County, USA",724136.0,0.07296281361512202,21560.22231265836,0.06079416396869917,14021.290696611637,0.10885800457372648,0.5371131942066131,0.3096628257675354,0.027018405382414352,0.002289625153286123,0.0002692864323828673,0.014788658484041671,0.508583749003644,-0.024118050098206667,0.18427562960100657,-0.041666515896209955,0.1888185544983992,-0.02839421167206252,0.5114189956936475,0.05813996908163494,28172.7772913741,0.028626090086148512,24707.0539715156,0.04374503390661569,19628.039936393972,0.059252335694790874,16779.701768483308,0.050409281098798144
"NY-05 in Queens County, USA",715477.0,0.0859398694856718,8866.495496673022,0.08473867226523063,4881.4957825599695,0.15318451885944623,0.19658214030639698,0.457788300672139,0.11478775697891057,0.005836665609097148,0.0008176363461019711,0.0710029812279081,0.5016446415541507,-0.07065730560239064,0.29815685636936023,-0.060496173129747755,0.2534136210128263,-0.0371520959566983,0.4538321087758328,0.07170816855531502,11723.556239539268,0.06261166653567803,10113.421068978314,0.07935774127270953,7829.238148373738,0.0863691082926024,6753.93928355954,0.08769039083169931
"NY-04 in Nassau County, USA",741460.0,0.04786232568176301,3340.5337548290254,0.05852571873587451,2135.5110512072006,0.5916947643837833,0.1763358778625954,0.1633641733876406,0.04969654465513986,0.0012246109028133682,0.00016588892185687696,0.017518139886170528,0.5954831437983438,-0.08145373744551843,0.3139534573946996,-0.04834818683512199,0.21881334679268336,-0.021677523077022726,0.45007015511586596,0.04506907827828454,4110.441784935899,0.05756719323486832,3657.9319269892208,0.054197836059671115,3080.051828643645,0.054890908485513284,2830.8970808318763,0.052722632939286224
"NY-01 in Suffolk County, USA",754283.0,0.029874728715879848,1065.953913864218,-0.011490716895962696,383.7566308255513,0.7964225628842225,0.1082312606806729,0.039042375341880965,0.04041586513284801,0.0017950822171519177,0.00020284163901347372,0.013890012104210224,0.7088006787578365,-0.09557568482052792,0.16902801562940167,-0.013208169377898649,0.0802420461179629,0.008225599302265477,0.5424505396931102,0.1626458646376163,1819.1064556193837,0.032228934199361,1238.3919468257243,-0.001699611111849292,947.341763811827,-0.0168950767885524,841.1577452771634,-0.022767207933791125
"MI-13 in Wayne County, USA",833510.0,-0.06939808760542765,2162.270832444018,-0.021176481224229392,1450.7816593117727,0.36479946251394707,0.08123837746397763,0.5102818202541062,0.019225924104089933,0.00340967714844453,0.00016556490024114887,0.02087917361519358,0.7405039731327846,-0.08689579888552679,0.5670607422971262,-0.10345219669954181,0.23694288075401254,-0.016342028521086738,0.635742078663391,0.18491361788617885,2734.8154987602443,-0.0002017836961652071,2432.5787514502126,-0.001613848968752415,1906.1417710881792,-0.05391317035495925,1687.1289790079134,-0.07824598167725223
