longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"AZ-03 in Maricopa County, USA",0.018223981521058287,1.0,3.2278533813859585,0.998199121080477,0.5731971208810521,1.0,13.731307246562073,0.1946383895536438,13.505910331911203
"AZ-01 in Maricopa County, USA",0.027366500436577356,0.9042890168900254,4.384245222222695,0.8873197073788307,1.2357760595893288,0.8733355063043426,20.42041715908887,0.23812909713054564,16.594752618730155
"AZ-04 in Maricopa County, USA",0.024955334834503247,0.9675212147830825,3.333930393148058,0.9857301245515101,0.7394588194582999,1.0,14.122322082032984,0.29804898245808326,12.372729574210423
"AZ-08 in Maricopa County, USA",0.02825758712977542,0.887752482349832,5.008790903977583,0.8715483067165024,1.0616110290193692,0.5227230968651289,30.67302218253708,0.0,26.68235356462625
"OH-03 in Franklin County, USA",0.04418291020851931,1.0,3.230099314692441,0.9279152841869748,0.8525735215470958,1.0,9.893577214214323,0.0,65.88663502836908
"OH-11 in Cuyahoga County, USA",0.029890174013532705,0.9999071633048338,2.6786121384898216,0.9849629988541663,0.6631346516764398,0.8059191659449567,21.824238741721924,0.0,44.54681184368502
"NY-08 in Kings County, USA",0.050242958791709556,1.0,1.783932892045288,0.9999729719989909,0.28372051906706985,1.0,12.502756494218477,0.7624315934164938,7.436723832747833
"NY-09 in Kings County, USA",0.032842965788239226,1.0,1.381533008253703,1.0,0.2974757214608131,1.0,14.58237199273775,1.0,5.846445062599942
"NY-06 in Queens County, USA",0.06820845587526819,1.0,1.3690487308444075,1.0,0.34726221870282753,1.0,5.824077346772867,0.9955210683539025,6.346288662439374
"NY-12 in New York County, USA",0.1126188905811326,1.0,0.7992015378208718,1.0,0.2733393405390105,1.0,8.745346395873815,1.0,4.32656467696355
"NY-15 in Bronx County, USA",0.12639495214152463,1.0,1.0620271403355193,1.0,0.23218068280407048,1.0,8.54073366118355,0.5934790358970927,9.474979794334375
"NY-05 in Queens County, USA",0.042784755050617594,1.0,2.4187282442834848,0.9942481321552451,0.3912638932355613,1.0,6.380091143679959,0.8681472138384612,7.96996052846337
"NY-04 in Nassau County, USA",0.03806761413453382,1.0,3.113574084703336,0.9973563224308448,0.5677177506083325,1.0,13.863821201090989,0.9628314893660836,4.919088661948186
"NY-01 in Suffolk County, USA",0.023721665829653543,0.8222992030297999,6.6070377530118245,0.8611719362475332,1.2493225300906476,0.7974773981516883,23.263817106787307,0.6883397248000495,8.71483342316579
"MI-13 in Wayne County, USA",0.027836398356302073,0.9995822944411641,3.192571937581413,0.9962651450495446,0.6122170849951823,1.0,14.2433042694473,0.13381790616064132,24.30974517869091
"MI-11 in Oakland County, USA",0.03496969573724294,0.9856389123842139,4.153995497063091,0.9412727188331649,0.9550691415712158,0.22665968683597054,37.004979592711024,0.11268515462216079,16.439027798289075
"NV-03 in Clark County, USA",0.022629953444161553,0.9951076939348561,3.121479918940903,0.9678781992495799,0.9068667636356131,0.9839894027981463,13.113997459644333,0.0,204.3337867396506
"NV-01 in Clark County, USA",0.016134761586085723,0.9999366727064535,3.616802852335121,0.9693495899234644,0.7741881602420617,0.9837080844398378,11.38138129921862,0.0,216.80959549199406
"MD-08 in Montgomery County, USA",0.04299580813846708,0.997011052366207,4.26133102685234,0.9597904885101795,0.8638018077212076,0.8473990582093015,23.421734056954122,0.07032970451414047,17.16379594217449
"WA-07 in King County, USA",0.046167152866527936,0.9947671124648498,2.1824604299694217,0.9883309336812396,0.6812256760698744,1.0,12.819604760742136,0.6214856358731529,8.970257779814265
"FL-10 in Orange County, USA",0.030358381521071634,0.9838914954219918,3.9834492785723237,0.9509984776806666,0.9464611286331651,1.0,17.579222242813366,0.7117785395874527,8.323903714371491
"FL-13 in Pinellas County, USA",0.019826298793385353,0.9999154989268364,3.3953683103174552,0.9001249315866312,1.1518574113289397,0.9987883846124845,13.35887978079438,0.08540198460520448,22.87886524088536
"FL-25 in Broward County, USA",0.02582439211283519,1.0,2.8144207330694773,0.9330231493939973,0.9760871610524482,1.0,13.97912585322061,0.5951488583905016,8.79840094551923
"FL-22 in Palm Beach County, USA",0.016793422711690945,1.0,4.084572847883014,0.8662814279399912,1.1504213923981685,0.9669782376953278,14.671260966992381,0.01733964275499857,21.394775330457584
"WA-09 in King County, USA",0.046683904310433774,1.0,4.3420150669725714,0.9896427442630584,0.673640642595447,1.0,10.017489163664655,0.9589130539401924,4.94913508186213
"FL-27 in Miami-Dade County, USA",0.02239866148136912,1.0,2.2247202507628474,0.9891451584570042,0.698375036926719,1.0,10.618056831596869,0.546333465624817,10.466002157769818
"TX-18 in Harris County, USA",0.01919776307442939,0.9998174675711583,3.7808429880832763,0.9767505837778215,0.7868118845656217,1.0,15.292668118689399,0.4944516660647443,10.459964131168617
"TX-20 in Bexar County, USA",0.023506384849084294,1.0,3.7251656639388306,0.9912749499013673,0.6828383105694424,1.0,17.72770835747431,0.619000061278744,9.410419898753831
"TX-29 in Harris County, USA",0.023381663380087667,0.9792095563549317,4.271190743659861,0.992702614255522,0.6685956624642653,1.0,11.894109222476525,0.713168541318171,7.520748301088477
"TX-38 in Harris County, USA",0.01745624122597507,0.9927169560892166,3.3474933422822613,0.9344930226979076,0.9961283056895401,0.7394375654346163,27.065619409489134,0.4978845795300311,11.118893124688064
"TX-16 in El Paso County, USA",0.028430012243172705,0.8947660061591737,4.595813469305169,0.9827024222084888,0.7137941640732285,0.9995045541900374,12.243128538315707,0.0,68.62967912469023
"PA-02 in Philadelphia County, USA",0.05219653971273622,1.0,1.6706975355260647,0.9975198237597485,0.4947988752257157,1.0,8.641091115711626,1.0,4.899587939816008
"PA-03 in Philadelphia County, USA",0.0772460634129819,1.0,1.36604324454929,0.998178761191532,0.405286977806791,1.0,12.004421425430111,0.8655708727303154,7.316279732118926
"CA-41 in Riverside County, USA",0.014305767107272336,0.8458138561041341,6.324937038586688,0.8198551563626053,1.3009371132276526,0.5454267400205044,30.87426635654133,0.008839741292513524,35.53120953706063
"CA-52 in San Diego County, USA",0.022334564658024657,0.9989174204652201,3.434625153657048,0.9870799913288533,0.5623655447486215,1.0,10.564524125192817,0.0,77.43620413776382
"VA-11 in Fairfax County, USA",0.04421549069551282,0.9474114075882242,5.677226499257892,0.9631373498032448,0.911260108432193,1.0,14.511199256899262,0.044609225395088485,19.21519724468705
"CA-27 in Los Angeles County, USA",0.015457766414567534,0.8608165718923427,6.530551575123466,0.9436668258296536,0.9315087399390705,0.3074173898059395,40.94827232256636,0.0,34.17673140283603
"CA-14 in Alameda County, USA",0.034830702746064056,0.9988530660402204,3.1498591235166766,0.9796132817849506,0.6925990459038153,0.8203408935287115,21.068081323657893,0.11885712178832156,17.588362138910323
"NY-25 in Monroe County, USA",0.026581792682126088,0.765150307964406,6.489599282144753,0.8394449924342292,1.2398382590482535,0.99579372113451,12.286525094441673,0.02907652820011036,27.62814787443519
"CA-50 in San Diego County, USA",0.03712784561915872,0.9963916656566668,3.9557263525559576,0.9588763180498395,0.8012823900211062,0.6262047542011604,22.58241931788367,0.0,47.240160737008274
"CA-11 in San Francisco County, USA",0.09163579046745982,1.0,1.363792757260752,0.9999802342374632,0.4311517908231521,1.0,17.348853561629486,0.7708634212163059,8.035859688358013
"CA-12 in Alameda County, USA",0.036112434550496245,1.0,2.1687636139898157,0.9996123898145536,0.4893360887653408,1.0,10.083084394445702,0.7655986731602359,7.767509183973831
"CA-47 in Orange County, USA",0.036644926362581424,1.0,3.662220968478695,0.9650346515332117,0.7895759030880105,1.0,9.050486121376125,0.3276930095674096,14.404890375646312
"CA-51 in San Diego County, USA",0.032845749891931966,0.9921933629736706,4.2793606411684175,0.9854840602953571,0.6715062802509578,0.9992112909373636,16.072133030143046,0.0,60.42954957178642
"CA-30 in Los Angeles County, USA",0.010908064250619874,0.9992336275271495,2.4857880029680226,0.9921911789341223,0.5913691332500095,1.0,10.594472040328023,0.8912489760815283,5.412081984858884
"CA-44 in Los Angeles County, USA",0.02402044280042464,1.0,2.1457858082785948,0.9999511773515692,0.4977396824826106,1.0,10.391567589257036,0.7786249167046032,6.85522261059238
"CA-34 in Los Angeles County, USA",0.021656092828889452,1.0,1.765418713843157,1.0,0.3722693409069055,1.0,18.431640443860555,1.0,5.89677531617465
"CA-46 in Orange County, USA",0.019545035918237568,1.0,2.0299400172628546,1.0,0.5010639042273238,1.0,13.009115173189622,0.38390508458469225,12.098058784092187
"CA-36 in Los Angeles County, USA",0.01601751139431085,1.0,2.5335470990319875,0.9973402324491641,0.6100687264041829,1.0,10.629396257065522,0.30501659879749465,14.573046717540242
"CA-29 in Los Angeles County, USA",0.01685381332427509,0.9999049443462349,2.5585766935464376,0.9987920010667357,0.5235363171852357,1.0,8.8868032785792,0.49870156617391753,9.479425140042414
"CA-31 in Los Angeles County, USA",0.017714897582948134,0.999803238509261,2.489276039940504,0.9943546619267836,0.5372814853717484,0.5722840971816888,28.789993788138066,0.9064881111160998,5.526552598275819
"CA-33 in San Bernardino County, USA",0.016101180840638326,0.9804706174443819,3.944861828842073,0.9944243269441561,0.5998105728974352,1.0,10.112443685671051,0.8663687339709304,6.538493678724272
"CA-06 in Sacramento County, USA",0.02334037505911343,0.9293697884318053,4.619770858690774,0.9898761777648567,0.6681936712481845,1.0,11.274973438527338,0.8564613534549972,6.798111691927564
"CA-39 in Riverside County, USA",0.02643935422431218,0.9759805211027995,4.305311131010305,0.9641617901127677,0.7570772405640751,0.8992929382388359,20.57172558752604,0.7805094704505288,7.001631192088589
"CA-32 in Los Angeles County, USA",0.0163069735565468,0.9804050531063159,2.8101867984849664,0.9526542571070887,0.8208267584909236,0.983964883399016,17.502678258921804,0.122661959044748,18.489488592700926
"CA-37 in Los Angeles County, USA",0.014747228227462808,1.0,2.2833765490413525,1.0,0.4195567372576974,1.0,12.310437147511992,0.3430308069327183,11.503394811184908
"CA-43 in Los Angeles County, USA",0.018792250825291425,1.0,2.444692037391874,0.9999986752773637,0.43255582676358423,1.0,9.997507703021764,0.7622904454379864,7.979509454853016
"CA-42 in Los Angeles County, USA",0.02651001013606033,0.9995438355474106,2.101824449268397,0.999395316888428,0.480959508159042,0.9948615196110933,10.953889198741248,0.5683862121642086,8.697941546039846
"IN-07 in Marion County, USA",0.023363820050087827,0.9962636730070602,3.558005665703351,0.981683111191871,0.8667853847290862,0.9217268011496799,19.065012957859217,0.6900480005942047,8.14361196884957
"IL-07 in Cook County, USA",0.058416122761024834,1.0,1.5316160713543687,1.0,0.42172466128910213,1.0,11.724715284303487,0.0,22.126846577273355
"KY-03 in Jefferson County, USA",0.02129989016336706,0.8670617984934212,5.134613314568853,0.9277750331902744,0.9801289420092958,1.0,10.908189722153992,0.07470175359167373,19.72393966867038
"NY-02 in Suffolk County, USA",0.022500088562199354,0.868029732331574,6.109925159179773,0.9327217207046141,0.9628279502754773,0.9889485131831406,15.913232317222011,0.9280418292834358,5.691335991660839
"NC-02 in Wake County, USA",0.04050643400194112,0.7221388521211097,7.693333503919765,0.8531295973693492,1.3007036853898657,0.9284912515036793,16.777359713927172,0.5385619126933996,11.827471801073091
"CA-09 in San Joaquin County, USA",0.01867196927280975,0.9178165595349063,4.607000373154957,0.9442447884394684,0.8088792049768855,0.0,63.451593957027804,0.7030932612057307,8.835105823913654
"TN-09 in Shelby County, USA",0.02086719291144322,0.9755275154385665,4.5877413916507965,0.9171030698095831,0.9562835754974722,0.9776217079876356,14.761842318070762,0.41050649891424795,11.360274576953792
"WI-04 in Milwaukee County, USA",0.06715078924939938,1.0,2.674066546616981,0.9868327281365595,0.543389643421767,1.0,14.059015099667661,0.22172735602538432,13.055598457537345
"MD-04 in Prince George's County, USA",0.02160124840501898,0.9983486173584413,3.732788032043701,0.966972347168825,0.7639434598719587,1.0,13.579314618860709,0.8633368548308048,7.510023258363202
"CA-23 in San Bernardino County, USA",0.007967738349559814,0.6881672830256121,8.162498086609709,0.798467122176549,1.5065893972724076,0.2357029928923961,41.24959447729614,0.26333328750738944,23.516420902832433
"HI-01 in Honolulu County, USA",0.0327231947418022,0.9693818251924481,3.1639730396820243,0.9798518253301568,0.6339722761152232,1.0,10.809982335703475,0.47501411515209935,12.598476780970422
"CO-05 in El Paso County, USA",0.02269779414031391,0.8528821666200185,5.666852043850869,0.9159099033689245,1.0185274941404285,0.946367951847962,13.830683847634338,0.0,64.49207836391508
"NV-04 in Clark County, USA",0.01615864008331744,0.9773116844685401,4.154296477701281,0.9715774897962602,0.8329399271674347,0.9478115700079843,20.682501567319274,0.0,222.38437175623656
"IL-04 in Cook County, USA",0.028253012406664845,1.0,2.699326063329276,1.0,0.40970063863873446,1.0,6.516625599170566,0.0011139951051306672,19.2896102231864
"CO-01 in Denver County, USA",0.053985433206061965,0.9980192143210105,3.2607707693584067,1.0,0.5747772114448758,0.5264326399883532,28.49474510234015,0.8648740206309677,5.814894031528148
"TX-30 in Dallas County, USA",0.030593359374911526,0.9357390139387992,4.52263269085119,0.972791553566454,0.750479709090707,0.8967756115110935,20.243028953639435,0.23771693192428783,15.203391666063842
"IL-05 in Cook County, USA",0.057174964141394696,0.9996007591199831,2.3953333019163963,0.9948562592254164,0.54480777565517,0.998843044914599,14.909542324855314,0.0,29.49912448644108
"CA-26 in Ventura County, USA",0.024478643383915685,0.959208151580472,4.469012718379027,0.9327457836165001,0.8132889751109279,0.8495157028814547,16.960110166194347,0.3305794592392688,14.94043708758324
"TX-37 in Travis County, USA",0.05018662785893836,0.9949655830494749,2.9089532341087576,0.9521914437563885,0.8639171366885994,0.9771370080612964,18.425526244133046,0.0,88.41005088333385
"NY-16 in Westchester County, USA",0.035986029993092285,1.0,2.077923155137533,0.9948656174934634,0.5667308510253612,1.0,13.557676794009687,0.0,17.327311879823935
"CA-10 in Contra Costa County, USA",0.0226432764428144,0.9821355291538338,4.310779449873978,0.9564967972884514,0.8640226367922984,0.5024245754685501,32.9135284611875,0.10818079452237639,18.10772885362421
"CA-07 in Sacramento County, USA",0.02168697295873847,0.9066682201360896,5.415404350001979,0.9544473508846961,0.8286222786280155,0.9567803967314624,16.827135166361785,0.6019442995960506,9.940352172591323
"CA-38 in Los Angeles County, USA",0.016990935186653018,1.0,2.9246922818691226,0.9961993936305292,0.5711902076381492,1.0,19.692478382113457,0.9137694241217577,4.90501093379021
"CA-40 in Orange County, USA",0.027451238387721573,0.92851304766713,4.3009399621831585,0.9694346517222573,0.8202902938744351,0.9999160968242647,18.267731903465137,0.32446370681337183,12.107213673986564
"FL-24 in Miami-Dade County, USA",0.026299151466498288,1.0,2.960335772079381,0.9845652306027186,0.7330587231818276,1.0,13.93255855732342,0.9834192347873396,4.877456761576694
"FL-28 in Miami-Dade County, USA",0.017417015930248393,0.9885436958273294,4.2284310023293035,0.9410749955926084,0.9370255239771468,0.7046362845615993,24.079762599866434,0.3480877748427545,12.780247304161263
"MI-10 in Macomb County, USA",0.022204792415655913,0.9972298482394227,4.041930653489449,0.9712327029537108,0.7887092848605806,0.44252007995532766,31.614071868644697,0.736466715168622,7.645613260564875
"CA-28 in Los Angeles County, USA",0.015091168295896292,0.9992615165472833,2.287303702094449,0.9943212665720941,0.6272244910172449,0.9297258562613473,23.536329971599653,0.927952620302749,5.107624518903489
"TX-03 in Collin County, USA",0.03075277500336859,0.8366293940742896,5.44450448391242,0.9077543740569829,1.05105008650149,0.19249229792804348,37.821814383533265,0.0,42.07872702383751
