longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"AZ-03 in Maricopa County, USA",0.7493020979374759,0.07764554025565859,0.1730523618068655,0.2506979020625241,0.2650991712169807,0.4842029267204952,0.46516604713688436,0.4903052021774931,0.04452875068562245
"AZ-01 in Maricopa County, USA",0.8730478432509209,0.06475868293837948,0.062193473810699604,0.1269521567490791,0.5603421091529197,0.3127057340980012,0.82569298558635,0.10103549108479623,0.07327152332885381
"AZ-04 in Maricopa County, USA",0.8680596853548913,0.05107234017297445,0.08086797447213427,0.13194031464510872,0.4774392338574582,0.3906204514974331,0.7692756808183991,0.16209032015544458,0.06863399902615626
"AZ-08 in Maricopa County, USA",0.8824153136437249,0.06194973585427392,0.055634950502001075,0.117584686356275,0.5209288630075258,0.3614864506361993,0.8031169230215934,0.12129775010956015,0.07558532686884638
"OH-03 in Franklin County, USA",0.8769253291966006,0.05996861148709443,0.06310605931630506,0.12307467080339947,0.23550795884149037,0.6414173703551102,0.8543490388001387,0.03832421194336295,0.10732674925649839
"OH-11 in Cuyahoga County, USA",0.9343376732251848,0.03626064856168243,0.02940167821313274,0.06566232677481516,0.21078915629713796,0.7235485169280469,0.8815766152642699,0.056229450152771907,0.062193934582958174
"NY-08 in Kings County, USA",0.6423049379858402,0.2449593886610301,0.11273567335312974,0.35769506201415985,0.1157468845799875,0.5265580534058528,0.6047226918610508,0.12179773758342652,0.2734795705555227
"NY-09 in Kings County, USA",0.608396747143593,0.2576053837092103,0.1339978691471967,0.39160325285640696,0.12106083680201027,0.4873359103415828,0.6251896569415105,0.08142595683887903,0.2933843862196105
"NY-06 in Queens County, USA",0.4632989438526638,0.2965832854932844,0.24011777065405174,0.5367010561473361,0.060491505682909584,0.40280743816975423,0.30437014598110607,0.20682467648591404,0.48880517753298
"NY-12 in New York County, USA",0.7569352380112851,0.12483772377367021,0.11822703821504456,0.2430647619887148,0.32357129463078166,0.4333639433805036,0.7209856596758318,0.09304927939918914,0.18596506092497897
"NY-15 in Bronx County, USA",0.6627992753728748,0.17181606439211672,0.1653846602350085,0.33720072462712525,0.13192382008274,0.5308754552901347,0.4141410953047511,0.47253479709673935,0.11332410759850949
"NY-05 in Queens County, USA",0.5771963608500011,0.284176159982368,0.138627479167631,0.42280363914999897,0.07390116085980233,0.5032951999901987,0.6496823381917128,0.16267625815778097,0.18764140365050616
"NY-04 in Nassau County, USA",0.7681484713574709,0.15696500379757222,0.0748865248449569,0.23185152864252917,0.0680113568010023,0.7001371145564687,0.7150575626265672,0.15935438943992533,0.1255880479335074
"NY-01 in Suffolk County, USA",0.8690719072489749,0.08033092528804599,0.05059716746297912,0.13092809275102513,0.09212979947812598,0.7769421077708488,0.8228105273053,0.08575386526556399,0.09143560742913594
"MI-13 in Wayne County, USA",0.9206444131208277,0.03669922857445822,0.04265635830471414,0.07935558687917235,0.15924417983231995,0.7614002332885078,0.8564736046384742,0.06932630163427457,0.07420009372725125
"MI-11 in Oakland County, USA",0.8559943515323319,0.07930921905499787,0.06469642941267023,0.14400564846766808,0.16475956229970468,0.6912347892326273,0.823301384276091,0.03103580682725323,0.14566280889665567
"NV-03 in Clark County, USA",0.7621393578442834,0.1456946477320539,0.0921659944236627,0.23786064215571662,0.5343617917862199,0.2277775660580634,0.6799225506636944,0.1424997812703082,0.17757766806599726
"NV-01 in Clark County, USA",0.7723218637865575,0.10881416734176227,0.11886396887168019,0.22767813621344243,0.5275801507529223,0.24474171303363518,0.6405484080605514,0.27501620183488146,0.08443539010456712
"MD-08 in Montgomery County, USA",0.686877647596191,0.1796063313695768,0.13351602103423216,0.313122352403809,0.448906124046329,0.23797152354986195,0.5991729950757408,0.16619304572614327,0.2346339591981159
"WA-07 in King County, USA",0.8169813448044865,0.08159367356322142,0.10142498163229213,0.18301865519551355,0.43390475615517987,0.3830765886493066,0.7869109189678392,0.05205589804387595,0.16103318298828503
"FL-10 in Orange County, USA",0.7915556205956616,0.1033349182039982,0.10510946120034016,0.20844437940433833,0.4088661596362171,0.38268946095944456,0.6524063204312788,0.22779555961162043,0.11979811995710074
"FL-13 in Pinellas County, USA",0.8729943277840275,0.0800618338364561,0.04694383837951623,0.12700567221597234,0.5556203264847912,0.3173740012992363,0.8469612665933984,0.07043453662938234,0.08260419677721932
"FL-25 in Broward County, USA",0.6305005960109565,0.23061460230991088,0.13888480167913259,0.3694994039890434,0.27759432049789995,0.3529062755130567,0.4982600244105885,0.38160084897673974,0.1201391266126718
"FL-22 in Palm Beach County, USA",0.7015196956555746,0.16384595062003007,0.13463435372439533,0.29848030434442535,0.4201464732222761,0.28137322243329843,0.6145970509801928,0.2374748787209213,0.14792807029888602
"WA-09 in King County, USA",0.7069357601136843,0.15264730091267265,0.14041693897364305,0.2930642398863157,0.3066276057867582,0.4003081543269262,0.6268359657666295,0.09802447143232802,0.2751395628010425
"FL-27 in Miami-Dade County, USA",0.44885201007524084,0.3262948394401344,0.22485315048462493,0.5511479899247592,0.1449144027280288,0.3039376073472119,0.23230728485982124,0.7171803491543831,0.050512365985795636
"TX-18 in Harris County, USA",0.7615498624640076,0.07916907582586544,0.15928106171012713,0.23845013753599253,0.1788573434062197,0.5826925190577877,0.5677941077755809,0.36972883969088327,0.06247705253353585
"TX-20 in Bexar County, USA",0.8504282751546288,0.05881478153804751,0.09075694330732366,0.14957172484537115,0.19060775226360663,0.6598205228910221,0.543257854351829,0.41359406852314756,0.043148077125023304
"TX-29 in Harris County, USA",0.6783795677000645,0.10038346819071506,0.22123696410922064,0.3216204322999357,0.09567359230234493,0.5827059753977194,0.33300838120234955,0.6404474467638187,0.026544172033831817
"TX-38 in Harris County, USA",0.7904713744229896,0.10228991320842343,0.10723871236858704,0.2095286255770105,0.29109405815506345,0.49937731626792614,0.68499680114421,0.18937149089847385,0.12563170795731612
"TX-16 in El Paso County, USA",0.771691033312946,0.12066469625197729,0.1076442704350766,0.22830896668705394,0.18363760502951318,0.5880534282834329,0.31796635031559567,0.6637805206925527,0.018253128991851678
"PA-02 in Philadelphia County, USA",0.8185401328871568,0.09943239962380963,0.0820274674890336,0.18145986711284323,0.1963478574983475,0.6221922753888093,0.6503641218497593,0.1879445799356716,0.16169129821456896
"PA-03 in Philadelphia County, USA",0.8998950423471284,0.047328265856468585,0.05277669179640305,0.10010495765287163,0.24059593121526548,0.6592991111318629,0.8720855372469851,0.03849745460646876,0.08941700814654605
"CA-41 in Riverside County, USA",0.8136044342960953,0.11181615942912489,0.07457940627477969,0.1863955657039046,0.21318601396555273,0.6004184203305426,0.6715651163343538,0.24959588027299615,0.07883900339265006
"CA-52 in San Diego County, USA",0.6850161950198108,0.17682586163148273,0.1381579433487064,0.31498380498018913,0.16353284336818458,0.5214833516516263,0.39642424371059226,0.4812782438785847,0.12229751241082315
"VA-11 in Fairfax County, USA",0.6993156153409544,0.18434950560578975,0.11633487905325568,0.3006843846590455,0.4125451345325088,0.2867704808084458,0.6235488743702565,0.10433864991300722,0.2721124757167362
"CA-27 in Los Angeles County, USA",0.794784689471574,0.1306191750975058,0.07459613543092028,0.20521531052842606,0.14934652412130234,0.6454381653502717,0.6266647607322994,0.27226566285677084,0.1010695764109298
"CA-14 in Alameda County, USA",0.6309810927580752,0.21107779140601893,0.15794111583590578,0.36901890724192477,0.1320745772354678,0.49890651552260745,0.4882301672182606,0.16589125281160153,0.3458785799701379
"NY-25 in Monroe County, USA",0.9151723378017987,0.050502632593030346,0.03432502960517094,0.0848276621982013,0.18089280607880923,0.7342795317229895,0.8656209592014001,0.06031744331461693,0.07406159748398285
"CA-50 in San Diego County, USA",0.7852492249375665,0.12039633990498046,0.094354435157453,0.21475077506243345,0.34036025746644943,0.44488896747111717,0.7121766310303989,0.14088446973631957,0.14693889923328152
"CA-11 in San Francisco County, USA",0.6849302713737286,0.19121982959082418,0.12384989903544712,0.31506972862627125,0.2829762933556823,0.40195397801804633,0.6143891075121909,0.09354107991592302,0.292069812571886
"CA-12 in Alameda County, USA",0.7368785434371702,0.13518555230572188,0.12793590425710788,0.2631214565628298,0.2364620962635745,0.5004164471735958,0.6206539610528873,0.16782970340349967,0.21151633554361307
"CA-47 in Orange County, USA",0.7355367858534592,0.14715714664110732,0.11730606750543349,0.26446321414654084,0.22542870759791506,0.5101080782555442,0.6559202557412338,0.10368552071190323,0.24039422354686285
"CA-51 in San Diego County, USA",0.7736888569489725,0.13541290991481603,0.09089823313621154,0.22631114305102756,0.2677045415089589,0.5059843154400135,0.6629968115541932,0.15280614295382208,0.1841970454919848
"CA-30 in Los Angeles County, USA",0.6294056266363351,0.23296900161550907,0.1376253717481559,0.37059437336366496,0.24184773701272488,0.38755788962361015,0.5035479963096665,0.18605436135234174,0.31039764233799166
"CA-44 in Los Angeles County, USA",0.6739806529620812,0.16599035235624376,0.160028994681675,0.32601934703791874,0.09776711165837007,0.576213541303711,0.3817834762111049,0.5125195478723673,0.1056969759165278
"CA-34 in Los Angeles County, USA",0.5602162349163174,0.18456654994773708,0.2552172151359456,0.4397837650836826,0.10207483406465707,0.45814140085166044,0.2607832858002022,0.5771979430094462,0.1620187711903516
"CA-46 in Orange County, USA",0.6230941750605155,0.17414065923632618,0.2027651657031584,0.37690582493948455,0.09039290540276833,0.5327012696577471,0.3190850233076499,0.5362592723270917,0.14465570436525843
"CA-36 in Los Angeles County, USA",0.7577569501063824,0.14475208206148546,0.09749096783213201,0.2422430498936175,0.2864715839992379,0.4712853661071447,0.6770905135727442,0.1131739967397773,0.20973548968747852
"CA-29 in Los Angeles County, USA",0.5852016192665648,0.21533799877372728,0.199460381959708,0.4147983807334353,0.11030492373427093,0.47489669553229374,0.29510785684360025,0.5690481705443108,0.13584397261208897
"CA-31 in Los Angeles County, USA",0.6516049510166114,0.20516305645622215,0.14323199252716642,0.3483950489833885,0.07824761029732598,0.5733573407192853,0.3867301211452192,0.434884539808173,0.17838533904660786
"CA-33 in San Bernardino County, USA",0.7803966585508304,0.10686856692361232,0.11273477452555723,0.21960334144916957,0.11352999904881152,0.6668666595020188,0.5208756754711719,0.41228735474994693,0.06683696977888119
"CA-06 in Sacramento County, USA",0.7905456671368113,0.11311938560745255,0.09633494725573614,0.20945433286318868,0.17934648701066797,0.6111991801261435,0.68940138595576,0.12791991750946688,0.18267869653477323
"CA-39 in Riverside County, USA",0.7477566911273875,0.12609321852123198,0.12615009035138053,0.2522433088726125,0.1112284090519392,0.6365282820754483,0.47623493476820816,0.46122459781552716,0.0625404674162646
"CA-32 in Los Angeles County, USA",0.6925254807867137,0.19294014887602723,0.114534370337259,0.3074745192132863,0.22518337938273358,0.46734210140398014,0.5807030793061988,0.1936088690707715,0.2256880516230297
"CA-37 in Los Angeles County, USA",0.6560473253603994,0.12951796079341804,0.21443471384618257,0.3439526746396006,0.15224712655820596,0.5038001988021935,0.4037674818240285,0.5162196311871793,0.08001288698879218
"CA-43 in Los Angeles County, USA",0.6754616378734382,0.14103569865023058,0.18350266347633126,0.3245383621265619,0.11111906592725003,0.5643425719461882,0.3970918329548718,0.5151227167917887,0.08778545025333954
"CA-42 in Los Angeles County, USA",0.6804045872966628,0.1422129500165083,0.17738246268682903,0.3195954127033373,0.10178351995777053,0.5786210673388922,0.3769189997507131,0.5465767675974545,0.07650423265183239
"IN-07 in Marion County, USA",0.9059409255993967,0.02928050296137871,0.06477857143922464,0.09405907440060335,0.2558019178665983,0.6501390077327984,0.8616979548946119,0.0913419295159312,0.04696011558945696
"IL-07 in Cook County, USA",0.8658174037693315,0.06344812354614698,0.07073447268452171,0.1341825962306687,0.23626133660296608,0.6295560671663654,0.7866664351462787,0.11279277112848693,0.10054079372523446
"KY-03 in Jefferson County, USA",0.9141414458207862,0.03780214100220355,0.04805641317701022,0.08585855417921377,0.2465435973736417,0.6675978484471444,0.8950010700908007,0.04829135716763338,0.05670757274156604
