longname,White %,White % (2010),White % (2000),Hispanic %,Hispanic % (2010),Hispanic % (2000),Black %,Black % (2010),Black % (2000),Asian %,Asian % (2010),Asian % (2000),Native %,Native % (2010),Native % (2000),Hawaiian / PI %,Hawaiian / PI % (2010),Hawaiian / PI % (2000),Other / Mixed %,Other / Mixed % (2010),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Racial Homogeneity %,Segregation (2000) %,Segregation Change (2000-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Segregation %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Mean Local Segregation %
"AZ-03 in Maricopa County, USA",0.19566404735896262,0.2073172789949958,0.29016776345400364,0.6260036344782107,0.6475720180815244,0.5808898427543339,0.10094989756006705,0.08593928005828394,0.07583388212181368,0.02572450453806386,0.021758025997113933,0.01300510254843157,0.019841130010621537,0.020030885989068947,0.023109127576344767,0.002368451520993894,0.0013347360485624514,0.00090490877477247,0.0294483345330803,0.01604777483045055,0.01608937277030004,0.5262022453395363,-0.003487235274653444,0.5516497907132257,-0.028934780648342873,0.5227150100648829,0.17108071579261386,-0.027074674767955303,0.15215799625946705,-0.008151955234808494,0.14400604102465855,0.13653681928429007,-0.03681252176391675,0.1155586105898377,-0.01583431306946438,0.09972429752037332
"AZ-01 in Maricopa County, USA",0.6989017267568659,0.7548753326431018,0.8100777873567678,0.16351271250964308,0.15482013242559642,0.12183816899878232,0.03152234237884952,0.024270244885741043,0.01720267465469779,0.0451038306794142,0.029582922535694767,0.01874769833800603,0.015999023421523238,0.01708048521265815,0.014441385752200777,0.001181710295981304,0.0010751684155889808,0.0009143153851906305,0.043778653957722714,0.018295713881618877,0.01677796951435461,0.7351279924244447,-0.14160541489267864,0.6757834295865772,-0.08226085205481115,0.5935225775317661,0.19213352169212686,-0.03916716316566732,0.1983490153138279,-0.04538265678736836,0.15296635852645954,0.06846021200203074,-0.00046909932063544935,0.07482070033620852,-0.0068295876548132295,0.0679911126813953
"AZ-04 in Maricopa County, USA",0.5515667414621745,0.6205208296294675,0.7152425291950342,0.26743148534314276,0.2523310421789398,0.1924232730903699,0.052616940867921534,0.042531775749502884,0.029259828642439437,0.05517290850491624,0.03878186806123482,0.029491724720258305,0.022218418823801836,0.020070621893881167,0.013324475812557036,0.003448228126718608,0.0031591126039019826,0.002033865011929007,0.04754527687132446,0.022604749883071804,0.018224303527412163,0.6193797739702701,-0.16262502777452842,0.5412103700002084,-0.08445562380446675,0.4567547461957417,0.15323773412556888,-0.03530187721967332,0.16156743879394375,-0.04363158188804819,0.11793585690589556,0.08075102072297348,-0.004688019230210297,0.09347438958305845,-0.01741138809029527,0.07606300149276318
"AZ-08 in Maricopa County, USA",0.6429594392217566,0.7171329770512418,0.792779804946917,0.21143957413070563,0.18265982681260895,0.13159586012650004,0.04477416594304124,0.034103055071304046,0.026411536016688733,0.044528762537597064,0.034174502014803806,0.02240265783531114,0.01060897798920225,0.010735617730273499,0.009301370007339951,0.0014925560967015265,0.0014275099311251464,0.0009763189964283582,0.04419652408099571,0.019766511388642792,0.016532452070814736,0.6857407459687391,-0.15038692321475522,0.6119353884788645,-0.07658156572488062,0.5353538227539839,0.10844876085721064,0.024772044519417002,0.13658872415369547,-0.0033679187770678243,0.13322080537662764,0.07304239962123404,-0.004313172829791517,0.07498966476821801,-0.0062604379767754875,0.06872922679144253
"OH-03 in Franklin County, USA",0.5508752526600816,0.6188554393141791,0.6824576558085589,0.06277029861561344,0.04426024805671523,0.021347818232330208,0.27536961468543025,0.27039543635905355,0.23838295818031938,0.05573522494692549,0.03563823468911789,0.031116927201541196,0.0015636322031959116,0.001923728789006933,0.0022210110989830108,0.0003381513545122866,0.0005185955620967485,0.0004053383208670293,0.053347825534241,0.028408317229830546,0.024068291157400307,0.6976041127821876,-0.15403755958888266,0.6299826842352271,-0.08641613104192214,0.5435665531933049,0.36404607940552375,-0.11099590817669985,0.31463203023920994,-0.06158185901038604,0.2530501712288239,0.15073194029893253,-0.013104399121057486,0.14817203074207902,-0.01054448956420398,0.13762754117787504
"OH-11 in Cuyahoga County, USA",0.407410657398258,0.4495281514464501,0.5198718384974943,0.07857799617716293,0.059756769920365514,0.04380759786844001,0.4400255873192705,0.44593458648661344,0.40050469533016386,0.02930078707713203,0.022071930635666658,0.015918643804141052,0.001696495223997141,0.0019321438019348634,0.0018623603364779568,0.0002200102501885348,0.00014339646898556887,0.00020524852896218782,0.04276846655399089,0.02063302123998388,0.01782961563432058,0.728197407597533,-0.14145042652336504,0.6509763668304295,-0.06422938575626147,0.586746981074168,0.5205791230498784,-0.17503589114512347,0.412982258889685,-0.06743902698493004,0.34554323190475494,0.24557002109916778,-0.05697540381701502,0.21334348768602926,-0.024748870403876494,0.18859461728215277
"NY-08 in Kings County, USA",0.27570234191193504,0.27634717367257416,0.29294882432305686,0.1676649866404452,0.1629834525932891,0.1511619685283656,0.41844365047903914,0.48078698920967966,0.47768486518856285,0.08494257193309411,0.06021468197579381,0.050578278655998156,0.0017388013982485855,0.0021673406224568537,0.002008643516280546,0.0002625577240878693,0.00022910280250354546,0.0002914841884257689,0.05124508991315002,0.017271259123702865,0.02532593559931025,0.6015635403741427,-0.12139111238195238,0.5826206817347221,-0.1024482537425318,0.48017242799219034,0.3964889998465187,-0.1274880654804042,0.36982987986270816,-0.10082894549659366,0.2690009343661145,0.2787428506261516,-0.06879072850412293,0.2663461407621539,-0.05639401864012522,0.20995212212202868
"NY-09 in Kings County, USA",0.32434244734687995,0.31954989650222243,0.2987932651254407,0.11363343852802932,0.10725270673460784,0.09128830145583512,0.40370566764310684,0.48511380688819394,0.5228708607710321,0.09127742055054751,0.06585088457727224,0.051556680130129345,0.0013874373851309957,0.0019438875310595,0.0015847071827835317,0.00021493696040526556,0.00022638020759200593,0.00031039305976834463,0.06543865158590013,0.020062437559052022,0.03359579227501087,0.6479009283834589,-0.1613692482028518,0.6163593906268239,-0.12982771044621677,0.4865316801806071,0.43672695820486623,-0.16348110880121824,0.40645330434384336,-0.13320745494019537,0.273245849403648,0.28881254703900877,-0.08388677973690042,0.26874624692668697,-0.06382047962457862,0.20492576730210835
"NY-06 in Queens County, USA",0.24219951581204446,0.3152093304545094,0.3861662266296283,0.23588396478118231,0.23138273854969665,0.22824294449476498,0.035882935141723436,0.037584798058162096,0.0458514923174764,0.4536346916422878,0.3913148180074269,0.3024320879229793,0.0009794445352529246,0.001227331313778128,0.0014095868423878181,0.0001608811654489035,0.0003188051238687891,0.0002642975329477159,0.03125856692206015,0.022962178492558022,0.03563336425981549,0.42117951128736103,0.013453295499397055,0.43789778816866926,-0.0032649813819111695,0.4346328067867581,0.17754671976221567,-0.011931526336770859,0.1879013070960418,-0.02228611367059699,0.1656151934254448,0.2470989387917826,-0.04934346203457313,0.23623207834018436,-0.03847660158297489,0.19775547675720948
"NY-12 in New York County, USA",0.6519252327306939,0.722136955226452,0.7475702712692152,0.11223070101715509,0.09950251613412682,0.10042777767679155,0.0467018717558313,0.04486256380069059,0.05026084743606057,0.14094605847579897,0.10928851910610836,0.07812698816643339,0.000891925181248721,0.0008772370621890726,0.0009815861705415084,0.0006396635138248403,0.0003718566270163172,0.00040444985730645486,0.04666454732544715,0.022960352043416773,0.02222807942365138,0.6110451387976481,-0.12110809894432728,0.5720800880398934,-0.08214304818657259,0.4899370398533208,0.07958008404269619,-0.026567141329316445,0.060639894625389545,-0.007626951912009801,0.053012942713379745,0.2427955279520848,-0.06696344542065685,0.22037042386732023,-0.04453834133589227,0.17583208253142796
