longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %,geoid
"Los Angeles County, California, USA",0.017979977159866333,0.9861155678670803,2.762647757774266,0.9892136404305713,0.5735964019547186,0.9045155074461236,17.10895950641206,0.5988369165651326,10.974354388554866,0.6236583881092399,0.9276135093326102,0.9995975163947284,0.9999367697239248,06037
"Cook County, Illinois, USA",0.04488096976979527,0.9987659197396523,2.6799757857290207,0.9923869308093978,0.528644073896193,0.9765027932727836,14.143148785241088,0.11835811954839641,21.883068379886566,0.6087400846261439,0.9253417633441876,1.0,1.0,17031
"Harris County, Texas, USA",0.020443573894903994,0.9711870214138977,4.019976004063095,0.9646015117756462,0.8486095944594951,0.7945372144917568,21.04521276680543,0.5868987757961173,10.111551834783556,0.39724363622246395,0.7911107895795135,1.0,1.0,48201
"Maricopa County, Arizona, USA",0.02212425950506709,0.9206618689477586,4.69575039983783,0.9339510963850162,0.939399005130722,0.7843347457444997,21.26020014773484,0.241333646113298,16.168002991316865,0.34567623528263147,0.7633587813075136,0.9932029990742633,0.9985567777473612,04013
"San Diego County, California, USA",0.02570697871827071,0.9474072807300015,4.957655663891803,0.9459942886009134,0.8479037426373088,0.6717570769377247,25.01780070276392,0.029730749195109957,53.070039219134465,0.46109987528687535,0.8023554234468642,0.996786248684312,0.9995259148314025,06073
"Orange County, California, USA",0.02752032432008004,0.9844866259525598,3.1119664737876698,0.980855749473603,0.6830017927960184,0.9778334190654125,14.938439161857735,0.3380179977735813,13.044101036503164,0.557185922358239,0.9116813343392481,1.0,1.0,06059
"Kings County, New York, USA",0.04467932149425794,1.0,1.5511679676788541,0.9999923247689938,0.2838908786457952,1.0,13.425758167518826,0.9325321610453519,5.4783968154808305,0.9836862338916499,0.9998425312174689,1.0,1.0,36047
"Miami-Dade County, Florida, USA",0.022581348354720466,0.9967716270444357,3.072901552061489,0.9773965763697168,0.7580712916549598,0.9249469928557439,14.747412446821064,0.7001541251905277,8.32494531993251,0.6035035720029163,0.9302085736731305,0.9998211648794738,0.9998332479770918,12086
"Dallas County, Texas, USA",0.03152729981832596,0.9752339643678553,3.9186588059187595,0.9762995692813461,0.7233430245038113,0.9461129143280433,16.52316334790066,0.1740800500776916,17.5634861839391,0.4071318490226745,0.7994415487403636,1.0,1.0,48113
"Riverside County, California, USA",0.018273505425080667,0.9018437381755324,5.438508346137275,0.8882219515876577,1.1833276160613087,0.575866610701828,31.03466179322929,0.24858933456290566,32.15717870604707,0.30178065172270463,0.682948489461265,0.9951500323586603,0.9998590004159651,06065
"Queens County, New York, USA",0.0535319752283321,1.0,1.957716480377459,0.9981421556481961,0.36428540167413986,1.0,6.058814044180913,0.9556898509899912,6.534706204939093,0.9341308880823218,0.9942992603398407,1.0,1.0,36081
"King County, Washington, USA",0.04733270945920552,0.954093025633072,3.9205028813375082,0.9636494698550561,0.8080626057657666,0.9669227800180474,14.617588752240827,0.5942073557610964,9.728615533763975,0.4123371827487141,0.7935315255129527,0.9996189657887827,0.9999618092566994,53033
"Clark County, Nevada, USA",0.018365134301972282,0.9911293992701706,3.6172615705603284,0.9695505682949298,0.83817318994013,0.9724528473454189,14.915609141194338,0.0,214.30295775465538,0.4152262534276492,0.7964873547190838,0.9937366695450245,0.9979366296192478,32003
"San Bernardino County, California, USA",0.013822607838151792,0.8861730595227291,5.199147496895571,0.9181272557426613,0.9520408878296237,0.739906969666134,20.41184442718489,0.45055677939764965,15.918508786861848,0.34488205080751055,0.6920176286010794,0.9904162026053017,0.994361837582369,06071
"Tarrant County, Texas, USA",0.03182797038454371,0.9722084296706213,4.18506407695216,0.9603636811583216,0.8415434248043323,0.5696423833529166,27.668171934570886,0.1303893605730963,19.694588047663967,0.2876094483512629,0.6805132503837623,1.0,1.0,48439
"Bexar County, Texas, USA",0.02796379911717886,0.940802305240291,4.390034943291948,0.9285305835015067,0.9329566528769863,0.9566856696369694,16.31484269094993,0.2771548795994695,16.159759647494763,0.24363531693910578,0.6612748169713595,0.9999785076407605,1.0,48029
"Broward County, Florida, USA",0.025054203849888376,1.0,2.678371280121947,0.9383426550948248,0.9414046196257008,0.9915823850851816,15.889288672442513,0.7021572484731597,7.699305454422173,0.44704749769135455,0.9017071389498088,1.0,1.0,12011
"Santa Clara County, California, USA",0.02695518040671804,0.9619700468028388,4.070388921807711,0.9832758475558776,0.6655984134856997,0.9345793089415989,12.642752541612337,0.9009187568199271,5.783628579760964,0.555962603291778,0.9056171601398891,0.999859499738674,1.0,06085
"Wayne County, Michigan, USA",0.038247508211451425,0.9658857435013362,4.26655282757794,0.9785549529678668,0.7322672559971112,1.0,16.192536567042705,0.05787257862988769,29.319758925863404,0.41897565244666546,0.8435602014060055,1.0,1.0,26163
