longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Los Angeles County, California, USA",0.8040888491156091,0.3339498673711912,0.11709692702256852,0.14883496584041514,0.12235643250614857,0.06275846902462749,0.001490511362041258,0.011040032347792106,0.0042912576997183455
"Cook County, Illinois, USA",0.8830329888344371,0.3961482136365057,0.1648031831874135,0.1721536165942787,0.13919544282974236,0.08479915421248464,0.010644685230490225,0.019301864248710943,0.019052812265467872
"Harris County, Texas, USA",0.825121141961714,0.3136992088638182,0.11540340328491247,0.1520263426747337,0.08496545564854191,0.07670741054054257,0.02870592496796953,0.014502802547522065,0.0033249373928494474
"Maricopa County, Arizona, USA",0.8922507630053482,0.33178396697551216,0.12367963772502776,0.14365177516874614,0.11098465924624128,0.07714753256052476,0.011206916547148116,-0.0043919217696662405,-0.0024657970882641933
"San Diego County, California, USA",0.8858894141842172,0.39311302907721823,0.15348018170184372,0.20453958575850273,0.11531999325011098,0.07325345006860452,-0.010821776383232673,0.0022522581976129885,-0.0014420104200710826
"Orange County, California, USA",0.8686696785983941,0.4129654091073381,0.15189168722403018,0.20211807330564144,0.1228674175790456,0.08797991822265101,-0.00152957923293906,-0.015606951710021577,-0.012534546220283466
"Kings County, New York, USA",0.8431156091177955,0.3803914892918818,0.1531106047492278,0.15725100189919888,0.16153958168401103,0.06160090570867192,0.002353470508700717,0.01934041698180633,0.023721616735528
"Miami-Dade County, Florida, USA",0.8293665521160059,0.3091902938697726,0.1159088378648722,0.1367862403443153,0.08862582326906845,0.08377823025638878,-0.002228492567680318,0.016067753763594483,-0.0004086601149689978
"Dallas County, Texas, USA",0.8133141002774131,0.31915732431942573,0.11947006350602678,0.13677346438594487,0.09554649700940988,0.08683736292407099,0.0309795880838295,0.008442108613961885,-0.001349460516939488
"Riverside County, California, USA",0.8347190919604994,0.2286730326305072,0.0815923311882803,0.10115420163498512,0.07844827160127715,0.04907055939424493,0.011826869838006404,0.010673093511488818,0.0060499290154617386
"Queens County, New York, USA",0.8332926739377736,0.32697055900638206,0.12453282702573276,0.1479545930064079,0.11098657438289417,0.06802939161707999,-0.0030047646336978096,0.025040114689934168,0.02163636444466395
"King County, Washington, USA",0.9381092154535848,0.5280696380630648,0.21602959515432135,0.2920263190410129,0.14958245689973473,0.0864608621223172,0.0005253718029643029,0.0007052213918080641,0.001343267697802214
"Clark County, Nevada, USA",0.8690479329007182,0.2480644679373951,0.08390862606411893,0.10198468145793553,0.08334117966081268,0.06273860681864689,0.003200013818252856,0.007996466823064097,0.0017196217242059358
"San Bernardino County, California, USA",0.8169354810353133,0.2123025207720194,0.073547189316343,0.09856151787817734,0.06946768074206128,0.044273322151780786,0.016082987014308547,0.02030672901365438,0.01086899104030023
"Tarrant County, Texas, USA",0.871559462603134,0.321315684935226,0.10717858071670062,0.13178926520895431,0.10556887647931319,0.08395754324695849,0.013642452424406981,0.005314661833982215,-0.000800115493211781
