longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %,geoid
"Los Angeles County, California, USA",0.18502486663037213,0.11312116818170143,0.1718570002537894,0.09492009892904708,0.2633375315761943,0.04853045755597485,0.028439344525454876,0.04672233114232634,0.04302289520897005,0.11144864999060845,0.285047347746214,0.026657333324292726,0.2679500572634943,0.05499821714462591,0.060794389410926714,0.1345181052935459,0.11829270763719421,0.04093910841442542,0.07697817262710903,0.1525408720310072,0.11211650165284441,0.21858266431636383,0.33109862666635204,0.6261649437982386,0.5948990358770466,0.8465303507617888,06037
"Cook County, Illinois, USA",0.16377714804282775,0.10677002565976512,0.19031522180613306,0.09557102604976828,0.28361331985343374,0.05625763942793691,0.02901457747216632,0.055423267965937696,0.04939387876424165,0.10526346758956012,0.3181145879481108,0.03012563919065115,0.2960121773439258,0.061120593822219293,0.05652072281522856,0.1427500900552937,0.14738377212413373,0.0410712846668714,0.08471598743391001,0.1740888951155566,0.14006552415715906,0.27216054429496045,0.33849239004355874,0.75832383909448,0.6173947794434216,0.8162254098557236,17031
"Harris County, Texas, USA",0.20024905059303977,0.11403065542451585,0.1790524071805972,0.09789529748348111,0.30162740702179325,0.047959806622456844,0.027781113376496205,0.05849739960108285,0.046212711365745944,0.11045129934348374,0.3675708458343438,0.02798527375179834,0.2843739482244773,0.05475738360690226,0.06841455127974785,0.15636254148252857,0.12611955458703217,0.04618229235795205,0.08777732027522227,0.1889400300985592,0.16641540654258105,0.2754312383083746,0.3354199045158736,0.6925010756743861,0.5081375168764591,0.8121989001451221,48201
"Maricopa County, Arizona, USA",0.15423014046149086,0.10844119669028164,0.2151499176273337,0.10200332248881273,0.27569358849705095,0.06367996481838933,0.02995540965806488,0.056561362908177724,0.052288431647367614,0.09344256749973173,0.30802570278287145,0.027165107958819705,0.28284298541349745,0.060767007422073804,0.04996534689521394,0.14277264966750855,0.12035964082602103,0.03565426969581304,0.07267387623157881,0.176232674199305,0.14592936065551396,0.22275221339645349,0.31776878446631635,0.6786927437977405,0.6165745814112505,0.8242295145551307,04013
"San Diego County, California, USA",0.1483902534518199,0.10388580073639615,0.19529129440375198,0.09535863904076235,0.2388891071030363,0.05495716429307365,0.02618302617749243,0.0478914464730855,0.04500303861445741,0.09292793119838723,0.23726496689735546,0.024887510508401867,0.24439024235382875,0.05404005592862134,0.046796050692592496,0.12675966510372094,0.10448258874398852,0.032792108059403836,0.06772832110370441,0.18961030172303736,0.10883918557356946,0.17431403466214335,0.33587674448579863,0.6477274586816851,0.6619429614115212,0.8407101292041815,06073
"Orange County, California, USA",0.1493912309306495,0.09946837634945153,0.1822739774410841,0.089035771281488,0.25468169812537317,0.05613789143358573,0.025989136015399854,0.04504373881798388,0.04405107311408318,0.09268891022532076,0.25924216556247565,0.024272115661630872,0.2398059854262047,0.05354291475466858,0.04579620224260564,0.11832614404656121,0.1018830855854727,0.031202832070486537,0.06255924702299973,0.1622950916500358,0.10137826039179082,0.17240017652615908,0.3100286432335534,0.6327700101177306,0.6667085997118952,0.8486705055802745,06059
"Kings County, New York, USA",0.1750647868562978,0.10722536199277258,0.19211019972270676,0.10844078741077771,0.28014206791915675,0.051617906199055805,0.030309825495363575,0.05747097432949099,0.05022307073910695,0.11220009179795326,0.2686424385907375,0.030950790234547512,0.2825204030059773,0.0497623045863913,0.06671140379423345,0.1342638613308133,0.14467398542775856,0.04718093166930331,0.0942996427233145,0.16592816064961485,0.1434063977304925,0.28154538403922696,0.3655047117956028,0.7599349360758445,0.5805822519917694,0.8613600587259735,36047
"Miami-Dade County, Florida, USA",0.17895230729346578,0.1232348934951138,0.26826403942411314,0.10427776663481168,0.3395216390932606,0.06957067636566724,0.03160970520185846,0.07570033914847737,0.06344030106626153,0.1132906419090032,0.3592584343269401,0.033198565310702366,0.30829869388895975,0.07226797181784168,0.05478410305238157,0.14369272355477614,0.1480027989063474,0.04237865245257524,0.08501597775377887,0.1655545366605494,0.17630184278568603,0.26107542037802045,0.36434887451469217,0.7343522688377424,0.5663451604469246,0.8355309634740221,12086
"Dallas County, Texas, USA",0.2010721274281574,0.1174235662417597,0.18903655747633982,0.1022598833610574,0.3098129691457259,0.048795126202916435,0.02841360643367143,0.06037506460234736,0.04778313835293411,0.10926795231774257,0.3529931131806979,0.029321871720601744,0.2987607332308148,0.056178589911472454,0.06802318350515883,0.15959877720439639,0.1327062688397572,0.04664336703982345,0.09181972295494407,0.18604565982412688,0.1704239516208922,0.28489899853695805,0.348492482949685,0.6939842769225223,0.5327974046157395,0.8243075966343454,48113
"Riverside County, California, USA",0.18727547083799284,0.11842607585443626,0.21283326210812548,0.0951383688650704,0.2784899009417126,0.05705651180069962,0.02984002724845367,0.059495367923486135,0.05287422817023298,0.10930847176566305,0.3591360521415654,0.029299494045099916,0.2876262395809752,0.06356837760769923,0.060011634070087964,0.14484226533275257,0.1313454288792849,0.042125399343544846,0.08157929023715982,0.16364506511862623,0.13318211832219262,0.22367704322163573,0.3466812716924452,0.6133520258385254,0.5669257853816498,0.8343162792873248,06065
