longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.022834668302696308,0.9307358963887603,4.246015806745488,0.9517489326310963,0.7908335125643313,0.7833936749562002,22.55990005891798,0.4332986580770103,19.75036164822472,0.5157616061197341,0.8391692828674948,0.9958938440529964,0.9992272484155172
"Historical Congressional District CA-1, 39th Congress, USA",0.02283517438075343,0.9307611077530775,4.245404739707038,0.9517539991709191,0.7907907666600758,0.7834148951792729,22.556883819193263,0.43331039508035285,19.747339491174085,0.515775076606775,0.8391912000069208,0.9959198145434839,0.9992283208390497
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.020785954645061264,0.928486619132141,4.3340032972146645,0.9499783709538077,0.8044362731426618,0.7763420533092039,22.828592403179343,0.4221538076132704,20.195357502344738,0.5046374063566905,0.8344045771122013,0.9955235549509097,0.9991019300453171
"Historical Congressional District CA-4, 48th Congress, USA",0.020785954645061264,0.928486619132141,4.3340032972146645,0.9499783709538077,0.8044362731426618,0.7763420533092039,22.828592403179343,0.4221538076132704,20.195357502344738,0.5046374063566905,0.8344045771122013,0.9955235549509097,0.9991019300453171
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.02007860155175389,0.9298485382328057,4.336438009081521,0.9490306567271299,0.8100665804802706,0.7910948449958919,21.449190539184922,0.3811375259781574,21.843488087364435,0.5017373595464873,0.8316771185441141,0.9950693499631793,0.9989688007511579
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.020943714677462043,0.8417358864841541,6.2545080350661895,0.8514393733033846,1.440129326322729,0.6585635981212677,28.064851476287824,0.21200138265815766,38.64425466937475,0.2654809201459367,0.6151211889185589,0.9836845374027504,0.998265158495429
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.02042310817118202,0.8351981996883414,6.356116363919886,0.8461384335011638,1.4720059483474823,0.6452807366310347,28.593055214916262,0.2088756518955391,39.79918693105316,0.2601333655583331,0.6077589696461683,0.982882377716427,0.9981799649353202
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.02004752395327526,0.8947681734686206,5.263022482117756,0.927228525045199,0.9424355376395149,0.6654535283211774,28.52550209729102,0.2792168638411884,28.158720191107776,0.4196128337570171,0.7708401983737452,0.9930224576254859,0.9986288957294845
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.0222165555945008,0.9111001522364228,5.019660566286314,0.9292567724276898,0.9341885313597182,0.7280826681564867,23.945771600022674,0.21859047362708017,30.10540017654051,0.4258935488717309,0.776728041182547,0.9926199704471428,0.9984553850867054
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.019268924594279622,0.9070111349934048,4.993626534136036,0.8090534504377282,1.4943546043861307,0.7485689838375763,23.946009947753,0.4462116581460481,16.153442795674206,0.34665157575669114,0.7088783457490349,0.9958292093718287,0.999852400322831
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.01968384741571212,0.9123993883548156,4.904029258997214,0.8211567425139414,1.443067833634346,0.7717834947823046,22.835657225433575,0.45343367913473986,15.863077410872886,0.3524024503352764,0.7176929225143327,0.9957497563967105,0.9998485308335386
