longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.2880140511119351,0.3067463790740979,-0.018732327962162787
"Historical Congressional District CA-1, 39th Congress, USA",0.2880241500268771,0.30676126373438506,-0.01873711370750797
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.272727604105385,0.28844670435788555,-0.015719100252500562
"Historical Congressional District CA-4, 48th Congress, USA",0.272727604105385,0.28844670435788555,-0.015719100252500562
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.2498101388378812,0.2625121356111446,-0.012701996773263419
"Historical Congressional District TX-2, 29th-31st Congress, USA",-0.012014648292146973,-0.03416736076213006,0.02215271246998309
"Historical Congressional District TX-2, 32nd-36th Congress, USA",-0.031908420543040106,-0.054914699978560265,0.02300627943552016
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.10827864067252077,0.09630986372036614,0.011968776952154633
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.13054214545929899,0.11536757871427972,0.015174566745019269
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.03171461706519117,0.07281074379015286,-0.041096126724961685
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.04190587410073256,0.08508860557143338,-0.04318273147070083
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.05528028836161509,0.10049724373948854,-0.04521695537787345
"Historical Congressional District FL-2, 63rd Congress, USA",0.05528028836161509,0.10049724373948854,-0.04521695537787345
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.4131648869577802,0.44819034315637163,-0.03502545619859143
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.0644513123843263,0.11259745100658926,-0.048146138622262954
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.0644513123843263,0.11259745100658926,-0.048146138622262954
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.0644513123843263,0.11259745100658926,-0.048146138622262954
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",0.1365393047037967,0.12444872744206958,0.012090577261727103
"Historical Congressional District IL-3, 23rd-27th Congress, USA",0.24428706022402946,0.2461394405623643,-0.001852380338334847
"Historical Congressional District CA-7, 58th-62nd Congress, USA",0.44176082236792386,0.49506935435024696,-0.053308531982323104
"Historical Congressional District TX-2, 41st-42nd Congress, USA",-0.10961645769418916,-0.18220347992602554,0.07258702223183637
"Historical Congressional District TX-2, 43rd Congress, USA",-0.10961645769418916,-0.18220347992602554,0.07258702223183637
"Historical Congressional District TX-4, 41st-42nd Congress, USA",0.05228896223527221,0.0530955590218252,-0.0008065967865529891
"Historical Congressional District TX-4, 43rd Congress, USA",0.05228896223527221,0.0530955590218252,-0.0008065967865529891
"Historical Congressional District IL-4, 28th-32nd Congress, USA",0.3092599210667278,0.31516699045471896,-0.005907069387991182
"Historical Congressional District TX-3, 47th Congress, USA",-0.08719307726562682,-0.16118062158585617,0.07398754432022935
"Historical Congressional District TX-3, 44th-46th Congress, USA",-0.08578825578254681,-0.1600204425271993,0.07423218674465248
"Historical Congressional District NY-1, 13th-16th Congress, USA",0.2606516933527836,0.27650481188797216,-0.01585311853518856
"Historical Congressional District NY-1, 17th Congress, USA",0.2606516933527836,0.2765048118879721,-0.015853118535188504
"Historical Congressional District NY-1, 1st-2nd Congress, USA",0.2588300774263521,0.2746841955475627,-0.01585411812121057
"Historical Congressional District NY-1, 6th-7th Congress, USA",0.2588300774263521,0.2746841955475627,-0.01585411812121057
"Historical Congressional District FL-1, 44th-47th Congress, USA",-0.14085704814026312,-0.1514135751341932,0.010556526993930088
"Historical Congressional District FL-1, 48th-57th Congress, USA",-0.13526506368480953,-0.14485702741662376,0.00959196373181423
"Historical Congressional District NY-1, 11th-12th Congress, USA",0.28654636339660555,0.302268295070931,-0.01572193167432545
"Historical Congressional District NY-2, 3rd-5th Congress, USA",0.28654636339660555,0.302268295070931,-0.01572193167432545
"Historical Congressional District TX-3, 41st-42nd Congress, USA",-0.02549736419392612,-0.049349695578518704,0.023852331384592584
"Historical Congressional District TX-3, 43rd Congress, USA",-0.02549736419392612,-0.049349695578518704,0.023852331384592584
"Historical Congressional District CA-19, 73rd-77th Congress, USA",0.09144496177236816,0.08266672938688403,0.008778232385484128
"Historical Congressional District NY-1, 33rd Congress, USA",0.20346714653523068,0.21395975097586842,-0.010492604440637737
"Historical Congressional District NY-1, 34th-37th Congress, USA",0.20346714653523068,0.21395975097586842,-0.010492604440637737
"Historical Congressional District TX-1, 32nd-36th Congress, USA",-0.12164772600693988,-0.18392407201444888,0.062276346007509004
"Historical Congressional District TX-4, 44th-46th Congress, USA",0.0026265701895811576,-0.021244629204065123,0.02387119939364628
"Historical Congressional District TX-4, 47th Congress, USA",0.0026265701895811576,-0.021244629204065123,0.02387119939364628
"Historical Congressional District FL-1, 58th-62nd Congress, USA",-0.13431128172378998,-0.13940051882514626,0.005089237101356281
"Historical Congressional District FL-1, 63rd Congress, USA",-0.13431128172378998,-0.13940051882514626,0.005089237101356281
"Historical Congressional District FL-4, 75th-77th Congress, USA",0.10198318532827967,0.19349720678664176,-0.09151402145836209
