longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.022834668302696263,0.9307358963887603,4.246015806745387,0.9517489326310963,0.7908335125643409,0.7833936749562002,22.55990005891846,0.4332986580770103,19.750361648224903
"Historical Congressional District CA-1, 39th Congress, USA",0.02283517438075339,0.9307611077530775,4.245404739706936,0.9517539991709191,0.7907907666600853,0.7834148951792729,22.55688381919374,0.43331039508035285,19.747339491174266
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.020785954645061375,0.928486619132141,4.3340032972145695,0.9499783709538077,0.8044362731426723,0.7763420533092039,22.82859240317983,0.4221538076132704,20.19535750234495
"Historical Congressional District CA-4, 48th Congress, USA",0.020785954645061375,0.928486619132141,4.3340032972145695,0.9499783709538077,0.8044362731426723,0.7763420533092039,22.82859240317983,0.4221538076132704,20.19535750234495
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.02007860155175384,0.9298485382328057,4.336438009081437,0.9490306567271299,0.8100665804802835,0.7910948449958919,21.449190539184993,0.3811375259781574,21.84348808736434
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.020943714677462047,0.8417358864841541,6.254508035066234,0.8514393733033846,1.4401293263227304,0.6585635981212677,28.064851476287934,0.21200138265815766,38.64425466937506
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.02042310817118203,0.8351981996883414,6.35611636391996,0.8461384335011638,1.472005948347491,0.6452807366310347,28.593055214916596,0.2088756518955391,39.799186931053555
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.02004752395327506,0.8947681734686206,5.263022482117704,0.927228525045199,0.942435537639526,0.6654535283211774,28.525502097290996,0.2792168638411884,28.158720191107815
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.02221655559450083,0.9111001522364228,5.019660566286301,0.9292567724276898,0.9341885313597296,0.7280826681564867,23.945771600022614,0.21859047362708017,30.105400176540154
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.01926892459427959,0.9070111349934048,4.993626534135978,0.8090534504377282,1.4943546043861136,0.7485689838375763,23.946009947753257,0.4462116581460481,16.15344279567408
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.0196838474157121,0.9123993883548156,4.904029258997178,0.8211567425139414,1.4430678336343365,0.7717834947823046,22.835657225433934,0.45343367913473986,15.863077410872782
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.02034094171768307,0.9267329680700604,4.690688254689715,0.8376056817738478,1.367218720259832,0.8016900148101483,21.429283387854547,0.4696945653225837,14.656938440810125
"Historical Congressional District FL-2, 63rd Congress, USA",0.02034094171768307,0.9267329680700604,4.690688254689715,0.8376056817738478,1.367218720259832,0.8016900148101483,21.429283387854547,0.4696945653225837,14.656938440810125
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.02012199175775521,0.9618594729650748,3.318401248543972,0.9723211692459207,0.6533297451502078,0.8748470937817217,17.799495821536507,0.5279417920462421,12.978925565848005
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.02062844272447268,0.9391801639525785,4.485397996660746,0.8538848208695212,1.2659127322068784,0.8096107913556629,21.137474119061675,0.475286990167035,14.797431742269307
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.02062844272447268,0.9391801639525785,4.485397996660746,0.8538848208695212,1.2659127322068784,0.8096107913556629,21.137474119061675,0.475286990167035,14.797431742269307
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.02062844272447268,0.9391801639525785,4.485397996660746,0.8538848208695212,1.2659127322068784,0.8096107913556629,21.137474119061675,0.475286990167035,14.797431742269307
