longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.05677509361507899,0.20074591447050527,0.19322665189002358,0.22464094127613632,0.20237264880033534,0.12223874994792049
"Historical Congressional District CA-1, 39th Congress, USA",0.05677386887028458,0.20074479212483445,0.19322587502593852,0.22464280587863222,0.20237435812847462,0.1222382999718355
"Historical Congressional District CA-4, 48th Congress, USA",0.05644635527221753,0.20060159651788284,0.19297867582452927,0.2219133463950813,0.20459093696508054,0.12346908902520859
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.05644635527221753,0.20060159651788284,0.19297867582452927,0.2219133463950813,0.20459093696508054,0.12346908902520859
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.056090343935717414,0.20022389477724817,0.1922118607013955,0.22163987148943123,0.2059783152482182,0.12385571384798963
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.046873722872989236,0.1867298507555319,0.18885255587142005,0.2173950937907584,0.219408721055827,0.1407400556534735
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.04733973019666603,0.1872374114709725,0.18852270762378437,0.2173856885599539,0.21926724730224872,0.1402472148463745
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.054056886307563376,0.1956966068874986,0.1875574813459165,0.21771259150635297,0.21319177980987794,0.13178465414279059
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.056441373616903545,0.20142114605290853,0.18851431221668122,0.21489435910034435,0.21166383452147047,0.12706497449169185
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.08273591143263004,0.23997260761896425,0.1945839851698456,0.1962268792088263,0.17750894836309086,0.10897166820664304
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.08021655192847936,0.23697326676441302,0.1958106260561749,0.19812275273455532,0.1789372015297186,0.10993960098665895
"Historical Congressional District FL-2, 63rd Congress, USA",0.0785491911975825,0.2346533299220679,0.19711848383525524,0.19940022438004262,0.17999417234357246,0.11028459832147933
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.0785491911975825,0.2346533299220679,0.19711848383525524,0.19940022438004262,0.17999417234357246,0.11028459832147933
