longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.12600604801893547,0.3084478551818408,0.27036675623064854,0.42118538858751076,0.6217318796365774,0.2196240629221864,0.15864405744123633
"Historical Congressional District CA-1, 39th Congress, USA",0.12600680773012504,0.3084421231894433,0.2703665430523686,0.4211913337581882,0.6217296921176281,0.21962455510688617,0.1586457527754857
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.12664670020885296,0.31078802111087217,0.2741085338321662,0.41510344505696156,0.6278617827029889,0.2192907616592309,0.1528474556377803
"Historical Congressional District CA-4, 48th Congress, USA",0.12664670020885296,0.31078802111087217,0.2741085338321662,0.41510344505696156,0.6278617827029889,0.2192907616592309,0.1528474556377803
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.1323132232063267,0.32354766774582855,0.2820518137926306,0.39440051846154084,0.6429880936712369,0.2195115521928206,0.1375003541359424
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.14596088410221417,0.38040899708723597,0.29983521394444584,0.3197557889683182,0.6575603520901205,0.23049274432573197,0.11194690358414747
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.1456201605042905,0.3793284604085759,0.2984978114863169,0.32217372810510725,0.6560745537673985,0.2306445946963678,0.1132808515362336
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.1323964510054786,0.3219266954363359,0.28647843196493394,0.3915948725987301,0.6425404079380773,0.22323127715766872,0.1342283149042539
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.12256978894985332,0.30581711919946203,0.28241358250446014,0.41176929829607783,0.6303032353301354,0.22623841142159976,0.1434583532482648
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.13209936466175307,0.40460433404457824,0.30761482200809775,0.28778084394732406,0.6986999077440692,0.20437682051430928,0.09692327174162153
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.13300604217484804,0.40489510315377614,0.30595756141842084,0.28914733542780297,0.698527791778783,0.20372676614999893,0.0977454420712182
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.13263892613730674,0.401625779005546,0.30531152277534435,0.29306269821910963,0.6961167979479748,0.2044664858138827,0.09941671623814258
"Historical Congressional District FL-2, 63rd Congress, USA",0.13263892613730674,0.401625779005546,0.30531152277534435,0.29306269821910963,0.6961167979479748,0.2044664858138827,0.09941671623814258
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.1333326046207613,0.32754070185683815,0.27837051674424407,0.39408878139891784,0.6461865543372954,0.21447263070372588,0.13934081495897857
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.13085983488208294,0.39853836540780446,0.3056220701321244,0.29583956446007115,0.6939537807680989,0.20538917379336297,0.10065704543853819
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.13085983488208294,0.39853836540780446,0.3056220701321244,0.29583956446007115,0.6939537807680989,0.20538917379336297,0.10065704543853819
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.13085983488208294,0.39853836540780446,0.3056220701321244,0.29583956446007115,0.6939537807680989,0.20538917379336297,0.10065704543853819
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",0.11594290629295266,0.29538449571317354,0.2810595221519342,0.4235559821348922,0.6211677714220889,0.23006603462201927,0.1487661939558917
