longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Historical Congressional District CA-1, 40th-42nd Congress, USA",30752957.0,3339.64665220433,128.52995111319316,,,,239266.85362944414,0.1969629750623244
"Historical Congressional District CA-1, 39th Congress, USA",30752124.0,3339.7312038297196,129.24153134596622,,,,237943.04879969073,0.1910798112131873
"Historical Congressional District CA-4, 43rd-47th Congress, USA",29906543.0,3137.67838606413,119.38234125505761,,,,250510.6089024118,0.19612229074266413
"Historical Congressional District CA-4, 48th Congress, USA",29906543.0,3137.67838606413,119.38234125505761,,,,250510.6089024118,0.19612229074266413
"Historical Congressional District CA-6, 49th-52nd Congress, USA",26085857.0,3175.947569830247,111.51629400648591,,,,233919.69068199862,0.21528124734210985
"Historical Congressional District TX-2, 29th-31st Congress, USA",22628876.0,1433.1042522333175,41.68580757910806,,,,542843.6514527563,0.048117975835901994
"Historical Congressional District TX-2, 32nd-36th Congress, USA",21625589.0,1412.502740232984,39.91556721704394,,,,541783.3318617073,0.04778965298035473
"Historical Congressional District CA-7, 53rd-57th Congress, USA",14858157.0,2309.559051438045,89.18246205179105,,,,166604.02346115318,0.21959072518826983
"Historical Congressional District CA-8, 58th-62nd Congress, USA",14237066.0,2360.834539768202,80.73691395495935,,,,176338.99170263583,0.20921321002645374
"Historical Congressional District FL-2, 48th-57th Congress, USA",13444642.0,1793.6313682306277,198.1310886769724,,,,67857.30644179613,0.033611359556164996
"Historical Congressional District FL-2, 44th-47th Congress, USA",13040240.0,1828.0895747501156,201.93399422239975,,,,64576.744743820345,0.032265608030957925
"Historical Congressional District FL-2, 58th-62nd Congress, USA",12533973.0,1882.4264290081283,219.36302118987788,,,,57138.039638644244,0.028856376570698054
"Historical Congressional District FL-2, 63rd Congress, USA",12533973.0,1882.4264290081283,219.36302118987788,,,,57138.039638644244,0.028856376570698054
"Historical Congressional District CA-6, 53rd-57th Congress, USA",12298388.0,4107.375856543595,300.2315011666538,,,,40963.01671280442,0.08435265540377763
"Historical Congressional District FL-4, 64th-68th Congress, USA",12029332.0,1932.4603872846371,258.6082834575187,,,,46515.6484516709,0.010540751503124052
