longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.07514526684940959,0.10447535098229403,0.223824041330334,0.671700607687372,0.38388545748628905,0.5282218472554978,0.08789269525821311
"Historical Congressional District CA-1, 39th Congress, USA",0.07514290252271201,0.10447639255156069,0.22382266075361337,0.6717009466948259,0.38388775308744627,0.5282211263411621,0.08789112057139163
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.0753198427020245,0.10651824993420017,0.22619823659318866,0.6672835134726112,0.3813873508293925,0.5304478903657833,0.0881647588048242
"Historical Congressional District CA-4, 48th Congress, USA",0.0753198427020245,0.10651824993420017,0.22619823659318866,0.6672835134726112,0.3813873508293925,0.5304478903657833,0.0881647588048242
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.07811832368108436,0.1130327958217948,0.23429780435889547,0.6526693998193097,0.38615569231666863,0.5247362230247853,0.08910808465854622
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.10629320736996144,0.23452610383920314,0.09987792778209852,0.6655959683786983,0.3380321099175692,0.5599250093446821,0.10204288073774873
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.10487619176584137,0.23334281492200074,0.0993694018114422,0.667287783266557,0.336141876336204,0.5619997257205819,0.10185839794321407
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.07392232802685154,0.10459810585156076,0.24215363450191124,0.653248259646528,0.3629453928481795,0.5433735602024858,0.09368104694933473
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.06770665670487631,0.10658519398325049,0.22270627210485355,0.670708533911896,0.3611993878399642,0.5446643561389145,0.09413625602112143
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.09559499859313127,0.17926958134026152,0.12904951504439718,0.6916809036153413,0.3278880460792445,0.544419154745028,0.12769279917572746
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.09586199092388849,0.179986013714297,0.1286206250586346,0.6913933612270684,0.3318560414647843,0.5400800285442122,0.1280639299910034
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.09496335656662838,0.1794660371878125,0.12666293673157247,0.693871026080615,0.33450824575321286,0.5375191430820532,0.127972611164734
"Historical Congressional District FL-2, 63rd Congress, USA",0.09496335656662838,0.1794660371878125,0.12666293673157247,0.693871026080615,0.33450824575321286,0.5375191430820532,0.127972611164734
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.0834380158977408,0.12065102452498852,0.2295385225831711,0.6498104528918404,0.41246188005677636,0.5032072736552498,0.08433084628797378
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.09461107757366367,0.18193142706072804,0.1253717391035062,0.6926968338357656,0.33167426934622596,0.539695252188286,0.12863047846548814
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.09461107757366367,0.18193142706072804,0.1253717391035062,0.6926968338357656,0.33167426934622596,0.539695252188286,0.12863047846548814
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.09461107757366367,0.18193142706072804,0.1253717391035062,0.6926968338357656,0.33167426934622596,0.539695252188286,0.12863047846548814
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",0.061025081918596,0.10405667998169306,0.21302796163728147,0.6829153583810255,0.3585528674096489,0.5472911539608272,0.09415597862952402
"Historical Congressional District IL-3, 23rd-27th Congress, USA",0.09687014724377192,0.09921784417864803,0.15669090565552984,0.7440912501658221,0.3626423942478407,0.543845875205141,0.09351173054701822
"Historical Congressional District CA-7, 58th-62nd Congress, USA",0.08673652166013474,0.12099109632866338,0.2386569175284279,0.6403519861429087,0.4213183193108018,0.49659179600956466,0.08208988467963357
"Historical Congressional District TX-2, 41st-42nd Congress, USA",0.09159649616746603,0.21053998775138882,0.08695841978218606,0.7025015924664251,0.32146751151654174,0.5725107149509342,0.10602177353252402
"Historical Congressional District TX-2, 43rd Congress, USA",0.09159649616746603,0.21053998775138882,0.08695841978218606,0.7025015924664251,0.32146751151654174,0.5725107149509342,0.10602177353252402
"Historical Congressional District TX-4, 41st-42nd Congress, USA",0.11947000532392074,0.2429326501026558,0.10698029105553467,0.6500870588418095,0.33915885529194895,0.5568144946622641,0.10402665004578703
"Historical Congressional District TX-4, 43rd Congress, USA",0.11947000532392074,0.2429326501026558,0.10698029105553467,0.6500870588418095,0.33915885529194895,0.5568144946622641,0.10402665004578703
"Historical Congressional District IL-4, 28th-32nd Congress, USA",0.09038045131320245,0.10217494082871521,0.14918473109488706,0.7486403280763977,0.37478682323467283,0.536773407325682,0.08843976943964507
"Historical Congressional District TX-3, 47th Congress, USA",0.08728094603153945,0.2094565419506921,0.08403236298842102,0.7065110950608868,0.3236871971536271,0.5716123811150304,0.10470042173134254
"Historical Congressional District TX-3, 44th-46th Congress, USA",0.0870342304238852,0.20941603423902055,0.08385102975963116,0.7067329360013482,0.3237638520206047,0.5715983518016792,0.10463779617771614
"Historical Congressional District NY-1, 13th-16th Congress, USA",0.10113937431974787,0.08323157348055166,0.23292500350021292,0.6838434230192354,0.3809130175759062,0.5426892527982061,0.07639772962588766
"Historical Congressional District NY-1, 17th Congress, USA",0.10113937431974787,0.08323157348055166,0.23292500350021292,0.6838434230192354,0.3809130175759062,0.5426892527982061,0.07639772962588766
"Historical Congressional District NY-1, 1st-2nd Congress, USA",0.10165800416224337,0.08352315085848003,0.23409011917352435,0.6823867299679957,0.38008745742720107,0.543370243197702,0.07654229937509696
"Historical Congressional District NY-1, 6th-7th Congress, USA",0.10165800416224337,0.08352315085848003,0.23409011917352435,0.6823867299679957,0.38008745742720107,0.543370243197702,0.07654229937509696
"Historical Congressional District FL-1, 44th-47th Congress, USA",0.09341058765641695,0.17633656031573663,0.1513019605881208,0.6723614790961425,0.28886883080684356,0.5810006699836131,0.13013049920954328
"Historical Congressional District FL-1, 48th-57th Congress, USA",0.093699361566522,0.17746025690999317,0.15144141714229598,0.6710983259477108,0.29319978943584846,0.5759532993512253,0.1308469112129262
"Historical Congressional District NY-1, 11th-12th Congress, USA",0.10103949168871877,0.08526877491748602,0.23544930893887103,0.6792819161436431,0.38248473306229674,0.5413615152919231,0.07615375164578017
"Historical Congressional District NY-2, 3rd-5th Congress, USA",0.10103949168871877,0.08526877491748602,0.23544930893887103,0.6792819161436431,0.38248473306229674,0.5413615152919231,0.07615375164578017
"Historical Congressional District TX-3, 41st-42nd Congress, USA",0.09400743543836458,0.23174496559739108,0.09489035369071346,0.6733646807118954,0.34236426806659,0.5620712533704876,0.09556447856292254
"Historical Congressional District TX-3, 43rd Congress, USA",0.09400743543836458,0.23174496559739108,0.09489035369071346,0.6733646807118954,0.34236426806659,0.5620712533704876,0.09556447856292254
"Historical Congressional District CA-19, 73rd-77th Congress, USA",0.06352350728991439,0.10540176956745305,0.22266130125233588,0.6719369291802112,0.3558957491239579,0.5514574671061394,0.09264678376990261
"Historical Congressional District NY-1, 33rd Congress, USA",0.09946843271473478,0.08501783135392726,0.23252154798752728,0.6824606206585455,0.3666679846421284,0.5557957129434146,0.07753630241445711
"Historical Congressional District NY-1, 34th-37th Congress, USA",0.09946843271473478,0.08501783135392726,0.23252154798752728,0.6824606206585455,0.3666679846421284,0.5557957129434146,0.07753630241445711
"Historical Congressional District TX-1, 32nd-36th Congress, USA",0.10466318477830107,0.21712888188177887,0.09638098756744229,0.6864901305507789,0.3162682139413346,0.5749687599027982,0.10876302615586714
"Historical Congressional District TX-4, 44th-46th Congress, USA",0.09265314650212107,0.23717409281809676,0.09838842323139409,0.6644374839505092,0.3481592150368472,0.5564370616543535,0.09540372330879922
"Historical Congressional District TX-4, 47th Congress, USA",0.09265314650212107,0.23717409281809676,0.09838842323139409,0.6644374839505092,0.3481592150368472,0.5564370616543535,0.09540372330879922
"Historical Congressional District FL-1, 58th-62nd Congress, USA",0.09304579878748324,0.18022986187036144,0.15225247370226316,0.6675176644273754,0.2780429612527433,0.5914886440026584,0.1304683947445982
"Historical Congressional District FL-1, 63rd Congress, USA",0.09304579878748324,0.18022986187036144,0.15225247370226316,0.6675176644273754,0.2780429612527433,0.5914886440026584,0.1304683947445982
