longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.7194131933590191,0.1491656592496161,0.1314211473913647,0.2805868066409852,0.16539848973299615,0.5540147036260187,0.5264902900761184,0.319285892166191,0.15422381775769065
"Historical Congressional District CA-1, 39th Congress, USA",0.7194075553966357,0.14916829078605848,0.13142415381730585,0.28059244460336863,0.16539845873999423,0.5540090966566372,0.526482175415609,0.31929189720724005,0.15422592737715085
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.7213196407967383,0.14720321148469248,0.13147714771856928,0.278680359203267,0.16278413450423102,0.5585355062925019,0.5253621783981772,0.3253493151173495,0.1492885064844733
"Historical Congressional District CA-4, 48th Congress, USA",0.7213196407967383,0.14720321148469248,0.13147714771856928,0.278680359203267,0.16278413450423102,0.5585355062925019,0.5253621783981772,0.3253493151173495,0.1492885064844733
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.7293734384988302,0.14285338197497058,0.12777317952619938,0.2706265615011705,0.16465930594055858,0.564714132558271,0.5271590728737521,0.3403283044501702,0.13251262267607763
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.8244014086021929,0.07027921016519913,0.10531938123260792,0.1755985913977994,0.2262556101760764,0.5981457984261241,0.6196126559140058,0.3190649808347339,0.06132236325126014
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.8276304794909513,0.07007536020214812,0.10229416030690057,0.17236952050904086,0.22814057901781246,0.5994899004731467,0.6228568836920865,0.3169823755418517,0.06016074076606185
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.7675936959462853,0.12256439062454857,0.10984191342916616,0.23240630405371498,0.17296413170295383,0.5946295642433311,0.5741956199230691,0.31354294723753745,0.1122614328393934
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.7681002041176843,0.12389447313852389,0.10800532274379177,0.23189979588231985,0.1844556874127008,0.5836445167049793,0.5864914012856658,0.301817308928712,0.11169128978562211
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.7405745428616036,0.15311277773604268,0.1063126794023537,0.2594254571384053,0.38230253854976287,0.3582720043118318,0.6371838886466684,0.2733984789815384,0.08941763237179323
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.7356557300836273,0.155997312298976,0.10834695761739682,0.26434426991637966,0.37519897266243846,0.3604567574211819,0.6301823458446136,0.2786293106106126,0.09118834354477377
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.7280606805797274,0.16033229980240493,0.11160701961786769,0.2719393194202776,0.36954704878895006,0.35851363179077234,0.6204422609629243,0.2858242567487926,0.09373348228828315
"Historical Congressional District FL-2, 63rd Congress, USA",0.7280606805797274,0.16033229980240493,0.11160701961786769,0.2719393194202776,0.36954704878895006,0.35851363179077234,0.6204422609629243,0.2858242567487926,0.09373348228828315
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.6882939560472427,0.16315997792445217,0.14854606602830506,0.3117060439527648,0.15172230269833084,0.5365716533489043,0.47419286265488814,0.37330032183039924,0.1525068155147126
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.7187701336341924,0.1659656484656586,0.11526421790014903,0.2812298663658147,0.37045599230980675,0.3483141413243786,0.6081486950114028,0.29622045834761007,0.09563084664098713
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.7187701336341924,0.1659656484656586,0.11526421790014903,0.2812298663658147,0.37045599230980675,0.3483141413243786,0.6081486950114028,0.29622045834761007,0.09563084664098713
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.7187701336341924,0.1659656484656586,0.11526421790014903,0.2812298663658147,0.37045599230980675,0.3483141413243786,0.6081486950114028,0.29622045834761007,0.09563084664098713
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",0.7594362550429368,0.13407828627911977,0.1064854586779434,0.24056374495706256,0.19143223377155003,0.5680040212713873,0.5832506221973262,0.2914886446529417,0.12526073314973218
"Historical Congressional District IL-3, 23rd-27th Congress, USA",0.8409450899104739,0.08420650587921465,0.0748484042103115,0.1590549100895279,0.17822895354760215,0.66271613636287,0.7376408675852247,0.15323190009572749,0.10912723231904792
"Historical Congressional District CA-7, 58th-62nd Congress, USA",0.665250142169091,0.18008410918798984,0.15466574864291924,0.33474985783091676,0.14322972671254178,0.5220204154565414,0.44159179565987455,0.3867574384222165,0.17165076591790893
"Historical Congressional District TX-2, 41st-42nd Congress, USA",0.8381710665564018,0.06175736344195591,0.10007157000164228,0.1618289334435982,0.2654607437653887,0.5727103227910132,0.7131078659788486,0.20953607107398448,0.0773560629471671
"Historical Congressional District TX-2, 43rd Congress, USA",0.8381710665564018,0.06175736344195591,0.10007157000164228,0.1618289334435982,0.2654607437653887,0.5727103227910132,0.7131078659788486,0.20953607107398448,0.0773560629471671
"Historical Congressional District TX-4, 41st-42nd Congress, USA",0.8468698686022883,0.061615483862739705,0.09151464753497192,0.15313013139770182,0.22570068623355088,0.6211691823687472,0.5695431633303059,0.3950114067153671,0.03544542995432697
"Historical Congressional District TX-4, 43rd Congress, USA",0.8468698686022883,0.061615483862739705,0.09151464753497192,0.15313013139770182,0.22570068623355088,0.6211691823687472,0.5695431633303059,0.3950114067153671,0.03544542995432697
"Historical Congressional District IL-4, 28th-32nd Congress, USA",0.82243522876734,0.09391445002734825,0.08365032120531177,0.17756477123265996,0.17420124676834792,0.648233981998992,0.7074319538922462,0.17026862823129796,0.12229941787645564
"Historical Congressional District TX-3, 47th Congress, USA",0.8326326418006502,0.06389960759212578,0.10346775060722405,0.16736735819934814,0.26624780599980974,0.566384835800842,0.7032817420412768,0.2159629536139829,0.08075530434474028
"Historical Congressional District TX-3, 44th-46th Congress, USA",0.8324196801291819,0.06406047498300167,0.10351984488781645,0.16758031987081623,0.26667663009350534,0.5657430500356784,0.7033226134079269,0.21568529653018076,0.08099209006189227
"Historical Congressional District NY-1, 13th-16th Congress, USA",0.6775545713985787,0.19719924793225813,0.1252461806691633,0.3224454286014155,0.10355088041366083,0.5740036909849235,0.5981182454810817,0.16391728580634557,0.2379644687125728
"Historical Congressional District NY-1, 17th Congress, USA",0.6775545713985801,0.19719924793225724,0.12524618066916274,0.3224454286014152,0.10355088041366016,0.5740036909849245,0.5981182454810818,0.16391728580634446,0.2379644687125737
"Historical Congressional District NY-1, 1st-2nd Congress, USA",0.6771637575055865,0.1975319585801883,0.12530428391422518,0.32283624249440956,0.1021962231837178,0.5749675343218726,0.5975832266857345,0.1644324532528741,0.23798432006139136
"Historical Congressional District NY-1, 6th-7th Congress, USA",0.6771637575055865,0.1975319585801883,0.12530428391422518,0.32283624249440956,0.1021962231837178,0.5749675343218726,0.5975832266857345,0.1644324532528741,0.23798432006139136
"Historical Congressional District FL-1, 44th-47th Congress, USA",0.8742631193760267,0.06919426831999387,0.05654261230397936,0.12573688062397104,0.5160937355345957,0.35816938384143326,0.8115539705043966,0.13282749666688057,0.055618532828722776
"Historical Congressional District FL-1, 48th-57th Congress, USA",0.8728942618653369,0.06972534757690783,0.05738039055775538,0.12710573813465978,0.5111994751984212,0.3616947866669189,0.8089982545226209,0.13422287383216489,0.05677887164521426
"Historical Congressional District NY-1, 11th-12th Congress, USA",0.6722118203558097,0.19958489152611247,0.12820328811807788,0.32778817964418655,0.10453808584522467,0.5676737345105888,0.5936289535641502,0.16820295934635945,0.23816808708949025
"Historical Congressional District NY-2, 3rd-5th Congress, USA",0.67221182035581,0.1995848915261126,0.12820328811807738,0.3277881796441865,0.10453808584522374,0.5676737345105898,0.5936289535641516,0.16820295934635834,0.23816808708949014
