longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.14366113864424093,0.007180316069398444,0.36376242265749104,0.34894859858164995,0.13644752404721955,0.3838854574862999,0.5282218472554862,0.087892695258214
"Historical Congressional District CA-1, 39th Congress, USA",0.14365909427981066,0.007180190008505545,0.3637622399257261,0.3489495536802568,0.13644892210570086,0.3838877530874569,0.5282211263411506,0.08789112057139249
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.141148668401661,0.006695886228738716,0.3643112534947614,0.35310772337750357,0.13473646849733525,0.38138735082940234,0.5304478903657729,0.08816475880482495
"Historical Congressional District CA-4, 48th Congress, USA",0.141148668401661,0.006695886228738716,0.3643112534947614,0.35310772337750357,0.13473646849733525,0.38138735082940234,0.5304478903657729,0.08816475880482495
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.1425936851887954,0.006806017193280236,0.3592659257011829,0.3562000966926594,0.13513427522408203,0.3861556923166785,0.5247362230247745,0.08910808465854687
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.15698995883594535,0.005845543916557842,0.3843593220487724,0.3603062963301822,0.09249887886854224,0.33803210991756655,0.5599250093446823,0.10204288073775108
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.15622532055628668,0.005826686350135066,0.38691154440170117,0.35881725077188964,0.09221919791998735,0.3361418763362006,0.5619997257205842,0.10185839794321533
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.13090641337782832,0.006313277085194866,0.3697441673563873,0.36787759379290036,0.1251585483876893,0.36294539284817773,0.5433735602024846,0.09368104694933771
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.1318702406929607,0.006497758461720388,0.37526683991207793,0.35835985946230314,0.12800530147093775,0.36119938783996536,0.5446643561389095,0.09413625602112514
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.1742162412491026,0.007953886163429798,0.3897791547260393,0.3131339031639465,0.11491681469748169,0.32788804607923977,0.5444191547450342,0.12769279917572604
"Historical Congressional District FL-2, 44th-47th Congress, USA",0.17472705421241533,0.008053515673144345,0.38556833219766073,0.3157678427651648,0.11588325515161478,0.3318560414647821,0.5400800285442147,0.1280639299910032
"Historical Congressional District FL-2, 58th-62nd Congress, USA",0.17442234231354334,0.008042775873553102,0.3834343301833466,0.3174317191084924,0.11666883252106458,0.33450824575321286,0.5375191430820556,0.12797261116473144
"Historical Congressional District FL-2, 63rd Congress, USA",0.17442234231354334,0.008042775873553102,0.3834343301833466,0.3174317191084924,0.11666883252106458,0.33450824575321286,0.5375191430820556,0.12797261116473144
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.15578499358768297,0.0073094416810670125,0.34711905114792463,0.34414065953576123,0.14564585404756403,0.4124618800567694,0.5032072736552556,0.084330846287975
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.17422151585062015,0.008105006213285488,0.38467882517622626,0.3182759272206469,0.11471872553922127,0.331674269346224,0.5396952521882907,0.12863047846548523
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.17422151585062015,0.008105006213285488,0.38467882517622626,0.3182759272206469,0.11471872553922127,0.331674269346224,0.5396952521882907,0.12863047846548523
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.17422151585062015,0.008105006213285488,0.38467882517622626,0.3182759272206469,0.11471872553922127,0.331674269346224,0.5396952521882907,0.12863047846548523
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",0.1323188030699736,0.007051279467913222,0.3757410026747461,0.35572227332011647,0.12916664146725054,0.3585528674096566,0.5472911539608163,0.09415597862952708
"Historical Congressional District IL-3, 23rd-27th Congress, USA",0.17926609571790306,0.0061170152936760374,0.4000319818524282,0.32670870985400635,0.08787619728198655,0.3626423942478476,0.5438458752051343,0.09351173054701811
"Historical Congressional District CA-7, 58th-62nd Congress, USA",0.16061170824069718,0.0077486852294674285,0.3382591745779574,0.3471929043200815,0.14618752763179652,0.4213183193107984,0.496591796009567,0.08208988467963456
