longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"Los Angeles CA HRR, USA",0.4402843241973043,0.49372725055160643,-0.053442926354302145
"Houston TX HRR, USA",-0.028897504522841618,-0.05079434128431588,0.021896836761474265
"Atlanta GA HRR, USA",0.07590764274380217,0.009269365368427472,0.0666382773753747
"Dallas TX HRR, USA",-0.00505902563136171,-0.07865215775240468,0.07359313212104297
"New York NY HRR, USA",0.5333584926047826,0.5893773914951285,-0.056018898890345836
"Boston MA HRR, USA",0.3619842903186557,0.2981318057040852,0.06385248461457049
"East Long Island NY HRR, USA",0.16485544532618376,0.15597774020751282,0.008877705118670948
"Philadelphia PA HRR, USA",0.34580934639226,0.3358903844109078,0.009918961981352226
"Orlando FL HRR, USA",-0.006357702081829347,-0.005875603776023884,-0.0004820983058054628
"San Diego CA HRR, USA",0.19966123971038777,0.17727088378276154,0.022390355927626227
"Phoenix AZ HRR, USA",0.002162040682551895,-0.03346455717432704,0.03562659785687893
"Minneapolis MN HRR, USA",0.08414607268635209,0.027038226815647434,0.05710784587070465
"Orange Co. CA HRR, USA",0.08527813133990193,0.08100333420107747,0.004274797138824463
"St Louis MO HRR, USA",-0.049218343509214085,-0.0805614403584669,0.03134309684925281
"San Bernardino CA HRR, USA",0.10036013677023264,0.0990013088945295,0.001358827875703142
"Miami FL HRR, USA",0.11446049386694657,0.3029269899717555,-0.18846649610480892
"Denver CO HRR, USA",0.21853211164708905,0.12495796164650197,0.09357415000058708
"Seattle WA HRR, USA",0.43392470630337066,0.402258885688765,0.031665820614605655
"Nashville TN HRR, USA",-0.21948427615058685,-0.2596426110346026,0.04015833488401577
"Columbus OH HRR, USA",-0.08232156246960674,-0.09481417186419827,0.012492609394591528
"San Antonio TX HRR, USA",0.008634186231105819,0.0007079810307095669,0.007926205200396252
"Fort Lauderdale FL HRR, USA",0.16665909398517045,0.18957760681071598,-0.022918512825545523
"Indianapolis IN HRR, USA",-0.1184798263542389,-0.1684699218955958,0.04999009554135689
"Portland OR HRR, USA",0.24460110263204815,0.20285400926911268,0.04174709336293547
"Camden NJ HRR, USA",0.017895331710564455,-0.014276807238814302,0.03217213894937876
"Pittsburgh PA HRR, USA",-0.08672994097383445,-0.10772134313232458,0.02099140215849013
"Washington DC HRR, USA",0.4656765445345436,0.408884956342052,0.05679158819249158
"Sacramento CA HRR, USA",0.12157774610659985,0.10127666327184075,0.020301082834759107
"Charlotte NC HRR, USA",-0.024644444544814365,-0.06866158172384448,0.04401713717903012
"Milwaukee WI HRR, USA",0.05608431800539654,0.038025205030926906,0.018059112974469632
"Kansas City MO HRR, USA",0.0010823093852368485,-0.05668666699262379,0.05776897637786064
