longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"Los Angeles CA HRR, USA",0.1393844109646017,0.3405972976415104,0.2784641314709239,0.38093857088756566,0.653029735521623,0.21204675496121833,0.1349235095171587
"Houston TX HRR, USA",0.13598976926214484,0.35855202956845117,0.2894884765593345,0.35195949387221426,0.6304075051355138,0.23407607553698775,0.1355164193274985
"Atlanta GA HRR, USA",0.11779378794121406,0.344015101923869,0.3057785263226469,0.35020637175348407,0.6357755621157393,0.23654940797956628,0.12767502990469431
"Dallas TX HRR, USA",0.11088066857712048,0.32340656597060197,0.2994392472622794,0.37715418676711865,0.6064693408437011,0.2476058991098701,0.14592476004642888
"New York NY HRR, USA",0.1633795559376415,0.3529383935946234,0.23313502215789053,0.413926584247486,0.5574571355692379,0.2399141351673949,0.20262872926336725
"Boston MA HRR, USA",0.09384271637244028,0.2779142472574476,0.24227301135924378,0.4798127413833087,0.5402776742169694,0.26685654684028814,0.19286577894274257
"East Long Island NY HRR, USA",0.08401276788858052,0.25635223857423783,0.25207155009145504,0.4915762113343072,0.5696019604267135,0.2571222873832063,0.17327575219008015
"Philadelphia PA HRR, USA",0.1287413907669761,0.34085099306084754,0.2673857201623072,0.39176328677684524,0.5935290019224593,0.24976104568297872,0.15670995239456212
"Orlando FL HRR, USA",0.12751557286943777,0.40280371256558833,0.3217882341111105,0.27540805332330115,0.7127239969230723,0.20075863993054932,0.08651736314637842
"San Diego CA HRR, USA",0.1114155290167006,0.2929972069809256,0.27717332590188953,0.42982946711718484,0.6038609462404616,0.23715414836465057,0.15898490539488777
"Phoenix AZ HRR, USA",0.14340682638947697,0.37942531983595595,0.3157355401691265,0.30483913999491746,0.6766828623880894,0.2202306962326929,0.10308644137921771
"Minneapolis MN HRR, USA",0.08691098404010407,0.30261086301469475,0.3073227266710249,0.3900664103142803,0.5940744037732385,0.2760182798602495,0.1299073163665119
"Orange Co. CA HRR, USA",0.09697137172436403,0.24272663738291503,0.2539084839735878,0.5033648786434971,0.5747897375021714,0.23482233779910475,0.1903879246987238
"St Louis MO HRR, USA",0.11700253376781501,0.3834399544149196,0.3089824476890233,0.30757759789605704,0.6531569275889388,0.2429615207992921,0.10388155161176887
"San Bernardino CA HRR, USA",0.13361833967635628,0.3337693919444882,0.31807580705167443,0.34815480100383733,0.6852757911534365,0.22011995349945165,0.09460425534711178
"Miami FL HRR, USA",0.14737227359470326,0.42405734161339026,0.2907050040833627,0.285237654303247,0.7204103079726508,0.18751672700258554,0.09207296502476359
"Denver CO HRR, USA",0.08205533231179955,0.2699675673864563,0.2969096502910439,0.4331227823224999,0.5553021960205786,0.28157273596517574,0.1631250680142457
"Seattle WA HRR, USA",0.08830093771822117,0.24979059105619253,0.264709780332928,0.4854996286108795,0.5216535231849253,0.2584510107623785,0.2198954660526962
"Nashville TN HRR, USA",0.12691619247897212,0.3904109456252306,0.3216167417527864,0.2879723126219831,0.6864216484388216,0.22158165083752754,0.09199670072365086
"Columbus OH HRR, USA",0.13673423130408413,0.39202574967528214,0.31324148750059927,0.2947327628241187,0.6679935314713534,0.23821937821378242,0.0937870903148641
"San Antonio TX HRR, USA",0.15175264081259457,0.3972509909264294,0.3112349719366206,0.29151403713695007,0.6838498004505023,0.2244881999005599,0.0916619996489378
"Fort Lauderdale FL HRR, USA",0.11943493114136662,0.38238601456040017,0.30207028190644963,0.31554370353315014,0.6691660568929941,0.21314231671299128,0.11769162639401459
"Indianapolis IN HRR, USA",0.12038414540974357,0.38822703354058824,0.3230790856538489,0.28869388080556285,0.6713997089130409,0.23396141834382547,0.09463887274313357
"Portland OR HRR, USA",0.10254754366212088,0.31096419798740543,0.30436950897897164,0.38466629303362293,0.607960679964456,0.2544148328383485,0.13762448719719547
"Camden NJ HRR, USA",0.09708471392811541,0.30184179318313487,0.27496705961034795,0.4231911472065171,0.5831083817024227,0.26435614147430836,0.15253547682326887
"Pittsburgh PA HRR, USA",0.11235059684271041,0.4022413814256183,0.3020944228221743,0.29566419575220726,0.6631591035484466,0.23902269986671715,0.09781819658483613
"Washington DC HRR, USA",0.0917257444203144,0.2421808382228737,0.25369207224367063,0.5041270895334555,0.491010828308423,0.2730172210023551,0.23597195068922183
"Sacramento CA HRR, USA",0.12124984123425916,0.31445559501917403,0.2943581333443321,0.391186271636494,0.6117878362172585,0.24504234322442167,0.1431698205583198
"Charlotte NC HRR, USA",0.11519001696368739,0.3714357774754731,0.3057158484525157,0.32284837407201133,0.6532993930522067,0.22801933843411668,0.11868126851367661
"Milwaukee WI HRR, USA",0.11173183900503704,0.35653343705877893,0.31001577958488963,0.3334507833563314,0.6289939745344646,0.2625564609097146,0.10844956455582082
"Kansas City MO HRR, USA",0.10665115397331563,0.35870762161561415,0.31331090987098853,0.3279814685133973,0.6397074012572173,0.25317130101730984,0.1071212977254729
