longname,Population,Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density (2010),AW Density (2000),Area,Compactness
"Los Angeles CA HRR, USA",10065061.0,9866279.0,0.020147615935045014,9556734.0,0.05319045188450364,4555.226173057717,4542.312540005517,0.0028429644456354325,4597.95252303646,-0.009292473065930437,656.0975400501064,643.139806241415,622.9619143205604,15340.799782958076,0.18537582936772476
"Houston TX HRR, USA",7675152.0,6461642.0,0.18780210974238437,5200235.0,0.4759240688161208,1657.5731596470926,1560.4140489213228,0.06226495512068324,1560.2215482503414,0.062396017736021485,134.97484122184466,113.63411473576063,91.45107399062316,56863.57494864632,0.07097274497264897
"Atlanta GA HRR, USA",7135132.0,6242470.0,0.1429982042364641,5057928.0,0.41068279342845526,931.7165348774441,816.0137260634998,0.1417902727838927,815.0326509247293,0.14316467422541448,168.93434095856276,147.799305661563,119.75359857334965,42236.12534617901,0.13733425655717246
"Dallas TX HRR, USA",5774846.0,4819192.0,0.19830170700814576,3988028.0,0.44804550018204486,1599.293563348771,1514.4282901419779,0.056037828769586004,1609.9901487415423,-0.00664388251141312,130.1987243224523,108.65270704447661,89.91342074961321,44354.090487844725,0.14163786555799004
"New York NY HRR, USA",5379931.0,4966900.0,0.08315669733636674,4868038.0,0.10515386280879484,20406.485638652295,19104.40664688749,0.06815595039571352,18985.43826957207,0.07484933183542751,12198.709200432451,11262.183237596902,11038.018877687238,441.02461265404037,0.02386532831791409
"Boston MA HRR, USA",5223562.0,4818862.0,0.0839824838312448,4679452.0,0.11627643578778028,2859.5710219236375,2588.263021135399,0.10482242282672775,2530.46292889062,0.13005845265526253,556.5830125733366,513.461260560356,498.6067919462477,9385.05466749532,0.0166417326080448
"East Long Island NY HRR, USA",4937845.0,4714313.0,0.04741560435210814,4617169.0,0.06945294833262547,7041.051269187875,6632.249132556923,0.06163853746449166,6666.759249246586,0.056143023311302,1472.8277338518424,1406.1540879590752,1377.1786184217967,3352.629018660724,0.01830425617419934
"Philadelphia PA HRR, USA",4398115.0,4185039.0,0.05091374297826137,4034810.0,0.09004265380525972,3620.24679483566,3400.5346147553596,0.06461107001438557,3458.2070266564874,0.046856584042002235,788.7010695963164,750.4907751621544,723.550648998017,5576.402986560044,0.08161655512369707
"Orlando FL HRR, USA",4385269.0,3611342.0,0.2143045438510116,2893411.0,0.51560528386738,1100.5530582196122,962.8696664801905,0.14299276063262953,936.0834534451163,0.17569972438802323,165.38557001868384,136.19776921379597,109.12179561466584,26515.426947493605,0.06831478870061572
"San Diego CA HRR, USA",3958941.0,3711199.0,0.06675524540721206,3240579.0,0.2216770521564202,2521.8722878814638,2450.8457051061873,0.028980438314536443,2438.4796804402517,0.034198606660587806,145.5918354451737,136.4810119959588,119.17374987782983,27192.05364706622,0.12179530690760612
"Phoenix AZ HRR, USA",3758060.0,3354521.0,0.1202970558240655,2691894.0,0.3960653725592464,1643.4355427845387,1506.5098180299021,0.09088936767348621,1623.4456341286166,0.012313260287679241,21.306464281434216,19.018584553684878,15.26179554355361,176381.21231004316,0.09651981883816708
"Minneapolis MN HRR, USA",3514639.0,3233068.0,0.08709096127888433,2974815.0,0.1814647297394964,1180.3555587162948,1056.701970549534,0.11701841352908157,1087.5393369996991,0.0853451627530613,37.13238516324387,34.15756959248404,31.429110178711184,94651.58202331226,0.04708117356755853
"Orange Co. CA HRR, USA",3497505.0,3299294.0,0.06007679218644959,3051503.0,0.1461581391202958,3122.5670391622525,3098.5916147307494,0.007737523175859519,3198.703578979013,-0.023802311760648447,1166.3657771269347,1100.2653635320703,1017.6307590697292,2998.634792436446,0.17916022441742416
"St Louis MO HRR, USA",3430588.0,3427241.0,0.000976587289892949,3277950.0,0.04656507878399609,992.6944798132945,1013.7912063933875,-0.020809735226591325,1090.4870659000865,-0.08967789636832979,59.9821400958936,59.92361945077359,57.313339907716816,57193.491171130445,0.137885352006359
"San Bernardino CA HRR, USA",3420425.0,3116683.0,0.09745681546695638,2455793.0,0.39279857870757023,1944.400621352111,1866.5318387045093,0.04171843256724069,1719.4560995858192,0.13082306772500696,93.26894894165058,84.98644104001998,66.96513793702914,36672.708750474194,0.17086790128242613
"Miami FL HRR, USA",3395185.0,3127446.0,0.0856094717542685,2785804.0,0.21874510913187,3275.8208092940217,3041.1287391781925,0.07717268496145623,2965.740104398486,0.10455424075617933,1624.8802441252521,1496.744719350652,1333.2404224232564,2089.4986029126007,0.05159963810050226
"Denver CO HRR, USA",3288256.0,2853117.0,0.15251354921652355,2464047.0,0.3344940254792218,1899.2344765826972,1723.458500249134,0.10199025755952579,1751.9091389641455,0.08409416581139646,27.20092480924759,23.601392649777285,20.382949859576655,120887.6544845299,0.05987128607812832
"Seattle WA HRR, USA",3254980.0,2799476.0,0.16271045009851845,2491462.0,0.30645380102124775,2249.1495222885715,1774.6858160667744,0.26735081890345425,1651.4115453856339,0.361955793862005,141.14789457268824,121.39556719450535,108.0389482294389,23060.77614444155,0.02675524413460526
"Nashville TN HRR, USA",3233271.0,2782458.0,0.16201969625417526,2376634.0,0.3604412795575591,662.7444923325061,567.6250046498734,0.167574519979621,525.0305933663399,0.2622969036588624,59.21140585144328,50.95559571177151,43.52367628149297,54605.54353517666,0.15381703460302773
"Columbus OH HRR, USA",3229596.0,3018205.0,0.07003864879953482,2783076.0,0.16044118090918105,1097.974575952551,980.2962943226185,0.12004358509918464,995.2226757146567,0.10324513573217121,73.91788769895139,69.07964285390915,63.6980907908131,43691.67058930738,0.12177388513931026
"San Antonio TX HRR, USA",3148034.0,2714932.0,0.15952591077787584,2199875.0,0.43100585260526164,1393.512569713207,1385.63034201879,0.0056885501532342375,1377.005721055513,0.011987494608984689,33.698692849568715,29.0624750480666,23.54895529477921,93417.09525805211,0.16097962473857355
"Fort Lauderdale FL HRR, USA",3103477.0,2753457.0,0.127120198354287,2439055.0,0.2724096012595042,1886.0550889337762,1686.1206436505902,0.11857659535578159,1695.806445798239,0.11218771081270687,528.265919954122,468.68641048704944,415.16970591169223,5874.83856666265,0.1412677824242389
"Indianapolis IN HRR, USA",3069948.0,2852404.0,0.07626689627416032,2611100.0,0.17572976906284707,913.4832251516583,853.137155044396,0.07073431247303022,871.2988239653596,0.04841553784534414,86.99346222181326,80.82889339342198,73.9910347691155,35289.41050963509,0.1703363944655488
"Portland OR HRR, USA",3007829.0,2684536.0,0.12042788772435907,2352646.0,0.2784877112833805,1738.436967062964,1556.6618103098237,0.11677241360277306,1403.9023659465784,0.23828907852208533,47.77901508525851,42.64354324694639,37.371509059947584,62952.930164691075,0.04242442224829039
"Camden NJ HRR, USA",2913686.0,2820151.0,0.03316666377084064,2675630.0,0.08897194305640167,1276.778111045238,1211.7213038816367,0.05368957940674788,1208.776866744047,0.056256242299175106,303.51322763385207,293.769861414317,278.7153788204919,9599.86496376023,0.0409290063704764
"Pittsburgh PA HRR, USA",2887710.0,2904771.0,-0.0058734406257842705,2999771.0,-0.037356518214223686,948.4366790905209,949.9983401364639,-0.001643856604758533,1040.8738005472646,-0.08880723235433795,109.15732542820092,109.80224237939426,113.39330447208332,26454.569023857348,0.143846524950264
"Washington DC HRR, USA",2880714.0,2613553.0,0.10222138215678045,2361217.0,0.2200123919148473,2583.1127663992065,2238.9870207069534,0.15369707037586863,2157.1531082935303,0.19746380378286743,248.42304383687969,225.38398171044,203.62337750272522,11596.001544412053,0.02027460920875247
"Sacramento CA HRR, USA",2868051.0,2588281.0,0.10809104575585109,2179609.0,0.31585573375775194,1821.221166712292,1675.9894906736395,0.0866542880172111,1643.0098176628285,0.10846639328240171,127.58182409748937,115.13658971087818,96.95730377155243,22480.090877274415,0.10375688017519819
"Charlotte NC HRR, USA",2866522.0,2459473.0,0.16550252838717888,1955641.0,0.465771069434523,775.8863601579641,644.384335979211,0.20407389943599688,565.8246749833453,0.3712487179545534,158.89319624043273,136.33020295572328,108.40246444605557,18040.558487239814,0.17659040046132102
"Milwaukee WI HRR, USA",2747033.0,2711340.0,0.013164339404132273,2568400.0,0.06955030369101387,1531.4764538391496,1592.3256326769124,-0.038214029586063486,1664.9766116451992,-0.08018140127153814,235.0181296166019,231.9644705959766,219.7354615351473,11688.60038364439,0.24863096450731345
"Kansas City MO HRR, USA",2656512.0,2481936.0,0.07033863886901193,2261423.0,0.17470813731000348,1011.0331434055422,973.7479189034264,0.0382904279211237,1013.39263324383,-0.0023283076676166134,55.35236225163004,51.71481271583251,47.12009774477509,47992.74849235129,0.12615281983623722
"Chicago IL HRR, USA",2631411.0,2583762.0,0.01844171405880263,2783860.0,-0.05476173370787324,6994.247163505079,6627.921786528121,0.055270021097947944,7127.092797351086,-0.018639526329077942,4972.611808593358,4882.56886962728,5260.696679260938,529.1808613438434,0.23441786463938694
"Baltimore MD HRR, USA",2630177.0,2520422.0,0.04354627915483995,2380111.0,0.1050648478159212,1888.51085471645,1954.6481897518493,-0.03383592780642314,2075.1594581818226,-0.08994422222806298,310.4021937830395,297.4493800451589,280.89047841538564,8473.448489344131,0.018977048340924528
"Arlington VA HRR, USA",2624702.0,2297584.0,0.14237477280482455,1871612.0,0.40237506491730124,2292.6675824979598,2072.7118325166584,0.10611979269411226,1934.2397486817638,0.185306828721969,502.0108535716475,439.444975083861,357.9718907803394,5228.376998875782,0.21069865407285354
"Fort Worth TX HRR, USA",2561245.0,2198658.0,0.16491286957771514,1768460.0,0.4482911685873585,1449.6554262484929,1349.495453231185,0.07422031158199785,1313.5838717078364,0.10358802164931054,148.87963274782206,127.80323459023286,102.79675522225067,17203.461297747377,0.20695461513099514
"Las Vegas NV HRR, USA",2389584.0,2064056.0,0.15771277523478044,1464396.0,0.6317881228847935,2511.92486308318,2342.1993937982434,0.07246414192333131,2336.7612881847745,0.07495997806197596,28.729339826817085,24.815602316378403,17.60604788324312,83175.73652595626,0.19436108027960264
"Birmingham AL HRR, USA",2362338.0,2276607.0,0.037657355880922797,2159735.0,0.09380919418354566,442.44819204264167,430.40262730763936,0.027986736071646885,454.91596908262574,-0.027406769353747543,43.22435639401808,41.65571240741855,39.51727286977335,54652.93637841024,0.05285495624109769
"Raleigh NC HRR, USA",2332686.0,2032974.0,0.1474253974718811,1631235.0,0.4300122299975172,752.6005005942287,670.3786813712267,0.12264981197615259,614.700831860681,0.22433623249887197,125.66084077449683,109.51547791374061,87.87396229101832,18563.348658362822,0.1861427188648323
"Salt Lake City UT HRR, USA",2317604.0,2034116.0,0.13936668311935013,1720157.0,0.347321203820349,1446.6386464703037,1342.4605941398108,0.07760231680934032,1340.7129582726545,0.07900698471216502,6.990622060669784,6.135533155604399,5.188534137849069,331530.4389060258,0.04699063034611699
"Austin TX HRR, USA",2280184.0,1738310.0,0.31172460608291963,1285327.0,0.7740108159246635,1403.3211979752502,1286.7652095244448,0.09058061842834679,1297.7634942249765,0.0813381669464456,142.78566568148895,108.853386617391,80.48748316512665,15969.278072256857,0.2006743578518709
