longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %
"Los Angeles CA HRR, USA",0.08716622787867562,0.12129135035519342,0.23975805826571206,0.6389505913790945
"Houston TX HRR, USA",0.09255491473980669,0.2366221024917384,0.09583794450491362,0.667539953003348
"Atlanta GA HRR, USA",0.0830436922359243,0.16703788563563976,0.10219770499836676,0.7307644093659935
"Dallas TX HRR, USA",0.08654338745824758,0.2072077802732614,0.07990283068682644,0.7128893890399122
"New York NY HRR, USA",0.10975202686864612,0.07460216671207286,0.25380821840216833,0.6715896148857589
"Boston MA HRR, USA",0.0768095112468877,0.03713835169109062,0.19960502962116292,0.7632566186877464
"East Long Island NY HRR, USA",0.08457229471609183,0.08387102654525286,0.19836229857355986,0.7177666748811873
"Philadelphia PA HRR, USA",0.09365769647223371,0.07146977108317401,0.1869237199260904,0.7416065089907357
"Orlando FL HRR, USA",0.08741792958106981,0.16799045120355804,0.1426731245693814,0.6893364242270607
"San Diego CA HRR, USA",0.055962491463398524,0.10030613162475478,0.20307009818051153,0.6966237701947336
"Phoenix AZ HRR, USA",0.10471679287797278,0.15595136663185238,0.20471251276090174,0.639336120607246
"Minneapolis MN HRR, USA",0.08121893146155809,0.06137222851626188,0.15775282338900373,0.7808749480947345
"Orange Co. CA HRR, USA",0.05320797859344381,0.09462175081284611,0.1681045274527492,0.7372737217344045
"St Louis MO HRR, USA",0.10826442916135857,0.09617619983262436,0.14554133195097152,0.7582824682164041
"San Bernardino CA HRR, USA",0.072000897113667,0.11568272482280582,0.2615944785811152,0.6227227965960791
"Miami FL HRR, USA",0.12039522855188223,0.2029339605457102,0.11484770694517299,0.6822183325091169
"Denver CO HRR, USA",0.05800352952526616,0.10195719278171904,0.13684742013235407,0.7611953870859269
"Seattle WA HRR, USA",0.04866868875718215,0.07265364477178847,0.14330102720047092,0.7840453280277407
"Nashville TN HRR, USA",0.1121804468371525,0.12386416785218324,0.1574521055484572,0.7186837265993596
"Columbus OH HRR, USA",0.10303924781635494,0.09032498617744443,0.20033575652682672,0.7093392572957289
"San Antonio TX HRR, USA",0.11666477073450635,0.2296959738920432,0.11799008440932397,0.6523139416986329
"Fort Lauderdale FL HRR, USA",0.08402662977147478,0.19208690408877138,0.11373971796609508,0.6941733779451335
"Indianapolis IN HRR, USA",0.10778434154257972,0.0982958620933196,0.1667948834859595,0.734909254420721
"Portland OR HRR, USA",0.06486691037338373,0.08497481516647717,0.18252787865158243,0.7324973061819403
"Camden NJ HRR, USA",0.08929683969509349,0.07782990696624241,0.1709258449296293,0.7512442481041282
"Pittsburgh PA HRR, USA",0.12348637780713737,0.057112375510451716,0.18775732344764795,0.7551303010419004
"Washington DC HRR, USA",0.07748057586433567,0.060773309873672667,0.1592437064501557,0.7799829836761716
"Sacramento CA HRR, USA",0.06958029778318234,0.06952188149517445,0.23243461257003148,0.6980435059347941
"Charlotte NC HRR, USA",0.0967489284923243,0.1412530857782168,0.12484837429748036,0.7338985399243028
"Milwaukee WI HRR, USA",0.10053761900059979,0.08200506604942973,0.1621924256287161,0.7558025083218542
"Kansas City MO HRR, USA",0.09041019070117084,0.1236279899023662,0.1016993620194337,0.7746726480782
"Chicago IL HRR, USA",0.12059109732558487,0.12814703563618213,0.19385809518858968,0.6779948691752281
"Baltimore MD HRR, USA",0.09122730456533047,0.060528823567034894,0.1899515089512881,0.749519667481677
"Arlington VA HRR, USA",0.03395650056704844,0.10052217282297037,0.054175592283369524,0.8453022348936602
"Fort Worth TX HRR, USA",0.07367239433738891,0.21373918411106127,0.08748189325103957,0.6987789226378992
"Las Vegas NV HRR, USA",0.09817137754274137,0.15361721432327516,0.18455110409555484,0.6618316815811699
"Birmingham AL HRR, USA",0.14857191680442433,0.1378825019244652,0.16239436566304083,0.699723132412494
"Raleigh NC HRR, USA",0.09873001499711323,0.13966267647669245,0.1308622743613721,0.7294750491619354
"Salt Lake City UT HRR, USA",0.063524855621042,0.12418049545439287,0.09442338382929515,0.781396120716312
"Austin TX HRR, USA",0.05971165774020431,0.1559979492382643,0.07094581773552977,0.7730562330262059
"Cleveland OH HRR, USA",0.12052764629147039,0.07285203881170521,0.20941776851017788,0.717730192678117
"Oklahoma City OK HRR, USA",0.12152148944331997,0.18447419363958625,0.11994909488274633,0.6955767114776673
"San Jose CA HRR, USA",0.04399727571731696,0.056088712248258746,0.13778881932910958,0.8061224684226317
"Richmond VA HRR, USA",0.10942941540213619,0.10284709843686093,0.13274514250083483,0.7644077590623043
"Jacksonville FL HRR, USA",0.09464873126050394,0.15909841148410434,0.14544820649692955,0.6954533820189661
"Albany NY HRR, USA",0.09845468507381484,0.05252659207787782,0.2222102827131369,0.7252631252089852
"Louisville KY HRR, USA",0.1283492599642972,0.07412895999004779,0.2346692623903804,0.6912017776195719
"Memphis TN HRR, USA",0.16362473631860341,0.15200002966230294,0.20009846143141058,0.6479015089062864
"Albuquerque NM HRR, USA",0.1731195220760125,0.1330507851002906,0.3061985164343508,0.5607506984653587
"Cincinnati OH HRR, USA",0.0943817553812964,0.07396006927532872,0.18050614702673407,0.7455337836979372
"Spokane WA HRR, USA",0.09515527879113204,0.11915007118537367,0.21926748227478854,0.6615824465398379
"Alameda Co. CA HRR, USA",0.060881704519593335,0.0534374011941894,0.17109724124592146,0.7754653575598892
"Newark NJ HRR, USA",0.11539333165399464,0.1488895555123247,0.1931075876785407,0.6580028568091347
"Detroit MI HRR, USA",0.13135034886325594,0.08314794076088144,0.31528660127066355,0.601565457968455
"Tampa FL HRR, USA",0.06705211224861735,0.15568190323469028,0.13090341431356076,0.713414682451749
"Mesa AZ HRR, USA",0.055462731007118064,0.11341714899958628,0.13323486162082726,0.7533479893795865
"Little Rock AR HRR, USA",0.17300352402497152,0.10997506906443198,0.2592557349912805,0.6307691959442876
"Lexington KY HRR, USA",0.14910069796427974,0.07778775740445758,0.32245345504147643,0.599758787554066
"San Francisco CA HRR, USA",0.06322286957401081,0.0548357305939361,0.16583396726642408,0.7793303021396397
"Hartford CT HRR, USA",0.09152870433599589,0.05382357119666497,0.20628080251151493,0.73989562629182
"New Haven CT HRR, USA",0.08956113053420396,0.07014623045478406,0.19802425331684884,0.7318295162283671
"Bronx NY HRR, USA",0.14544640113011761,0.10579943474248191,0.4109152220295159,0.48328534322800215
"Ann Arbor MI HRR, USA",0.0714382482979193,0.05633554483933895,0.1618780100648695,0.7817864450957915
"Knoxville TN HRR, USA",0.15375004985515983,0.13729616689881038,0.2027219805268719,0.6599818525743177
"Durham NC HRR, USA",0.14690598444363115,0.1462020595692409,0.16468248106046282,0.6891154593702963
"Tulsa OK HRR, USA",0.13261676453200266,0.19960057412535756,0.13202071567905843,0.6683787101955839
"Honolulu HI HRR, USA",0.08670475786851813,0.0550570988427745,0.16324250583591773,0.7817003953213078
"Fort Myers FL HRR, USA",0.08118610210814226,0.19909647733762664,0.13646436216861696,0.6644391604937564
"Omaha NE HRR, USA",0.10082309626319673,0.10702845009322132,0.1163446573520477,0.776626892554731
"Buffalo NY HRR, USA",0.1206534223755603,0.042343047324674914,0.25510683018569014,0.702550122489635
"Hackensack NJ HRR, USA",0.07657355165313649,0.1301802461475538,0.1431590254671598,0.7266607283852863
"Melrose Park IL HRR, USA",0.07904581082956405,0.1060389614433351,0.12271012235735222,0.7712509161993126
"Norfolk VA HRR, USA",0.08828630164709886,0.12052941149761782,0.14760822044386399,0.7318623680585182
"Fresno CA HRR, USA",0.12772387757961673,0.10622695567426876,0.337839656824585,0.5559333875011463
"Rochester NY HRR, USA",0.10226596906065138,0.04962602571901954,0.2257102178653995,0.7246637564155809
"Allentown PA HRR, USA",0.1056919905896458,0.07523798279852381,0.17578080735900017,0.7489812098424761
"Grand Rapids MI HRR, USA",0.10470771128222643,0.06867184668986519,0.1753812716355632,0.7559468816745716
"Providence RI HRR, USA",0.09132189070243593,0.053207132423299566,0.21556967036032107,0.7312231972163793
"Columbia SC HRR, USA",0.14800512474222458,0.1419787546616875,0.1697762051873646,0.6882450401509479
"Tucson AZ HRR, USA",0.09363438642689631,0.12349681754610013,0.2362292108441119,0.6402739716097879
"Wichita KS HRR, USA",0.12301231426214587,0.14110797159788674,0.12019054234003261,0.7387014860620806
"Bakersfield CA HRR, USA",0.1257515307876378,0.11651127989785892,0.3615252387090785,0.5219634813930625
"Charleston SC HRR, USA",0.10408154532200296,0.16078095800134845,0.14727619853932514,0.6919428434593263
"White Plains NY HRR, USA",0.07688812226510439,0.06833172250668378,0.17718098542550775,0.7544872920678084
"Des Moines IA HRR, USA",0.10681471520458569,0.06579840233897984,0.16403723837710843,0.7701643592839117
"El Paso TX HRR, USA",0.13616606030091866,0.26085063937312264,0.18506851935574317,0.5540808412711342
"Winston-Salem NC HRR, USA",0.1343844388565387,0.15990630275937112,0.15934518819033605,0.6807485090502928
"St Paul MN HRR, USA",0.06841028174949877,0.054758675818849446,0.16490029801239053,0.78034102616876
"Madison WI HRR, USA",0.08564982060182381,0.061873447454070196,0.12818342880270323,0.8099431237432266
"Contra Costa Co. CA HRR, USA",0.04249934817470611,0.05518241007786077,0.16733834612923654,0.7774792437929028
"Portland ME HRR, USA",0.09066509342775922,0.08989350540470105,0.16778138323135547,0.7423251113639435
"New Brunswick NJ HRR, USA",0.06048110145002578,0.08147476269193164,0.10506014384702407,0.8134650934610443
"Harrisburg PA HRR, USA",0.11880093973242306,0.0851584543698536,0.1603576370121412,0.7544839086180052
"Takoma Park MD HRR, USA",0.052531532273256985,0.13852805543805066,0.1395713488618066,0.7219005957001428
"Dayton OH HRR, USA",0.11358748110057594,0.083048732472581,0.21453403883709668,0.7024172286903223
"Morristown NJ HRR, USA",0.055064366521132876,0.0737107105607692,0.09497745543519451,0.8313118340040362
"Boise ID HRR, USA",0.08450396948614641,0.14434565901093868,0.13628180480180638,0.7193725361872549
"Syracuse NY HRR, USA",0.1112600629060231,0.050232697013240006,0.24599917671401453,0.7037681262727453
"Jackson MS HRR, USA",0.18856442646799984,0.16848025783488674,0.19021312759429365,0.6413066145708195
"Greenville SC HRR, USA",0.12186886676195721,0.14618340310135022,0.14279481096117635,0.7110217859374733
"Baton Rouge LA HRR, USA",0.11548857856449628,0.10851002308385016,0.22124426250111925,0.6702457144150307
"Toledo OH HRR, USA",0.10807231532715066,0.07019032734166307,0.20737607351496726,0.7224335991433696
"Modesto CA HRR, USA",0.09542600697970507,0.0951758760723679,0.3085734158229618,0.5962507081046703
"Savannah GA HRR, USA",0.11746827032926851,0.18600921774348814,0.1385150831570005,0.6754756990995114
