longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"Los Angeles CA HRR, USA",0.2545711347402664,0.48173140729102387,0.07634300477662281,0.1463024416841587,0.0018740075196762344,0.002054533002830286,0.03712347098542175
"Houston TX HRR, USA",0.3545822936145108,0.3648394194668718,0.16730326643693832,0.07746530622455425,0.002157090830253264,0.000604157416035539,0.03304846601083601
"Atlanta GA HRR, USA",0.4750761443516392,0.12380373621679319,0.297476206466818,0.058417559759230804,0.0018099174619334302,0.0003806516824075574,0.04303578406117785
"Dallas TX HRR, USA",0.4391104109096589,0.2814014434324309,0.14944225352502907,0.0833684569250851,0.005464214976468636,0.0006808839577713415,0.04053233627355604
"New York NY HRR, USA",0.4143121909927841,0.21361277681814134,0.18621781580470084,0.13650453881285837,0.0012940686414007912,0.00035613839657051366,0.04770247053354401
"Boston MA HRR, USA",0.6651510980438252,0.11931628264391234,0.06928988303383783,0.0815326782758585,0.0013372101259638538,0.0002232193281136512,0.06314962854848856
"East Long Island NY HRR, USA",0.4301659934647604,0.2349672782357486,0.1249229167784732,0.16236819908279826,0.002830789544831804,0.000300940997540425,0.044443881895847276
"Philadelphia PA HRR, USA",0.5643529102808817,0.1052760102907723,0.2131538170329789,0.0764302434110977,0.001203242752861169,0.00025942932369890285,0.03932434690770933
"Orlando FL HRR, USA",0.5104158946691754,0.2703318770182627,0.1327093047199613,0.03489090406996697,0.0020489050956737204,0.0006499031188280582,0.04895321130813184
"San Diego CA HRR, USA",0.4059914002254643,0.38178517942045614,0.04194682365814494,0.10972631317314403,0.003972021810883264,0.003583534081462694,0.052994727630444605
"Phoenix AZ HRR, USA",0.4944050919889518,0.33914306849810805,0.051061718014081735,0.031027445011521902,0.042034986136464024,0.0018301996242742265,0.0404974907265983
"Minneapolis MN HRR, USA",0.7652797342771193,0.06028897989238724,0.07416323554140268,0.04733658278986832,0.006976249907885276,0.0004418661489842911,0.04551335144235297
"Orange Co. CA HRR, USA",0.37106365823637133,0.34846898003005,0.019423846427667722,0.21308990265918132,0.0018107193556549598,0.0024906326081020613,0.04365226068297258
"St Louis MO HRR, USA",0.7292184313592889,0.03669837357327665,0.1558243076697056,0.026061130045344997,0.0021497772393537203,0.00044861114188005086,0.04959936897115013
"San Bernardino CA HRR, USA",0.26570440807794354,0.5372425941220754,0.07909426460162114,0.07311255180277304,0.004084287771256496,0.002953434149265077,0.03780845947506523
"Miami FL HRR, USA",0.16430385973076578,0.6317682247064593,0.15473148002244355,0.02211690968238844,0.0008547398742631109,0.0001870295727626035,0.026037756410917226
"Denver CO HRR, USA",0.6268809362774674,0.227312289554098,0.04876901311820004,0.04254960684326281,0.004637716771443586,0.0014883269429144203,0.048362110492613714
"Seattle WA HRR, USA",0.5871283387301919,0.10276192173223798,0.05304333667180751,0.1658996368641282,0.00915305163165365,0.007596052817528833,0.07441766155245193
"Nashville TN HRR, USA",0.7257245062353264,0.08375202697206637,0.11746556351137903,0.024424182198151654,0.002314374514230326,0.0009021823410410077,0.045417164227805215
"Columbus OH HRR, USA",0.7627390546681381,0.04037037449885373,0.11282154176559545,0.03424576943989279,0.001797748077468513,0.00026597754022484547,0.04775953400982662
"San Antonio TX HRR, USA",0.3036955763501919,0.586083568347737,0.054553095678128,0.023663658016400076,0.002454547822545754,0.0011067224813963255,0.028442831303600914
