longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"Houston TX HSA, Houston TX HRR, USA",0.14792297119082787,0.37000989585866606,0.2889393453515038,0.34105075878983016,0.6348906921951241,0.23115559161642102,0.13395371618845478
"Chicago IL HSA, Chicago IL HRR, USA",0.17278760183423217,0.40294401868152036,0.26530644489928823,0.33174953641919136,0.6119971377130112,0.24266834461324693,0.14533451767374186
"Brooklyn NY HSA, New York NY HRR, USA",0.18696299213396358,0.4022480760576056,0.2508661435083209,0.3468857804340734,0.6278693787919752,0.235309777612006,0.13682084359601876
"Dallas TX HSA, Dallas TX HRR, USA",0.13520285127882212,0.36136025068768035,0.30860434096909845,0.33003540834322115,0.6225826986937164,0.2464533429016902,0.1309639584045933
"Phoenix AZ HSA, Phoenix AZ HRR, USA",0.14226820624392544,0.3621705428261848,0.32001525801873826,0.31781419915507686,0.6708055538200872,0.22831596671820625,0.10087847946170655
"San Antonio TX HSA, San Antonio TX HRR, USA",0.14307236293815556,0.3893305533169443,0.31072621714927273,0.2999432295337829,0.6733947641348548,0.23140689278299478,0.09519834308215046
"Las Vegas NV HSA, Las Vegas NV HRR, USA",0.1383689445348404,0.39634611775586753,0.3164517763975514,0.28720210584658107,0.6909819617822897,0.21674295457779258,0.09227508363991788
"New York NY HSA, New York NY HRR, USA",0.15429872721043397,0.32229162559446684,0.20834682143498892,0.4693615529705443,0.4844065920355031,0.2303373802356872,0.28525602772880976
"Miami FL HSA, Miami FL HRR, USA",0.1541520605910092,0.4325646025372115,0.28885593166105583,0.2785794658017326,0.7289747297192262,0.18184348188917895,0.089181788391595
"Los Angeles CA HSA, Los Angeles CA HRR, USA",0.20332541798570128,0.43186325179725793,0.2706459221133365,0.29749082608940564,0.7017097578186796,0.18353129175688254,0.11475895042443793
"Denver CO HSA, Denver CO HRR, USA",0.0805031087270964,0.2614953342432925,0.2867183102090237,0.45178635554768376,0.5291586333504743,0.2850788358715879,0.18576253077793778
"Philadelphia PA HSA, Philadelphia PA HRR, USA",0.20309481195416879,0.44493448202280866,0.27294030127421187,0.2821252167029794,0.6621544362232475,0.22854562378006715,0.1092999399966853
"Austin TX HSA, Austin TX HRR, USA",0.10261767174298289,0.2802259007913466,0.2936992773867017,0.4260748218219518,0.5533117613339007,0.27306758816136095,0.17362065050473824
"Atlanta GA HSA, Atlanta GA HRR, USA",0.12918676219779715,0.3396998599598332,0.2882918631908125,0.3720082768493543,0.5829877640376145,0.24676735878169043,0.17024487718069503
"St Louis MO HSA, St Louis MO HRR, USA",0.10753630381693204,0.36696808799575814,0.3034936254228375,0.32953828658140427,0.6276530035389543,0.2472116771410277,0.12513531932001803
"Columbus OH HSA, Columbus OH HRR, USA",0.12656811945435487,0.34164907400356764,0.3077924684027169,0.35055845759371546,0.608568122516388,0.26577145463912866,0.12566042284448334
"Portland OR HSA, Portland OR HRR, USA",0.10365670762090215,0.29883613122819047,0.29008865352387303,0.4110752152479365,0.5796842932397333,0.2594466013210288,0.1608691054392378
"Orlando FL HSA, Orlando FL HRR, USA",0.132389341271831,0.37529706190447504,0.31781411806955273,0.3068888200259722,0.6934510941391712,0.2088798610062093,0.09766904485461954
"Minneapolis MN HSA, Minneapolis MN HRR, USA",0.08977066182385839,0.2751318618564498,0.2948358723688433,0.4300322657747068,0.5566603641936333,0.28795167536910565,0.1553879604372609
"Fort Worth TX HSA, Fort Worth TX HRR, USA",0.11974321727787804,0.33739938929539126,0.32219827106321286,0.3404023396413959,0.6387303476341784,0.2526252992926941,0.10864435307312771
"Raleigh NC HSA, Raleigh NC HRR, USA",0.08922087364453424,0.2840040941905624,0.28994285873917347,0.4260530470702641,0.5696120566713456,0.258525619946677,0.17186232338197743
"Charlotte NC HSA, Charlotte NC HRR, USA",0.0962425217185616,0.3192863848560837,0.29795222142347266,0.38276139372044365,0.5969303419987545,0.24546724068698522,0.15760241731426033
"San Jose CA HSA, San Jose CA HRR, USA",0.07212584694120619,0.1857603174250439,0.19738296364275063,0.6168567189322055,0.5010165964653651,0.2213413081705103,0.27764209536412454
"Bronx NY HSA, Bronx NY HRR, USA",0.27281462234325443,0.5634098477999842,0.25710358236237313,0.17948656983764275,0.772008307315718,0.18142431535424305,0.046567377330038955
"Baltimore MD HSA, Baltimore MD HRR, USA",0.139811190914091,0.3697122322009594,0.2855959663761995,0.3446918014228412,0.6061159802464361,0.2660134595062489,0.12787056024731497
"Mesa AZ HSA, Mesa AZ HRR, USA",0.10653495488825711,0.3220735482727094,0.3234920955896461,0.35443435613764446,0.629257924197467,0.25233338369429886,0.11840869210823418
"Salt Lake City UT HSA, Salt Lake City UT HRR, USA",0.08015831145973636,0.27131289268039455,0.32421004654455937,0.404477060775046,0.6199191366868276,0.26139700291530565,0.11868386039786663
"Memphis TN HSA, Memphis TN HRR, USA",0.168369346769047,0.44017559479458696,0.2931038290410375,0.26672057616437567,0.6943876919554339,0.21463319696802885,0.09097911107653732
"Cincinnati OH HSA, Cincinnati OH HRR, USA",0.11974555939825576,0.3619390950058571,0.29130615168620777,0.3467547533079352,0.6211949762843566,0.2505758549805054,0.12822916873513807
"Seattle WA HSA, Seattle WA HRR, USA",0.09449285837312532,0.24403204574994147,0.2456217253940061,0.5103462288560524,0.4822579758593921,0.26467547096153055,0.25306655317907734
"Richmond VA HSA, Richmond VA HRR, USA",0.09768248077224803,0.32259471644500703,0.3007722546032847,0.37663302895170825,0.6061678461585869,0.2608594040080666,0.13297274983334645
"Sacramento CA HSA, Sacramento CA HRR, USA",0.13934507266376608,0.3267702236236238,0.2993690811539195,0.3738606952224567,0.6208148923198328,0.2507728062734007,0.1284123014067665
"Indianapolis IN HSA, Indianapolis IN HRR, USA",0.12475636299664604,0.381893913991319,0.3038766600577563,0.3142294259509246,0.6370482043473322,0.2429407443536713,0.12001105129899647
"Tucson AZ HSA, Tucson AZ HRR, USA",0.15210268313113606,0.4326560820959751,0.30609119620016384,0.26125272170386105,0.7044063458488331,0.2057390509497279,0.08985460320143916
"Jacksonville FL HSA, Jacksonville FL HRR, USA",0.13537238003650834,0.40101409806749055,0.3178343485966726,0.28115155333583686,0.6745424129028122,0.22904781798010748,0.09640976911708023
"Tampa FL HSA, Tampa FL HRR, USA",0.13928863677728653,0.38385577440055074,0.2964697508625544,0.319674474736895,0.6546425669797411,0.2244335435964716,0.12092388942378728
"Pittsburgh PA HSA, Pittsburgh PA HRR, USA",0.1022304703601038,0.3618485272405533,0.2860399819179938,0.352111490841453,0.6025644311968599,0.25994086838355507,0.13749470041958523
"Flushing NY HSA, East Long Island NY HRR, USA",0.12096931291371522,0.3537994677672165,0.29949881598928135,0.3467017162435022,0.6530059469793805,0.23374464886135976,0.11324940415925983
"San Diego CA HSA, San Diego CA HRR, USA",0.12077159561159424,0.28595644604254405,0.29164047838874085,0.42240307556871515,0.5836593667086228,0.25759684012415685,0.15874379316722034
"Oklahoma City OK HSA, Oklahoma City OK HRR, USA",0.13755067207170146,0.40136256543065657,0.3244798594705001,0.2741575750988434,0.6679389564329148,0.24047096363654952,0.09159007993053561
"Washington DC HSA, Washington DC HRR, USA",0.1318271321801522,0.28462715629555535,0.25356140923372394,0.4618114344707206,0.4695040659964935,0.27755588376370754,0.252940050239799
"Fresno CA HSA, Fresno CA HRR, USA",0.1996683267727955,0.4162804869381867,0.2902825529224824,0.29343696013933085,0.7050794909872422,0.2046292537274694,0.09029125528528821
"Louisville KY HSA, Louisville KY HRR, USA",0.1267372043119722,0.38861052608695795,0.311360454253601,0.30002901965944095,0.6610108578864541,0.239130294007103,0.09985884810644292
"Albuquerque NM HSA, Albuquerque NM HRR, USA",0.15214072274222265,0.4313436846620854,0.303770620735461,0.26488569460245354,0.6862393517465502,0.2211164501891865,0.09264419806426334
"El Paso TX HSA, El Paso TX HRR, USA",0.19844026681315488,0.4984864815959361,0.2981135319186848,0.2033999864853791,0.7622910240515497,0.18022827040432723,0.05748070554412315
"Boston MA HSA, Boston MA HRR, USA",0.16000832036729196,0.33398174304849865,0.22603748565651957,0.43998077129498175,0.5641151432639313,0.2545958711100629,0.1812889856260057
"Nashville TN HSA, Nashville TN HRR, USA",0.12256603202546949,0.3323092547314589,0.31390437618182077,0.3537863690867203,0.6234994738530718,0.2457143229903584,0.13078620315656983
"Tulsa OK HSA, Tulsa OK HRR, USA",0.13738049587525952,0.4102022990342058,0.31178164509040796,0.2780160558753863,0.6771464800283201,0.22620366954509327,0.09664985042658668
"Honolulu HI HSA, Honolulu HI HRR, USA",0.0873732522263964,0.2574784579441404,0.2836622292603906,0.458859312795469,0.5895630949346145,0.27833307611394864,0.13210382895143705
"Grand Rapids MI HSA, Grand Rapids MI HRR, USA",0.1034848106615811,0.3441178010156734,0.3400406508656056,0.315841548118721,0.6707992065455587,0.24391697282586658,0.08528382062857479
"San Francisco CA HSA, San Francisco CA HRR, USA",0.10310055020672769,0.24598151605149993,0.1735168160163508,0.5805016679321493,0.44544300203225073,0.23117985478086314,0.3233771431868862
"Birmingham AL HSA, Birmingham AL HRR, USA",0.1371790224789255,0.4027087230782196,0.29720601963914184,0.3000852572826385,0.6621411379950636,0.23152377735904528,0.1063350846458911
"Milwaukee WI HSA, Milwaukee WI HRR, USA",0.18257270621844882,0.4564162804801206,0.2931922154957733,0.25039150402410604,0.6740694177188946,0.23924589204251343,0.08668469023859177
"Riverside CA HSA, San Bernardino CA HRR, USA",0.12447733046053377,0.3016675135374661,0.32636706017888634,0.3719654262836476,0.7036618353741684,0.21182280867776224,0.08451535594806946
"Cleveland OH HSA, Cleveland OH HRR, USA",0.18793357093092333,0.4702600183996901,0.2641432310266159,0.2655967505736939,0.6757753530857951,0.2180866952353366,0.10613795167886837
"Omaha NE HSA, Omaha NE HRR, USA",0.09359806812985552,0.3262163168507922,0.315142449707193,0.3586412334420147,0.6037766529002475,0.27676090088733846,0.1194624462124139
"Rochester NY HSA, Rochester NY HRR, USA",0.13228882835123526,0.37976315706012104,0.3029149964069229,0.31732184653295614,0.6416437481211034,0.2553818122835598,0.10297443959533689
"Jamaica NY HSA, East Long Island NY HRR, USA",0.10362842588597744,0.3111636715516021,0.29809132859145826,0.3907449998569396,0.6489871776181885,0.25514071598182403,0.09587210639998749
"Buffalo NY HSA, Buffalo NY HRR, USA",0.14188207941989914,0.40759868921189407,0.2950743198721015,0.29732699091600456,0.6488981950653696,0.2539150682492186,0.09718673668541165
"Detroit MI HSA, Detroit MI HRR, USA",0.29728387858094724,0.6196269158111541,0.25091767082134153,0.1294554133675043,0.8045543741469962,0.15969077876855134,0.03575484708445255
"Colorado Springs CO HSA, Colorado Springs CO HRR, USA",0.09439305739958143,0.3143152797934856,0.32088519303649354,0.36479952717002084,0.625355637329494,0.24931454289614977,0.12532981977435625
"Bakersfield CA HSA, Bakersfield CA HRR, USA",0.193391738332452,0.42456792961945106,0.2991563177319605,0.27627575264858845,0.7138713430331973,0.19800912403012347,0.08811953293667912
"St Paul MN HSA, St Paul MN HRR, USA",0.10765557744740525,0.30225527977906813,0.2970734699414661,0.40067125027946576,0.5840299930248835,0.27114186926427236,0.14482813771084438
"Des Moines IA HSA, Des Moines IA HRR, USA",0.08896915835798594,0.31530436968616893,0.3218267091272509,0.36286892118658,0.5956798281425121,0.2892320956494215,0.11508807620806641
"Charleston SC HSA, Charleston SC HRR, USA",0.13219492004269678,0.3733732992960933,0.31597899047177047,0.3106477102321363,0.6505996909968693,0.24561237349587917,0.10378793550725154
"Baton Rouge LA HSA, Baton Rouge LA HRR, USA",0.16144386346457046,0.4120333511677012,0.2743107860300139,0.3136558628022849,0.6605995589692996,0.23045395698373905,0.10894648404696138
"Kansas City MO HSA, Kansas City MO HRR, USA",0.12070176076909714,0.374703185419216,0.28599567396426717,0.3393011406165168,0.6138221278089668,0.25315489018230686,0.13302298200872634
"Lawrenceville GA HSA, Atlanta GA HRR, USA",0.09124704884184622,0.27869734972534543,0.30464160254288436,0.4166610477317702,0.60629846400386,0.2536176845917874,0.14008385140435264
"Knoxville TN HSA, Knoxville TN HRR, USA",0.12465306875238373,0.4081789691986136,0.309398308508093,0.28242272229329346,0.6922835312093855,0.21163286431610107,0.0960836044745134
"Springfield MO HSA, Springfield MO HRR, USA",0.14985868808415678,0.48285853385519356,0.31936742895566506,0.19777403718914136,0.755317485128781,0.18500562835410486,0.05967688651711408
"Ann Arbor MI HSA, Ann Arbor MI HRR, USA",0.10346115704548532,0.2952338106440832,0.28093303144424325,0.42383315791167353,0.5779614422397598,0.2574269773241581,0.16461158043608212
"Falls Church VA HSA, Arlington VA HRR, USA",0.05396049853102424,0.14859678711165533,0.19573683592402652,0.6556663769643182,0.4368667564334902,0.23803926506942502,0.32509397849708477
"Fort Lauderdale FL HSA, Fort Lauderdale FL HRR, USA",0.15764910031573767,0.4440937502523616,0.30090393601903004,0.2550023137286084,0.7099156708960301,0.19572588502798324,0.09435844407598659
"Spokane WA HSA, Spokane WA HRR, USA",0.1241594146312669,0.39315043125044696,0.3193196684032319,0.28752990034632125,0.6750829954076579,0.23535375104066603,0.08956325355167609
"Tacoma WA HSA, Tacoma WA HRR, USA",0.10510151106250396,0.3119926605818531,0.32716875261979145,0.3608385867983555,0.611094448710292,0.27021907584267585,0.11868647544703208
"Marietta GA HSA, Atlanta GA HRR, USA",0.08634195801909346,0.27532740468203587,0.29533320168207955,0.4293393936358845,0.5847813821233335,0.2553703885178089,0.15984822935885756
"Arlington TX HSA, Fort Worth TX HRR, USA",0.11464081044689334,0.3292206516988747,0.3206411126749052,0.3501382356262201,0.6321605390433411,0.26669632266806587,0.10114313828859296
"Mcallen TX HSA, Mcallen TX HRR, USA",0.2823282508006421,0.5571640605536535,0.26811485484491043,0.17472108460143618,0.7977318997894306,0.15640979033013183,0.045858309880437445
"Wichita KS HSA, Wichita KS HRR, USA",0.12643475031868634,0.40101608942040423,0.32709431664301325,0.2718895939365825,0.6805076419035081,0.23808253292313233,0.08140982517335953
"Joliet IL HSA, Joliet IL HRR, USA",0.07138959632704023,0.24630369942289482,0.2973501070805189,0.45634619349658617,0.5784545530965975,0.2827027884814779,0.13884265842192448
"Wilmington DE HSA, Wilmington DE HRR, USA",0.10602076928739672,0.31622604432911905,0.30301617282707205,0.38075778284380885,0.594531143073374,0.26949935457359786,0.1359695023530282
"Jackson MS HSA, Jackson MS HRR, USA",0.15756134513067963,0.43831800330373666,0.3086180190464669,0.2530639776497965,0.7008407635234734,0.2186601984129832,0.08049903806354357
"Madison WI HSA, Madison WI HRR, USA",0.10899308721703384,0.3037420783730897,0.3151559450444443,0.381101976582466,0.5660146811560769,0.29965192582885314,0.13433339301506997
"Camden NJ HSA, Camden NJ HRR, USA",0.10839615175127905,0.31505841777024834,0.27393504498030363,0.4110065372494481,0.5810880463156396,0.2711535250344281,0.14775842864993247
"Long Beach CA HSA, Los Angeles CA HRR, USA",0.1450922587586656,0.3398883568248118,0.30680526381754103,0.3533063793576472,0.6421221084830853,0.2298132551724735,0.1280646363444412
"Mckinney TX HSA, Dallas TX HRR, USA",0.056377708384999094,0.19858011769460407,0.23723558715951493,0.5641842951458811,0.47536506219158003,0.26304305359948016,0.2615918842089398
"Anaheim CA HSA, Orange Co. CA HRR, USA",0.12394582229017197,0.30233907101658924,0.2870795561170571,0.4105813728663536,0.6607052853836866,0.22806204238068672,0.11123267223562656
"Mobile AL HSA, Mobile AL HRR, USA",0.1616213609318006,0.47075630470899676,0.2915273923654834,0.23771630292551985,0.7182453670998321,0.2060212479700823,0.07573338493008554
"Hartford CT HSA, Hartford CT HRR, USA",0.1144496783958472,0.3305180155650127,0.2572119026408354,0.4122700817941519,0.5757731074520536,0.2535105366581271,0.17071635588981932
"Syracuse NY HSA, Syracuse NY HRR, USA",0.13644133366902078,0.3804738190416949,0.3065459382924975,0.3129802426658075,0.6452251751083429,0.26127009569736453,0.0935047291942926
"Reno NV HSA, Reno NV HRR, USA",0.11100779830181234,0.3320912202611987,0.32125955925635624,0.3466492204824451,0.6421752804703603,0.24467656589467854,0.11314815363496124
"Boise ID HSA, Boise ID HRR, USA",0.0933410621124149,0.3144356947596024,0.3396240578677219,0.34594024737267576,0.6398269728066,0.23905478867174737,0.12111823852165263
"Providence RI HSA, Providence RI HRR, USA",0.12477535633163633,0.3637516869474436,0.29241025041418517,0.3438380626383712,0.642965911399209,0.25404192651169305,0.10299216208909799
"Vancouver WA HSA, Portland OR HRR, USA",0.09178915994035303,0.2772599309079789,0.32117317938297363,0.4015668897090476,0.5949327758025711,0.27187065554317214,0.13319656865425683
"Worcester MA HSA, Worcester MA HRR, USA",0.10288131492347462,0.31375939724431245,0.25709512783994853,0.42914547491573907,0.5889439057459892,0.257562071219772,0.15349402303423879
"Greenville SC HSA, Greenville SC HRR, USA",0.12167934528285654,0.39501240740870286,0.30870350818265685,0.29628408440864035,0.6785020365916282,0.2173357278573769,0.10416223555099488
"Aurora CO HSA, Denver CO HRR, USA",0.08941192281019592,0.28335422381365394,0.330410665324902,0.38623511086144413,0.6197756642216752,0.27089621007113485,0.10932812570718993
"Staten Island NY HSA, New York NY HRR, USA",0.1030454873002625,0.2895036239661142,0.25578532904358925,0.4547110469902967,0.5605377213204233,0.2759763789559521,0.16348589972362454
