longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %
"Houston TX HSA, Houston TX HRR, USA",0.09230804563339193,0.2522424973994458,0.0976849952866015,0.6500725073139527
"Chicago IL HSA, Chicago IL HRR, USA",0.12059109732558487,0.12814703563618213,0.19385809518858968,0.6779948691752281
"Brooklyn NY HSA, New York NY HRR, USA",0.13001900153072593,0.08889698076688986,0.30775626205354417,0.603346757179566
"Dallas TX HSA, Dallas TX HRR, USA",0.09668843852277553,0.24031634353078551,0.08975673457901527,0.6699269218901992
"Phoenix AZ HSA, Phoenix AZ HRR, USA",0.09435925720072356,0.16609554048063246,0.1933104548016177,0.64059400471775
"San Antonio TX HSA, San Antonio TX HRR, USA",0.10009490135169917,0.2066243413926979,0.12063590176458795,0.6727397568427141
"Las Vegas NV HSA, Las Vegas NV HRR, USA",0.09830073022668093,0.15799305629829657,0.1793577788627343,0.6626491648389691
"New York NY HSA, New York NY HRR, USA",0.09242548445234623,0.06105791212526317,0.20634822845145448,0.7325938594232824
"Miami FL HSA, Miami FL HRR, USA",0.13657676679963815,0.2077706105162129,0.12201721379541633,0.6702121756883708
"Los Angeles CA HSA, Los Angeles CA HRR, USA",0.11353440713493344,0.1674285777527742,0.2840079736092455,0.5485634486379803
"Denver CO HSA, Denver CO HRR, USA",0.05233278581672947,0.09375162718582786,0.12979431113327322,0.7764540616808989
"Philadelphia PA HSA, Philadelphia PA HRR, USA",0.12317043229483955,0.08666852418394581,0.26402246221396103,0.6493090136020931
"Austin TX HSA, Austin TX HRR, USA",0.0596256678858481,0.15660764623990178,0.07130660764600871,0.7720857461140895
"Atlanta GA HSA, Atlanta GA HRR, USA",0.08257605615666286,0.15953420041897629,0.09420699103783851,0.7462588085431852
"St Louis MO HSA, St Louis MO HRR, USA",0.09510475109638876,0.09599415896045797,0.11192325773103304,0.7920825833085089
"Columbus OH HSA, Columbus OH HRR, USA",0.06703895040979373,0.09158405818889635,0.16022677490454207,0.7481891669065615
"Portland OR HSA, Portland OR HRR, USA",0.054148687601975956,0.07627674449656449,0.16674278062985717,0.7569804748735783
"Orlando FL HSA, Orlando FL HRR, USA",0.07078075601204188,0.16489988398155608,0.11865159394567174,0.7164485220727722
"Minneapolis MN HSA, Minneapolis MN HRR, USA",0.06173455616035983,0.05981705270008438,0.14751446783509953,0.7926684794648161
"Fort Worth TX HSA, Fort Worth TX HRR, USA",0.0740940589257451,0.2248626865667631,0.09038577936678485,0.6847515340664521
"Raleigh NC HSA, Raleigh NC HRR, USA",0.05192765785782971,0.11456406149882101,0.08305699957983821,0.8023789389213407
"Charlotte NC HSA, Charlotte NC HRR, USA",0.06628860954468324,0.13613438018194957,0.09070998134701663,0.7731556384710339
"San Jose CA HSA, San Jose CA HRR, USA",0.045236832368386194,0.058240021139173245,0.1472809722489321,0.7944790066118946
"Bronx NY HSA, Bronx NY HRR, USA",0.1507977988171387,0.10692633132320621,0.4305605948326652,0.46251307384412865
"Baltimore MD HSA, Baltimore MD HRR, USA",0.11570856047011874,0.06728257284072972,0.23129001687307435,0.7014274102861959
"Mesa AZ HSA, Mesa AZ HRR, USA",0.056436161550673755,0.11730361487929752,0.13831931239699868,0.7443770727237038
"Salt Lake City UT HSA, Salt Lake City UT HRR, USA",0.046463099982402375,0.11504177218730292,0.07722655950206454,0.8077316683106325
"Memphis TN HSA, Memphis TN HRR, USA",0.14304583494658996,0.15000016526845272,0.1652526454984466,0.6847471892331007
"Cincinnati OH HSA, Cincinnati OH HRR, USA",0.08151801415047934,0.0691976657789163,0.1698331323906347,0.7609692018304489
"Seattle WA HSA, Seattle WA HRR, USA",0.04804930527249287,0.06693460088567581,0.12772276987902997,0.8053426292352942
"Richmond VA HSA, Richmond VA HRR, USA",0.10297391459673517,0.10033549678859531,0.12600011467087677,0.773664388540528
"Sacramento CA HSA, Sacramento CA HRR, USA",0.06108542737951955,0.07047023888569841,0.25404200862905946,0.6754877524852421
"Indianapolis IN HSA, Indianapolis IN HRR, USA",0.10161167087191433,0.10513153907922462,0.15831359114156718,0.7365548697792081
"Tucson AZ HSA, Tucson AZ HRR, USA",0.08861259555326145,0.12516302161845605,0.22985673905374399,0.6449802393278
"Jacksonville FL HSA, Jacksonville FL HRR, USA",0.09230368511235461,0.15339379596070954,0.14713790210737188,0.6994683019319187
"Tampa FL HSA, Tampa FL HRR, USA",0.06410219738213982,0.15363738221643397,0.12724343832030188,0.7191191794632641
"Pittsburgh PA HSA, Pittsburgh PA HRR, USA",0.09714179587441618,0.05145980984060475,0.14312789759276567,0.8054122925666295
"Flushing NY HSA, East Long Island NY HRR, USA",0.10682281419473251,0.14256231975720016,0.2653986766673256,0.5920390035754742
"San Diego CA HSA, San Diego CA HRR, USA",0.051200515440206505,0.10213650753362337,0.17639697267953375,0.721466519786843
"Oklahoma City OK HSA, Oklahoma City OK HRR, USA",0.09867150607370619,0.18144135817394164,0.1104601493167967,0.7080984925092616
"Washington DC HSA, Washington DC HRR, USA",0.09579360796664722,0.05561102395590207,0.20113800558478825,0.7432509704593098
"Fresno CA HSA, Fresno CA HRR, USA",0.1258323633458753,0.09970056487436742,0.33264812550312245,0.5676513096225101
"Louisville KY HSA, Louisville KY HRR, USA",0.09565290582924692,0.06534996215446912,0.21518595014803404,0.7194640876974967
"Albuquerque NM HSA, Albuquerque NM HRR, USA",0.12124598183106568,0.10539798752500054,0.27815783848138714,0.6164441739936124
"El Paso TX HSA, El Paso TX HRR, USA",0.13127588552506914,0.3009353952960468,0.13418853427844632,0.5648760704255068
