longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"Houston TX HSA, Houston TX HRR, USA",0.7303333673297389,0.11020623838788408,0.15946039428237704,0.2696666326702611,0.20804441649650338,0.5222889508332355,0.5538707474102066,0.332523179351626,0.11360607323816742
"Chicago IL HSA, Chicago IL HRR, USA",0.7942923425967366,0.09855216349450956,0.1071554939087538,0.20570765740326338,0.20797927573233754,0.5863130668643992,0.6474953063054534,0.22775064380820378,0.12475404988634274
"Brooklyn NY HSA, New York NY HRR, USA",0.6398473395655397,0.22355839088838722,0.13659426954607287,0.36015266043446015,0.14670517452882628,0.49314216503671354,0.5591463737756405,0.14501251702001292,0.29584110920434664
"Dallas TX HSA, Dallas TX HRR, USA",0.7777622130155861,0.07411747576080985,0.148120311223604,0.22223778698441388,0.23472972501609288,0.5430324879994934,0.6172078491948287,0.29564519198182343,0.08714695882334789
"Phoenix AZ HSA, Phoenix AZ HRR, USA",0.827071224423295,0.0708293686928743,0.10209940688383069,0.17292877557670497,0.4040022856038267,0.4230689388194681,0.6582819342560761,0.27957808532691447,0.0621399804170096
"San Antonio TX HSA, San Antonio TX HRR, USA",0.878046596073917,0.0537355586772542,0.06821784524882887,0.12195340392608305,0.24817130068931614,0.6298752953846007,0.6391772749027764,0.3249353965914306,0.03588732850579306
"Las Vegas NV HSA, Las Vegas NV HRR, USA",0.7747457457180409,0.11730521858345219,0.10794903569850686,0.22525425428195908,0.5217031183684929,0.2530426273495481,0.6562826643471659,0.2326433068977265,0.11107402875510768
"New York NY HSA, New York NY HRR, USA",0.7086219728386643,0.15279082950827913,0.13858719765305655,0.2913780271613357,0.26867331038827086,0.4399486624503935,0.5868034522907902,0.21988890802973965,0.1933076396794701
"Miami FL HSA, Miami FL HRR, USA",0.47363199658943866,0.3205612230910562,0.20580678031950508,0.5263680034105613,0.13318839039405655,0.34044360619538216,0.2664491886489129,0.6392120188808723,0.09433879247021487
"Los Angeles CA HSA, Los Angeles CA HRR, USA",0.6218106920880215,0.1575305290504451,0.2206587788615333,0.3781893079119784,0.16297272286953463,0.45883796921848696,0.37802798689415296,0.4788114101735819,0.1431606029322652
"Denver CO HSA, Denver CO HRR, USA",0.8910968667340096,0.05129353398001505,0.05760959928597547,0.1089031332659905,0.4804350457919631,0.4106618209420463,0.823781304738484,0.11696286479649491,0.05925583046502109
"Philadelphia PA HSA, Philadelphia PA HRR, USA",0.8601018351536601,0.07520921117986108,0.06468895366647875,0.13989816484633982,0.2155004420066461,0.644601393147014,0.7724534844080851,0.10084562293611866,0.12670089265579615
"Austin TX HSA, Austin TX HRR, USA",0.8407935345051148,0.06127071838316715,0.09793574711171797,0.15920646549488512,0.30803639236956176,0.5327571421355531,0.7138411863714188,0.2123457777800016,0.07381303584857964
"Atlanta GA HSA, Atlanta GA HRR, USA",0.8443484112507139,0.07046075043597258,0.08519083831331341,0.155651588749286,0.4017225776170786,0.4426258336336354,0.8036240520968219,0.09560747354871196,0.10076847435446613
"St Louis MO HSA, St Louis MO HRR, USA",0.9374731572385517,0.034108261923285706,0.028418580838162493,0.0625268427614482,0.2457972456835145,0.6916759115550373,0.9192500575540952,0.021018881242600346,0.05973106120330448
"Columbus OH HSA, Columbus OH HRR, USA",0.8940338654305443,0.05304713052598481,0.05291900404347083,0.10596613456945565,0.22846549813470635,0.665568367295838,0.8692166602896582,0.0351054541343588,0.095677885575983
"Portland OR HSA, Portland OR HRR, USA",0.8601617670615056,0.07487550010078338,0.06496273283771105,0.13983823293849443,0.4319764363516047,0.4281853307099009,0.805715588475115,0.07613706734389468,0.11814734418099024
"Orlando FL HSA, Orlando FL HRR, USA",0.7889992924636061,0.11094623436011301,0.10005447317628094,0.21100070753639394,0.4410164566969596,0.34798283576664635,0.6405906425616766,0.2542250587631831,0.10518429867514029
"Minneapolis MN HSA, Minneapolis MN HRR, USA",0.8735536607868949,0.07222277287323042,0.054223566339874615,0.12644633921310505,0.26084847603498656,0.6127051847519085,0.8308016690369262,0.04967240069347592,0.11952593026959787
"Fort Worth TX HSA, Fort Worth TX HRR, USA",0.8616238688680584,0.05217137733218153,0.0862047537997601,0.1383761311319416,0.27072352773186,0.5909003411361984,0.724725800838498,0.2231131986815255,0.052161000479976634
"Raleigh NC HSA, Raleigh NC HRR, USA",0.877474179978072,0.055852827940175626,0.06667299208175238,0.12252582002192801,0.433182872644199,0.44429130733387306,0.8354270769099211,0.08091678507692616,0.08365613801315276
"Charlotte NC HSA, Charlotte NC HRR, USA",0.8546161001851564,0.05827855669926841,0.08710534311557533,0.1453838998148437,0.44172704498056814,0.41288905520458813,0.8134993467910497,0.10264705655728266,0.08385359665166743
"San Jose CA HSA, San Jose CA HRR, USA",0.5966829968838012,0.22571760111524797,0.1775994020009508,0.4033170031161988,0.13650063833170764,0.46018235855209355,0.4439119246734037,0.188808265656466,0.36727980967013035
"Bronx NY HSA, Bronx NY HRR, USA",0.6521739077385482,0.1794914012181054,0.16833469104334636,0.3478260922614517,0.12756421509911742,0.5246096926394308,0.40747897450013143,0.48040031179484266,0.11212071370502584
"Baltimore MD HSA, Baltimore MD HRR, USA",0.8997191123441054,0.05352739215808236,0.0467534954978124,0.10028088765589475,0.25058209059598036,0.6491370217481249,0.873424647468589,0.04190441207583235,0.08467094045557862
"Mesa AZ HSA, Mesa AZ HRR, USA",0.8925062994282652,0.04877041249190364,0.05872328807983111,0.10749370057173474,0.510448941383562,0.38205735804470325,0.8163087288325269,0.1272879012671333,0.05640336990033983
