longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Houston TX HSA, Houston TX HRR, USA",3794.2460675059106,3820.0140263310063,-0.006745514191173016,4075.4020407006924,-0.06898852441719887,2561.294025961396,2488.5789102709064,0.029219533843342728,2555.17244401423,0.0023957607876941233,1804.1077578352988,1692.609227814063,0.06587375762167606,1650.6294865198397,0.09298166097774624,1623.0563181177515,1504.928486826911,0.07849398315258747,1432.3666233357244,0.13312911071464728
"Chicago IL HSA, Chicago IL HRR, USA",9567.05957611422,9087.9278232881,0.0527217823625677,10195.352206960046,-0.06162539734693136,8246.123510338597,7788.4027121041945,0.0587695340307769,8372.963419796672,-0.015148747593734826,5935.3152323731765,5686.014956238707,0.04384446366271634,6145.932898047285,-0.03426943788159916,5139.418190167023,4980.000389667917,0.03201160402112657,5364.187402281341,-0.04190181946639781
"Brooklyn NY HSA, New York NY HRR, USA",22216.237956386045,20696.454803740147,0.07343205235184777,20620.94537902243,0.07736272746187953,20811.08805253072,19263.35641667343,0.08034589623839634,19113.600098854145,0.08881047761265744,17155.71156155896,15734.713280830887,0.09030976639779208,15490.984836353984,0.10746422792295453,14976.497075044255,13777.914184024301,0.08699305823879562,13637.501476026655,0.0981848178987492
"Dallas TX HSA, Dallas TX HRR, USA",3621.524769014496,3543.833759284665,0.021922870824932026,4373.043678490166,-0.17185259620712012,2579.593917695278,2519.1631416898913,0.023988432906671058,2791.444413497174,-0.07589278682303613,1774.6025393699713,1655.8963409151843,0.07168697431216027,1755.536517334477,0.010860510076112407,1541.2062737840286,1422.3201698407227,0.08358603531342683,1470.6653681230293,0.04796530005396719
"Phoenix AZ HSA, Phoenix AZ HRR, USA",3162.4929055989332,2978.311108337702,0.061841020149177556,3371.0771710805484,-0.06187466346691689,2456.298184540705,2271.887448924587,0.08117071807558517,2525.272240066319,-0.02731351274973923,1803.505759380342,1674.682525493508,0.07692397330584878,1871.1882191171546,-0.036170845372650945,1574.864348303021,1465.5818470945549,0.07456594896089452,1659.669735542077,-0.05109774880082217
"San Antonio TX HSA, San Antonio TX HRR, USA",3289.773251177857,3103.9247651620685,0.05987531917710151,3180.5176412405367,0.03435151829395488,1888.9771993123395,1869.1838956526785,0.010589275729207792,1901.7970392181353,-0.00674090854146364,1310.5613078663341,1289.5165805462977,0.016319857873499287,1283.1169517565627,0.021388818900880884,1169.4682970512138,1140.7141630848507,0.02520713330025008,1120.070737334934,0.04410217861223216
"Las Vegas NV HSA, Las Vegas NV HRR, USA",4043.9847841922037,3898.743252970305,0.03725342291038134,4342.88742446218,-0.06882578594746612,3075.7574989121504,2896.093209310204,0.06203677734693452,2963.632485394577,0.037833643027652596,2264.45538212614,2107.420860114355,0.07451502686713654,2157.1348955186863,0.0497514025805273,1944.5767125234338,1816.2064256259291,0.0706804496924207,1846.0169468366896,0.053390498855189227
"New York NY HSA, New York NY HRR, USA",39484.09946869781,38348.89794628375,0.029601933385521553,38849.12311138559,0.01634467669943686,33263.65518081248,32075.573516553017,0.03704007548442857,32336.79682847989,0.028662651939485785,20672.27836144536,19452.068816356783,0.06272903702985722,19114.26392071241,0.0815105644243339,17680.986652322845,16111.298003678246,0.09742782042056666,15604.771799386644,0.1330499977588783
"Miami FL HSA, Miami FL HRR, USA",5509.189030290243,4795.21144682551,0.14889386868172302,5228.865158456984,0.05361084352689275,4180.543737088786,3706.2033934179426,0.12798551329191785,3607.634237332658,0.15880476291845885,2961.2022026534573,2755.435725272595,0.07467656584894788,2654.204884578947,0.11566451401629887,2487.169918067738,2355.244062443125,0.05601366657847099,2269.288832840115,0.09601293677320709
"Los Angeles CA HSA, Los Angeles CA HRR, USA",9836.112287389864,9899.678168966982,-0.006421004854115525,10216.34212394443,-0.0372178057411965,8278.469320571934,8268.636578277048,0.001189161260360392,8456.902989076469,-0.0210991740989594,6615.647464157591,6572.23579402524,0.006605312330975123,6664.556419453774,-0.007338666254428943,5853.758563462582,5787.44726997178,0.01145777929327476,5816.858407089807,0.006343657312992163
"Denver CO HSA, Denver CO HRR, USA",3219.537274809241,2943.018177997104,0.09395765846078612,3088.248616616734,0.042512334494732906,2456.8388457868427,2222.3930105590402,0.10549251825122863,2312.626251040733,0.06235879865205657,1835.6916528178515,1636.1566593944283,0.12195347693494997,1666.3312301534502,0.10163670919664942,1601.4487494136451,1420.9642980761002,0.12701547222678988,1442.4249463263013,0.11024754077663455
"Philadelphia PA HSA, Philadelphia PA HRR, USA",8413.273180028895,8022.381552164818,0.048725135462872146,8041.495592514286,0.04623239336979696,7315.185549817309,6830.685501541563,0.07092993055622353,6838.382157085001,0.06972459008280327,5595.857163018983,5201.31276551938,0.07585477268644984,5160.847056462449,0.08429044724582788,4644.56131434568,4333.448419472555,0.07179337671936402,4292.968351038675,0.08189973336792437
"Austin TX HSA, Austin TX HRR, USA",3112.4088812702867,2874.7901860872516,0.08265601306592993,2966.1418069573165,0.04931223246639435,1917.6098945874764,1760.9656776031145,0.08895358891808358,1775.3935909926456,0.08010409878483106,1247.1308913522766,1139.5537467362042,0.09440287035533354,1164.85495804135,0.07063191236209336,1075.9374522373248,958.1950090266793,0.1228794160911427,959.8786814389892,0.12090983271380464
"Atlanta GA HSA, Atlanta GA HRR, USA",3372.553274596657,3420.9146334076054,-0.01413696744685357,3875.505542197602,-0.1297772025158159,1910.211818940612,1707.4278691954585,0.11876574899805602,1762.0502982224357,0.08408472838013889,1377.1839355115787,1171.2716142857596,0.17580236617565798,1160.9573263215684,0.1862485418608045,1261.057491890258,1081.0305732456216,0.16653268011110398,1066.2627593146115,0.1826892394711972
"St Louis MO HSA, St Louis MO HRR, USA",2321.181133062117,2398.7033640473865,-0.03231839007156945,2892.4484550811335,-0.1975030258587589,1643.6332454719413,1681.597008518198,-0.022576017234777215,1869.7108899186915,-0.12091583017767074,1248.8164670199958,1278.0876425134236,-0.02290232259492358,1379.6732106801571,-0.09484618723273681,1086.4529016242727,1111.488197874962,-0.02252412243202752,1198.4546921981712,-0.09345517298486103
"Columbus OH HSA, Columbus OH HRR, USA",2856.554864463475,2546.308510059202,0.12184162020377481,2778.893395074731,0.0279469048817742,2022.9285189906675,1837.1385825999241,0.10113006070985286,1935.398648147421,0.045225757973444275,1392.1350820970902,1242.2152904432871,0.12068744669879554,1279.2979545792925,0.08820238249728542,1194.5201795096625,1059.115412936417,0.12784703623359925,1078.113927565924,0.10797212517841298
"Portland OR HSA, Portland OR HRR, USA",3273.095305613468,2939.185331157191,0.11360630135045384,2797.8788663573882,0.16984882546926458,2643.534418628824,2355.2515498271296,0.12240003358573469,2141.8926393644165,0.23420491300313923,2050.6626066251947,1839.1257399355502,0.11502033933637269,1674.9343527891092,0.22432416721910378,1788.2101634889627,1603.651920406633,0.11508622334672965,1461.4045042551681,0.2236243683950852
"Orlando FL HSA, Orlando FL HRR, USA",3667.4303956098265,3542.637203392965,0.03522607172344392,3834.4239688836856,-0.04355114995864055,2003.0441204325004,1890.31153390775,0.0596370410393169,1857.1866264291707,0.07853679965581663,1345.8359698787451,1179.5873635167973,0.14093793431823287,1141.7927026933103,0.17870430131855697,1180.6815285722867,1050.2056309137797,0.12423842894936717,1013.7844830038337,0.16462773732138675
"Minneapolis MN HSA, Minneapolis MN HRR, USA",2957.1969570926167,2667.101596872574,0.10876802014599159,2800.5063865310526,0.05595079922515529,2176.264222968933,1944.0193991617186,0.11946630980501578,2047.094600451521,0.06309900015803939,1649.694587636095,1474.261761223553,0.11899706756752801,1529.4851988247435,0.07859467283744914,1462.4504314221688,1310.35240583128,0.1160741377006887,1338.2997706140932,0.09276745280402143
"Fort Worth TX HSA, Fort Worth TX HRR, USA",2555.9550925838935,2326.909733299468,0.09843328084740446,2370.606234955985,0.07818626935795164,1817.19111446381,1670.666601428944,0.08770422112319812,1638.6934415683884,0.10892682448559875,1266.3913374023377,1155.5868777204153,0.09588587566908206,1084.904518189072,0.16728367904320696,1116.1069497542394,999.9092772933284,0.11620821518473004,915.5392653365523,0.2190705434615723
"Raleigh NC HSA, Raleigh NC HRR, USA",2409.09428250646,2188.899843861003,0.10059594058769532,2115.506361868887,0.1387790298953347,1264.7178633254412,1132.9324334810326,0.1163224089538036,1044.278638668358,0.21109234307251795,798.2703035997384,699.7949369751257,0.14072031879835264,618.0773050798441,0.29153796303298457,697.4740590068434,600.3790569753656,0.16172283310585514,530.7004120758979,0.31425196426471663
"Charlotte NC HSA, Charlotte NC HRR, USA",2634.511955160425,2438.727138017716,0.08028155921611217,2642.300141017386,-0.0029475023431526273,1433.8719067405502,1245.048906989176,0.15165910245886896,1185.9317315342382,0.20906783132073897,985.701106706398,838.0399782238524,0.1761981913983384,763.08318124465,0.2917348081222815,883.9454468002483,754.8529208859148,0.17101679326196043,689.8086864608033,0.28143565621868455
"San Jose CA HSA, San Jose CA HRR, USA",4853.384834721727,4663.941047367818,0.0406188211707404,4706.010092531307,0.03131628264552846,3967.189347378744,3804.1999427421943,0.04284459468212431,3774.8370721521405,0.050956444357726435,3145.236346446449,2965.8890930209864,0.060469979760026514,2927.83766290524,0.07425230103963075,2794.2062498577916,2637.9476541060358,0.059234911469352,2577.5092194835543,0.08407226198696434
"Bronx NY HSA, Bronx NY HRR, USA",27803.43638974883,26750.837390533725,0.039348263527166666,28430.567642261845,-0.022058344399033022,24681.136874074502,23439.401726358814,0.0529764011134846,22956.868716749457,0.07510903070447972,18931.824761852622,17831.08540234075,0.06173148379219674,17126.72276022292,0.10539681332508505,15599.71599285818,14780.562761021043,0.05542097720374959,14245.712008194114,0.09504642406678201
"Baltimore MD HSA, Baltimore MD HRR, USA",4274.407382844855,4404.92787930916,-0.029630563777760285,4876.249790766237,-0.12342321122700534,3169.7125867622526,3326.3863414091306,-0.04710028799015197,3586.2133375408935,-0.11613942383702139,2271.5361959357874,2391.3793417132824,-0.05011465294821626,2566.8894704064537,-0.11506271613007887,1972.3917413453923,2090.6830472308548,-0.05658021958045781,2232.4529506830604,-0.11649123859837561
