longname,Mean high temp,Mean high heat index,Mean high dewpt,High temperature Above 90°F %,High temperature Between 40 and 90°F %,High temperature Below 40°F %,Humid days (dewpt > 70°F) %,Non-humid days (50°F < dewpt < 70°F) %,Dry days (dewpt < 50°F) %,Mean sunny hours,Rainfall,Snowfall [rain-equivalent],High windspeed (>10mph) days %,Mean high temperature in summer,Mean high temperature in winter,Mean high temperature in fall,Mean high temperature in spring
"Houston TX HSA, Houston TX HRR, USA",79.2388696454954,83.9696527594187,64.98298826938051,0.21770848884157568,0.7797933164044015,0.002498194754018176,0.44951550780239763,0.40573113730766364,0.14475335488994018,5.4372556563650685,1.1810641109802462,0.0008882293001729854,0.16716721462158385,91.39632749519791,66.61165079548243,75.26937058469336,83.04356255027663
"Chicago IL HSA, Chicago IL HRR, USA",57.24991130855597,56.531639681626444,46.667793839249605,0.011414162324224333,0.7446566160851628,0.24392922159060793,0.09921814176079641,0.36319378110183037,0.5375880771373682,4.681567808258449,0.9193841760103958,0.10867269029098166,0.4874222721008152,79.17955172272005,34.87414207662277,52.11697503759606,61.75991062485383
"Brooklyn NY HSA, New York NY HRR, USA",60.86680852697854,60.409448588822045,49.36655663943427,0.010733041878616333,0.8617663601477935,0.12750059797358898,0.10962824328018002,0.40543962395557215,0.48493213276424596,4.96336521737659,1.054041579262276,0.10339568188381802,0.26054445793426817,79.98622690492748,41.58231640897843,56.704770183560214,64.27429455510386
"Dallas TX HSA, Dallas TX HRR, USA",76.81600095032186,79.28007054082069,58.576958815209814,0.23940008000712487,0.7464886014477373,0.01411131854513773,0.2838297594897464,0.4429602752752775,0.2732099652349726,6.3623485779489535,1.0031708757325126,0.007444785479382792,0.30644399538073785,93.0922886545902,61.025598642842056,71.24823973316589,81.06476625724501
"Phoenix AZ HSA, Phoenix AZ HRR, USA",86.29466120568745,84.98047965449098,44.237287486227665,0.45602870681830027,0.5439631063178318,8.186863867191295e-06,0.040494020651818334,0.2753991687573226,0.684106810590852,8.865015026770621,0.22961070112164075,0.00016175258778076474,0.015325788486758118,103.7413489919756,69.56389963477152,79.80753569666891,91.1603399281871
"San Antonio TX HSA, San Antonio TX HRR, USA",80.37021952721177,83.78425128864045,61.8937931590944,0.2781871437798031,0.7183024597309917,0.0035103964892095776,0.3649524539055392,0.4462246341644549,0.1888229119300056,5.829514186944338,0.8301502341754748,0.0006744786380417008,0.1641498547998658,93.65401329677928,67.04532809403979,75.44084408768984,84.63940184509002
"Las Vegas NV HSA, Las Vegas NV HRR, USA",77.95723535151905,75.07408941418647,34.5732819187087,0.32079742957612045,0.6764643113646157,0.0027382590592674476,0.0017702171916816796,0.10868287534351245,0.8895469074648038,8.727370290706387,0.1277512857456697,0.005199094671871484,0.029714352718454018,98.1719564112459,59.92042319761202,69.90619843514001,82.78487124222018
"New York NY HSA, New York NY HRR, USA",61.21481819356691,60.805228591210756,49.07411007880975,0.016911462170891862,0.8475318155982282,0.13555672223088006,0.10958640461230046,0.40264015741789905,0.48777343796980144,4.901402945810609,1.028961458856204,0.10820497278399539,0.1725976192167452,80.79013753768484,41.263930820579944,56.472764758875975,65.37235159918434
"Miami FL HSA, Miami FL HRR, USA",81.1542450633033,86.25027421014438,69.99565292060744,0.030160513797769677,0.9698394862022366,0.0,0.591010657228143,0.3940270541958725,0.01496228857598577,5.674171591059098,1.1422648827792772,0.0,0.30302894599606356,86.37483129737934,75.56539822495021,80.30125992952773,82.12843364000358
"Los Angeles CA HSA, Los Angeles CA HRR, USA",74.77113981437071,74.20215699407143,52.862976283789884,0.08222215455077686,0.9177778454492266,0.0,0.0008196781081904088,0.7036745582702884,0.29550576362152053,8.265154129752611,0.35150669157776754,9.211768745172334e-08,0.004702406943568382,84.85473171502957,66.00258448508553,73.87073475006912,73.94531634292163
"Denver CO HSA, Denver CO HRR, USA",62.125166517504034,59.61444808398645,35.74946189107106,0.044800257167859917,0.8147251656724511,0.1404745771596899,0.0,0.2127437773593053,0.7872562226406882,6.604627044957865,0.30542450654113856,0.19762079497112373,0.016468174501981077,82.1386620327645,44.292271296204845,55.20621200083011,65.86204510254508
