longname,Population (2000),Population Change (2000-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density (2000),White % (2000),Hispanic % (2000),Black % (2000),Asian % (2000),Native % (2000),Hawaiian / PI % (2000),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Segregation (2000) %,Segregation Change (2000-2020) %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Housing Units per Adult (2000),Vacancy % (2000),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"9th Circuit, USA",54327723.0,0.23041492094192867,2427.7238573114737,0.01818644322141805,15.279898729943639,0.5621146316034633,0.25041850180247754,0.050626638631624594,0.08796450018713282,0.013385210346474488,0.004774615715074235,0.030715901713753033,0.5908311188537028,-0.085437434994872,0.3291990760602203,-0.054231045303274605,0.0908881624356531,-0.014703845612278249,0.5213498294501704,0.07349383785468429,4034.6137737089475,-0.05584073910285118,2932.524388296761,-0.0022465001569739484,2041.3847865052264,0.02600111659148948,1661.3868614471821,0.0309485784033236
"11th Circuit, USA",28613026.0,0.30264859089003726,1044.6527475013074,0.0982890635642594,65.41002920982416,0.6539148288615122,0.11161056506222027,0.20080763216026154,0.016222471541458075,0.0028534556254203943,0.00039226889179774273,0.014198777857329734,0.7166866703455078,-0.14008641740466532,0.4544037522545977,-0.11479608555287218,0.1318484894382374,-0.027470075197352672,0.5780427092269614,0.11564250710550679,2642.3654164359878,-0.015623536775696289,1386.2203362977132,0.05649651771704479,873.3924859544327,0.11202381407943418,732.9836043509982,0.12648655077676027
"5th Circuit, USA",28164606.0,0.3053040756188814,1175.2234696007758,0.05535236814485656,30.174667925851107,0.5487420985047687,0.24203111522312792,0.1717072839577447,0.022263332922178993,0.0036999629961093723,0.0004403399074711004,0.011115866488599201,0.6748747912841648,-0.11909769778516688,0.46724976659390066,-0.11963578419547222,0.14505057491733356,-0.03745238466374713,0.5491847169751694,0.09369577967165738,2499.6272573763526,-0.0009820502185575253,1527.6603591784137,0.029715445223085904,946.8690994931908,0.09359755155484796,760.7997447690665,0.14821444581409945
"6th Circuit, USA",31020360.0,0.07324083279497723,964.7822358196913,-0.07935811962885056,65.76096172388215,0.8206410886269534,0.023363752064772942,0.12619231369332914,0.012649434113595072,0.0031321042051091607,0.00024390432606197993,0.013777402970178296,0.8333285495067602,-0.1259753452022785,0.4619425263080142,-0.15423006241085496,0.08737482476880118,-0.010516387359314497,0.5693855472194216,0.08525990834397645,1916.6791031611838,-0.09005199252757573,1213.3501673756393,-0.08532204440513935,805.6179670386981,-0.08240151959325336,670.7839226382142,-0.0793651946151793
"4th Circuit, USA",26242926.0,0.22543095994707296,890.3427418008816,0.10765572453188889,65.04948026135101,0.6958052619589752,0.0397728515486421,0.22099936569573073,0.023866927033974795,0.00546634929352009,0.00038345571679011706,0.01370578875236702,0.7255420703233086,-0.14232008744011826,0.4094666775684727,-0.11573703931243862,0.12502051870457193,-0.02211355168375098,0.5636519232893384,0.0954085091282031,2379.4799989970948,-0.03771786059002473,1224.901243619996,0.05548727716963403,729.9431416999387,0.12398603913074328,605.8723638029156,0.13676906878433184
"7th Circuit, USA",23862057.0,0.06819864691463942,1842.764750199121,-0.065813153270477,61.978318885696126,0.7679216003884326,0.08120201037152833,0.11154524524017355,0.023726621724187484,0.003179315178067004,0.00025291197653245064,0.012172295121078622,0.7948995078870064,-0.1296332933064137,0.47503437644786606,-0.12999469320425922,0.10761286660135436,-0.009492125091407053,0.549864153451772,0.07267334143574936,2971.939996247812,-0.0921939449007801,2241.203426376858,-0.06786750633345878,1538.0713431238746,-0.07094059521657967,1282.4677222359355,-0.06908406846875305
"2nd Circuit, USA",22988396.0,0.06354949688529814,7065.711862259777,0.10504907016387621,139.4786145795584,0.6517653515277881,0.13890969165486797,0.13533136457193445,0.04883420313448576,0.0027004493919453973,0.0002743123095669659,0.022184627409411253,0.6946269364369195,-0.12644253762323154,0.42903225609373385,-0.10751258863538005,0.14363590023442857,-0.016357787899850873,0.539348067271205,0.07901237530064202,10187.138865002247,0.04417232932337086,8445.66303444701,0.08302108740167966,5873.851285210014,0.11927309424074566,4924.157604107062,0.13130320874526372
"3rd Circuit, USA",21478589.0,0.08394080262907401,2122.53525374702,0.0761109979315505,150.51457254832778,0.7657501151495566,0.07209733376806084,0.11392941128488468,0.03312219438623273,0.001329929074949942,0.00023744576517572918,0.013533570571139472,0.7719197103726528,-0.14398631353522084,0.4215401900653608,-0.09794813235045136,0.1115231524321344,-0.004637776123179949,0.545651532595878,0.08332468099913627,3414.93428624493,0.03202229588898733,2586.6142402704263,0.06016187379969826,1732.2697263694004,0.08552921996197638,1428.8957798418537,0.10004013022236112
"8th Circuit, USA",19222525.0,0.12839301808685383,853.0207158242642,0.03174457075478285,15.186535468462123,0.8626399497464563,0.02832234578964002,0.07011118466486582,0.014978261180568109,0.010674248050139095,0.00042236906962014615,0.012851641498710497,0.8425178531030754,-0.14347420159616686,0.3691672743191929,-0.11429692273453701,0.05202741835773085,0.004367848636013513,0.5752038728809679,0.0875156546006173,1633.7516913144261,-0.010251710544762814,1081.646855838711,0.014935785727940177,686.991844530336,0.05003524896708595,533.5562697904271,0.0798613119826764
"10th Circuit, USA",14986339.0,0.24359551722405318,1092.4154152460162,0.0928779760341983,10.322145397245029,0.7439980504911841,0.14024619355000578,0.041245964074347975,0.016225443719109785,0.03441954702879736,0.0015454741815195826,0.022319326955035516,0.7022642261457867,-0.1218352778243208,0.2963892779005982,-0.07325685920314029,0.05898748943140042,-0.0033066010982523014,0.5668827923873972,0.09388013406857029,1986.6093544876721,0.009225527230178414,1369.2027125173017,0.06210377560276503,889.6666629363273,0.1211164363821691,697.1626253436609,0.15740224656086313
"1st Circuit, USA",13713451.0,0.03188540944216011,1769.926819404939,0.019612315168510717,96.52784208784657,0.6193808546076404,0.3143919061657055,0.027714395158446987,0.020992090174821787,0.001867947025150708,0.00022277397571187588,0.015430032892522823,0.8557711491327347,-0.12311636381153901,0.7205868882683187,-0.17989342683309195,0.04100451949038507,0.013408199661301017,0.5505713530170273,0.09663215360313056,3173.778022808125,-0.04286971956196315,2216.999705656985,-0.004966027027643821,1442.4173298219393,0.040490989987336974,1155.6326626852838,0.056235214567039796
"DC Circuit, USA",572044.0,0.20529539685758438,5315.284420031396,0.23597734432267262,3233.1670622872507,0.27826181202844535,0.07857787163225206,0.5944927313283593,0.02628993573920887,0.0022271014117795133,0.00047723601680989573,0.019673311843144935,0.7067577937201536,-0.18587703033725156,0.4783098203739663,-0.19191313779912023,0.24531567734666368,-0.05861126493330143,0.6006572498774767,0.0954380878142598,8042.09730907675,0.1808180886092219,6407.681720954002,0.2172847042906104,4358.3048518559635,0.23990008037146346,3605.717954594953,0.24134002320412656
