longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"9th Circuit, USA",8.539125227238006,0.5209644256205175,0.37244090189593715,0.03334549379248052,0.008441132999874592,0.03353966803118669,0.03126837766000356
"11th Circuit, USA",7.251906870264032,0.17250679111171272,0.7807192750639369,0.025084584646572743,0.0013862276831031976,0.005763016217022028,0.014540105277652347
"5th Circuit, USA",7.670007070280816,0.3421059188642958,0.6111387646523193,0.0345656373700061,0.0009452301844917559,0.006124611354370057,0.00511983757451699
"6th Circuit, USA",7.419918938068386,0.5774965610440295,0.3189820019460538,0.06060523378769436,0.01170999669994995,0.026765863205293488,0.004440343316978893
"4th Circuit, USA",6.723996982319944,0.31107482097842404,0.5794062523602986,0.04802197275526283,0.03592028495128158,0.020273004105142798,0.0053036648495899796
"7th Circuit, USA",7.70848096948073,0.6939698156391457,0.20566161709185818,0.06734943912129662,0.006459571443188468,0.02045909556934731,0.006100461135163552
"2nd Circuit, USA",6.785251753432458,0.5486660988204727,0.13339212046147517,0.04891611961627533,0.2240558018169213,0.03314130285099961,0.011828556433856139
"3rd Circuit, USA",7.159802824209877,0.5977332415222292,0.2074845036960094,0.039255521216969395,0.12168150344926422,0.02827834428554341,0.005566885829984427
"8th Circuit, USA",6.733504596665768,0.5452776448425255,0.31585042282194165,0.09827926803926314,0.007082324110406878,0.028092980514861927,0.005417359671001102
"10th Circuit, USA",6.471512257289491,0.6465242932273251,0.26210820417385333,0.05657150715073424,0.0015340191032632172,0.029566542209452578,0.0036954341353715035
"1st Circuit, USA",6.283065687136113,0.33078755270986415,0.13318743867366245,0.05440137390722084,0.24934162640479252,0.03334355754874108,0.19893845075571906
"DC Circuit, USA",7.2098531158459656,0.515104463323445,0.43775378613527816,0.00940383994128451,0.010547750372149724,0.00888493552694899,0.018305224700893796
