longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"9th Circuit, USA",0.8716867712815211,0.33341957025829266,0.1257519725915861,0.16358999137387817,0.10945721123997082,0.06037236764444366,0.00860677122439113,0.011418943730098552,0.0008299780673778623
"11th Circuit, USA",0.8908760239832353,0.2996290138813611,0.11329035541012131,0.12727167550478916,0.09995613656661935,0.07240120180995253,0.01913778041809633,0.011410534541030304,0.00476454780256777
"5th Circuit, USA",0.8573980702299895,0.2871193472104729,0.10255242328651709,0.1260675347708543,0.09534604685754874,0.06570576558206988,0.019344732942105036,0.020256302409330074,0.005196772530855959
"6th Circuit, USA",0.9074111223538446,0.2801019721638555,0.10826844961387479,0.12004089154639501,0.10059899089742001,0.05946208972004051,0.015898373078214068,0.01672628655620967,0.011007718076070136
"4th Circuit, USA",0.9015121754536091,0.34079878199380853,0.1408915290991864,0.15830476555184303,0.11585166753514349,0.06664234890682205,0.021994568683587956,0.020595750185775086,0.00909022013009958
"7th Circuit, USA",0.9093037726999982,0.3164164514485794,0.11945748598722408,0.13646818672186262,0.11411747473923434,0.06583078998748246,0.014347048683030272,0.024067376515999384,0.012555917803631841
"2nd Circuit, USA",0.8857494514782156,0.3712633641167199,0.16407039058434986,0.16395605251216094,0.13817499623949325,0.06913231536506569,0.010179514289017422,0.02666933190165599,0.02618500503687829
"3rd Circuit, USA",0.9129544601759428,0.3528909433670336,0.1403727248012078,0.15932778286787364,0.1202945829056656,0.07326857759349432,0.009921594597217753,0.011335841463901264,0.008007315241520346
"8th Circuit, USA",0.9201680169972836,0.30390671310425127,0.10726066619704777,0.1271224754099954,0.11319583659939643,0.06358840109485944,0.013154400271613742,0.027384552779579685,0.012777335697817194
"10th Circuit, USA",0.9133879428776673,0.3340953526756035,0.1240605125488804,0.1485447304275139,0.1190041578618341,0.06654646438625546,0.012906999667227415,0.011578482980048543,-0.001392940526074249
"1st Circuit, USA",0.8879909616088578,0.3719709770571939,0.1515001356494271,0.17357841982077227,0.12545172422964807,0.07294083300677354,0.017174417727585656,0.03687763501920316,0.01655134383464274
"DC Circuit, USA",0.9240934088654649,0.5991839957453275,0.35049828178368986,0.31910743549177334,0.20238604684486358,0.07769051340869054,0.0050345607513101465,-0.011200075019910272,-0.0009257395294613446
