longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"9th Circuit, USA",0.8773414709270272,5.6880669484354796
"11th Circuit, USA",0.8023683703453018,6.623585371563228
"5th Circuit, USA",0.8103355037452356,6.506586253541092
"6th Circuit, USA",0.741607861056952,7.3069732939121925
"4th Circuit, USA",0.7180083369782555,8.017006449411943
"7th Circuit, USA",0.8134279807184291,6.135199176471855
"2nd Circuit, USA",0.849786683028146,4.960800526936217
"3rd Circuit, USA",0.8573621850017604,5.293855676666783
"8th Circuit, USA",0.7182382034067073,8.127656206724986
"10th Circuit, USA",0.8052430698938624,6.9967970253802685
"1st Circuit, USA",0.8337409218336042,5.53856287017312
"DC Circuit, USA",1.0,1.7705686727253025
