longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"9th Circuit, USA",0.12040958762221501,0.32236661245149084,0.2876398801863481,0.389993507362161,0.625215285287488,0.23005151574182067,0.14473319897069115
"11th Circuit, USA",0.13704669654374413,0.4096179363118096,0.30566495647202946,0.28471710721616095,0.6918344459029798,0.2114089977070389,0.09675655638998126
"5th Circuit, USA",0.1506395220793467,0.39844735413612986,0.2951010639141941,0.30645158194967603,0.6668735269718686,0.2248205503044861,0.10830592272364517
"6th Circuit, USA",0.13921575751407644,0.4165752622205783,0.3103165625309929,0.27310817524842873,0.6895502435896574,0.22351024458139968,0.08693951182894279
"4th Circuit, USA",0.12116783588385854,0.3686930675073006,0.2931692188867771,0.3381377136059223,0.641242584299966,0.23171150195018905,0.12704591374984509
"7th Circuit, USA",0.1174206628671528,0.3692189469871851,0.31005335816860746,0.32072769484420743,0.6451805884907812,0.24703334788164974,0.10778606362756905
"2nd Circuit, USA",0.12869571367410335,0.34471189550301184,0.26811810741863085,0.38716999707835753,0.6033574880038426,0.2472687825416957,0.14937372945446162
"3rd Circuit, USA",0.1096420724888628,0.3397824879366785,0.28710139110581023,0.3731161209575112,0.6154072444997694,0.24902761352369576,0.13556514197653485
"8th Circuit, USA",0.11718446291685367,0.38467589267719277,0.3157706942357265,0.2995534130870806,0.664934691589962,0.24189243696291374,0.0931728714471243
"10th Circuit, USA",0.11955745309620228,0.3644538470279454,0.3120863581289243,0.3234597948431302,0.6531795731988395,0.23886244675341448,0.107957980047746
"1st Circuit, USA",0.17700482495826453,0.4203995562275603,0.24399174894756281,0.3356086948248768,0.6578111114089912,0.21876445031598968,0.12342443827501912
"DC Circuit, USA",0.15442337070826043,0.29294991879804394,0.23532827855032906,0.4717218026516271,0.44423335317839835,0.2731583608326787,0.2826082859889229
