longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"9th Circuit, USA",0.7903114111749635,0.10999934475349836,0.09968924407153816,0.2096885888250673,0.2808419797312297,0.509469431443703,0.6539496675694223,0.21784053252244726,0.12820979990813047
"11th Circuit, USA",0.8445638090672288,0.08619617684432343,0.06924001408844789,0.1554361909327708,0.38716131986440855,0.4574024892028207,0.7792745451822668,0.15549389226648364,0.06523156255124951
"5th Circuit, USA",0.8583369419798937,0.056523183706847,0.0851398743132592,0.1416630580200896,0.23016886586992558,0.6281680761099847,0.709616748953621,0.23335576805757474,0.05702748298880418
"6th Circuit, USA",0.9456362133584915,0.027331895212189688,0.027031891429318788,0.054363786641502876,0.2339808209937521,0.7116553923647451,0.9207328515676647,0.029492119480754888,0.049775028951580445
"4th Circuit, USA",0.9011253989076377,0.049414471958809034,0.049460129133553195,0.09887460109236548,0.37240374381982794,0.5287216550878066,0.86601842642567,0.06922307069289593,0.06475850288143417
"7th Circuit, USA",0.9031658376446847,0.04870498327304994,0.04812917908226536,0.09683416235530637,0.22127532091486413,0.6818905167298295,0.839231721168856,0.09101109447520203,0.06975718435594194
"2nd Circuit, USA",0.7912232303716022,0.12178271777679384,0.08699405185160386,0.20877676962839653,0.17780623803892398,0.6134169923326794,0.7138363368409772,0.1401400474977733,0.14602361566124947
"3rd Circuit, USA",0.8648180067181321,0.07627899855605451,0.05890299472581331,0.13518199328186897,0.23933782519803568,0.6254801815200953,0.8018786827281473,0.09786375466058583,0.10025756261126678
"8th Circuit, USA",0.9411715360107077,0.02824887459224033,0.03057958939705208,0.058828463989294685,0.2811836408458749,0.6599878951648304,0.9120253750366564,0.040031316414410024,0.0479433085489337
"10th Circuit, USA",0.9203013616321726,0.03474240851626395,0.0449562298515634,0.0796986383678295,0.3846995844617195,0.5356017771704511,0.8414532557852696,0.11135825131110293,0.04718849290362733
"1st Circuit, USA",0.8874987891677265,0.061231388302299704,0.05126982252997383,0.11250121083227431,0.2339165949777157,0.65358219419001,0.6245376339800571,0.2837047421815369,0.091757623838406
"DC Circuit, USA",0.8650494655956306,0.06296718119912154,0.07198335320524782,0.1349505344043691,0.5045981048661846,0.3604513607294463,0.8268626437738237,0.09049203799849842,0.08264531822767793
