longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"9th Circuit, USA",0.023888334052279993,0.03843812047544204,0.011673392501767271,0.025733064955349633,0.017292847685113626,0.056121768756483704,0.011478555557520372,0.03733145818705819,0.01681894379195814,0.05579426653547387,0.10940063029704002,0.05009776544624271,0.012978724315450333,0.028134420599401633,0.03688846904050168,0.04505936608175889,0.036221624813066705,0.11006011185179855,0.09716026477763995,0.03818807684935078,0.05698726279162151,0.035058596037566385,0.02793402125263706,0.012866627668051356,0.00839328567942542
"11th Circuit, USA",0.016799126485287353,0.029146984688456102,0.007166755201981013,0.018405347185550775,0.015173963932575602,0.05631621056636076,0.011919378727980783,0.041948869231007595,0.020846043384435832,0.05352622296175213,0.10649466994545553,0.05249556399060685,0.004691565955263776,0.0340927459920021,0.03692003952633216,0.04709808939208358,0.04200402732065085,0.11686103558315476,0.1113417809628468,0.0413442096310829,0.0580873238359115,0.02760618847484493,0.02657167479214473,0.013034107435291606,0.010108074796940106
"5th Circuit, USA",0.020676169666383335,0.02931764933417715,0.00815409355288286,0.01586569706504608,0.015558198642185744,0.06400692394872853,0.010180702197296684,0.038761638248925305,0.019961130889867253,0.053222294440287615,0.10345362760487904,0.06615790041333014,0.004295886885018874,0.0348766990641177,0.03798595201115254,0.05217513959484269,0.042275206414740196,0.11081957340867128,0.10331106991873984,0.036798918437122234,0.05484484329599664,0.030122860877420745,0.024489006857835924,0.011372775459178155,0.011316041771173532
"6th Circuit, USA",0.02275274090123997,0.027171505322170806,0.008220747398107603,0.01664240000580436,0.017832254636138876,0.05629988403202533,0.008897247815280188,0.046382655915060945,0.02248220592620213,0.05064086706286809,0.1001109036547438,0.04428202194012593,0.004089081191553398,0.03163667065214763,0.04731726131021223,0.08425247763696486,0.03814520473303423,0.11365894187776683,0.09423492614061638,0.034295120613229764,0.056203816580541605,0.03233487784091998,0.023355411216308537,0.010163076614496174,0.008597698982440338
"4th Circuit, USA",0.02060595185407677,0.044222101344102184,0.012539224682388458,0.018472758443054623,0.01893898834662646,0.06376603863067172,0.012682688574318073,0.042051009081176115,0.020247958976471175,0.06098186732075371,0.11151306422492101,0.04947055366958569,0.003744329809238256,0.03240037629675758,0.03481721841336859,0.05330789933730856,0.03549291506099157,0.10502826259346087,0.09503722068602158,0.03520073260959387,0.05174672297217468,0.02854945010423003,0.025509596972031576,0.012554508483519246,0.011118561513157762
"7th Circuit, USA",0.019657539361082194,0.030216438553701357,0.009203990146855473,0.017323542029321928,0.01730451748415826,0.0599915175548801,0.01038965381683886,0.043846989250846104,0.019269901415566632,0.05680115545498156,0.10432052603158112,0.04360504920322401,0.004530928707647588,0.030781955528773393,0.04623153556410806,0.08006969515662625,0.040060444866715256,0.11098016209648487,0.0933595388010756,0.032504419870997586,0.05241347428937715,0.03270637517671123,0.024960586693920046,0.010345799035743012,0.009124263908782517
"2nd Circuit, USA",0.017101437427202756,0.03016255111296159,0.010508850627929492,0.030723718299725034,0.0215485800137271,0.07538366403502968,0.01747940748720822,0.04648492916080976,0.01894254069194236,0.06082213303273047,0.1085523711541076,0.04461635844294402,0.0025367037614268686,0.023732427559463767,0.024994158222437664,0.03623374165871707,0.037825952522889957,0.11015780321917976,0.09340360471406628,0.03724529619825972,0.04882893606637476,0.044579570100845047,0.031054180854890704,0.014581393671998892,0.012499689963131104
"3rd Circuit, USA",0.018820135592287894,0.036352543208404656,0.011940474340252586,0.018620854081081495,0.02010233111286648,0.0655917517887392,0.012951477268497824,0.04722650054407885,0.02108471115508755,0.062438452017551035,0.10959378352133342,0.044096206816748654,0.003046946856295375,0.028862449819316318,0.0406793910669559,0.04989396979059789,0.03969311289730125,0.11252687534777676,0.09518704343132184,0.03221500209244174,0.04718469568686063,0.033771859934660454,0.026050706145691833,0.011607096234993215,0.010461629248857289
"8th Circuit, USA",0.017441784561215683,0.03007165032861063,0.009871701058136303,0.01675302844021209,0.018486373474352235,0.06299443263921012,0.008958075224710748,0.04532813803222851,0.021549599727414173,0.05467516863323954,0.10750117965006657,0.049290065102474356,0.00879314572454414,0.03286600771452359,0.03971970248076899,0.07125414105637552,0.038346453266599315,0.1105610706020554,0.09513012509657477,0.03280215855282921,0.05211412989381563,0.03355355822471851,0.02576977602111452,0.008040430808576362,0.008128103685633239
"10th Circuit, USA",0.022595466609793665,0.03499004438614512,0.010964325500541702,0.019504090309781782,0.017738748132269513,0.0634169769754164,0.010346544852100728,0.040830347048266886,0.018280225184571765,0.055048644625234046,0.11266080178670769,0.057356577776159705,0.006360421997700289,0.03397367192088197,0.03469085945009837,0.05139322659590495,0.03586526749756649,0.11375241388775621,0.09694122072778746,0.03400205243864903,0.053269083002576934,0.029685106484714317,0.026542066676491834,0.010883789004179568,0.008908027128703585
