longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"9th Circuit, USA",3809.3179585904963,3735.9501607329485,0.019638323505673856,4034.6137737089475,-0.05584073910285118,2925.9364717981225,2843.571609442219,0.02896528509512713,2932.524388296761,-0.0022465001569739484,2094.4630703472417,2011.3985513896482,0.041296897077014054,2041.3847865052264,0.02600111659148948,1712.804422986932,1643.5169254001253,0.042158067565953534,1661.3868614471821,0.0309485784033236
"11th Circuit, USA",2601.082323177472,2484.6737637179585,0.04685064138373031,2642.3654164359878,-0.015623536775696289,1464.5369580870847,1360.1428692430131,0.0767522965452681,1386.2203362977132,0.05649651771704479,971.2332434193669,881.1961428149267,0.10217600399023788,873.3924859544327,0.11202381407943418,825.6961722412735,747.801993593162,0.10416417623311318,732.9836043509982,0.12648655077676027
"5th Circuit, USA",2497.172497881934,2384.6492846962747,0.047186483105833704,2499.6272573763526,-0.0009820502185575253,1573.0554669010596,1496.5666411088591,0.051109535446765816,1527.6603591784137,0.029715445223085904,1035.4937288486972,957.4345547654841,0.08152951415288436,946.8690994931908,0.09359755155484796,873.561257315522,790.7098660145479,0.10478102634354859,760.7997447690665,0.14821444581409945
"6th Circuit, USA",1744.0783308855523,1744.8062739649397,-0.000417205675065113,1916.6791031611838,-0.09005199252757573,1109.8246505158318,1094.0250010393788,0.014441762721548849,1213.3501673756393,-0.08532204440513935,739.2338223430819,721.650896971024,0.02436486318503646,805.6179670386981,-0.08240151959325336,617.547026073299,602.0671110821811,0.025711278205005454,670.7839226382142,-0.0793651946151793
"4th Circuit, USA",2289.73110411817,2196.827623641006,0.04228983625177952,2379.4799989970948,-0.03771786059002473,1292.867678430168,1217.6713328073959,0.06175422184687858,1224.901243619996,0.05548727716963403,820.445900629965,755.525692570811,0.0859272010171506,729.9431416999387,0.12398603913074328,688.7369628024023,630.0836149762328,0.09308819723614306,605.8723638029156,0.13676906878433184
"7th Circuit, USA",2697.9451239853165,2661.724867326399,0.013607813904259561,2971.939996247812,-0.0921939449007801,2089.098538642657,2047.9494422548617,0.02009282824017798,2241.203426376858,-0.06786750633345878,1428.9596465571028,1402.0883378630367,0.019165203766705198,1538.0713431238746,-0.07094059521657967,1193.8696343040224,1171.5982721269677,0.019009384621763183,1282.4677222359355,-0.06908406846875305
"2nd Circuit, USA",10637.128517810037,9910.42180678601,0.0733275258300738,10187.138865002247,0.04417232932337086,9146.83116339497,8420.739213840745,0.08622662822294568,8445.66303444701,0.08302108740167966,6574.443703106993,5952.317973330798,0.10451822845547108,5873.851285210014,0.11927309424074566,5570.715297893709,4999.189469664218,0.11432369821099791,4924.157604107062,0.13130320874526372
"3rd Circuit, USA",3524.2883224005127,3343.4997246532866,0.05407166521180839,3414.93428624493,0.03202229588898733,2742.229799762078,2549.4310071503733,0.07562424402580938,2586.6142402704263,0.06016187379969826,1880.4294048295214,1717.9217013174407,0.09459552399126035,1732.2697263694004,0.08552921996197638,1571.842699731415,1426.8873277932944,0.10158852007067479,1428.8957798418537,0.10004013022236112
"8th Circuit, USA",1617.002941873054,1554.2751164875408,0.040358251071579816,1633.7516913144261,-0.010251710544762814,1097.8021015108181,1047.3423880666764,0.04817881336521377,1081.646855838711,0.014935785727940177,721.365652509769,674.2137802919693,0.06993608495717854,686.991844530336,0.05003524896708595,576.1667735124735,529.8978365969591,0.08731671224147036,533.5562697904271,0.0798613119826764
"10th Circuit, USA",2004.9368731832253,1897.7171223039256,0.05649933260291683,1986.6093544876721,0.009225527230178414,1454.2353705301734,1364.2011410015757,0.06599776735452367,1369.2027125173017,0.06210377560276503,997.4199187191916,916.1616347074538,0.08869426630998907,889.6666629363273,0.1211164363821691,806.8975887910225,728.4217439323361,0.10773407783661125,697.1626253436609,0.15740224656086313
"1st Circuit, USA",3037.719049018419,2964.573289160152,0.02467328438993956,3173.778022808125,-0.04286971956196315,2205.990025198414,2126.1731969834573,0.037540134702195575,2216.999705656985,-0.004966027027643821,1500.8222354813208,1417.0302799505703,0.05913208540164254,1442.4173298219393,0.040490989987336974,1220.6199134320702,1148.5964747056175,0.06270560663605738,1155.6326626852838,0.056235214567039796
"DC Circuit, USA",9496.253972913375,8332.22093001946,0.13970261382533883,8042.09730907675,0.1808180886092219,7799.972948879842,6768.5431697499935,0.1523857872015236,6407.681720954002,0.2172847042906104,5403.862536099548,4662.6359582941395,0.15897157411289561,4358.3048518559635,0.23990008037146346,4475.922009424435,3848.28148583668,0.16309631348375628,3605.717954594953,0.24134002320412656
