longname,Population (2010),Population Change (2010-2020),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),AW Density (2010),White % (2010),Hispanic % (2010),Black % (2010),Asian % (2010),Native % (2010),Hawaiian / PI % (2010),Other / Mixed % (2010),Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Housing Units per Adult (2010),Vacancy % (2010),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020)
"Central District of California, CA, USA",18569821.0,0.043346836784264105,3502.238827540216,0.00045126492786839447,178.17306579886954,0.3445678878649396,0.4451548025153285,0.0638699209863143,0.11792305375479925,0.0027007260866973356,0.002417524649268294,0.02336608414265275,0.530010072525963,-0.032498090699714544,0.292628935460418,-0.0380486666653676,0.12629759578768568,-0.018108087720262872,0.47189206580985504,0.07582766598055833,5091.081263694402,-0.012929474204161953,4084.26324567373,-0.007793851302241993,3052.570792575338,0.001596654538961094,2610.5474671376255,0.005064676102485147
"Middle District of Florida, FL, USA",10724239.0,0.1774633146463819,955.0089571443864,0.10530272731213768,137.63939236996717,0.6699378855693164,0.1576608839098047,0.12517839261135452,0.025262398572057188,0.0026516566816535887,0.0005735605109136416,0.01873522214489998,0.6313180723477371,-0.08205743631189744,0.27685981447245356,-0.044372303524656986,0.09222044603654644,-0.011400982185194475,0.621826934419403,0.17656929330875842,2436.153912665856,0.07570542284580403,1287.5911626338227,0.07827699547742242,799.0052501859604,0.11148856719911442,673.2644331001385,0.11474189218319107
"Southern District of Texas, TX, USA",8578035.0,0.16103046909927507,1506.9522633776023,0.05121273438597249,75.77503353437434,0.3449266644400495,0.46634596384836385,0.12598701217703123,0.04858128930460181,0.002059795745762287,0.00040976750502883235,0.011689506979162477,0.6006014331660252,-0.053481674108426636,0.3808623742843355,-0.06543384623893139,0.12291840205328146,-0.02133384647763431,0.5335516918296197,0.11217283255149248,3080.3699120658653,0.019766878829033285,1926.3225321749092,0.03174613805554979,1253.5892250315574,0.07008439549364315,1056.9111919851703,0.08956324580150023
"Northern District of Illinois, IL, USA",9282679.0,0.012754830798307255,3061.886645270709,0.03411171604467773,328.07616608259497,0.5576091772644514,0.20532994839097635,0.16355763244640906,0.05661361337605232,0.001304688010864105,0.0002075909336087136,0.015377349577638094,0.643644337198645,-0.06690842045860856,0.4222506554254858,-0.06469242712472978,0.17301493203842327,-0.017038737568652623,0.5363274331768074,0.08395466993949204,4407.116166517121,0.026650752610839067,3631.588300079309,0.03407096727785404,2614.2164089176727,0.02877088743876213,2275.5913326801247,0.024332652168891845
"District of New Jersey, NJ, USA",8791609.0,0.056570190962769155,2734.231724912641,0.11238484890558527,436.30673808069747,0.5931353407550313,0.17688878110935097,0.12800762636281937,0.08187613894111988,0.0013907579374833434,0.00022328108540768817,0.018478073808787448,0.6084516257993743,-0.0694690356495552,0.340395437914902,-0.04149578305979085,0.14396281299319302,-0.010404215066656508,0.527340625078515,0.09385714696511023,4179.068999094688,0.0806869078250262,3296.1711323304835,0.09873392296631589,2225.2162586725713,0.1185050022827868,1904.657557020977,0.1268203144973263
"Eastern District of New York, NY, USA",8036245.0,0.06497823299314542,10152.188300931133,0.08589778093145506,1787.8194924473878,0.4673336863174281,0.20315159629901777,0.18449586840620216,0.1188364715112593,0.0020041698579373823,0.00029068302422337794,0.023887524583931924,0.5627489211428606,-0.07544415616819611,0.367848798564919,-0.07205924905898159,0.20810802918256202,-0.030807082729898877,0.49100307806620236,0.07697860273266306,12832.644443592817,0.07399230151309896,11463.04047004084,0.07927561567977028,8830.065869332284,0.09475652897318053,7712.0866427725505,0.09920667288576157
"Northern District of California, CA, USA",7785712.0,0.08019497767192005,3333.609436562922,0.0758974077369548,144.0643509073867,0.43782893587638483,0.25387671673444895,0.05387869471668102,0.20916057516640738,0.004535102248837357,0.0052059464824797015,0.03551402877476074,0.4793065483060795,-0.037504634985253804,0.25182351896351446,-0.024036684692288507,0.1050458254743457,-0.014309314369383166,0.5025601958485348,0.06879616982865024,4854.134204101518,0.06567140147454638,3924.57691065104,0.06999096431481659,2789.6467494937506,0.08949059493313179,2169.826436288387,0.09228947850378212
"Eastern District of California, CA, USA",7627735.0,0.08472593764728324,1601.9935423276058,0.0739119237545029,33.31266926209195,0.47513291953640235,0.3459725593508427,0.053298259575090115,0.08213460483354496,0.008003162144463592,0.003875331274618219,0.03158316328503809,0.5172892182814807,-0.041440596595624934,0.25036984004880924,-0.023815700451466526,0.07086188169864366,-0.008030376662492941,0.5143135081540929,0.1019222025587398,2812.7759004776153,-0.003394210138641578,1987.025872634533,0.05688673005670466,1288.503631682516,0.08755733730863352,984.554257727654,0.09885539921222943
"Western District of Texas, TX, USA",6313443.0,0.1931131713709936,1254.9025786335494,0.032202467508774854,26.701389935400275,0.4259270258716203,0.46234170483522224,0.06879542588726943,0.02385687175761308,0.0030176878131314405,0.0011524615015927125,0.014908822333550805,0.595207480716678,-0.05546004987668118,0.32450152179132585,-0.06144053197722066,0.08076731505900411,-0.015605163252678161,0.5421934635471041,0.09439330463869997,2544.1020347484764,0.06153237578370141,1594.9169737109146,0.033354636637140875,1039.5791787428639,0.03902970083362648,858.1668525872155,0.06014181105322991
"Northern District of Texas, TX, USA",6686803.0,0.11934163455989356,1397.1563996946338,0.057171199942684624,26.674908555228633,0.5068410120651079,0.30260514628590074,0.13674905631285983,0.034316698129135854,0.00396078664198721,0.0008596036102753438,0.014667696954733076,0.5710323066258178,-0.06356861424862381,0.3207175520593516,-0.0496476366813523,0.1341029322048742,-0.015218510234667276,0.5531525228666877,0.09914914252964775,2533.4466008811396,0.039603481504501034,1757.641945054552,0.04406120307147238,1152.2886410129595,0.07136287509969506,962.7512676150824,0.08850534812053391
