longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Central District of California, CA, USA",0.8245171259457651,0.32212004821917795,0.11496805717125137,0.14836394943438108,0.1108069473940814,0.06294915139070802,0.004962435708086188,0.008294345986036067,0.0020967669898463714
"Middle District of Florida, FL, USA",0.905381581784415,0.293377221994931,0.10658507547350705,0.12522140810145024,0.09721514442632287,0.07094066946715885,0.017705132049163907,0.0008750135921523072,-0.0031866021797826855
"Southern District of Texas, TX, USA",0.8262231408390671,0.2936427695071184,0.10591498826280278,0.14017116060559628,0.08485879169370675,0.06861281720781412,0.014723830609717603,0.014833573597048177,0.0009504436007186784
"Northern District of Illinois, IL, USA",0.8963261065515699,0.3853588971184867,0.15478998173479716,0.1680791326353911,0.13234315305523317,0.08493661142785892,0.011401320785786151,0.017070802616651837,0.014573975353200125
"District of New Jersey, NJ, USA",0.9073588221313453,0.40485158624776696,0.15965792552284236,0.18668697094438655,0.12910384334437566,0.08906077195900494,0.007216677850977238,0.0066951885529193955,-0.0011560734677603657
"Eastern District of New York, NY, USA",0.8663741534265467,0.3743410849263139,0.15580769243347925,0.16101006073002377,0.13842138434962267,0.07490963984666855,0.004172583910852623,0.02418326548213756,0.02937261179526257
"Northern District of California, CA, USA",0.8873970258264866,0.4736435179213859,0.20388738063981,0.26998676130132737,0.1286107411870135,0.0750460154330423,0.002458194732917862,0.004097542203515103,-0.013576074003616989
"Eastern District of California, CA, USA",0.8366512339521779,0.24046986706092782,0.08255772508657597,0.11452611492427224,0.08359822070917566,0.042345531427478524,0.025812370444476596,0.027265774962224404,0.007868672625042858
"Western District of Texas, TX, USA",0.8715809134106667,0.31749172022541133,0.1136747263584873,0.1403810000213379,0.10935150260819733,0.06775921759587575,0.0033357767917365777,0.014318406039914966,0.0005041082177927592
"Northern District of Texas, TX, USA",0.8495461469076155,0.28521067037902953,0.09927553211142753,0.11757927236906025,0.09636904486424784,0.07126235314571604,0.024911535375775506,0.01577783552176054,0.0030626346382893604
"District of Arizona, AZ, USA",0.8875342139422285,0.3000875614793402,0.11479977578678553,0.13175033010190537,0.10421714272184071,0.06412008865558678,0.013544537103025056,0.003547397322337442,0.0002586167790286503
"Northern District of Georgia, GA, USA",0.8959106256734101,0.36277617557475117,0.13862273161447392,0.15598404754113399,0.1164700526393275,0.09032207539428976,0.021929556063225886,0.015607188252416193,0.015960392181735006
