longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"Central District of California, CA, USA",0.009441645286983514,0.0007845544947038238,0.07552631444741076,0.0292162283677306,0.0671113956863466,0.08548958525193523,0.12605796171297598,0.03887523448962905,0.022989762530802912,0.03143785020682379,0.09244507703551624,0.0532455433888546,0.04831709424046596,0.0011736715360531303,0.07795090411721865,0.03978741400729503,0.10527460670287159,0.056792307927402814,0.006739641135005685,0.031343207433974
"Middle District of Florida, FL, USA",0.007541538499021477,0.0008047411526998711,0.08689507372236009,0.03283841310443952,0.08106938735156112,0.0725005383327956,0.1351424042804545,0.05451602356772528,0.02671768842632913,0.016399156354952177,0.0556277480280806,0.04972035675301802,0.05825753189878355,0.0014359838814909562,0.07454589037345676,0.039445889343752566,0.12635324889951913,0.04870269865307567,0.00775658834921718,0.023729099027266783
"Southern District of Texas, TX, USA",0.006461054756484312,0.028010915855813237,0.07245475716526181,0.013374521815804116,0.09502240631287641,0.10177558655156596,0.12265614795934904,0.036578339931589564,0.01969258937428253,0.0119909201214356,0.08663064473485531,0.05142723063691924,0.045902984170451994,0.002351731893808461,0.06747897913332804,0.0359695143417103,0.10882124467112136,0.05437233714255158,0.010212687073391975,0.02881540635739908
"Northern District of Illinois, IL, USA",0.003550281078513239,0.0006726758728925433,0.06568272082234496,0.021317138637131267,0.05332219677429188,0.09079952984267675,0.13328584050195727,0.05879640783978292,0.01879980339159168,0.01872386924012602,0.1163877370500799,0.04592132303345887,0.043345327736347736,0.002009213031679261,0.09347164097467774,0.03340740689601528,0.10070754803086644,0.06393180398758701,0.005837379046347886,0.03003015621163131
"District of New Jersey, NJ, USA",0.0027736247252578626,0.00048552168081913077,0.05429907826113845,0.02042115917484912,0.06045021628048288,0.10310071915101568,0.13775022780866264,0.0666942160354012,0.019026403005429588,0.026078814076149412,0.08126237603568616,0.042507102624140286,0.03958320008030473,0.0015964685070381293,0.09693343514695894,0.04397529008069634,0.10713427178130382,0.05684885955714639,0.007481566582532495,0.03159744940498676
"Eastern District of New York, NY, USA",0.0014626008111224,0.00014674608929797804,0.06346534324490244,0.022886076845410188,0.06457847293574927,0.10686249419925843,0.17728966135560434,0.05601505985273137,0.024343914713606286,0.03199276694545521,0.03954763078853222,0.04808140858716101,0.039069790758147704,0.0011029474792531955,0.09035628346989122,0.045670084699336706,0.09501378595751951,0.06319531096428901,0.005589277887057512,0.023330342415673846
"Northern District of California, CA, USA",0.0160977328458975,0.0005484945553605816,0.06477108890073019,0.022391613514862813,0.05827734373398752,0.08585504220382685,0.12260088919789039,0.04019770516250308,0.02093600254494114,0.039715440101099155,0.0971119044573847,0.04450198554098268,0.041972013921873226,0.0017051407476408854,0.14965573058165782,0.03601187079649381,0.09200721084666422,0.038376490509079875,0.006646961611663615,0.02061933822545966
"Eastern District of California, CA, USA",0.05691235636645795,0.003563738303176489,0.07039374877814775,0.020009488224807564,0.0743204402641133,0.09077487219823088,0.1341724776944912,0.03160402021128176,0.01786079976351232,0.013236730691376103,0.0717387327406523,0.046765939268945546,0.043922415515435236,0.0009380852105323189,0.054579773367270344,0.07318444843010784,0.1086495757359984,0.05146595202957761,0.010519515844104408,0.025386889361780646
"Western District of Texas, TX, USA",0.006566423696261537,0.01883515631850337,0.07778503766182705,0.016395269572694538,0.08087237406693991,0.09946653994869054,0.12182349430476239,0.04775061449732846,0.021119756973024345,0.01946704908341607,0.07012425715829282,0.047933054440644794,0.04484854656178491,0.001279625276842007,0.08192713150667108,0.05739447475681746,0.10978952936151677,0.044789996068348506,0.009123128576317882,0.02270854016931558
"Northern District of Texas, TX, USA",0.01026885590210977,0.012965735301290986,0.07237605634631207,0.014144975640420913,0.08971277884558435,0.0867039431743381,0.11713748672575561,0.053602582508548845,0.020433253724775138,0.016369616717642192,0.09105592009334396,0.05062623409754514,0.04527258408634469,0.0018193903882688994,0.06640763289897204,0.03515289110174655,0.11363147320734601,0.06494451902722631,0.00825517611419938,0.029118894098229132
"District of Arizona, AZ, USA",0.007960144406425892,0.004512970203032755,0.07700360524690238,0.02325432145059901,0.07307274279469558,0.09031421998582653,0.1302935275858592,0.06304360866716917,0.023811198636840954,0.017510476221650736,0.07206666256094126,0.04560124356844982,0.055169282384665376,0.0016787377083745034,0.0681224910067727,0.04832740148336671,0.11961675798526965,0.046721855493260855,0.009439862931933734,0.022478889677963156
"Northern District of Georgia, GA, USA",0.004294168469565738,0.0006470600210944534,0.07035689824333888,0.016851839246346152,0.06804962315168249,0.0874189417420946,0.10997673253958244,0.04688956918462379,0.021998085152971768,0.027019722355335764,0.10168836270734684,0.04657990801783117,0.05102426304420892,0.002106139709594693,0.09471190844899832,0.03948837702342537,0.10951255061345501,0.06343030219998878,0.008005788399894692,0.029949759728620063
"District of Massachusetts, MA, USA",0.003774581404252666,0.00044673800624450596,0.0594575962058037,0.01953164465044147,0.05887316267336853,0.11775722504285095,0.16343769435810465,0.056213932400316066,0.016948845091833212,0.0216881889883028,0.08922320984426806,0.04323273801939236,0.03692142912656096,0.0014941853441916499,0.1099785589683011,0.03902785894325586,0.10014595765060175,0.0340265060206741,0.007097092336159068,0.02072285492507673
"Southern District of Florida, FL, USA",0.0070035144333403035,0.00029861307978346817,0.0809267735596192,0.025546754035825948,0.08178915067184053,0.07237895304173594,0.13595117596380285,0.044266166797727595,0.031680361744019295,0.01870222395917335,0.046225613619012264,0.05678311087372874,0.062421842661510574,0.0012429806660976866,0.07820008487948246,0.037825773641723355,0.11847179808159206,0.06230110537312327,0.007147183947205874,0.030836818969655268
"Eastern District of Michigan, MI, USA",0.0063077577834358065,0.000932355954595545,0.07115841039341335,0.017946703954407985,0.05406435898185133,0.0815133039032862,0.1515123967194527,0.04326112955060278,0.015358441006261839,0.013309398750117114,0.18633181815241184,0.04409514252918908,0.03890530953912831,0.0016251745761924573,0.06549419155161634,0.03231409043235723,0.10719400980969548,0.039453172032087896,0.007589624502039443,0.021633209877857305
"Eastern District of Virginia, VA, USA",0.00408397562100212,0.0006281612893349408,0.0650353713004409,0.019260807515797344,0.06333089837075918,0.09034751381272474,0.11642528191851967,0.04915896583143091,0.02033900814842205,0.01980025782309838,0.055367337159942506,0.05290765724848706,0.04251409177897757,0.0013258723942983098,0.14095476635923143,0.10273673427942395,0.09371599977736426,0.03866754845930595,0.007060408107649596,0.01633934280378887
"District of Maryland, MD, USA",0.0046569592269344266,0.0006186849920671794,0.05936076332538216,0.019113295810316455,0.07295871956476875,0.10108619973746515,0.13549321829267205,0.038681258580129295,0.021914883997419133,0.018400595808544817,0.046227398996396246,0.05349651052863062,0.04304100217894458,0.001222881368478177,0.11562643832275647,0.10965872873666918,0.09185225301080324,0.043523222825315205,0.005829747490800304,0.017237237205506753
"Southern District of Ohio, OH, USA",0.00645095052586885,0.002537344407685994,0.06907163836905565,0.01700863128691132,0.056190152342490494,0.08862731746111242,0.15526281153878838,0.057809378298466364,0.015360436051094047,0.015591411698938192,0.12642584724692002,0.04147089166124164,0.039172767566494814,0.0017473347988739498,0.06760388767061783,0.04333756649582508,0.11246920821404544,0.05113535304985941,0.008214470115352455,0.024512601200357583
"Western District of Washington, WA, USA",0.009690872472278548,0.0008175763631692684,0.06495170890756886,0.022716849347606663,0.07183814495970056,0.07913843391051338,0.12830992165969313,0.03243824279001133,0.021909037241362075,0.02423273975706869,0.0980170129740905,0.045277510074116074,0.038646126400615405,0.0019712489074091423,0.11104699015804019,0.050067977469573616,0.11841153410668191,0.049356616791342005,0.006400269052564023,0.024761186656594696
"Eastern District of Pennsylvania, PA, USA",0.007071653181483594,0.000737235003349725,0.05667204853913516,0.020120084910902537,0.05595153643228205,0.09931740723014847,0.1682977429679134,0.056235764114382365,0.017482748545098396,0.019161746193961514,0.10938752742683475,0.045379521895763296,0.03918370790597432,0.0018447142940283465,0.08501323715037308,0.035412952808610086,0.10219442609321433,0.04649104144910286,0.007522722800693666,0.026522181056748185
"District of Colorado, CO, USA",0.01188609564390439,0.009365790384531374,0.07087131993427044,0.025950407113309565,0.08104394404250242,0.08956795247040321,0.12434782900904957,0.048323997002516945,0.024283981275812126,0.026661805277855253,0.06922606466095173,0.04886737481643777,0.041556137279347274,0.001518567928947554,0.10251089611973803,0.04658901886196456,0.10398611479822437,0.04118918083358256,0.00855929270153201,0.02369422984511884
"Northern District of Ohio, OH, USA",0.008024047597542818,0.0018661531876272427,0.0721922765269633,0.016623941479720374,0.058798555260654736,0.0808398817459402,0.1582107392708009,0.04280242939810145,0.014434616800443268,0.013689641901277628,0.17534981350942044,0.04475683935242467,0.0357697346673061,0.0013888634853461905,0.051748584539371485,0.034708980451190405,0.11094488710935521,0.04372895986342833,0.00808255454997482,0.02603849930311036
