longname,White %,White % (2010),White % (2000),Hispanic %,Hispanic % (2010),Hispanic % (2000),Black %,Black % (2010),Black % (2000),Asian %,Asian % (2010),Asian % (2000),Native %,Native % (2010),Native % (2000),Hawaiian / PI %,Hawaiian / PI % (2010),Hawaiian / PI % (2000),Other / Mixed %,Other / Mixed % (2010),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Racial Homogeneity %,Segregation (2000) %,Segregation Change (2000-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Segregation %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Mean Local Segregation %
"Central District of California, CA, USA",0.3016932232051962,0.3445678878649396,0.39961005077354933,0.45980043937567444,0.4451548025153285,0.39812151911319427,0.059591487153082226,0.0638699209863143,0.07129615369224543,0.13486884278951733,0.11792305375479925,0.10008201261796769,0.0025294243584076687,0.0027007260866973356,0.003570431104788175,0.0022437950728070805,0.002417524649268294,0.002421772613685195,0.039272788045315025,0.02336608414265275,0.024898060084569892,0.5423600048349612,-0.04484802300871271,0.530010072525963,-0.032498090699714544,0.49751198182624845,0.31286865176850814,-0.05828838297345773,0.292628935460418,-0.0380486666653676,0.2545802687950504,0.13586935475521597,-0.027679846687793164,0.12629759578768568,-0.018108087720262872,0.10818950806742281
"Middle District of Florida, FL, USA",0.594645072563643,0.6699378855693164,0.751911629613408,0.20319728577494747,0.1576608839098047,0.09806712531746732,0.12221472705619954,0.12517839261135452,0.11533291051758904,0.031826509309360485,0.025262398572057188,0.01651438663750565,0.002103838019519144,0.0026516566816535887,0.002850422768343425,0.0006158830188135355,0.0005735605109136416,0.0004465161783903234,0.04539668425751687,0.01873522214489998,0.014877008967296244,0.7214085670676778,-0.17214793103183812,0.6313180723477371,-0.08205743631189744,0.5492606360358396,0.32278637958001827,-0.0902988686322217,0.27685981447245356,-0.044372303524656986,0.23248751094779657,0.0956929360551604,-0.014873472203808427,0.09222044603654644,-0.011400982185194475,0.08081946385135197
"Southern District of Texas, TX, USA",0.3002832511326029,0.3449266644400495,0.4164490603377289,0.4758830888731806,0.46634596384836385,0.4099537189781934,0.13024873084214247,0.12598701217703123,0.12461150321561631,0.06333037464254732,0.04858128930460181,0.03555464815060009,0.0018516250040163224,0.002059795745762287,0.0021267062995353704,0.0005411994345018154,0.00040976750502883235,0.000327763140739038,0.02786173007100858,0.011689506979162477,0.010976599877586963,0.6358924582313656,-0.08877269917376707,0.6006014331660252,-0.053481674108426636,0.5471197590575986,0.43247488727242656,-0.11704635922702245,0.3808623742843355,-0.06543384623893139,0.3154285280454041,0.1390113471537681,-0.03742679157812094,0.12291840205328146,-0.02133384647763431,0.10158455557564715
"Northern District of Illinois, IL, USA",0.5073280957779522,0.5576091772644514,0.6008872617550828,0.2315536579953916,0.20532994839097635,0.16307394940554065,0.15486309123272884,0.16355763244640906,0.17663928131260864,0.07195770527592686,0.05661361337605232,0.0430256842991743,0.0011035968428301521,0.001304688010864105,0.0013127920990387812,0.00020348730220087527,0.0002075909336087136,0.0002646839460013427,0.0329903655729694,0.015377349577638094,0.014796347182553501,0.7012934146588857,-0.12455749791884929,0.643644337198645,-0.06690842045860856,0.5767359167400364,0.48435575171046485,-0.12679752340970885,0.4222506554254858,-0.06469242712472978,0.357558228300756,0.18113765458047748,-0.02516146011070683,0.17301493203842327,-0.017038737568652623,0.15597619446977065
"District of New Jersey, NJ, USA",0.5185040249965766,0.5931353407550313,0.6604302712326309,0.2155859993678512,0.17688878110935097,0.13277735487125913,0.12424813907962921,0.12800762636281937,0.1302794926785671,0.10150983663173198,0.08187613894111988,0.05669268878814404,0.0012063793633555217,0.0013907579374833434,0.001347516845446188,0.00020928087474238213,0.00022328108540768817,0.0002584978954705821,0.03873633968611313,0.018478073808787448,0.018214177688482106,0.6693687756441106,-0.13038618549429148,0.6084516257993743,-0.0694690356495552,0.5389825901498191,0.371233661967048,-0.07233400711193683,0.340395437914902,-0.04149578305979085,0.29889965485511116,0.14539667476394366,-0.011838076837407147,0.14396281299319302,-0.010404215066656508,0.13355859792653652
"Eastern District of New York, NY, USA",0.41388813784216866,0.4673336863174281,0.507945418364254,0.21855490717568862,0.20315159629901777,0.17495177145498653,0.16502450333741275,0.18449586840620216,0.1944081751818898,0.15356608796991408,0.1188364715112593,0.08812835230204501,0.002217580662612494,0.0020041698579373823,0.001984137041043176,0.00029164241181731316,0.00029068302422337794,0.00029322347125903116,0.046457140600386096,0.023887524583931924,0.032288922184522464,0.601384705561849,-0.11407994058718451,0.5627489211428606,-0.07544415616819611,0.48730476497466446,0.4004156022347515,-0.10462605272881409,0.367848798564919,-0.07205924905898159,0.2957895495059374,0.21435730482102236,-0.037056358368359216,0.20810802918256202,-0.030807082729898877,0.17730094645266314
"Northern District of California, CA, USA",0.37142588417931943,0.43782893587638483,0.5116850265628081,0.2646785936935016,0.25387671673444895,0.2109370448130708,0.04656467881961269,0.05387869471668102,0.06221032790965117,0.25276777755093377,0.20916057516640738,0.17114170124988964,0.004027068923306025,0.004535102248837357,0.005264030893129223,0.005035857536313239,0.0052059464824797015,0.004478481752914177,0.055500139297013217,0.03551402877476074,0.03428338681853679,0.5104287344428542,-0.0686268211220285,0.4793065483060795,-0.037504634985253804,0.4418019133208257,0.2576178545904239,-0.02983102031919796,0.25182351896351446,-0.024036684692288507,0.22778683427122595,0.10599222696976755,-0.015255715864805022,0.1050458254743457,-0.014309314369383166,0.09073651110496253
"Eastern District of California, CA, USA",0.3995639594962631,0.47513291953640235,0.5619493733618371,0.3834098662291839,0.3459725593508427,0.27349265933754735,0.05126334269679896,0.053298259575090115,0.053675256296009,0.10116627963106607,0.08213460483354496,0.06645873638102802,0.007103817475509433,0.008003162144463592,0.00958634031923686,0.004743532815196322,0.003875331274618219,0.0026396834411461867,0.052749201655982195,0.03158316328503809,0.032197950863195414,0.5538390500910308,-0.07799042840517512,0.5172892182814807,-0.041440596595624934,0.47584862168585573,0.25769851958513845,-0.031144379987795734,0.25036984004880924,-0.023815700451466526,0.22655413959734272,0.07588265694569017,-0.013051151909539455,0.07086188169864366,-0.008030376662492941,0.06283150503615072
"Western District of Texas, TX, USA",0.38835007909564917,0.4259270258716203,0.4732884787134367,0.4660300250164218,0.46234170483522224,0.4213168683675871,0.06961572099706717,0.06879542588726943,0.07221609464888613,0.03588536945553837,0.02385687175761308,0.016838884758160536,0.002795031550641129,0.0030176878131314405,0.00319749697438831,0.0015807181853084412,0.0011524615015927125,0.0007353088003307715,0.035743055699373874,0.014908822333550805,0.012406867737210503,0.6257031669757239,-0.08595573613572716,0.595207480716678,-0.05546004987668118,0.5397474308399968,0.3685964330585971,-0.10553544324449188,0.32450152179132585,-0.06144053197722066,0.2630609898141052,0.09437643893553688,-0.029214287129210925,0.08076731505900411,-0.015605163252678161,0.06516215180632595
"Northern District of Texas, TX, USA",0.43709525563550855,0.5068410120651079,0.5904054963794151,0.3293743855060184,0.30260514628590074,0.23844291583009178,0.14585059327435795,0.13674905631285983,0.12682139558538866,0.04691150097590897,0.034316698129135854,0.0264620187533764,0.003623735890937614,0.00396078664198721,0.0041690148851816315,0.0011457861962423396,0.0008596036102753438,0.000662041120316372,0.03599874252102623,0.014667696954733076,0.013037117446230095,0.6244603026060999,-0.11699661022890584,0.5710323066258178,-0.06356861424862381,0.507463692377194,0.3499769721613656,-0.07890705678336629,0.3207175520593516,-0.0496476366813523,0.2710699153779993,0.142066483551054,-0.02318206158084707,0.1341029322048742,-0.015218510234667276,0.11888442197020693
"District of Arizona, AZ, USA",0.5336648869176773,0.5781637375502056,0.6381744597130035,0.3065482578684431,0.2964882673941207,0.252528499093853,0.044349044093988536,0.037406447117345455,0.029224947052088737,0.03479564721956578,0.02667548814739987,0.017407807482837004,0.03690614808352454,0.04027332405815857,0.04548667053632443,0.0020028293827921116,0.001714494100647797,0.0010991101476382288,0.04173318643400864,0.019278241632122037,0.01607850597425521,0.6572082225667525,-0.11455549031251888,0.6022857539827136,-0.05963302172847995,0.5426527322542336,0.34772378400251885,-0.09128682478479078,0.30686602234007837,-0.05042906312235029,0.2564369592177281,0.07904686953417633,-0.01280362418348284,0.0751256833250547,-0.00888243797436121,0.0662432453506935
"Northern District of Georgia, GA, USA",0.47781478011526557,0.548314305145581,0.6403322001129708,0.12526176078130766,0.10875129748655435,0.06737925874703432,0.2932754166311785,0.27916354895741596,0.24849536316766738,0.0582605115975357,0.042514598793012476,0.028085825188746902,0.0018030832126735372,0.0020861532687132408,0.002013870235498951,0.00039079578684382365,0.0003979470197498974,0.0003208990581592761,0.04319365187519518,0.018772149328973142,0.013372583489922396,0.7178497235275056,-0.1525820553605053,0.63444308759114,-0.06917541942413963,0.5652676681670004,0.46029756517331993,-0.11422675646502106,0.39826251917592403,-0.05219171046762516,0.34607080870829887,0.12268542571443183,-0.011803878866545409,0.12376820609066189,-0.012886659242775461,0.11088154684788643
"District of Massachusetts, MA, USA",0.6754708798801905,0.7612758315126161,0.8187074907103494,0.12629595741105737,0.0958744888231158,0.06754596927482744,0.06502903681601072,0.05983307194336807,0.05014804198871629,0.07183419598886874,0.053080519056772,0.037304816501041144,0.0013352795073650944,0.0016453285180754713,0.001774581650608302,0.0002286408277395532,0.00022409218605670006,0.0002687948411557989,0.05980600956876804,0.0280666679599958,0.02425030503330157,0.7693948156106561,-0.1670938569776752,0.7027934171204192,-0.10049245848743826,0.6023009586329809,0.2815556957073965,-0.05355190876088342,0.26517828294670776,-0.03717449600019465,0.2280037869465131,0.07241452920340087,0.013911899626328786,0.08197213552673605,0.0043542933029936115,0.08632642882972966
"Southern District of Florida, FL, USA",0.33429009722264036,0.39127565224731553,0.47937782755497693,0.4247488031057823,0.38402245540514635,0.31310301451639977,0.1789782954525511,0.18668501134840512,0.17087406315428963,0.024599095906638186,0.020825210894153342,0.015703926353853842,0.0011163830786346625,0.001526847636320892,0.0014360580145456492,0.0002759566556849996,0.00032992026532468587,0.0003485113018882541,0.03599136857806841,0.015334902203334073,0.01915659910404587,0.636723659297398,-0.08596466971669137,0.5956986473011562,-0.0449396577204495,0.5507589895807067,0.43454260144378937,-0.10113484234992065,0.391089216274121,-0.057681457180252305,0.3334077590938687,0.15101976997183306,-0.03969377898517855,0.13478641584446394,-0.023460424857809428,0.11132599098665451
"Eastern District of Michigan, MI, USA",0.6880972512556678,0.7296138334555201,0.7476533380434143,0.04907608614158284,0.03829532449454319,0.02859139896951883,0.1736307153810397,0.18048150937864404,0.18127712636754634,0.039673074986925384,0.02797426205833948,0.02025183836572269,0.002886819596038048,0.0036530793166960293,0.003660578283205693,0.00024557934232475047,0.00020318939308070532,0.00019595144389644465,0.04639047329642146,0.019778801903176386,0.018369768526695744,0.8176719682302506,-0.12716954846928763,0.7673533422093529,-0.07685092244838998,0.6905024197609629,0.5515580367035521,-0.1828525080081042,0.4619305519074002,-0.09322502321195231,0.36870552869544787,0.1278210234210093,-0.017086480056200448,0.1165054446055959,-0.005770901240787066,0.11073454336480884
"Eastern District of Virginia, VA, USA",0.5150569276358661,0.5779413853485909,0.6387836293437535,0.12422876966227112,0.096662758464176,0.05939876069580095,0.21181726078263807,0.2227713855285394,0.22867280064529247,0.08968801974907763,0.07082319812560023,0.04840477743262166,0.002341159925354321,0.0028003834476006484,0.003011887675513295,0.0008709191026663475,0.0007884540831631248,0.0006135587432724219,0.05599694314212645,0.028212435002329724,0.021114585463745637,0.6267562964959023,-0.1443490428897391,0.554687504718856,-0.07228025111269282,0.48240725360616316,0.3005550395214797,-0.08072492102930964,0.25958100270922413,-0.039750884217054056,0.21983011849217007,0.1253891877654757,-0.019714138807259154,0.11861359310534106,-0.012938544147124517,0.10567504895821654
"District of Maryland, MD, USA",0.4716924838733856,0.5469685191843906,0.6205035862555444,0.11813438135754145,0.08151521386849127,0.04303298962376226,0.29059360284115276,0.2899835595027529,0.27655668111440146,0.06766192704118412,0.05485257938446168,0.039600425350978755,0.0019515279630240897,0.0023928094128601684,0.0025134376017213423,0.00041685479094044224,0.00041776737631695447,0.00036119336929784615,0.04954922213277157,0.023869551270726423,0.017431686684293964,0.6947874473666703,-0.14980291868071305,0.627006131197694,-0.08202160251173674,0.5449845286859573,0.4293275548778945,-0.10620212387741107,0.3851768686622449,-0.062051437661761466,0.3231254310004834,0.13508590450286873,-0.014102590039382412,0.13130887203066677,-0.010325557567180454,0.12098331446348631
"Southern District of Ohio, OH, USA",0.7538542416071489,0.8142904930405649,0.8488421525100875,0.039213082507453,0.02491667668462931,0.01208756540686311,0.12432620831308475,0.11805062642755967,0.10873235083924053,0.031865969370057035,0.01992285297638026,0.013813966279537137,0.001724476220358754,0.001948885741215989,0.0021927222591661584,0.000432485058816809,0.00039148455752836825,0.00025219985044604056,0.04858353692308075,0.020478980572121493,0.014079042854659489,0.83978617296308,-0.13978336346985043,0.7875344786604797,-0.08753166916725008,0.7000028094932296,0.40020240324552514,-0.12924531617989377,0.339316588914785,-0.06835950184915363,0.2709570870656314,0.0804861260972365,-0.007127550956262288,0.07568763055990808,-0.0023290554189338702,0.07335857514097421
"Western District of Washington, WA, USA",0.6340606073656061,0.7267030513112221,0.7928448675465645,0.1096017563895627,0.08570490420106293,0.05209310397907572,0.04564724628295198,0.04076797493425769,0.03731410971729284,0.11442271778261615,0.08602541646993218,0.06544833664090814,0.01006511925278908,0.011385070056600248,0.01264640433695662,0.009355706154237307,0.006849133000926158,0.004653062221216359,0.07684684677223666,0.042564450025998596,0.035000115557985906,0.6847613330350235,-0.17708174884608086,0.6071086966421781,-0.09942911245323549,0.5076795841889427,0.1283758895255971,0.0003450592579113676,0.13400360720216248,-0.005282658418654024,0.12872094878350845,0.034921073793497105,0.011640544577323254,0.0423261866155094,0.0042354317553109574,0.04656161837082036
"Eastern District of Pennsylvania, PA, USA",0.6195562578968814,0.6789513718611851,0.7355010755396141,0.11977408825891801,0.09069711667531724,0.05605341154566127,0.16170842866773252,0.16716482021727846,0.16439077313500597,0.05952671109783275,0.04444347001234943,0.029914850032248173,0.0011308495519998015,0.0014699407585058973,0.0012791174639452912,0.00025120554031356364,0.00024197734147083565,0.0002603748373605463,0.03805245898632195,0.017031303133892936,0.012600397446164705,0.7830207828780608,-0.16083414494855197,0.7094815153006577,-0.08729487737114894,0.6221866379295088,0.4929201301041343,-0.15476613242687404,0.41984962983164265,-0.08169563215438236,0.3381539976772603,0.1509691653986564,-0.015237392251967574,0.14698000947733403,-0.0112482363306452,0.13573177314668883
"District of Colorado, CO, USA",0.6513420997299139,0.7000707468947323,0.7446374446935445,0.21881755833420222,0.20653142172227926,0.17101984743543813,0.038330613535758784,0.03753641735179937,0.03683640681186285,0.03381185836361136,0.02695540201654499,0.021685966045771228,0.005848575111271532,0.006212523830846918,0.006738024035277097,0.0015596546694207575,0.0011256272374351687,0.0008939238981312689,0.05028964025582147,0.021567860946362004,0.01818838707997492,0.6817612171966506,-0.1145003566911259,0.6362065698394437,-0.06894570933391897,0.5672608605055247,0.23145264589687614,-0.059011347524203644,0.21724343935908313,-0.04480214098641064,0.1724412983726725,0.06405610358751579,-0.006135190295490402,0.06573519640928008,-0.00781428311725469,0.05792091329202539
"Northern District of Ohio, OH, USA",0.7640942671425585,0.808259226668047,0.8320834333591428,0.04939235586596408,0.03651724554411029,0.025594491423702567,0.12263538643291572,0.12276981210207567,0.11826651609260305,0.018082778230379706,0.013182014251945408,0.00956274914879445,0.001481779357601594,0.001677105440240178,0.0017013967547682726,0.00032660264490843666,0.00019894059388857256,0.00016314068644191008,0.04398683032567197,0.017395655399692875,0.012628272534546943,0.840573945913617,-0.11671168701253531,0.796716601183502,-0.07285434228242027,0.7238622589010817,0.4555489043824297,-0.15193201680178642,0.3838773364462248,-0.08026044886558154,0.30361688758064326,0.0902732325667836,-0.016069333905997685,0.0801029083305708,-0.005899009669784877,0.07420389866078592
"District of Minnesota, MN, USA",0.7629680410186962,0.830544111733019,0.8816227545031905,0.060570184269752705,0.047183323909501806,0.029146889083587264,0.06884289782599438,0.050743703394219644,0.03431653754911786,0.05212678729112967,0.040158154454933315,0.02867934193755603,0.009996721266085466,0.01044904635789808,0.01057205409723761,0.00045930313148003383,0.000350683427323405,0.0003484242644771908,0.0450360651968616,0.020570976723104702,0.015313998564833543,0.8295156482342952,-0.1536858926487148,0.7624737956457339,-0.08664404006015347,0.6758297555855804,0.2235098583797146,-0.024388843793912318,0.21664081181055583,-0.017519797224753553,0.19912101458580228,0.03561539933445996,0.019176490684861033,0.04549966552777483,0.00929222449154616,0.05479189001932099
"Southern District of New York, NY, USA",0.40549385919905245,0.44838107733398014,0.47827403466670226,0.31739973480329636,0.29954154576608083,0.2681938600912087,0.16044976439550346,0.16792289085654907,0.17744170124885938,0.07406875571920953,0.06242270008005132,0.051835824311854566,0.0014459870700817027,0.0017628614663369063,0.0018570201252451888,0.00032025715683721163,0.0002716940834872605,0.00031778323611314973,0.04082164165601929,0.019697230413514455,0.02207977632001675,0.5951112016521445,-0.09952929016939122,0.5574011889414402,-0.06181927745868693,0.49558191148275327,0.3908639722916655,-0.10956959017052154,0.34598850565771005,-0.06469412353656612,0.28129438212114394,0.17918692388638788,-0.0341971644555574,0.16804546596906186,-0.023055706538231385,0.14498975943083048
"District of South Carolina, SC, USA",0.6210008764399424,0.6405416314712004,0.6610784610391779,0.06893612382224719,0.05095431511370253,0.023698485157414115,0.2479334499575456,0.2767348437169958,0.2937474544492861,0.017465107491861767,0.012605940425381035,0.008865371088326683,0.003241421106533756,0.003591937404210138,0.0031817826058562746,0.0006027234111058187,0.0004568294050256423,0.00031655808142870887,0.04082029777076348,0.015114502463484456,0.009111887578510142,0.7445333687178609,-0.12655950082150602,0.6876679843474571,-0.06969411645110224,0.6179738678963549,0.4633456421628488,-0.162753790131635,0.38775990895972484,-0.08716805692851104,0.3005918520312138,0.16840369032121455,-0.05016822777471884,0.14673566397827012,-0.02850020143177441,0.11823546254649571
"District of Oregon, OR, USA",0.7165404430766616,0.7845966953392182,0.8352134770572777,0.13894774602979806,0.11747671801693206,0.08047102824936041,0.018563481930241505,0.016962345284899222,0.01558626724902164,0.04526443232425263,0.036396060217056624,0.02932585777081742,0.009921197774940467,0.011147265753676383,0.011729524701420316,0.004294355457272391,0.003314214238618205,0.002162347962649078,0.0664683434068333,0.0301067011495993,0.025511497009453477,0.7488692682562471,-0.15106755734929633,0.6860330791187659,-0.0882313682118151,0.5978017109069508,0.1460633434087628,-0.01904146763733125,0.14681346089763478,-0.019791585126203215,0.12702187577143156,0.029516326570222438,0.008278207760492071,0.03625013034214039,0.0015444039885741181,0.03779453433071451
"Eastern District of Texas, TX, USA",0.5750274558433017,0.6617329755832483,0.7367330159210689,0.1742198929312091,0.14515039551498263,0.09245400503639692,0.12752132461816762,0.128236525558391,0.13166221739070605,0.07422255633396767,0.042505207686374044,0.022626976372968583,0.0045105085635597075,0.004871349327031488,0.004524500832519162,0.00047605324981926054,0.0003872292304513029,0.0002814052373023627,0.04402220845997494,0.01711631709952128,0.011717879209037994,0.7112017919878919,-0.18877222701960228,0.6163468253218066,-0.093917260353517,0.5224295649682896,0.32948880706866635,-0.10553928049517569,0.2657592021904557,-0.041809675616965025,0.22394952657349065,0.1120304659919704,-0.013759709275355525,0.10509190440599493,-0.006821147689380053,0.09827075671661488
"Southern District of Indiana, IN, USA",0.7726044178128201,0.836188756571758,0.8805101533018574,0.06247252289538019,0.042306883083596966,0.019190570834653885,0.09290114405875778,0.0862864961293095,0.0780932886330711,0.026698235542528658,0.015857143403631858,0.009316484432874864,0.0017963345241483121,0.0020246688777611583,0.0020339485099620924,0.0004901939540498544,0.00030730898069053985,0.0002658142190712584,0.04303715121231513,0.017028742953252057,0.010589740068509332,0.8609638287247369,-0.1513271210631003,0.7982503863264374,-0.08861367866480085,0.7096367076616366,0.36275065203868,-0.11075091532622838,0.30735567711285305,-0.05535594040040143,0.2519997367124516,0.06188189586170509,-0.0004404143328831933,0.06101835991162542,0.000423121617196473,0.061441481528821895
"Eastern District of North Carolina, NC, USA",0.5628247426345004,0.5938212327156007,0.6239627263330823,0.10361014108812841,0.08271538980018713,0.04823298654523348,0.2373374567324302,0.26195153775643776,0.27987654037768167,0.032639274889458766,0.020254220035715906,0.012520885666984014,0.01694084982047778,0.020601516607474182,0.022137532515367136,0.0009894599627832555,0.000766847707420702,0.0006241803451057761,0.04565807487222113,0.01988925537716355,0.012645148216545655,0.6776232617854178,-0.12781416699006454,0.6157970223822352,-0.06598792758688199,0.5498090947953532,0.3909117002437452,-0.12557240399484404,0.32679756884090033,-0.06145827259199915,0.2653392962489012,0.15176521630387785,-0.04497221332796293,0.13073270031333942,-0.0239396973374245,0.10679300297591492
"Western District of Pennsylvania, PA, USA",0.8477314570454013,0.8935237455132388,0.9149499831154249,0.02209479997940998,0.013924363603113991,0.007911629477634893,0.065802988166872,0.0640641590112664,0.0590173968554106,0.02132880850719944,0.013007370887294239,0.00817019447508115,0.001067640620911834,0.0011109012041506927,0.0010671868255901242,0.00023657187877811558,0.00018418678905147482,0.000184543428582076,0.04173773380142738,0.014185272991884483,0.008699065822276256,0.8965910845167029,-0.11212368445076382,0.8593625918778977,-0.07489519181195858,0.7844674000659391,0.35048817793583076,-0.13554968053197516,0.286482922192896,-0.07154442478904041,0.2149384974038556,0.04825725912144837,-0.0017264482248132568,0.04600647010272027,0.0005243407939148417,0.04653081089663511
"District of Connecticut, CT, USA",0.6320713874655924,0.7123700743263987,0.774810937223257,0.17285639998058616,0.1340718491318792,0.09408125638666058,0.10009776255486143,0.09378016300370555,0.08681393790734007,0.047271592697622496,0.03752253173753174,0.023951427454438273,0.0017760890817946709,0.0019267941363890395,0.0021344920939787466,0.0002701297260568409,0.00026810004105456785,0.00028138756378583174,0.04565663849348596,0.020060487623041266,0.017926561370539544,0.7389429890060266,-0.15760145439193618,0.6702810449378646,-0.08893951032377412,0.5813415346140904,0.3177810599122879,-0.0699962892877806,0.2897423857475195,-0.04195761512301219,0.2477847706245073,0.09933349531553835,0.007445539055351266,0.10606106480266468,0.0007179695682249382,0.10677903437088962
"Western District of Michigan, MI, USA",0.7901405225039048,0.8345805151609794,0.8611495690232682,0.06880974239658912,0.05523554393568142,0.04058037314702939,0.06316608121506599,0.06340152366445194,0.0607272226896183,0.020615106825737806,0.016267563603346125,0.012412685116003413,0.008050512532542476,0.009085962318473209,0.008801798985354879,0.00028183006550713455,0.0002505584145038197,0.00025559255830346896,0.04893620446065266,0.021178332902564097,0.016072758480422274,0.8178338007382582,-0.10599291754983986,0.7774418656925686,-0.06560098250415025,0.7118408831884183,0.2791831806313267,-0.07043155713072749,0.24732660194909983,-0.038574978448500635,0.2087516235005992,0.057085317188502266,-0.0008408858068717287,0.05560876944561373,0.0006356619360168084,0.05624443138163054
"Southern District of California, CA, USA",0.4136969090600679,0.46605818108195807,0.5336554399552934,0.3658898347722836,0.3460853512967477,0.2888134758423416,0.04279561731110364,0.04639886083277748,0.05400072526422756,0.11581522786014727,0.1010041418980065,0.08380556694418848,0.004146936804064136,0.004813813381239034,0.005746974795714987,0.0037582333543210197,0.004156577996468851,0.004140162724395534,0.053897240838012436,0.03148307351280233,0.029837654473838394,0.5445736843943099,-0.0700525277578351,0.5187720907433402,-0.044250934106865425,0.47452115663647476,0.26666218062208374,-0.04302585601252351,0.2592287886847449,-0.03559246407518468,0.22363632460956023,0.10097841745003197,-0.021158009606842387,0.09406856487924777,-0.014248157036058182,0.07982040784318958
"Eastern District of Wisconsin, WI, USA",0.7368590627403742,0.7860538723699008,0.8315840917631658,0.09591309522081767,0.07614137056546207,0.048309616069006536,0.090503461387748,0.09078271944795761,0.0841826005370604,0.030729866624094743,0.023052260701732084,0.016564443515331605,0.007994136684904866,0.008501208008559129,0.008129011465418338,0.0002914241760155581,0.00028573991489584156,0.00026629037596716915,0.03770895316604502,0.015182828991492555,0.010963946274050129,0.8283663302168541,-0.12908377066962395,0.774328780628798,-0.07504622108156778,0.6992825595472302,0.42503830786765856,-0.11273157156750135,0.38553796215734515,-0.07323122585718794,0.3123067363001572,0.0868349089908211,0.0010092499604254374,0.09271737550953263,-0.0048732165582860976,0.08784415895124653
"Northern District of New York, NY, USA",0.7961469742191757,0.8619002987437524,0.8952581667419065,0.05478560294287371,0.038761950986017236,0.025872174080985796,0.05859275589078759,0.052556857423940735,0.04652021639303088,0.03329783301996637,0.02250858092210125,0.014824273658204596,0.004348277066067106,0.004289079727911414,0.004199243713558668,0.00037194978531806383,0.0003047634114076318,0.0002529485618683912,0.05245660707581143,0.01967846878486931,0.013072976850445204,0.8527690623411621,-0.14056100089827006,0.8029425910905825,-0.09073452964769047,0.7122080614428921,0.2466130226753143,-0.05483153763385551,0.21872736389280953,-0.026945878851350746,0.19178148504145878,0.03990530495118103,0.011060927592982009,0.04301587529210594,0.007950357252057103,0.05096623254416304
"Middle District of Pennsylvania, PA, USA",0.8102938218469778,0.8764957647195335,0.9253607552171651,0.077724499197355,0.04832377655511183,0.021848860779811168,0.050564406653263005,0.04511014871829583,0.0337714517970451,0.022652029400902683,0.014644594215651199,0.009236019602716214,0.0012974831441578943,0.0013501165185607782,0.0012873019859011633,0.00023650024793901622,0.0002000396453194349,0.00019254516883137056,0.0372312595094046,0.013875559627527389,0.008303065448529925,0.8925253029213855,-0.157079004331954,0.8227156081643795,-0.08726930957494794,0.7354462985894316,0.24309541242782476,-0.03688164869045882,0.22002844147868827,-0.013814677741322334,0.20621376373736594,0.02896904046398755,0.019715969304507128,0.03844876950950525,0.010236240258989428,0.04868500976849468
