longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %
"Central District of California, CA, USA",0.8232765459022447,0.007966345068822536,0.021217166590521228,0.031871757605851016,0.10473846900598437,0.19538577630009668,0.34215069264800013,0.3282928989409622,0.13417063211094088
"Middle District of Florida, FL, USA",0.8546383447445715,0.006824782607250998,0.01129495454260734,0.008789419470824655,0.10543400490300874,0.20673914828416193,0.37539279300318157,0.338921085122481,0.07894697359017556
"Southern District of Texas, TX, USA",0.8749040020793918,0.00346247648289928,0.01271754665784837,0.015275742515895715,0.07956922052549464,0.21983780618990373,0.3606505059164331,0.33023564463419186,0.08927604325947136
"Northern District of Illinois, IL, USA",0.7434973503574006,0.006757116289791844,0.028370228844968717,0.10147393345164107,0.11009659726287209,0.1916126230268226,0.3090172286035755,0.36898608649387515,0.1303840618757268
"District of New Jersey, NJ, USA",0.7537835187534431,0.0031176628136464395,0.02579755273073196,0.09758227572361294,0.10629147388107016,0.2111829786049079,0.32124949270211334,0.3174861384092514,0.15008139028372725
"Eastern District of New York, NY, USA",0.4989947306064559,0.009248883292845745,0.049781411851129866,0.3412971462962771,0.09283788619373297,0.1251477913120926,0.2253679311836757,0.39075574666281154,0.25872853084142006
"Northern District of California, CA, USA",0.6932098615368008,0.017239471921728627,0.035853513196768744,0.08972327239790458,0.14971643166116122,0.19958388290840923,0.3387637700107535,0.3243324990207078,0.1373198480601294
"Eastern District of California, CA, USA",0.8645868173627718,0.008508105062144989,0.015703106409416575,0.012415414250972685,0.08849442942124376,0.2811375747458588,0.36664607092865487,0.24885956976919696,0.10335678455628937
"Western District of Texas, TX, USA",0.8494378646933625,0.004596131659774446,0.017503869639046394,0.011457858628433898,0.10561615778301447,0.2532788065220027,0.3862712525760698,0.2878224507010951,0.07262749020083242
"Northern District of Texas, TX, USA",0.8810444533704327,0.0024726751672582334,0.015398372669557287,0.009686178093972746,0.08220053643441635,0.2627416486850625,0.35382368154160854,0.30379828378125767,0.07963638599207128
"District of Arizona, AZ, USA",0.8297923145392376,0.009750679155218598,0.017865378482540262,0.013870551344069563,0.11714543253302706,0.24918723534984236,0.3813590955297532,0.29932603225795545,0.07012763686244891
"Northern District of Georgia, GA, USA",0.8305011470008884,0.0024078767827308187,0.012175343703878995,0.021307410777452507,0.12300955185370342,0.17974328226994962,0.33795334871718197,0.3588131811839422,0.12349018782892614
"District of Massachusetts, MA, USA",0.7332879679592543,0.008182526470284437,0.0456236065206946,0.08351401155845435,0.11893880535193216,0.2247719223934736,0.3201564277290376,0.3314210776992422,0.12365057217824658
"Southern District of Florida, FL, USA",0.8488421463917115,0.007411318866366629,0.014935181903308902,0.0237740600187772,0.09102414316100153,0.17546036231516352,0.35831134220859473,0.36696586281192606,0.09926243266431553
"Eastern District of Michigan, MI, USA",0.8697086180133828,0.0035001203709130744,0.018451518503223626,0.012621236788898546,0.08822371265705053,0.2481381553333693,0.3757027516825436,0.3046785328239582,0.07148056016012891
"Eastern District of Virginia, VA, USA",0.7943158098798274,0.004953181741876906,0.021687845744748312,0.04232457277848616,0.12659311821070537,0.19861181440212472,0.3613488792742516,0.3355396538473976,0.10449965247622611
"District of Maryland, MD, USA",0.7834346766390825,0.003584472119615628,0.01998498191721096,0.06386567729046669,0.11870840105216492,0.17070899206972487,0.31576107319117097,0.36597189976423233,0.14755803497487188
"Southern District of Ohio, OH, USA",0.8655711205586247,0.0028296991575530762,0.021614599104600247,0.012214616952839916,0.0910100103858785,0.26754071766849347,0.40957282811889417,0.26873429983578,0.05415215437683227
"Western District of Washington, WA, USA",0.7493546871574864,0.0100968180084405,0.0337687728931481,0.061675366255120344,0.13616134635657934,0.21475160907238589,0.34473705841405583,0.32835902567438496,0.11215230683917332
"Eastern District of Pennsylvania, PA, USA",0.7556508573162337,0.007247110340827108,0.03689848708104043,0.07573085923184614,0.11386804035601997,0.218843901407735,0.34713857192012343,0.3311633864530415,0.10285414021910015
"District of Colorado, CO, USA",0.7889687309394234,0.01162870461576412,0.02623208411406018,0.0249257007111443,0.1399496167187339,0.25705613792453125,0.37420751544107245,0.29625406654198555,0.07248228009241069
"Northern District of Ohio, OH, USA",0.8840946009355055,0.004208733211150452,0.01951723419983813,0.013487472258265815,0.07014197244406463,0.3099410539908976,0.3982973061295162,0.24261555563119003,0.049146084248396164
"District of Minnesota, MN, USA",0.8174733788615924,0.00645643788521759,0.025693320391542148,0.028207518682432566,0.11444571743423188,0.30682514444225156,0.3803543565703756,0.2584706817778336,0.05434981720953918
"Southern District of New York, NY, USA",0.4046375172655098,0.010508006519589986,0.09886433112522032,0.35979058567902966,0.11756872373520985,0.15603778952199499,0.2737754930240498,0.3655682213894887,0.20461849606446655
"District of South Carolina, SC, USA",0.8917777332910578,0.0030607003512921026,0.0185633602394854,0.004786737492976251,0.07172078995072736,0.2498573770508429,0.3947314611539467,0.29110535342031757,0.06430580837489296
"District of Oregon, OR, USA",0.7777393078617059,0.019331585081023988,0.034294287377536724,0.03475538766174835,0.12509541909036725,0.3135736404326066,0.3721213610138353,0.25315675088345824,0.06114824767009976
"Eastern District of Texas, TX, USA",0.8593489592686457,0.0026086028105795373,0.01197111206744547,0.0049660146937665585,0.10978070858049854,0.2665612507041637,0.34859399361982685,0.2955851984184682,0.08925955725754119
"Southern District of Indiana, IN, USA",0.8854988435986785,0.0035214806785770028,0.01906509031749391,0.00651615350463596,0.07843072880810607,0.29117796651042877,0.37563302655751935,0.27503880370586353,0.058150203226188336
"Eastern District of North Carolina, NC, USA",0.8624148593490149,0.0024305613936078723,0.018687909655167017,0.005283616097930574,0.10253767964905894,0.2729064878214059,0.37993000129074406,0.2765122680611756,0.0706512428266744
