longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.8773969596996662,0.40536327263858124,0.17207900693289307,0.1800163573607352,0.14200888310296642,0.0833380321748717,0.003977938729089026,0.016044235209268676,0.014922888408664514
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.8197109189750302,0.35309277613888873,0.12553803352342577,0.16172268527354194,0.12251003708428046,0.06886005378106537,0.0007214686280371252,0.004567538174074071,0.00019682896021458451
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.8976706532552724,0.38543620647055304,0.15449885413566752,0.16779780030985,0.13216281032056434,0.08547559584013824,0.01111459501767198,0.01685407835256525,0.014092452351555762
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.8709091377571705,0.35490095339748,0.1251189258047433,0.15339271848090633,0.10756475478348186,0.09394348013309553,0.017995599908172233,0.0014645922854936155,-0.004460094924946145
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.8501349612386432,0.3290377104636196,0.1207441283365892,0.1610422451974004,0.08827261801388779,0.07972284725233077,0.024130687654510652,0.01203106464457343,-0.0007394915864343266
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.917251591016633,0.5138814384943943,0.2553359385430321,0.2679473368164549,0.1545767695130187,0.09135733216492307,0.008678182565029946,0.00014707421027915224,-0.009175840919909639
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.9183731784835961,0.38616653600901535,0.15962168259026327,0.17472955889722433,0.12994976855947363,0.08148720855231725,0.008814934816850917,0.010301398505280779,0.01295661844798729
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.868562159451297,0.3311071376885664,0.12654662369736946,0.1423614903388192,0.10099972298942099,0.08774592436032848,0.004835587821615195,0.006750276925584997,-0.0018461008767153286
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.9077456590705628,0.39045693485812777,0.1492530090083395,0.16933077187216752,0.12308074613621739,0.09804541684974259,0.017669024658209853,0.015531136004791946,0.016329017309338834
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.9225374312048644,0.4853650802908148,0.22270120566780846,0.2457533157171089,0.15135237081477368,0.08825939375893913,0.003877747777413565,0.008513685182600539,0.011270127397228491
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.8913866751368478,0.31922085100197695,0.11823529517325403,0.13793654183318382,0.10722376053314124,0.07406054863564837,0.01404752522245456,-0.0009085802268312682,-0.000595761262810135
"San Francisco-Oakland-Hayward MSA, CA, USA",0.8985171470457557,0.5048000211847812,0.21057004983954486,0.27776661932390795,0.14252035774199734,0.08451304411887799,-0.002073127672734265,0.008212601130043296,-0.007287863257697064
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.826402752494044,0.22101694634999441,0.07782993453194179,0.09994158813952268,0.07424828810894145,0.04682707010153276,0.013732049683281122,0.015099557638652727,0.008264210945141418
"Detroit-Warren-Dearborn MSA, MI, USA",0.9119506747212991,0.3173991680715191,0.12738160908786825,0.14804314612828276,0.09846598053651533,0.070890041406723,0.008441766173634346,0.0017672570686434463,-0.0016341255921488718
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.9335862524613822,0.42979515309040256,0.166719790163593,0.2283324319035562,0.12930791248085505,0.07215480870598799,0.004822722325037221,0.007142031921903158,0.002553375257022733
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.9413487952953061,0.4223743455742267,0.14771703237595327,0.18768650549889418,0.14479647709237092,0.08989136298296535,0.0035535926740922763,0.01993419902482535,0.011762772418764195
"San Diego-Carlsbad MSA, CA, USA",0.885903278889933,0.3931358245168008,0.15349164038565455,0.20454772339695876,0.11533490472602206,0.07325319639382046,-0.010829714638843746,0.0022447495077236312,-0.0014559735771164095
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.9075441667204399,0.31047889622396946,0.11136901860527346,0.13455558485006175,0.09880153880217878,0.07712177257172662,0.016650647034793575,0.0006151288041866265,0.000929408851437219
"Denver-Aurora-Lakewood MSA, CO, USA",0.9217219568277025,0.4459769070009,0.1647251862714839,0.20896420005602928,0.14037244185022693,0.09664026509464609,0.009257185885926944,0.00930162204155116,0.007065294241629799
"Baltimore-Columbia-Towson MSA, MD, USA",0.9191242867140714,0.4041167337883341,0.1841811019033838,0.19955478946013017,0.13055616178920398,0.07400578253899934,0.011194777196696037,0.0140733491076937,0.015895598114790355
"St. Louis MSA, MO-IL, USA",0.9306030970445601,0.34779544200937157,0.14073934362538154,0.14569822995853088,0.11887426993218318,0.08322294211865802,0.007897621500304597,0.007754176039114435,0.01007903280643882
"Orlando-Kissimmee-Sanford MSA, FL, USA",0.9045286263150951,0.32355859308578094,0.11299820795840307,0.13854764642908046,0.10340127694220382,0.08160966971449718,0.012887846920329737,0.014434699339206103,-0.0006465835298013756
"Charlotte-Concord-Gastonia MSA, NC-SC, USA",0.903546099563481,0.3602336082697655,0.1225546329256771,0.14736273527389934,0.11828053303916775,0.09459033995669945,0.022619695319434863,0.006120832699324286,0.004603819987380728
"San Antonio-New Braunfels MSA, TX, USA",0.8698950832444259,0.28963071278856506,0.10759243808632307,0.12775715361336254,0.09350062647716306,0.06837293269803783,0.008818100984923083,0.017889394062597708,0.0012865203446652262
"Portland-Vancouver-Hillsboro MSA, OR-WA, USA",0.9308848432373812,0.3955540833494589,0.1493418254845443,0.19190971732549747,0.1371972184050526,0.06644714761890738,0.011260721173779187,0.012327253487263046,0.012057253299793402
"Sacramento--Roseville--Arden-Arcade MSA, CA, USA",0.9003938039898645,0.3406648568355245,0.12333989171143438,0.16967016279441097,0.11009879749676968,0.0608958965443476,0.011569062465741187,0.010746650659910872,-0.00022433800606291854
"Pittsburgh MSA, PA, USA",0.9472664696486384,0.353728031082992,0.13945043954210215,0.15871671342157792,0.12272284312287411,0.07228847453854308,0.005754576299687231,-0.00907356416986932,0.00787510245838341
"Austin-Round Rock MSA, TX, USA",0.9130122380417597,0.4597468660043916,0.16736111244884763,0.21293062541215518,0.15585893279447188,0.09095730779776189,0.006547460782361569,0.00701729458819933,-0.001611914097921885
"Las Vegas-Henderson-Paradise MSA, NV, USA",0.8690455643233798,0.24805245717606728,0.08390456338440735,0.10197974357352896,0.08333714445566698,0.06273556914687275,0.0032076996423924253,0.008000271402767878,0.0017209569959175386
"Cincinnati MSA, OH-KY-IN, USA",0.9214628382157612,0.3411371172952764,0.12964674992703074,0.14701287479700317,0.11908769340161747,0.07503654909665561,0.009547529181719638,0.003965094885707843,0.008945274007066517
"Kansas City MSA, MO-KS, USA",0.9292172595723472,0.3674240163689839,0.1376358753570065,0.1492292608708484,0.13079775844599376,0.08739699705214124,0.01021370966149171,0.0029802131703043355,0.004420176557798167
"Columbus MSA, OH, USA",0.9230202553283865,0.3718148394361606,0.1392102728296417,0.16473090124679518,0.12554504877287834,0.08153888941648968,0.0071899344421663125,0.004308715772727234,0.007759632598483279
"Indianapolis-Carmel-Anderson MSA, IN, USA",0.9096163434178163,0.34835676095561413,0.1255237127203302,0.14881636104706636,0.12131128575088082,0.07822911415766635,0.012176752794140322,0.013082964321253054,0.006408684452603508
"Cleveland-Elyria MSA, OH, USA",0.9167864464483279,0.31610181373522733,0.12521115065928026,0.135872232455527,0.11069586000977114,0.06953372126993054,0.010663841592735701,0.009556054797826563,0.011977294393543197
